Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,417.50,417.50,417.50,417.50,000,407.08
2014-12-30,418.70,420.00,415.00,417.50,30500,407.08
2014-12-29,419.00,421.50,417.00,418.70,25500,408.25
2014-12-26,419.40,419.40,419.40,419.40,000,408.94
2014-12-25,419.40,419.40,419.40,419.40,000,408.94
2014-12-24,419.40,419.40,419.40,419.40,000,408.94
2014-12-23,420.00,422.00,415.20,419.40,90200,408.94
2014-12-22,412.50,421.00,412.40,418.90,58200,408.45
2014-12-19,413.00,413.00,406.30,412.50,43500,402.21
2014-12-18,406.00,412.90,405.30,410.80,87600,400.55
2014-12-17,397.70,403.50,397.70,403.30,48600,393.24
2014-12-16,405.00,405.30,395.00,400.20,72000,390.21
2014-12-15,408.00,412.00,404.60,404.60,73200,394.51
2014-12-12,409.10,413.50,405.00,408.50,100200,398.31
2014-12-11,406.60,412.00,406.60,411.30,50500,401.04
2014-12-10,408.00,413.20,408.00,409.50,135600,399.28
2014-12-09,408.70,410.00,406.00,407.30,45900,397.14
2014-12-08,407.90,410.00,406.00,408.50,21700,398.31
2014-12-05,406.50,410.00,405.50,407.30,42900,397.14
2014-12-04,409.90,409.90,400.30,401.70,41900,391.68
2014-12-03,409.80,410.40,406.00,409.50,62600,399.28
2014-12-02,408.80,412.00,406.00,408.60,33800,398.41
2014-12-01,409.90,410.30,403.40,410.00,28300,399.77
2014-11-28,411.10,411.50,408.80,410.00,36700,399.77
2014-11-27,404.00,411.00,404.00,411.00,53800,400.75
2014-11-26,411.00,411.00,403.60,405.00,28600,394.90
2014-11-25,410.00,412.00,407.90,411.00,50900,400.75
2014-11-24,404.50,410.00,402.60,409.50,54500,399.28
2014-11-21,401.60,404.80,399.10,404.80,46800,394.70
2014-11-20,402.10,406.30,398.70,402.40,40900,392.36
2014-11-19,405.80,405.80,401.60,403.00,42600,392.95
2014-11-18,406.50,409.20,406.50,407.30,19500,397.14
2014-11-17,408.00,408.00,403.70,406.20,37700,396.07
2014-11-14,413.50,413.50,406.20,407.90,40800,397.72
2014-11-13,407.80,416.10,407.10,411.60,47200,401.33
2014-11-12,409.10,409.90,406.00,406.00,55800,395.87
