Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,170.00,170.00,170.00,170.00,000,168.50
2013-12-30,172.00,172.20,169.50,170.00,1182100,168.50
2013-12-27,171.30,172.40,171.00,172.30,1281000,170.78
2013-12-26,170.80,170.80,170.80,170.80,000,169.30
2013-12-25,170.80,170.80,170.80,170.80,000,169.30
2013-12-24,170.80,170.80,170.80,170.80,000,169.30
2013-12-23,169.00,171.00,168.90,170.80,1397100,169.30
2013-12-20,169.00,169.50,167.60,169.00,1546500,167.51
2013-12-19,166.00,168.20,165.60,168.10,1646700,166.62
2013-12-18,163.20,165.10,163.20,164.90,1465200,163.45
2013-12-17,163.30,164.30,162.80,162.90,960500,161.47
2013-12-16,161.10,164.10,158.50,164.00,1428700,162.56
2013-12-13,162.20,163.50,161.20,161.70,1230400,160.28
2013-12-12,163.30,163.90,161.80,161.80,1741700,160.38
2013-12-11,163.00,164.80,161.90,164.00,1434200,162.56
2013-12-10,165.40,167.40,164.20,164.20,1973000,162.76
2013-12-09,165.60,166.00,164.60,165.80,1553000,164.34
2013-12-06,162.20,165.20,162.20,164.60,2096400,163.15
2013-12-05,161.20,163.70,161.00,162.10,2002100,160.67
2013-12-04,162.50,163.30,160.40,161.80,1739400,160.38
2013-12-03,166.40,166.40,161.90,162.50,1592900,161.07
2013-12-02,167.50,167.60,166.50,166.60,1566800,165.13
2013-11-29,167.50,168.70,167.50,168.00,1572700,166.52
2013-11-28,168.10,169.20,167.40,167.70,1720600,166.22
2013-11-27,167.00,168.60,166.60,168.40,1340000,166.92
2013-11-26,166.30,167.50,166.10,167.30,1022100,165.83
2013-11-25,167.20,168.00,166.70,167.20,1012600,165.73
2013-11-22,166.30,167.40,165.90,167.20,1707100,165.73
2013-11-21,165.80,166.50,165.00,166.30,1434200,164.84
2013-11-20,167.10,167.60,166.20,166.50,1417500,165.03
2013-11-19,168.00,168.60,167.30,167.60,1403200,166.13
2013-11-18,167.80,168.90,167.30,168.70,1827700,167.22
2013-11-15,167.90,168.00,166.80,167.80,1386700,166.32
2013-11-14,167.00,167.90,166.70,167.90,1485500,166.42
2013-11-13,165.50,166.60,165.30,165.80,1446100,164.34
2013-11-12,165.70,167.00,165.30,166.30,1782200,164.84
2013-11-11,165.80,166.80,165.10,165.40,1277900,163.94
2013-11-08,164.60,165.70,164.30,165.20,1550100,163.75
2013-11-07,165.00,166.30,163.80,165.20,2050800,163.75
2013-11-06,163.60,165.50,163.50,165.00,1769700,163.55
2013-11-05,164.30,164.80,163.10,163.60,1367700,162.16
2013-11-04,164.00,164.60,163.10,164.20,940300,162.76
2013-11-01,165.60,166.00,163.50,163.50,1206400,162.06
2013-10-31,163.80,165.80,163.80,165.40,1295500,163.94
2013-10-30,163.50,165.30,163.40,164.90,1428400,163.45
2013-10-29,163.20,164.70,162.90,163.00,1376600,161.57
2013-10-28,163.00,164.70,162.90,163.60,1224600,162.16
2013-10-25,163.00,164.30,162.50,163.50,2067500,162.06
2013-10-24,160.20,165.00,160.20,164.20,3738300,162.76
2013-10-23,155.60,157.00,155.20,156.90,2044400,155.52
2013-10-22,153.60,156.30,153.20,156.00,3129400,154.63
2013-10-21,151.70,154.20,151.70,153.60,3660000,152.25
2013-10-18,149.80,152.00,149.40,151.80,2509300,150.46
2013-10-17,150.80,150.80,148.50,148.80,3013500,147.49
2013-10-16,151.10,151.80,149.60,150.80,3111500,149.47
2013-10-15,151.00,152.10,150.50,151.70,2278700,150.37
2013-10-14,150.20,151.00,150.10,150.40,1667300,149.08
2013-10-11,151.50,151.60,150.70,151.10,1852800,149.77
2013-10-10,148.10,151.20,147.20,150.50,2916900,149.18
2013-10-09,148.00,148.10,146.70,146.90,2986000,145.61
2013-10-08,149.70,150.50,148.40,148.60,2101900,147.29
2013-10-07,150.70,150.90,149.60,149.60,2618700,148.28
2013-10-04,149.10,150.40,148.10,149.30,2527800,147.99
2013-10-03,150.20,150.50,149.00,149.10,2218800,147.79
2013-10-02,150.50,150.90,149.40,149.80,1697900,148.48
2013-10-01,151.00,152.20,150.10,150.60,2051500,149.27
2013-09-30,151.70,152.00,150.40,151.30,1897000,149.97
2013-09-27,153.00,153.40,152.00,152.60,1443100,151.26
2013-09-26,152.90,153.30,152.20,153.10,1061700,151.75
2013-09-25,152.40,153.40,152.20,153.00,1908300,151.65
2013-09-24,151.30,153.30,150.90,153.20,2682000,151.85
2013-09-23,151.70,152.30,151.30,151.60,2009100,150.27
2013-09-20,152.70,152.90,151.40,152.60,1550000,151.26
2013-09-19,152.00,152.50,151.30,152.00,2459400,150.66
2013-09-18,150.40,151.50,150.40,151.10,1634700,149.77
2013-09-17,150.80,150.80,150.10,150.30,1843000,148.98
2013-09-16,150.60,151.80,150.00,151.00,2436100,149.67
2013-09-13,150.30,150.40,149.00,149.80,1841000,148.48
2013-09-12,150.40,151.10,149.70,150.70,1507200,149.37
2013-09-11,149.00,150.60,148.60,150.10,1681100,148.78
2013-09-10,148.00,149.20,147.40,148.80,2306100,147.49
2013-09-09,147.80,148.30,146.90,147.70,1443400,146.40
2013-09-06,146.40,147.90,146.40,147.90,2824100,146.60
2013-09-05,144.90,146.80,144.70,146.20,2362700,144.91
2013-09-04,143.30,145.70,142.60,145.10,2091400,143.82
2013-09-03,142.50,143.40,141.70,143.30,2021000,142.04
2013-09-02,142.40,143.40,142.30,142.60,1432400,141.35
2013-08-30,142.80,142.90,141.30,141.80,1350200,140.55
2013-08-29,143.10,143.10,141.40,142.50,2931000,141.25
2013-08-28,141.00,144.40,141.00,143.60,2425300,142.34
2013-08-27,147.20,147.80,144.40,144.80,1742700,143.53
2013-08-26,146.60,147.50,146.30,147.40,989300,146.10
2013-08-23,146.50,147.60,146.20,147.10,1555300,145.81
2013-08-22,145.70,147.20,145.50,146.50,1359000,145.21
2013-08-21,145.10,146.60,145.10,145.80,1550200,144.52
2013-08-20,145.50,146.00,145.00,145.40,1070200,144.12
2013-08-19,147.10,147.40,145.70,145.90,1546000,144.62
2013-08-16,146.60,147.50,146.00,147.10,1267700,145.81
2013-08-15,146.60,146.80,145.80,146.40,1586700,145.11
2013-08-14,147.30,147.50,146.60,146.90,1143200,145.61
2013-08-13,146.80,147.80,146.20,147.30,1328700,146.00
2013-08-12,146.00,147.00,145.10,146.80,970100,145.51
2013-08-09,146.00,147.20,145.20,146.10,1129000,144.81
2013-08-08,144.90,145.80,144.50,145.20,938400,143.92
2013-08-07,145.10,145.60,144.30,144.50,1143600,143.23
2013-08-06,145.90,147.30,145.50,145.70,1767300,144.42
2013-08-05,146.80,147.00,145.80,146.10,869800,144.81
2013-08-02,146.60,146.90,144.80,146.50,1859700,145.21
2013-08-01,145.00,146.80,144.30,146.80,1317700,145.51
2013-07-31,144.60,145.40,144.00,144.10,1230500,142.83
