Date,Open,High,Low,Close,Volume,Adj Close
2016-09-23,139.00,139.00,136.00,136.20,1121200,136.20
2016-09-22,136.00,140.30,135.90,139.00,2057100,139.00
2016-09-21,134.80,136.80,134.70,135.00,1071100,135.00
2016-09-20,135.20,136.80,134.10,134.10,1426500,134.10
2016-09-19,136.90,138.60,136.90,138.10,1054800,138.10
2016-09-16,136.80,137.50,135.60,136.00,1307900,136.00
2016-09-15,135.20,137.10,134.70,136.90,1218300,136.90
2016-09-14,135.70,136.20,134.60,135.30,1648100,135.30
2016-09-13,133.20,135.90,133.10,135.00,1661200,135.00
2016-09-12,131.30,132.50,130.00,132.50,1399300,132.50
2016-09-09,134.30,136.20,132.60,133.00,1394100,133.00
2016-09-08,134.70,135.10,133.60,134.80,980900,134.80
2016-09-07,134.80,135.50,132.70,134.00,1501300,134.00
2016-09-06,135.40,135.40,133.60,133.90,950500,133.90
2016-09-05,134.60,135.90,134.30,134.60,767000,134.60
2016-09-02,132.80,133.90,132.20,133.90,1103900,133.90
2016-09-01,133.60,134.10,132.00,132.30,1168700,132.30
2016-08-31,134.90,135.50,132.70,133.00,1255600,133.00
2016-08-30,137.60,139.40,134.40,134.80,2177000,134.80
2016-08-29,136.80,137.60,135.70,136.70,802000,136.70
2016-08-26,135.50,137.40,134.70,137.00,647400,137.00
2016-08-25,136.30,136.50,134.80,135.80,681600,135.80
2016-08-24,137.10,137.60,135.60,137.00,926400,137.00
2016-08-23,136.30,138.10,136.30,137.40,880500,137.40
2016-08-22,136.30,137.50,135.40,135.40,927400,135.40
2016-08-19,138.00,138.00,135.70,136.50,944600,136.50
2016-08-18,137.00,138.30,137.00,137.40,821400,137.40
2016-08-17,137.50,138.90,135.40,135.70,1211800,135.70
2016-08-16,138.10,138.70,137.30,137.80,1026900,137.80
2016-08-15,136.80,139.20,136.50,138.50,752100,138.50
2016-08-12,137.40,137.50,136.10,137.10,512100,137.10
2016-08-11,137.10,137.40,135.30,137.10,961400,137.10
2016-08-10,137.50,138.10,136.40,137.00,945600,137.00
2016-08-09,132.80,137.90,132.30,137.90,1419600,137.90
2016-08-08,132.90,133.00,132.00,132.10,808200,132.10
2016-08-05,131.30,132.20,130.40,132.00,947600,132.00
2016-08-04,131.80,132.30,130.80,131.40,964000,131.40
2016-08-03,131.90,132.60,129.90,130.70,828800,130.70
2016-08-02,134.50,134.90,130.70,131.20,1079500,131.20
2016-08-01,135.60,136.20,134.20,134.50,815100,134.50
2016-07-29,136.00,136.20,134.10,134.90,839200,134.90
2016-07-28,135.50,137.20,135.30,135.60,1111000,135.60
2016-07-27,133.20,136.00,133.10,135.10,1010400,135.10
2016-07-26,131.90,132.80,131.50,132.30,1018300,132.30
2016-07-25,132.00,133.50,131.30,132.00,1119300,132.00
2016-07-22,130.60,132.30,130.20,131.70,711400,131.70
2016-07-21,131.30,131.80,129.80,131.20,1256500,131.20
2016-07-20,129.80,131.40,129.20,131.30,1789800,131.30
2016-07-19,129.00,129.70,126.90,129.50,2144900,129.50
2016-07-18,139.00,144.60,128.50,129.30,3665900,129.30
2016-07-15,136.60,139.20,134.80,139.00,1824100,139.00
2016-07-14,136.40,137.10,135.50,136.90,1171100,136.90
2016-07-13,134.80,136.40,134.50,135.10,799000,135.10
2016-07-12,135.00,136.00,134.20,134.80,1061700,134.80
