Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,1073.00,1073.00,1073.00,1073.00,000,1073.00
2015-12-30,1065.00,1074.00,1056.00,1073.00,117900,1073.00
2015-12-29,1060.00,1070.00,1060.00,1068.00,183100,1068.00
2015-12-28,1072.00,1072.00,1053.00,1056.00,90000,1056.00
2015-12-25,1074.00,1074.00,1074.00,1074.00,000,1074.00
2015-12-24,1074.00,1074.00,1074.00,1074.00,000,1074.00
2015-12-23,1052.00,1074.00,1052.00,1074.00,149500,1074.00
2015-12-22,1067.00,1067.00,1045.00,1048.00,131200,1048.00
2015-12-21,1054.00,1076.00,1051.00,1055.00,196900,1055.00
2015-12-18,1066.00,1066.00,1053.00,1056.00,213300,1056.00
2015-12-17,1075.00,1089.00,1063.00,1071.00,165600,1071.00
2015-12-16,1057.00,1073.00,1051.00,1060.00,126700,1060.00
2015-12-15,1037.00,1054.00,1029.00,1049.00,168600,1049.00
2015-12-14,1048.00,1061.00,1031.00,1033.00,159100,1033.00
2015-12-11,1069.00,1070.00,1044.00,1048.00,237700,1048.00
2015-12-10,1081.00,1095.00,1077.00,1085.00,97400,1085.00
2015-12-09,1077.00,1089.00,1059.00,1086.00,201000,1086.00
2015-12-08,1093.00,1096.00,1068.00,1076.00,135300,1076.00
2015-12-07,1098.00,1111.00,1094.00,1094.00,187000,1094.00
2015-12-04,1090.00,1098.00,1081.00,1087.00,139800,1087.00
2015-12-03,1114.00,1125.00,1093.00,1096.00,174600,1096.00
2015-12-02,1109.00,1117.00,1103.00,1114.00,153100,1114.00
2015-12-01,1097.00,1106.00,1090.00,1103.00,242000,1103.00
2015-11-30,1084.00,1098.00,1083.00,1098.00,201000,1098.00
2015-11-27,1077.00,1086.00,1069.00,1084.00,99100,1084.00
2015-11-26,1088.00,1096.00,1073.00,1077.00,123500,1077.00
2015-11-25,1085.00,1094.00,1075.00,1088.00,182800,1088.00
2015-11-24,1084.00,1089.00,1072.00,1080.00,127700,1080.00
2015-11-23,1095.00,1096.00,1082.00,1092.00,214400,1092.00
2015-11-20,1087.00,1095.00,1079.00,1095.00,170000,1095.00
2015-11-19,1081.00,1091.00,1076.00,1081.00,99900,1081.00
2015-11-18,1079.00,1079.00,1065.00,1077.00,124600,1077.00
2015-11-17,1070.00,1082.00,1065.00,1081.00,138700,1081.00
2015-11-16,1049.00,1070.00,1049.00,1065.00,116000,1065.00
2015-11-13,1070.00,1076.00,1057.00,1060.00,141100,1060.00
2015-11-12,1089.00,1092.00,1069.00,1069.00,184800,1069.00
2015-11-11,1083.00,1096.00,1081.00,1090.00,190500,1090.00
2015-11-10,1092.00,1096.00,1058.00,1083.00,228400,1083.00
2015-11-09,1095.00,1099.00,1086.00,1091.00,168900,1091.00
2015-11-06,1099.00,1100.00,1083.00,1093.00,419000,1093.00
2015-11-05,1074.00,1093.00,1072.00,1083.00,274800,1083.00
2015-11-04,1035.00,1072.00,1035.00,1063.00,364200,1063.00
2015-11-03,1035.00,1036.00,1024.00,1029.00,122100,1029.00
2015-11-02,1027.00,1035.00,1020.00,1032.00,143500,1032.00
2015-10-30,1029.00,1036.00,1022.00,1025.00,49600,1025.00
2015-10-29,1035.00,1046.00,1026.00,1030.00,163900,1030.00
2015-10-28,1028.00,1032.00,1021.00,1028.00,118400,1028.00
2015-10-27,1025.00,1033.00,1018.00,1027.00,222000,1027.00
2015-10-26,1032.00,1032.00,1011.00,1024.00,190900,1024.00
2015-10-23,985.00,1040.00,956.50,1028.00,660900,1028.00
2015-10-22,954.00,974.50,950.00,974.50,194200,974.50
2015-10-21,956.50,961.50,951.00,953.50,202500,953.50
2015-10-20,941.50,962.50,934.00,957.00,191800,957.00
2015-10-19,941.00,945.00,935.00,940.00,221600,940.00
2015-10-16,932.50,940.50,923.00,938.00,215200,938.00
2015-10-15,912.50,929.50,912.50,927.50,142700,927.50
2015-10-14,912.50,924.50,903.00,907.00,192600,907.00
2015-10-13,929.00,929.00,914.00,916.50,185700,916.50
2015-10-12,924.00,942.00,923.00,936.00,211000,936.00
2015-10-09,926.00,931.00,917.50,923.00,219500,923.00
2015-10-08,918.50,923.50,903.00,923.50,189000,923.50
2015-10-07,910.50,928.00,906.00,906.00,330900,906.00
2015-10-06,920.50,929.00,913.50,916.00,232700,916.00
2015-10-05,920.00,924.50,909.50,924.50,233200,924.50
2015-10-02,926.00,937.00,897.00,908.50,374300,908.50
2015-10-01,936.00,940.00,913.50,919.00,589400,919.00
2015-09-30,889.00,911.50,883.00,907.50,469700,907.50
2015-09-29,860.00,887.50,856.00,865.50,213500,865.50
2015-09-28,868.00,872.00,856.00,860.00,183800,860.00
2015-09-25,854.00,875.00,853.50,870.00,189100,870.00
2015-09-24,871.00,876.50,829.00,834.50,344500,834.50
2015-09-23,865.50,882.50,855.00,874.50,169600,874.50
2015-09-22,890.00,890.00,855.50,865.50,311400,865.50
2015-09-21,887.00,900.50,874.00,899.50,273000,899.50
2015-09-18,899.50,899.50,880.00,888.50,222300,888.50
2015-09-17,900.00,907.00,896.00,905.50,196300,905.50
2015-09-16,880.00,895.50,876.00,895.00,148900,895.00
2015-09-15,869.00,877.50,858.50,876.00,139600,876.00
2015-09-14,864.00,876.50,864.00,868.00,107700,868.00
2015-09-11,880.00,880.00,858.00,860.00,221800,860.00
2015-09-10,886.00,900.50,873.50,874.00,255100,874.00
2015-09-09,888.00,910.00,887.00,897.50,405500,897.50
2015-09-08,861.00,883.00,860.00,866.50,494600,866.50
2015-09-07,850.00,858.00,845.00,858.00,113000,858.00
2015-09-04,848.00,849.00,835.50,838.00,133500,838.00
2015-09-03,836.00,861.00,831.00,853.00,246800,853.00
2015-09-02,845.00,849.00,823.00,826.00,213100,826.00
2015-09-01,863.50,863.50,836.00,840.50,289100,840.50
2015-08-31,864.50,869.00,855.00,868.00,139400,868.00
2015-08-28,862.50,867.50,857.00,862.50,276100,862.50
2015-08-27,874.00,877.50,862.50,868.00,446500,868.00
2015-08-26,835.00,850.00,820.00,831.00,300000,831.00
2015-08-25,811.00,852.00,810.00,850.50,420900,850.50
2015-08-24,800.00,820.00,781.00,800.00,587700,800.00
2015-08-21,841.00,869.50,834.00,835.00,399600,835.00
2015-08-20,875.00,875.50,849.00,853.50,477800,853.50
2015-08-19,892.00,896.00,880.50,882.50,266800,882.50
2015-08-18,888.50,903.00,885.00,899.50,210800,899.50
2015-08-17,892.00,897.50,880.50,888.00,247600,888.00
2015-08-14,890.00,897.50,884.50,888.50,160300,888.50
2015-08-13,887.50,897.00,880.00,887.50,200700,887.50
2015-08-12,889.50,889.50,858.00,867.00,437300,867.00
2015-08-11,934.50,935.50,895.00,898.50,310400,898.50
2015-08-10,921.00,933.50,915.50,932.50,105900,932.50
2015-08-07,911.00,931.00,907.50,921.50,204800,921.50
2015-08-06,910.00,921.50,904.00,907.00,183700,907.00
2015-08-05,902.00,918.00,899.50,913.00,184200,913.00
2015-08-04,897.50,901.50,888.00,899.50,114200,899.50
2015-08-03,905.00,907.50,897.00,902.50,197900,902.50
2015-07-31,903.00,914.00,893.50,902.50,156800,902.50
2015-07-30,907.00,909.50,895.00,900.50,156200,900.50
2015-07-29,890.00,904.00,885.00,901.50,155800,901.50
2015-07-28,877.00,891.50,876.50,889.00,196400,889.00
2015-07-27,894.50,894.50,871.00,871.50,264800,871.50
2015-07-24,913.00,919.50,903.00,906.50,126400,906.50
2015-07-23,920.00,926.00,918.00,923.00,138600,923.00
2015-07-22,932.00,932.00,920.00,922.50,294900,922.50
2015-07-21,948.00,952.00,929.50,932.50,227400,932.50
2015-07-20,946.50,954.50,943.50,946.50,318800,946.50
2015-07-17,913.50,970.00,911.50,937.00,978800,937.00
2015-07-16,909.50,926.00,909.00,916.50,245800,916.50
2015-07-15,914.00,914.00,899.00,909.00,200800,909.00
2015-07-14,924.00,924.50,906.50,914.00,253000,914.00
2015-07-13,911.00,926.00,908.50,917.50,219100,917.50
2015-07-10,915.00,922.00,904.00,906.50,319800,906.50
2015-07-09,907.00,930.00,905.50,916.00,359100,916.00
2015-07-08,954.00,956.50,903.00,907.00,682800,907.00
2015-07-07,968.50,974.00,954.50,956.50,134500,956.50
2015-07-06,960.00,972.50,956.00,963.50,275900,963.50
2015-07-03,978.50,982.50,967.50,972.00,62800,972.00
2015-07-02,982.00,985.50,967.50,976.00,130700,976.00
2015-07-01,967.50,989.50,967.50,981.50,192500,981.50
2015-06-30,970.00,974.50,949.50,968.00,211200,968.00
2015-06-29,975.00,993.00,969.00,971.00,201400,971.00
2015-06-26,1001.00,1011.00,992.00,1004.00,106200,1004.00
2015-06-25,989.50,1003.00,985.50,1001.00,259600,1001.00
2015-06-24,1005.00,1011.00,986.00,991.50,364800,991.50
2015-06-23,999.50,1029.00,996.50,1015.00,453800,1015.00
2015-06-22,990.00,999.00,985.50,996.00,218200,996.00
2015-06-19,980.00,980.00,980.00,980.00,000,980.00
2015-06-18,974.00,982.50,967.00,980.00,173800,980.00
2015-06-17,996.00,1000.00,984.50,984.50,115400,984.50
2015-06-16,976.00,1002.00,972.00,994.00,372200,994.00
2015-06-15,991.00,991.00,976.50,980.00,146900,980.00
2015-06-12,1005.00,1007.00,989.00,993.50,187100,993.50
2015-06-11,1010.00,1019.00,1002.00,1005.00,172900,1005.00
2015-06-10,1008.00,1016.00,1002.00,1010.00,165600,1010.00
2015-06-09,1028.00,1029.00,1005.00,1011.00,181000,1011.00
2015-06-08,1046.00,1048.00,1030.00,1031.00,93700,1031.00
2015-06-05,1036.00,1058.00,1033.00,1046.00,87400,1046.00
2015-06-04,1050.00,1051.00,1035.00,1039.00,158200,1039.00
2015-06-03,1060.00,1065.00,1050.00,1050.00,119200,1050.00
2015-06-02,1080.00,1082.00,1057.00,1061.00,157400,1061.00
2015-06-01,1076.00,1083.00,1066.00,1080.00,129600,1080.00
2015-05-29,1089.00,1091.00,1069.00,1074.00,232900,1074.00
2015-05-28,1096.00,1097.00,1083.00,1086.00,148700,1086.00
2015-05-27,1100.00,1101.00,1092.00,1098.00,156400,1098.00
2015-05-26,1098.00,1107.00,1092.00,1096.00,209400,1096.00
2015-05-25,1100.00,1100.00,1095.00,1096.00,60200,1096.00
2015-05-22,1090.00,1102.00,1088.00,1097.00,186400,1097.00
2015-05-21,1093.00,1100.00,1085.00,1088.00,242400,1088.00
2015-05-20,1071.00,1103.00,1070.00,1096.00,846700,1096.00
2015-05-19,1041.00,1062.00,1041.00,1057.00,310200,1057.00
2015-05-18,1025.00,1038.00,1023.00,1038.00,247500,1038.00
2015-05-15,1004.00,1032.00,1002.00,1021.00,469600,1021.00
2015-05-14,995.50,995.50,995.50,995.50,000,995.50
2015-05-13,997.50,1002.00,990.50,995.50,86700,995.50
2015-05-12,999.50,1002.00,984.00,989.50,148900,989.50
2015-05-11,1005.00,1009.00,1002.00,1006.00,118000,1006.00
2015-05-08,987.00,1004.00,986.50,999.00,313700,999.00
2015-05-07,973.50,988.50,962.50,984.50,267400,984.50
2015-05-06,991.00,995.50,969.50,973.50,307600,973.50
2015-05-05,998.50,1010.00,990.00,992.00,287200,992.00
2015-05-04,1003.00,1006.00,994.00,1001.00,168100,1001.00
2015-05-01,1001.00,1001.00,1001.00,1001.00,000,1001.00
2015-04-30,1001.00,1010.00,993.00,1001.00,120500,1001.00
2015-04-29,1031.00,1040.00,997.00,1001.00,378800,1001.00
2015-04-28,1049.00,1050.00,1027.00,1030.00,206100,1030.00
2015-04-27,1032.00,1053.00,1031.00,1048.00,225100,1048.00
2015-04-24,1024.00,1033.00,1015.00,1029.00,285600,1029.00
2015-04-23,1049.00,1053.00,1024.00,1029.00,216300,1029.00
2015-04-22,1072.00,1090.00,1038.00,1046.00,758500,1046.00
2015-04-21,1080.00,1093.00,1071.00,1078.00,245000,1078.00
2015-04-20,1061.00,1077.00,1061.00,1077.00,141200,1077.00
2015-04-17,1063.00,1075.00,1052.00,1058.00,170100,1058.00
2015-04-16,1068.00,1075.00,1057.00,1068.00,211300,1068.00
2015-04-15,1054.00,1071.00,1052.00,1069.00,224400,1069.00
2015-04-14,1064.00,1066.00,1049.00,1057.00,189800,1057.00
2015-04-13,1061.00,1071.00,1057.00,1065.00,128200,1065.00
2015-04-10,1050.00,1060.00,1049.00,1060.00,120800,1060.00
2015-04-09,1036.00,1048.00,1033.00,1048.00,79900,1048.00
2015-04-08,1037.00,1038.00,1027.00,1030.00,127700,1030.00
2015-04-07,1033.00,1045.00,1031.00,1033.00,131400,1033.00
2015-04-06,1026.00,1026.00,1026.00,1026.00,000,1026.00
2015-04-03,1026.00,1026.00,1026.00,1026.00,000,1026.00
2015-04-02,1020.00,1028.00,1018.00,1026.00,62900,1026.00
2015-04-01,1012.00,1033.00,1010.00,1022.00,257100,1022.00
2015-03-31,1010.00,1025.00,1009.00,1023.00,226300,1023.00
2015-03-30,993.50,1013.00,993.50,1013.00,262100,1013.00
2015-03-27,976.50,995.50,973.50,989.50,211100,989.50
2015-03-26,962.00,975.00,954.50,975.00,243400,975.00
2015-03-25,977.50,982.00,970.00,973.00,145400,973.00
2015-03-24,980.00,989.00,972.50,984.00,241500,984.00
2015-03-23,996.00,997.50,980.50,980.50,199300,980.50
2015-03-20,992.50,999.50,987.50,994.50,127800,994.50
2015-03-19,995.00,1004.00,983.50,992.50,208000,992.50
2015-03-18,985.50,1006.00,981.50,995.50,278600,995.50
2015-03-17,985.50,990.50,973.50,984.50,194900,984.50
2015-03-16,975.00,987.50,973.00,984.00,283900,984.00
2015-03-13,969.00,975.00,961.00,968.00,235700,968.00
2015-03-12,966.00,968.00,951.00,967.50,176400,967.50
2015-03-11,955.50,969.50,954.50,966.50,164600,966.50
2015-03-10,961.00,963.50,953.00,957.50,188200,957.50
2015-03-09,945.00,961.00,941.00,961.00,337500,961.00
2015-03-06,948.00,953.00,941.50,949.50,190000,949.50
2015-03-05,940.00,953.50,937.50,950.50,214800,950.50
2015-03-04,940.00,943.00,929.50,940.50,341800,940.50
2015-03-03,948.00,950.50,934.50,937.00,246700,937.00
2015-03-02,940.50,946.50,934.00,943.50,178900,943.50
2015-02-27,948.00,949.50,938.00,941.00,118600,941.00
2015-02-26,941.00,950.50,935.00,948.00,132000,948.00
2015-02-25,948.50,948.50,936.00,941.00,139300,941.00
2015-02-24,956.00,960.00,945.50,950.50,159100,950.50
2015-02-23,949.50,956.00,940.50,954.50,267800,954.50
2015-02-20,942.00,946.00,935.00,938.50,282900,938.50
2015-02-19,940.00,941.50,928.50,935.50,346000,935.50
2015-02-18,936.00,945.00,935.00,945.00,218400,945.00
2015-02-17,953.50,953.50,936.50,939.00,182500,939.00
2015-02-16,953.00,959.00,949.50,955.00,104700,955.00
2015-02-13,961.00,962.00,950.00,953.00,197800,953.00
2015-02-12,950.00,965.50,948.50,960.00,278600,960.00
2015-02-11,941.00,950.00,938.50,947.00,211200,947.00
2015-02-10,932.00,943.00,926.50,935.00,163100,935.00
2015-02-09,929.50,935.00,920.00,932.00,161200,932.00
2015-02-06,929.50,937.50,922.00,937.50,107800,937.50
2015-02-05,919.00,932.00,916.50,927.00,193600,927.00
2015-02-04,912.50,921.50,903.00,921.50,181900,921.50
2015-02-03,899.00,912.50,899.00,907.50,205000,907.50
2015-02-02,882.00,894.00,877.00,893.00,156700,893.00
2015-01-30,885.00,901.00,876.00,881.00,372300,881.00
2015-01-29,839.50,885.00,830.00,880.00,727100,880.00
2015-01-28,842.00,849.50,836.00,839.50,157000,839.50
2015-01-27,849.00,855.50,832.00,833.50,196600,833.50
2015-01-26,864.00,868.00,845.00,845.00,413900,845.00
2015-01-23,859.00,869.00,857.50,861.00,388400,861.00
2015-01-22,843.50,853.00,838.00,851.50,239900,851.50
2015-01-21,847.50,847.50,836.00,843.50,161900,843.50
2015-01-20,838.50,847.00,835.00,844.00,289100,844.00
2015-01-19,822.50,844.00,822.50,838.50,271200,838.50
2015-01-16,828.00,835.00,815.00,820.50,356000,820.50
2015-01-15,830.00,844.00,819.00,841.00,444800,841.00
2015-01-14,829.50,835.50,818.00,823.00,343800,823.00
2015-01-13,834.50,843.00,828.50,837.50,281700,837.50
2015-01-12,825.00,837.00,822.50,832.50,200400,832.50
2015-01-09,829.50,839.50,821.50,825.50,191200,825.50
2015-01-08,829.50,834.50,819.50,831.50,388100,831.50
2015-01-07,813.00,824.50,809.50,822.00,280000,822.00
2015-01-06,831.50,831.50,831.50,831.50,000,831.50
2015-01-05,838.00,840.00,831.50,831.50,92000,831.50
2015-01-02,838.00,841.00,829.50,833.00,156800,833.00
2015-01-01,837.50,837.50,837.50,837.50,000,837.50
