Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,178.00,178.00,178.00,178.00,000,175.2623
2015-12-30,179.40,179.80,177.60,178.00,1282300,175.2623
2015-12-29,177.10,179.10,177.10,178.90,1150000,176.1485
2015-12-28,178.10,178.80,175.20,175.90,1691200,173.1946
2015-12-25,177.30,177.30,177.30,177.30,000,174.5731
2015-12-24,177.30,177.30,177.30,177.30,000,174.5731
2015-12-23,175.60,177.30,175.40,177.30,1252600,174.5731
2015-12-22,177.70,177.70,173.30,173.50,1458500,170.8315
2015-12-21,176.70,179.10,176.50,176.50,1605000,173.7854
2015-12-18,179.00,179.10,175.00,176.10,2070600,173.3916
2015-12-17,181.10,183.20,180.00,180.50,2267900,177.7239
2015-12-16,177.90,179.40,177.10,178.00,3031600,175.2623
2015-12-15,175.40,178.70,175.00,178.00,2620500,175.2623
2015-12-14,176.00,178.00,174.00,174.40,2600300,171.7177
2015-12-11,178.10,178.80,173.40,174.80,2419200,172.1116
2015-12-10,178.10,179.30,176.40,177.70,2279100,174.9669
2015-12-09,179.90,180.40,176.90,179.00,2941800,176.247
2015-12-08,185.10,185.10,179.20,179.50,2633700,176.7393
2015-12-07,184.00,185.80,182.90,185.10,2385400,182.2531
2015-12-04,182.10,183.30,180.30,182.40,2465300,179.5947
2015-12-03,186.20,189.00,183.00,183.30,3044700,180.4808
2015-12-02,185.40,187.50,184.70,186.40,2299100,183.5331
2015-12-01,186.00,186.80,184.40,185.50,2176000,182.647
2015-11-30,183.60,186.40,182.40,185.50,2700700,182.647
2015-11-27,181.30,183.90,180.30,183.50,1187100,180.6777
2015-11-26,181.20,182.50,180.50,182.10,1973300,179.2993
2015-11-25,179.30,181.50,179.00,181.00,2965300,178.2162
2015-11-24,180.90,180.90,178.10,178.80,2361300,176.05
2015-11-23,182.80,183.00,180.70,181.70,1900900,178.9054
2015-11-20,180.50,182.60,179.60,182.50,2161500,179.6931
2015-11-19,179.60,181.80,179.00,180.10,1706600,177.33
2015-11-18,179.10,180.50,178.70,178.70,2160900,175.9516
2015-11-17,176.20,179.70,175.30,179.50,2549900,176.7393
2015-11-16,170.40,176.00,168.60,175.00,2342300,172.3085
2015-11-13,171.90,173.40,170.40,172.40,1940100,169.7485
2015-11-12,175.20,175.60,172.00,173.40,1963800,170.7331
2015-11-11,174.80,176.10,174.30,175.20,1723000,172.5054
2015-11-10,173.30,174.90,171.50,173.90,2665700,171.2254
2015-11-09,168.60,168.60,168.60,168.60,000,166.0069
2015-11-06,168.60,168.60,168.60,168.60,000,166.0069
2015-11-05,168.60,168.60,168.60,168.60,000,166.0069
2015-11-04,168.60,168.60,168.60,168.60,000,166.0069
2015-11-03,168.60,168.60,168.60,168.60,000,166.0069
2015-11-02,168.60,168.60,168.60,168.60,000,166.0069
2015-10-30,168.60,168.60,168.60,168.60,000,166.0069
2015-10-29,168.60,168.60,168.60,168.60,000,166.0069
2015-10-28,168.60,168.60,168.60,168.60,000,166.0069
2015-10-27,168.60,168.60,168.60,168.60,000,166.0069
2015-10-26,168.60,168.60,168.60,168.60,000,166.0069
2015-10-23,168.60,168.60,168.60,168.60,000,166.0069
2015-10-22,168.60,168.60,168.60,168.60,000,166.0069
2015-10-21,168.60,168.60,168.60,168.60,000,166.0069
2015-10-20,168.60,168.60,168.60,168.60,000,166.0069
2015-10-19,168.60,168.60,168.60,168.60,000,166.0069
2015-10-16,168.60,168.60,168.60,168.60,000,166.0069
2015-10-15,168.60,168.60,168.60,168.60,000,166.0069
2015-10-14,168.60,168.60,168.60,168.60,000,166.0069
2015-10-13,168.60,168.60,168.60,168.60,000,166.0069
2015-10-12,168.60,168.60,168.60,168.60,000,166.0069
2015-10-09,168.60,168.60,168.60,168.60,000,166.0069
2015-10-08,168.60,168.60,168.60,168.60,000,166.0069
2015-10-07,168.60,168.60,168.60,168.60,000,166.0069
2015-10-06,168.60,168.60,168.60,168.60,000,166.0069
2015-10-05,168.60,168.60,168.60,168.60,000,166.0069
2015-10-02,168.60,168.60,168.60,168.60,000,166.0069
2015-10-01,168.60,168.60,168.60,168.60,000,166.0069
2015-09-30,168.60,168.60,168.60,168.60,000,166.0069
2015-09-29,168.60,168.60,168.60,168.60,000,166.0069
2015-09-28,168.60,168.60,168.60,168.60,000,166.0069
2015-09-25,168.60,168.60,168.60,168.60,000,166.0069
2015-09-24,168.60,168.60,168.60,168.60,000,166.0069
2015-09-23,168.60,168.60,168.60,168.60,000,166.0069
2015-09-22,168.60,168.60,168.60,168.60,000,166.0069
2015-09-21,168.60,168.60,168.60,168.60,000,166.0069
2015-09-18,168.60,168.60,168.60,168.60,000,166.0069
2015-09-17,168.60,168.60,168.60,168.60,000,166.0069
2015-09-16,168.60,168.60,168.60,168.60,000,166.0069
2015-09-15,168.60,168.60,168.60,168.60,000,166.0069
2015-09-14,168.60,168.60,168.60,168.60,000,166.0069
2015-09-11,168.60,168.60,168.60,168.60,000,166.0069
2015-09-10,168.60,168.60,168.60,168.60,000,166.0069
2015-09-09,168.60,168.60,168.60,168.60,000,166.0069
2015-09-08,168.60,168.60,168.60,168.60,000,166.0069
2015-09-07,168.60,168.60,168.60,168.60,000,166.0069
2015-09-04,168.60,168.60,168.60,168.60,000,166.0069
2015-09-03,168.60,168.60,168.60,168.60,000,166.0069
2015-09-02,168.60,168.60,168.60,168.60,000,166.0069
2015-09-01,168.60,168.60,168.60,168.60,000,166.0069
2015-08-31,168.60,168.60,168.60,168.60,000,166.0069
2015-08-28,168.60,168.60,168.60,168.60,000,166.0069
2015-08-27,168.60,168.60,168.60,168.60,000,166.0069
2015-08-26,168.60,168.60,168.60,168.60,000,166.0069
2015-08-25,168.60,168.60,168.60,168.60,000,166.0069
2015-08-24,168.60,168.60,168.60,168.60,000,166.0069
2015-08-21,168.60,168.60,168.60,168.60,000,166.0069
2015-08-20,168.60,168.60,168.60,168.60,000,166.0069
2015-08-19,168.60,168.60,168.60,168.60,000,166.0069
2015-08-18,168.60,168.60,168.60,168.60,000,166.0069
2015-08-17,168.60,168.60,168.60,168.60,000,166.0069
2015-08-14,168.60,168.60,168.60,168.60,000,166.0069
2015-08-13,168.60,168.60,168.60,168.60,000,166.0069
2015-08-12,173.80,174.00,168.20,168.60,2156000,166.0069
2015-08-11,176.70,176.70,174.10,175.30,1999200,172.6039
2015-08-10,176.50,177.00,175.20,176.90,2094000,174.1792
2015-08-07,176.10,176.20,175.00,175.20,806700,172.5054
2015-08-06,176.90,177.50,175.70,175.90,1345500,173.1946
2015-08-05,176.70,177.20,175.80,176.90,1310900,174.1792
2015-08-04,176.10,176.50,175.10,176.00,1165300,173.2931
2015-08-03,175.10,176.80,174.20,176.10,1572300,173.3916
2015-07-31,171.60,175.10,170.60,175.10,2207100,172.4069
2015-07-30,170.00,171.10,169.30,170.70,1774500,168.0746
2015-07-29,168.80,169.90,167.00,169.60,1809500,166.9915
2015-07-28,165.10,168.30,164.30,168.20,1575500,165.6131
2015-07-27,168.20,168.50,163.70,164.10,1730000,161.5761
2015-07-24,170.30,171.90,168.40,168.70,1581200,166.1054
2015-07-23,172.20,172.50,170.20,170.40,1397800,167.7792
2015-07-22,171.20,172.30,170.60,170.80,1567800,168.1731
2015-07-21,174.60,175.60,171.20,171.60,2283200,168.9608
2015-07-20,171.80,174.20,171.80,174.10,2019300,171.4223
2015-07-17,168.40,172.40,167.10,171.00,3125000,168.37
2015-07-16,162.60,166.00,161.40,166.00,2411800,163.4469
2015-07-15,163.10,163.90,161.90,162.10,1414400,159.6069
2015-07-14,164.50,165.20,163.20,164.50,1278500,161.97
2015-07-13,161.80,165.40,161.70,165.00,2169500,162.4623
