Date,Open,High,Low,Close,Volume,Adj Close
2006-12-29,222.50,222.50,218.00,222.00,707000,78.07411
2006-12-28,219.00,219.00,216.00,219.00,806100,77.01905
2006-12-27,219.50,219.50,216.00,217.00,882600,76.31568
2006-12-26,215.50,215.50,215.50,215.50,000,75.78815
2006-12-25,215.50,215.50,215.50,215.50,000,75.78815
2006-12-22,218.00,218.00,214.50,215.50,1208100,75.78815
2006-12-21,219.00,219.00,216.00,216.50,2276100,76.13984
2006-12-20,220.50,220.50,216.50,217.00,3645400,76.31568
2006-12-19,215.50,215.50,209.50,215.50,3609100,75.78815
2006-12-18,217.00,217.00,212.50,213.50,4318200,75.08478
2006-12-15,212.00,212.00,208.00,211.50,6609000,74.38141
2006-12-14,211.50,211.50,206.50,207.00,6138000,72.79883
2006-12-13,210.50,210.50,206.00,210.00,10013800,73.85388
2006-12-12,211.50,211.50,208.00,210.50,8132100,74.02973
2006-12-11,211.00,211.00,208.50,209.00,4735700,73.5022
2006-12-08,206.00,206.00,201.00,206.00,2929300,72.44714
2006-12-07,207.00,207.00,204.00,206.00,2350100,72.44714
2006-12-06,207.50,207.50,204.00,205.50,5242100,72.2713
2006-12-05,205.50,205.50,200.50,205.50,5671200,72.2713
2006-12-04,200.00,200.00,196.50,199.50,3672400,70.16119
2006-12-01,202.50,202.50,194.50,196.50,4366900,69.10614
2006-11-30,202.50,202.50,196.00,196.00,4603600,68.93029
2006-11-29,199.50,199.50,195.00,198.50,3108200,69.80951
2006-11-28,196.00,196.00,191.00,191.50,5400300,67.34771
2006-11-27,205.50,205.50,194.50,194.50,7904500,68.40276
2006-11-24,209.50,209.50,201.50,202.00,4844400,71.0404
2006-11-23,211.00,211.00,207.00,211.00,2887500,74.20557
2006-11-22,207.50,207.50,204.50,206.50,6125300,72.62299
2006-11-21,206.00,206.00,203.50,203.50,5375600,71.56793
2006-11-20,206.50,206.50,201.50,206.50,3529300,72.62299
2006-11-17,213.00,213.00,203.50,204.00,3507300,71.74377
2006-11-16,215.50,215.50,212.50,213.00,3759300,74.90894
2006-11-15,214.00,214.00,207.00,214.00,3676600,75.26063
2006-11-14,209.50,209.50,205.50,206.00,2115200,72.44714
2006-11-13,210.00,210.00,205.50,206.50,1503400,72.62299
2006-11-10,209.50,209.50,205.00,208.00,3705500,73.15051
2006-11-09,211.50,211.50,208.00,209.00,4809200,73.5022
2006-11-08,209.50,209.50,207.00,209.00,1075200,73.5022
2006-11-07,210.00,210.00,207.00,208.50,3987900,73.32636
2006-11-06,207.00,207.00,204.00,205.50,6878800,72.2713
2006-11-03,205.00,205.00,202.00,205.00,2288900,72.09546
2006-11-02,206.00,206.00,198.50,202.00,8715700,71.0404
2006-11-01,209.00,209.00,203.50,203.50,4544500,71.56793
2006-10-31,207.50,207.50,204.50,206.00,2914100,72.44714
2006-10-30,205.50,205.50,200.00,204.00,5010800,71.74377
2006-10-27,209.00,209.00,202.00,203.00,3326100,71.39209
2006-10-26,210.50,210.50,206.50,207.50,4137300,72.97467
2006-10-25,210.50,210.50,205.00,208.50,5459100,73.32636
2006-10-24,207.00,207.00,195.00,205.00,7571600,72.09546
2006-10-23,199.00,199.00,191.50,197.50,2220400,69.45782
2006-10-20,197.00,197.00,190.50,195.00,2859800,68.57861
2006-10-19,197.50,197.50,194.00,194.00,1042600,68.22692
2006-10-18,197.50,197.50,194.00,197.00,1224200,69.28198
2006-10-17,197.00,197.00,193.00,193.50,1490600,68.05108
2006-10-16,198.00,198.00,195.00,197.50,1458600,69.45782
2006-10-13,199.00,199.00,194.00,194.50,1085100,68.40276
2006-10-12,198.00,198.00,191.00,197.00,3031300,69.28198
2006-10-11,192.00,192.00,187.50,190.50,1117700,66.99602
2006-10-10,192.50,192.50,187.50,190.00,1767600,66.82018
2006-10-09,192.00,192.00,184.00,191.50,4909500,67.34771
2006-10-06,193.50,193.50,183.50,184.50,7150700,64.88591
2006-10-05,190.00,190.00,182.50,187.50,4263600,65.94097
2006-10-04,185.50,185.50,182.50,182.50,1728000,64.18254
2006-10-03,186.00,186.00,182.00,184.50,1455300,64.88591
2006-10-02,186.00,186.00,183.00,186.00,2234300,65.41344
2006-09-29,188.00,188.00,178.00,183.50,3441800,64.53423
2006-09-28,180.50,180.50,177.50,178.00,710300,62.59996
2006-09-27,180.50,180.50,176.50,180.50,2544400,63.47917
2006-09-26,175.50,175.50,171.00,174.00,1553800,61.19322
2006-09-25,176.50,176.50,170.00,170.00,1556500,59.78648
2006-09-22,180.00,180.00,174.50,175.50,1477500,61.72075
2006-09-21,183.00,183.00,180.00,181.00,1376100,63.65502
2006-09-20,184.50,184.50,181.50,183.00,1835400,64.35839
