Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,67.00,67.00,67.00,67.00,000,54.3704
2009-12-30,67.50,67.75,65.25,67.00,5600,54.3704
2009-12-29,65.00,67.50,65.00,67.50,4600,54.77615
2009-12-28,64.25,65.75,64.25,65.50,2800,53.15315
2009-12-25,64.50,64.50,64.50,64.50,000,52.34165
2009-12-24,64.50,64.50,64.50,64.50,000,52.34165
2009-12-23,65.25,65.25,64.50,64.50,1300,52.34165
2009-12-22,66.50,66.50,64.75,65.25,800,52.95028
2009-12-21,66.50,66.50,66.50,66.50,1800,53.96465
2009-12-18,67.00,67.00,65.25,65.25,100,52.95028
2009-12-17,66.25,67.00,65.00,67.00,500,54.3704
2009-12-16,65.00,66.75,65.00,66.75,1000,54.16753
2009-12-15,67.75,67.75,65.50,65.50,1400,53.15315
2009-12-14,66.25,67.50,66.25,67.50,2500,54.77615
2009-12-11,66.00,66.75,66.00,66.00,400,53.5589
2009-12-10,67.00,67.00,65.75,66.00,36000,53.5589
2009-12-09,65.75,66.75,65.00,66.50,20200,53.96465
2009-12-08,69.00,69.25,65.00,65.50,27800,53.15315
2009-12-07,69.00,69.00,67.75,68.75,6200,55.79052
2009-12-04,67.50,69.00,67.50,69.00,5900,55.9934
2009-12-03,68.75,68.75,66.75,67.00,5200,54.3704
2009-12-02,68.25,68.50,67.00,68.50,8800,55.58765
2009-12-01,66.50,68.50,66.50,68.50,7500,55.58765
2009-11-30,68.25,68.25,65.00,65.00,9400,52.7474
2009-11-27,69.00,69.00,68.75,68.75,7500,55.79052
2009-11-26,70.00,70.00,69.00,69.50,8300,56.39915
2009-11-25,67.50,70.00,67.25,70.00,5500,56.8049
2009-11-24,65.00,67.00,65.00,67.00,7100,54.3704
2009-11-23,64.00,65.00,64.00,65.00,8700,52.7474
2009-11-20,64.00,65.00,63.75,63.75,22100,51.73303
2009-11-19,65.75,65.75,64.00,64.00,5100,51.93591
2009-11-18,65.00,65.25,64.25,64.50,3100,52.34165
2009-11-17,65.00,65.75,64.75,64.75,7300,52.54453
2009-11-16,66.00,66.00,65.00,65.00,6300,52.7474
