Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,223.80,223.80,223.80,223.80,000,218.60
2013-12-30,224.40,225.90,222.20,223.80,58600,218.60
2013-12-27,224.20,226.40,223.00,224.50,73100,219.29
2013-12-26,223.90,223.90,223.90,223.90,000,218.70
2013-12-25,223.90,223.90,223.90,223.90,000,218.70
2013-12-24,223.90,223.90,223.90,223.90,000,218.70
2013-12-23,219.10,224.50,219.10,223.90,49600,218.70
2013-12-20,221.50,221.50,218.70,220.60,135400,215.48
2013-12-19,218.50,223.90,218.50,221.00,286200,215.87
2013-12-18,219.00,219.50,216.00,217.40,115400,212.35
2013-12-17,218.20,220.00,218.00,219.00,61900,213.91
2013-12-16,221.60,221.60,217.40,219.30,89400,214.21
2013-12-13,215.10,221.60,215.00,221.60,144500,216.45
2013-12-12,217.00,217.10,212.70,215.50,375000,210.50
2013-12-11,215.60,218.90,215.50,217.70,123600,212.64
2013-12-10,220.80,223.00,211.20,217.00,231100,211.96
2013-12-09,229.90,232.70,200.40,221.20,332600,216.06
2013-12-06,233.50,233.50,226.00,228.50,221100,223.19
2013-12-05,235.50,235.70,231.00,233.50,184400,228.08
2013-12-04,240.00,241.50,235.40,236.50,155000,231.01
2013-12-03,246.50,247.00,241.70,242.00,98600,236.38
2013-12-02,246.20,246.90,242.20,246.50,129100,240.78
2013-11-29,241.50,250.80,240.60,246.00,699700,240.29
2013-11-28,241.30,242.50,240.00,242.00,225100,236.38
2013-11-27,240.00,240.80,234.90,240.80,145100,235.21
2013-11-26,240.00,241.70,239.10,240.00,144300,234.43
2013-11-25,242.00,242.00,238.50,241.70,218700,236.09
2013-11-22,239.00,243.60,239.00,242.00,92800,236.38
2013-11-21,234.70,240.10,234.00,238.70,178000,233.16
2013-11-20,230.00,236.50,228.10,236.50,83700,231.01
2013-11-19,232.20,232.20,230.00,230.20,171400,224.85
2013-11-18,234.40,235.30,231.90,232.50,125700,227.10
2013-11-15,235.40,236.10,233.00,235.40,59700,229.93
2013-11-14,238.00,240.90,234.70,235.00,74200,229.54
2013-11-13,238.60,238.60,234.00,235.80,113700,230.32
2013-11-12,240.60,240.60,233.50,238.60,204200,233.06
2013-11-11,236.70,240.10,236.70,240.00,487500,234.43
2013-11-08,227.00,237.00,227.00,236.40,164100,230.91
2013-11-07,218.40,229.00,218.40,228.30,153300,223.00
2013-11-06,218.00,220.00,218.00,218.40,64500,213.33
2013-11-05,217.60,219.30,216.50,218.00,83100,212.94
2013-11-04,220.90,223.60,218.10,218.10,105900,213.03
