Date,Open,High,Low,Close,Volume,Adj Close
2006-12-29,741.00,743.00,735.00,735.00,1130100,325.43
2006-12-28,742.00,743.00,738.00,741.00,971800,328.08
2006-12-27,735.00,742.00,734.00,742.00,1769900,328.52
2006-12-22,733.00,738.00,729.00,734.00,2086000,324.98
2006-12-21,736.00,736.00,728.00,732.00,2586500,324.10
2006-12-20,733.00,738.00,729.00,736.00,5567600,325.87
2006-12-19,774.00,776.00,731.00,731.00,9397900,323.65
2006-12-18,777.00,784.00,771.00,772.00,2519800,341.81
2006-12-15,783.00,788.00,775.00,777.00,1992600,344.02
2006-12-14,785.00,786.00,777.00,781.00,1669800,345.79
2006-12-13,787.00,787.00,778.00,783.00,2007300,346.68
2006-12-12,776.00,788.00,776.00,788.00,2978000,348.89
2006-12-11,779.00,781.00,773.00,776.00,1928400,343.58
2006-12-08,775.00,782.00,772.00,781.00,1244500,345.79
2006-12-07,770.00,781.00,767.00,774.00,3925000,342.69
2006-12-06,781.00,781.00,766.00,770.00,1952300,340.92
2006-12-05,785.00,788.00,780.00,782.00,2083000,346.23
2006-12-04,788.00,790.00,777.00,781.00,2710100,345.79
2006-12-01,793.00,793.00,767.00,772.00,3486600,341.81
2006-11-30,813.00,813.00,792.00,792.00,2700400,350.66
2006-11-29,793.00,819.00,791.00,814.00,3696100,360.40
2006-11-28,777.00,793.00,774.00,791.00,2794800,350.22
2006-11-27,792.00,793.00,777.00,777.00,2473500,344.02
2006-11-24,800.00,804.00,794.00,796.00,2850900,352.43
2006-11-23,807.00,807.00,794.00,801.00,3730500,354.65
2006-11-22,806.00,817.00,803.00,807.00,4070200,357.30
2006-11-21,815.00,815.00,805.00,813.00,2373400,359.96
2006-11-20,814.00,819.00,806.00,816.00,3228900,361.29
2006-11-17,823.00,825.00,812.00,814.00,1704700,360.40
2006-11-16,825.00,829.00,819.00,822.00,1892700,363.94
2006-11-15,827.00,832.00,820.00,823.00,1145500,364.39
2006-11-14,834.00,834.00,819.00,821.00,1657400,363.50
2006-11-13,816.00,832.00,816.00,829.00,3038700,367.04
2006-11-10,821.00,824.00,804.00,815.00,6933900,360.85
2006-11-09,860.00,860.00,830.00,832.00,4876100,368.37
2006-11-08,879.00,880.00,860.00,861.00,1857500,381.21
2006-11-07,880.00,886.00,878.00,880.00,1767800,389.62
2006-11-06,871.00,880.00,870.00,879.00,1002800,389.18
2006-11-03,882.00,882.00,878.00,878.00,963300,388.74
2006-11-02,865.00,885.00,862.00,883.00,2309800,390.95
2006-11-01,855.00,874.00,854.00,868.00,2613200,384.31
2006-10-31,869.00,874.00,854.00,856.00,2671100,379.00
2006-10-30,858.00,873.00,856.00,873.00,4531300,386.53
2006-10-27,897.00,897.00,856.00,864.00,8201600,382.54
2006-10-26,930.00,943.00,888.00,892.00,12577500,394.94
2006-10-25,960.00,968.00,952.00,968.00,1346700,428.59
2006-10-24,960.00,968.00,954.00,956.00,1379400,423.27
2006-10-23,967.00,969.00,961.00,964.00,1095500,426.82
2006-10-20,966.00,969.00,957.00,962.00,1235500,425.93
2006-10-19,943.00,971.00,943.00,967.00,1942800,428.14
2006-10-18,935.00,949.00,935.00,948.00,1200100,419.73
2006-10-17,929.00,936.00,926.00,933.00,1139600,413.09
