Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,37.30,37.30,37.30,37.30,000,34.45267
2012-12-28,37.00,37.50,36.60,37.30,205700,34.45267
2012-12-27,36.80,37.50,36.80,37.00,141400,34.17557
2012-12-26,36.70,36.70,36.70,36.70,000,33.89847
2012-12-25,36.70,36.70,36.70,36.70,000,33.89847
2012-12-24,36.70,36.70,36.70,36.70,000,33.89847
2012-12-21,38.00,38.00,36.70,36.70,257600,33.89847
2012-12-20,38.90,38.90,37.90,38.00,190100,35.09924
2012-12-19,38.60,39.00,38.60,38.80,249600,35.83817
2012-12-18,38.50,39.30,38.40,38.50,285900,35.56107
2012-12-17,37.00,38.10,36.80,38.10,208400,35.1916
2012-12-14,37.00,37.50,36.90,37.00,149100,34.17557
2012-12-13,37.60,37.80,36.70,37.00,239100,34.17557
2012-12-12,37.90,38.10,37.70,37.70,228100,34.82214
2012-12-11,37.00,37.80,37.00,37.60,91600,34.72977
2012-12-10,37.50,37.50,36.80,37.30,156500,34.45267
2012-12-07,37.90,38.00,37.10,37.50,232100,34.6374
2012-12-06,37.00,37.90,36.80,37.80,195200,34.9145
2012-12-05,36.60,36.80,36.60,36.70,73800,33.89847
2012-12-04,36.70,36.80,36.40,36.60,255300,33.8061
2012-12-03,36.20,36.70,35.70,36.60,128100,33.8061
2012-11-30,36.10,36.60,35.50,35.80,642900,33.06717
2012-11-29,35.70,36.40,35.70,36.10,166600,33.34427
2012-11-28,35.10,35.50,34.90,35.50,258700,32.79008
2012-11-27,35.30,35.50,34.80,35.10,95800,32.42061
2012-11-26,35.80,35.90,35.20,35.20,121300,32.51298
2012-11-23,35.60,35.90,35.30,35.90,394800,33.15954
2012-11-22,35.80,35.90,35.50,35.70,53300,32.97481
2012-11-21,35.90,35.90,35.30,35.60,72800,32.88244
2012-11-20,36.00,36.20,35.80,35.80,89400,33.06717
2012-11-19,36.20,36.30,36.10,36.30,105900,33.52901
2012-11-16,36.30,36.50,36.10,36.10,99000,33.34427
2012-11-15,37.00,37.00,36.30,36.30,112900,33.52901
2012-11-14,37.00,37.20,36.70,36.90,58600,34.08321
2012-11-13,36.50,37.00,36.30,36.80,182500,33.99084
2012-11-12,36.40,36.50,36.40,36.50,121700,33.71374
2012-11-09,37.00,37.10,36.00,36.30,249900,33.52901
2012-11-08,37.20,37.40,36.80,36.90,111000,34.08321
2012-11-07,37.50,37.70,37.00,37.20,73400,34.3603
2012-11-06,37.00,37.40,36.50,37.20,87300,34.3603
2012-11-05,37.10,37.40,36.40,36.80,119800,33.99084
2012-11-02,36.70,37.30,36.30,37.10,83100,34.26794
2012-11-01,36.60,36.60,36.20,36.20,55100,33.43664
2012-10-31,36.50,36.70,36.40,36.40,62200,33.62137
2012-10-30,36.50,36.50,36.10,36.30,37400,33.52901
2012-10-29,36.20,36.20,35.80,36.20,85500,33.43664
2012-10-26,36.40,36.40,35.70,36.20,75600,33.43664
2012-10-25,36.10,36.60,35.40,36.60,89400,33.8061
2012-10-24,35.50,36.10,34.90,36.10,122000,33.34427
2012-10-23,36.70,36.70,35.50,35.60,97600,32.88244
2012-10-22,36.80,37.00,36.70,36.70,109000,33.89847
2012-10-19,36.50,37.00,36.50,36.70,72200,33.89847
2012-10-18,36.70,36.90,36.60,36.90,46600,34.08321
2012-10-17,36.30,37.10,36.20,36.70,222900,33.89847
2012-10-16,35.60,36.20,35.50,36.10,83300,33.34427
2012-10-15,35.70,36.00,35.40,35.40,92500,32.69771
2012-10-12,36.00,36.10,35.80,35.80,62100,33.06717
2012-10-11,36.00,36.20,35.90,36.10,114300,33.34427
2012-10-10,36.50,36.50,36.00,36.10,142200,33.34427
2012-10-09,36.60,36.70,36.20,36.50,66700,33.71374
2012-10-08,36.40,36.60,36.00,36.30,52600,33.52901
2012-10-05,36.40,37.00,36.00,36.60,454500,33.8061
2012-10-04,36.00,36.30,35.80,36.30,152100,33.52901
2012-10-03,36.00,36.20,35.60,36.10,78900,33.34427
2012-10-02,35.50,36.00,35.50,36.00,156800,33.25191
2012-10-01,36.20,36.20,35.50,35.50,160900,32.79008
2012-09-28,36.40,36.40,36.00,36.10,173900,33.34427
2012-09-27,35.90,36.20,35.30,36.00,168200,33.25191
2012-09-26,35.60,35.80,35.20,35.70,121900,32.97481
2012-09-25,35.30,35.90,34.60,35.80,116800,33.06717
2012-09-24,36.30,36.30,34.70,35.00,242500,32.32824
