Date,Open,High,Low,Close,Volume,Adj Close
2016-09-27,129.89999,130.00,128.10001,130.00,323600,130.00
2016-09-26,129.30,129.50,128.30,129.10001,326000,129.10001
2016-09-23,129.80,130.00,129.00,129.50,271700,129.50
2016-09-22,128.00,130.10001,127.50,129.89999,1567300,129.89999
2016-09-21,129.60001,129.89999,126.70,126.90,494900,126.90
2016-09-20,128.89999,130.00,128.60001,129.39999,657900,129.39999
2016-09-19,127.20,129.39999,127.20,129.00,641300,129.00
2016-09-16,127.00,127.70,126.50,127.00,1707900,127.00
2016-09-15,127.00,127.50,126.10,127.30,527800,127.30
2016-09-14,126.50,127.20,126.00,126.90,559500,126.90
2016-09-13,127.60,128.39999,126.00,126.40,560900,126.40
2016-09-12,126.80,127.70,124.00,127.40,761400,127.40
2016-09-09,130.50,130.50,127.50,128.10001,817100,128.10001
2016-09-08,132.50,133.30,130.50,130.50,498400,130.50
2016-09-07,133.00,133.50,132.30,132.80,514600,132.80
2016-09-06,130.70,133.39999,130.70,132.80,549500,132.80
2016-09-05,130.50,131.10001,129.50,130.60001,284800,130.60001
2016-09-02,129.80,130.50,129.10001,130.20,411100,130.20
2016-09-01,129.00,130.39999,128.30,129.10001,527100,129.10001
2016-08-31,129.50,130.10001,128.89999,129.39999,586300,129.39999
2016-08-30,131.30,132.00,130.20,130.30,310500,130.30
2016-08-29,130.20,130.89999,129.50,130.80,217600,130.80
2016-08-26,130.00,130.60001,129.00,130.60001,397600,130.60001
2016-08-25,130.10001,130.39999,129.10001,130.30,362000,130.30
2016-08-24,130.80,130.89999,129.39999,130.10001,499900,130.10001
2016-08-23,129.20,130.80,128.70,130.80,465700,130.80
2016-08-22,128.80,129.20,127.60,128.80,462500,128.80
2016-08-19,129.10001,129.39999,128.10001,128.80,316700,128.80
2016-08-18,128.00,129.39999,127.50,129.10001,442400,129.10001
2016-08-17,129.50,129.80,127.90,127.90,398800,127.90
2016-08-16,131.30,131.30,129.39999,129.50,414100,129.50
2016-08-15,131.89999,132.39999,131.00,131.30,279100,131.30
2016-08-12,131.00,131.50,130.20,131.50,328600,131.50
2016-08-11,130.50,130.80,130.00,130.70,322100,130.70
2016-08-10,130.50,130.70,128.50,130.39999,416200,130.39999
2016-08-09,129.80,130.80,129.50,130.80,335900,130.80
2016-08-08,130.39999,130.50,128.60001,129.70,344300,129.70
2016-08-05,129.50,130.10001,128.80,130.10001,357800,130.10001
2016-08-04,127.30,129.20,126.10,129.20,401900,129.20
2016-08-03,129.30,130.39999,127.40,127.50,417000,127.50
2016-08-02,130.30,130.30,128.50,129.39999,446100,129.39999
2016-08-01,129.50,130.80,129.39999,130.30,317200,130.30
2016-07-29,128.50,129.39999,128.30,129.39999,315100,129.39999
2016-07-28,127.20,128.70,126.80,128.50,480000,128.50
2016-07-27,127.40,127.70,126.70,127.30,265400,127.30
2016-07-26,126.80,127.80,126.50,127.20,306000,127.20
2016-07-25,125.90,127.20,125.90,126.80,378200,126.80
2016-07-22,125.20,126.00,124.80,125.80,362700,125.80
2016-07-21,126.00,126.30,123.90,125.20,697400,125.20
2016-07-20,124.70,125.90,124.20,125.80,567500,125.80
2016-07-19,123.90,124.90,123.80,124.60,545700,124.60
2016-07-18,124.60,124.60,122.50,123.90,736700,123.90
2016-07-15,125.90,126.00,123.60,124.60,621900,124.60
2016-07-14,125.80,126.40,125.00,125.50,399600,125.50
2016-07-13,125.00,125.90,124.10,125.70,366100,125.70
2016-07-12,126.20,127.30,124.20,124.40,581400,124.40
2016-07-11,124.40,126.20,124.00,126.10,822300,126.10
2016-07-08,120.90,124.00,120.70,123.90,920800,123.90
2016-07-07,121.50,122.00,120.20,121.30,733900,121.30
2016-07-06,123.80,124.00,120.40,121.60,1223900,121.60
2016-07-05,123.00,124.90,121.00,124.90,1952100,124.90
2016-07-04,122.40,123.50,122.10,123.00,746100,123.00
2016-07-01,120.70,122.60,120.40,122.50,845400,122.50
2016-06-30,118.00,120.80,117.50,119.90,1457400,119.90
2016-06-29,116.50,118.80,116.10,117.90,953400,117.90
2016-06-28,115.40,117.00,115.10,115.20,734700,115.20
2016-06-27,116.70,117.40,113.70,113.90,2345300,113.90
2016-06-24,118.00,118.00,118.00,118.00,000,118.00
2016-06-23,116.50,118.20,115.90,118.00,954300,118.00
2016-06-22,116.00,116.90,115.60,116.50,900300,116.50
2016-06-21,115.30,116.20,114.20,115.50,704700,115.50
2016-06-20,113.90,115.10,113.50,114.80,629300,114.80
2016-06-17,111.80,113.10,111.70,112.30,1162500,112.30
2016-06-16,112.90,112.90,111.00,111.40,1244800,111.40
2016-06-15,113.40,114.00,113.00,113.10,629200,113.10
2016-06-14,116.10,116.30,112.70,113.00,857300,113.00
2016-06-13,117.30,117.70,116.00,116.60,969500,116.60
2016-06-10,120.50,120.70,118.00,118.20,899500,118.20
2016-06-09,120.70,120.70,119.00,120.50,685100,120.50
2016-06-08,118.80,120.30,118.00,120.10,960000,120.10
2016-06-07,114.50,118.30,112.40,118.20,2784500,118.20
2016-06-06,114.70,114.70,114.70,114.70,000,114.70
2016-06-03,113.20,116.60,113.10,114.70,1129800,114.70
2016-06-02,112.40,113.30,110.90,113.30,2174400,113.30
2016-06-01,113.40,113.60,112.00,113.00,2247900,113.00
2016-05-31,113.80,114.00,112.40,113.70,2091800,113.70
2016-05-30,116.20,116.50,113.80,114.20,1460500,114.20
2016-05-27,115.00,116.40,114.30,116.00,1366000,116.00
2016-05-26,113.80,115.30,113.70,115.00,1062000,115.00
2016-05-25,114.00,114.60,112.20,113.50,447200,113.50
