Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,54.30,54.30,54.30,54.30,000,54.30
2015-12-30,55.00,55.50,54.30,54.30,76200,54.30
2015-12-29,54.25,55.00,54.25,54.90,63500,54.90
2015-12-28,54.50,54.50,53.70,54.10,77300,54.10
2015-12-25,54.60,54.60,54.60,54.60,000,54.60
2015-12-24,54.60,54.60,54.60,54.60,000,54.60
2015-12-23,55.00,55.00,54.50,54.60,336800,54.60
2015-12-22,54.75,55.00,54.55,55.00,845900,55.00
2015-12-21,54.50,55.10,53.50,54.55,329500,54.55
2015-12-18,53.95,55.60,53.50,55.10,322600,55.10
2015-12-17,54.00,54.85,53.60,53.95,431000,53.95
2015-12-16,52.30,53.95,52.00,53.45,256000,53.45
2015-12-15,50.25,52.25,50.25,52.20,345800,52.20
2015-12-14,52.10,52.20,51.20,51.50,591600,51.50
2015-12-11,53.00,53.00,52.00,52.10,2649300,52.10
2015-12-10,53.00,54.00,53.00,53.35,478000,53.35
2015-12-09,53.50,54.00,53.30,53.45,176900,53.45
2015-12-08,54.80,54.80,53.55,54.10,416100,54.10
2015-12-07,55.20,55.25,53.85,54.70,342700,54.70
2015-12-04,55.75,56.00,54.50,55.15,1431600,55.15
2015-12-03,56.50,57.20,55.65,56.45,537300,56.45
2015-12-02,55.50,57.20,55.40,57.20,1499300,57.20
2015-12-01,54.40,55.40,54.20,55.40,934300,55.40
2015-11-30,54.50,54.50,53.60,54.30,1683100,54.30
2015-11-27,54.85,55.20,54.00,54.75,867100,54.75
2015-11-26,55.45,55.45,53.50,55.00,1388900,55.00
2015-11-25,51.00,55.40,51.00,55.40,19685000,55.40
