Date,Open,High,Low,Close,Volume,Adj Close
2007-12-31,107.75,107.75,107.75,107.75,000,20.02578
2007-12-28,106.00,108.00,105.75,107.75,2060200,20.02578
2007-12-27,106.00,107.25,105.00,107.25,1701800,19.93285
2007-12-26,107.00,107.00,107.00,107.00,000,19.88639
2007-12-25,107.00,107.00,107.00,107.00,000,19.88639
2007-12-24,107.00,107.00,107.00,107.00,000,19.88639
2007-12-21,107.00,108.00,105.25,107.00,1223000,19.88639
2007-12-20,106.50,109.00,105.00,105.75,3078900,19.65407
2007-12-19,104.00,107.75,103.50,106.25,2901800,19.747
2007-12-18,103.50,105.25,103.25,104.50,2267600,19.42175
2007-12-17,104.75,106.50,102.75,103.75,2530500,19.28236
2007-12-14,108.00,108.75,105.25,106.50,2995000,19.79346
2007-12-13,110.00,110.00,106.00,108.75,3880100,20.21163
2007-12-12,113.50,118.00,109.00,110.00,6060600,20.44395
2007-12-11,113.75,114.50,113.00,113.75,5764400,21.1409
2007-12-10,110.25,113.25,110.25,112.00,1329300,20.81566
2007-12-07,110.75,113.00,109.25,112.00,2174800,20.81566
2007-12-06,109.25,109.50,108.00,109.00,2830400,20.2581
2007-12-05,106.75,109.00,106.75,108.50,2903200,20.16517
2007-12-04,109.75,110.25,107.00,107.00,2535100,19.88639
2007-12-03,107.50,111.75,107.50,108.50,2525200,20.16517
2007-11-30,110.00,113.75,107.00,108.50,7124600,20.16517
2007-11-29,106.25,110.00,105.75,109.00,3130000,20.2581
2007-11-28,106.00,107.00,102.50,105.50,4148600,19.60761
2007-11-27,110.00,110.00,104.00,105.50,3409400,19.60761
2007-11-26,105.75,113.25,105.50,109.25,1987200,20.30456
2007-11-23,107.25,108.75,103.00,106.00,3214700,19.70053
2007-11-22,107.25,110.00,105.00,107.25,1784000,19.93285
2007-11-21,110.50,114.00,107.75,109.00,2810100,20.2581
2007-11-20,115.50,116.50,109.00,114.00,2329800,21.18737
2007-11-19,118.50,119.50,115.25,115.75,2261600,21.51261
2007-11-16,116.00,119.25,115.75,119.25,1403200,22.1631
2007-11-15,120.25,120.50,116.25,117.25,1647300,21.79139
2007-11-14,116.75,120.75,116.75,120.50,1754800,22.39542
2007-11-13,115.00,116.25,113.25,116.25,1499100,21.60554
2007-11-12,116.75,116.75,115.25,115.50,1629000,21.46615
2007-11-09,122.50,122.50,117.25,117.25,1219400,21.79139
2007-11-08,120.00,121.75,119.25,120.75,1465800,22.44188
2007-11-07,125.50,125.75,120.50,121.75,2898600,22.62774
2007-11-06,120.50,125.50,120.00,125.25,1430500,23.27823
2007-11-05,121.50,121.50,118.00,119.50,2403900,22.20956
2007-11-02,123.50,125.50,118.75,118.75,1803500,22.07017
2007-11-01,123.50,124.00,120.75,123.50,1441800,22.95298
2007-10-31,120.50,122.75,120.50,122.50,1353100,22.76713
2007-10-30,118.25,123.75,118.25,120.00,3616800,22.30249
2007-10-29,118.75,121.50,118.25,119.50,3599700,22.20956
2007-10-26,119.50,119.75,117.50,119.50,1327100,22.20956
2007-10-25,117.00,119.50,116.50,119.50,1603900,22.20956
2007-10-24,116.25,118.00,114.50,116.00,1978300,21.55907
2007-10-23,114.00,116.25,114.00,115.75,1272300,21.51261
2007-10-22,110.00,114.75,110.00,114.00,1721800,21.18737
2007-10-19,117.00,117.00,111.75,112.50,1970900,20.90859
2007-10-18,116.75,119.00,115.00,115.00,1507500,21.37322
2007-10-17,116.50,118.25,116.00,117.50,1314500,21.83786
2007-10-16,115.50,117.50,115.25,115.50,894000,21.46615
2007-10-15,118.25,118.50,117.00,117.50,629400,21.83786
2007-10-12,119.00,119.00,116.25,118.25,1413600,21.97725
2007-10-11,118.25,120.75,118.25,119.00,2546800,22.11664
2007-10-10,118.00,119.75,117.75,119.50,2560900,22.20956
2007-10-09,119.00,119.75,116.00,119.25,2268100,22.1631
2007-10-08,120.00,120.00,117.50,119.25,3492500,22.1631
2007-10-05,118.00,121.50,117.50,119.50,5292300,22.20956
2007-10-04,114.00,116.25,113.75,116.00,4897400,21.55907
2007-10-03,110.75,115.25,110.00,113.25,3824700,21.04798
2007-10-02,108.25,112.50,107.50,110.00,2982900,20.44395
2007-10-01,105.50,108.75,104.50,107.75,2896800,20.02578
2007-09-28,107.00,108.00,103.50,105.00,4830700,19.51468
2007-09-27,109.00,109.00,105.00,107.50,2496300,19.97931
2007-09-26,104.50,109.50,104.50,107.25,4948600,19.93285
2007-09-25,108.50,108.75,100.25,104.50,11223600,19.42175
2007-09-24,108.00,108.50,106.75,106.75,1197900,19.83992
2007-09-21,108.00,109.00,107.50,108.00,1046200,20.07224
2007-09-20,109.75,110.25,108.00,108.00,1240200,20.07224
2007-09-19,110.50,111.00,109.00,109.50,4344300,20.35102
2007-09-18,110.50,110.75,108.25,108.50,2421000,20.16517
2007-09-17,109.75,110.25,107.50,109.75,2103800,20.39749
2007-09-14,110.00,110.50,108.00,108.00,1856600,20.07224
2007-09-13,108.25,111.50,107.00,110.00,3300200,20.44395
2007-09-12,110.50,115.75,108.25,109.00,4227600,20.2581
2007-09-11,100.00,112.75,99.25,110.00,12238400,20.44395
2007-09-10,101.00,102.00,98.50,99.00,2530700,18.39956
2007-09-07,102.25,102.25,100.00,100.75,2856400,18.7248
2007-09-06,101.00,102.75,99.25,101.50,6121500,18.86419
2007-09-05,105.75,106.00,99.50,100.00,4536500,18.58541
