Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,109.00,109.70,107.80,109.70,1444300,91.1268
2011-12-29,108.50,109.00,107.70,108.60,1047000,90.2131
2011-12-28,110.10,110.80,107.60,108.50,2070900,90.13
2011-12-27,112.70,113.00,110.90,111.30,744700,92.4559
2011-12-26,110.30,110.30,110.30,110.30,000,91.6252
2011-12-23,111.20,112.30,110.90,111.70,845300,92.7882
2011-12-22,108.00,110.80,107.40,110.30,1682700,91.6252
2011-12-21,108.00,109.70,106.50,107.10,2129900,88.967
2011-12-20,103.70,107.50,103.00,107.50,2129500,89.2993
2011-12-19,103.80,106.50,103.50,104.00,2541900,86.3919
2011-12-16,105.00,106.80,103.40,104.50,2732300,86.8072
2011-12-15,107.30,108.40,105.90,107.50,2131200,89.2993
2011-12-14,109.40,111.00,107.00,107.30,1489000,89.1332
2011-12-13,109.50,111.70,108.00,110.10,2402400,91.4591
2011-12-12,111.00,111.60,109.20,109.40,1185600,90.8776
2011-12-09,110.20,113.60,109.80,111.80,2108700,92.8713
2011-12-08,115.00,115.20,110.50,111.10,1549500,92.2898
2011-12-07,116.00,116.50,112.00,114.30,1666800,94.948
2011-12-06,117.10,117.90,114.20,114.80,1413300,95.3633
2011-12-05,119.00,119.60,115.70,117.60,1539700,97.6893
2011-12-02,117.20,119.80,117.20,117.80,2014900,97.8554
2011-12-01,116.50,118.10,114.40,116.30,2416900,96.6094
2011-11-30,108.40,116.90,107.30,116.90,3620000,97.1078
2011-11-29,108.90,109.70,107.30,109.30,2458300,90.7945
2011-11-28,107.30,109.50,107.00,108.80,1250300,90.3792
2011-11-25,102.60,106.80,101.70,106.40,2592500,88.3855
2011-11-24,101.40,104.60,101.30,102.50,2150700,85.1458
2011-11-23,101.40,105.20,100.60,100.80,2789900,83.7337
2011-11-22,102.00,103.50,100.80,102.20,1864400,84.8966
2011-11-21,103.60,105.70,102.00,102.00,1961800,84.7305
2011-11-18,107.20,108.40,105.60,106.60,1810500,88.5517
2011-11-17,109.70,110.70,107.20,108.00,2927700,89.7146
2011-11-16,113.00,113.90,110.10,110.70,3691600,91.9575
2011-11-15,117.50,117.50,109.50,113.40,8194900,94.2004
2011-11-14,122.90,124.00,120.50,121.00,2265300,100.5136
2011-11-11,117.30,122.40,116.30,121.80,2142400,101.1782
2011-11-10,115.00,118.80,114.00,116.20,1805200,96.5263
2011-11-09,119.90,120.20,114.30,116.70,2123800,96.9416
2011-11-08,117.30,121.00,117.30,118.70,1263500,98.603
2011-11-07,120.80,120.90,117.00,117.50,2147800,97.6062
2011-11-04,123.90,124.00,120.90,122.10,1072400,101.4274
2011-11-03,117.60,123.90,117.30,122.60,2656900,101.8427
2011-11-02,114.70,120.00,114.00,119.90,3638700,99.5999
2011-11-01,118.90,119.40,112.40,113.20,3249300,94.0342
2011-10-31,124.80,126.30,121.70,121.80,3031700,101.1782
2011-10-28,121.30,129.10,120.30,126.50,8806900,105.0824
2011-10-27,119.20,120.70,116.90,118.50,3959900,98.4369
2011-10-26,113.20,119.30,112.20,115.70,2830400,96.111
2011-10-25,115.50,116.80,112.00,113.50,2358700,94.2834
2011-10-24,111.00,116.40,110.90,115.50,3229600,95.9448
2011-10-21,107.40,110.20,106.50,110.10,1668200,91.4591
2011-10-20,105.10,108.10,104.30,106.40,3000700,88.3855
2011-10-19,108.10,109.60,105.50,106.40,2562000,88.3855
2011-10-18,105.40,107.80,104.20,106.80,3089500,88.7178
2011-10-17,108.40,111.00,106.50,107.00,2842100,88.8839
2011-10-14,105.50,107.60,104.70,107.20,2589400,89.0501
2011-10-13,108.00,108.40,104.10,104.90,2920400,87.1395
2011-10-12,106.80,110.10,105.10,108.20,3843700,89.8808
2011-10-11,105.70,108.60,104.10,107.90,1874600,89.6316
2011-10-10,103.90,106.70,102.80,106.40,1991600,88.3855
2011-10-07,103.70,105.60,102.00,103.00,2926900,85.5612
2011-10-06,104.00,105.40,100.30,103.20,3273400,85.7273
2011-10-05,101.20,103.40,100.20,103.00,1945500,85.5612
2011-10-04,102.00,102.60,97.50,99.60,3379300,82.7368
2011-10-03,99.85,105.40,98.60,103.90,3105100,86.3088
2011-09-30,104.50,104.90,100.20,101.70,2351100,84.4813
2011-09-29,103.70,106.30,100.60,105.30,2292500,87.4718
2011-09-28,106.40,107.00,102.90,104.70,2764500,86.9734
2011-09-27,104.40,107.50,103.30,107.30,3217600,89.1332
2011-09-26,99.40,103.60,98.40,101.90,4597900,84.6474
2011-09-23,97.00,101.70,95.25,100.70,5636800,83.6506
2011-09-22,98.00,99.20,94.80,95.90,3330400,79.6633
2011-09-21,101.60,102.00,98.65,100.00,2454400,83.0691
2011-09-20,99.00,101.80,99.00,101.70,1522500,84.4813
2011-09-19,102.20,102.70,99.35,99.85,2407900,82.9445
2011-09-16,105.50,106.30,103.80,103.80,2631400,86.2257
2011-09-15,101.00,105.50,100.80,104.70,2882400,86.9734
2011-09-14,96.15,100.80,96.15,100.00,3463300,83.0691
2011-09-13,96.85,97.75,93.15,97.30,2429700,80.8262
2011-09-12,94.85,96.30,93.60,95.30,3413200,79.1649
2011-09-09,101.00,101.40,96.35,96.90,2307500,80.494
2011-09-08,102.30,103.70,99.85,101.70,1939900,84.4813
2011-09-07,99.00,102.60,98.10,102.10,2804800,84.8136
2011-09-06,98.40,100.30,95.50,96.60,2605300,80.2448
2011-09-05,100.90,102.00,98.00,98.30,2264300,81.6569
2011-09-02,104.90,105.40,102.10,103.20,2565700,85.7273
2011-09-01,107.40,107.50,104.40,105.70,3152200,87.804
2011-08-31,102.70,107.50,102.50,106.50,3637500,88.4686
2011-08-30,104.10,105.00,101.10,102.50,2701200,85.1458
2011-08-29,102.30,104.20,101.10,103.30,1307100,85.8104
2011-08-26,100.90,101.30,97.80,100.40,4022900,83.4014
2011-08-25,105.60,106.80,100.50,101.10,3024700,83.9829
2011-08-24,104.00,106.50,101.40,104.00,3796700,86.3919
2011-08-23,104.60,106.50,99.95,102.60,3154900,85.2289
2011-08-22,100.30,105.20,100.00,102.60,3166500,85.2289
2011-08-19,102.00,103.90,97.15,101.00,4341700,83.8998
2011-08-18,110.50,110.70,101.60,102.50,4284100,85.1458
2011-08-17,112.00,112.90,109.00,112.50,3359700,93.4527
2011-08-16,116.30,116.30,112.10,114.40,2371700,95.0311
2011-08-15,118.20,118.20,113.90,116.70,1761400,96.9416
2011-08-12,113.60,117.20,110.90,116.50,2712600,96.7755
