Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,82.30,82.30,82.30,82.30,000,78.6466
2015-12-30,82.75,83.20,82.00,82.30,6706600,78.6466
2015-12-29,81.70,82.70,81.65,82.60,41376500,78.9333
2015-12-28,81.70,82.50,81.40,81.50,4180400,77.8821
2015-12-25,82.20,82.20,82.20,82.20,000,78.551
2015-12-24,82.20,82.20,82.20,82.20,000,78.551
2015-12-23,80.50,82.25,80.50,82.20,6638700,78.551
2015-12-22,81.25,82.05,80.05,80.15,9036300,76.5921
2015-12-21,82.00,85.00,80.95,80.95,14389400,77.3565
2015-12-18,78.20,79.35,78.05,78.65,8015700,75.1586
2015-12-17,79.25,79.90,78.70,78.90,7835400,75.3975
2015-12-16,77.05,79.25,76.85,78.10,8072400,74.6331
2015-12-15,75.70,76.80,75.30,76.65,8055700,73.2474
2015-12-14,76.80,77.40,75.30,75.35,9570200,72.0051
2015-12-11,77.70,77.75,76.30,76.50,10713700,73.1041
2015-12-10,78.10,78.90,77.55,77.80,7060500,74.3464
2015-12-09,79.80,80.05,77.70,78.30,10652300,74.8242
2015-12-08,82.40,82.50,79.90,79.90,8895600,76.3532
2015-12-07,82.10,83.00,82.05,82.60,6454100,78.9333
2015-12-04,82.55,82.80,81.05,81.60,8146300,77.9777
2015-12-03,83.35,85.20,82.85,82.85,11860000,79.1722
2015-12-02,82.95,84.00,82.55,83.55,8239000,79.8411
2015-12-01,84.60,84.75,82.35,82.95,10380700,79.2678
2015-11-30,84.00,85.20,83.55,84.95,10878200,81.179
2015-11-27,84.00,84.80,83.75,83.95,4708300,80.2234
2015-11-26,82.85,84.65,82.50,84.40,6299000,80.6534
2015-11-25,82.30,82.85,82.00,82.80,6576100,79.1244
2015-11-24,82.80,82.95,82.20,82.45,38827600,78.79
2015-11-23,82.50,83.10,82.25,82.85,4827700,79.1722
2015-11-20,82.35,83.10,81.75,82.95,7143500,79.2678
2015-11-19,83.15,83.25,81.35,81.90,8184600,78.2644
2015-11-18,83.50,83.90,82.55,82.85,6390000,79.1722
2015-11-17,83.00,83.70,82.80,83.50,8781100,79.7933
2015-11-16,80.00,82.95,79.50,82.10,17132000,78.4555
2015-11-13,80.10,80.30,78.55,79.40,8523400,75.8753
2015-11-12,81.95,82.00,80.10,80.45,7502500,76.8787
2015-11-11,81.75,82.30,81.30,81.90,8911400,78.2644
2015-11-10,86.90,86.90,81.40,81.55,17118500,77.9299
2015-11-09,86.50,88.40,85.90,86.90,11576400,83.0424
2015-11-06,85.65,86.10,84.65,85.30,5968600,81.5134
2015-11-05,86.35,86.40,85.20,85.60,8031100,81.8001
2015-11-04,85.00,86.90,84.95,86.25,9649300,82.4213
2015-11-03,83.20,84.70,83.15,84.55,6521600,80.7967
2015-11-02,81.00,84.15,81.00,82.75,8245700,79.0766
2015-10-30,83.05,84.40,83.05,83.35,4402500,79.65
2015-10-29,81.60,83.50,81.10,83.00,9404000,79.3155
2015-10-28,81.10,81.40,80.45,81.25,5603500,77.6432
2015-10-27,83.25,83.25,80.80,80.90,9724900,77.3088
2015-10-26,83.45,84.20,81.40,83.40,9705300,79.6978
2015-10-23,84.80,84.95,81.00,83.00,23554100,79.3155
2015-10-22,86.15,88.30,85.45,88.30,6943200,84.3803
2015-10-21,85.95,86.95,85.40,86.55,4269200,82.708
2015-10-20,86.35,86.70,84.90,85.85,8471400,82.039
2015-10-19,86.80,87.25,85.80,86.25,4936700,82.4213
2015-10-16,86.90,87.05,85.95,86.75,6524900,82.8991
2015-10-15,84.50,86.40,84.35,86.30,6764600,82.4691
2015-10-14,84.25,84.70,83.55,83.60,4424600,79.8889
2015-10-13,86.60,86.65,84.65,84.75,5702200,80.9879
2015-10-12,86.50,87.30,85.80,86.50,4201700,82.6602
2015-10-09,87.10,87.15,85.75,86.50,6410600,82.6602
2015-10-08,84.85,86.40,84.85,86.40,8321100,82.5646
2015-10-07,85.30,86.25,84.80,85.05,6287000,81.2745
2015-10-06,84.65,85.75,84.15,84.95,5616500,81.179
2015-10-05,83.10,84.70,82.85,84.65,6339600,80.8923
2015-10-02,82.00,83.25,80.55,81.85,7430300,78.2166
2015-10-01,82.80,83.45,80.85,81.30,7592700,77.691
2015-09-30,80.60,82.60,80.10,82.20,8507500,78.551
2015-09-29,77.65,79.60,77.50,79.25,7003200,75.732
2015-09-28,80.65,80.80,78.80,78.80,5638100,75.302
2015-09-25,79.20,81.35,79.20,81.10,8767500,77.4999
2015-09-24,78.90,79.70,77.85,77.85,8445100,74.3942
2015-09-23,78.20,79.35,77.60,78.90,5224200,75.3975
2015-09-22,78.95,79.40,77.70,78.40,36064500,74.9197
2015-09-21,78.00,79.05,77.55,78.75,6287900,75.2542
2015-09-18,80.30,80.40,78.25,78.30,11857800,74.8242
2015-09-17,80.65,81.30,80.40,80.90,5990500,77.3088
2015-09-16,80.95,81.45,80.05,80.40,6286200,76.831
2015-09-15,80.90,81.20,79.60,80.25,6506500,76.6876
2015-09-14,81.60,81.70,80.55,80.90,6845600,77.3088
2015-09-11,82.35,82.45,81.55,81.75,4347700,78.121
2015-09-10,82.10,82.95,81.45,82.15,6983600,78.5033
2015-09-09,83.85,84.80,82.90,83.05,7179600,79.3633
2015-09-08,82.15,82.85,81.80,82.45,4923200,78.79
2015-09-07,81.50,81.95,81.05,81.50,3099500,77.8821
2015-09-04,82.70,82.90,80.65,80.75,7558400,77.1654
2015-09-03,81.55,84.10,81.00,83.45,7043800,79.7456
2015-09-02,81.40,82.00,80.05,80.75,4971300,77.1654
2015-09-01,81.65,81.80,80.45,80.95,8252500,77.3565
2015-08-31,83.40,83.45,81.55,82.55,5978400,78.8855
2015-08-28,83.90,83.95,82.40,83.55,4556700,79.8411
2015-08-27,83.15,84.25,82.60,83.70,10377300,79.9845
2015-08-26,80.90,83.60,79.80,81.05,12065100,77.4521
2015-08-25,80.05,82.60,79.65,81.80,13667800,78.1688
2015-08-24,80.35,81.50,77.45,78.90,17300300,75.3975
2015-08-21,83.60,84.30,83.10,83.20,10866300,79.5067
2015-08-20,86.20,86.75,84.15,84.55,7714600,80.7967
2015-08-19,89.20,89.45,86.45,86.50,10787000,82.6602
2015-08-18,88.35,89.85,87.70,89.50,6323000,85.527
2015-08-17,88.45,88.85,87.75,88.55,5304100,84.6192
2015-08-14,88.30,88.80,87.70,88.05,5834900,84.1414
2015-08-13,88.30,88.95,87.85,88.50,6201300,84.5714
2015-08-12,88.85,88.85,86.35,86.55,12137700,82.708
2015-08-11,91.20,91.50,89.00,89.00,8335800,85.0492
