Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,76.80,76.80,76.80,76.80,000,70.339
2013-12-30,77.50,77.75,75.00,76.80,164800,70.339
2013-12-27,78.00,78.05,76.50,77.00,203100,70.523
2013-12-26,77.95,77.95,77.95,77.95,000,71.393
2013-12-25,77.95,77.95,77.95,77.95,000,71.393
2013-12-24,77.95,77.95,77.95,77.95,000,71.393
2013-12-23,77.50,78.05,77.50,77.95,137000,71.393
2013-12-20,76.50,76.90,76.10,76.90,302600,70.431
2013-12-19,75.15,76.70,75.15,76.65,236500,70.202
2013-12-18,73.50,75.05,73.50,75.05,140100,68.737
2013-12-17,73.30,74.40,73.10,73.75,176400,67.546
2013-12-16,73.05,73.80,73.05,73.35,88300,67.18
2013-12-13,73.65,74.20,73.25,73.25,116500,67.088
2013-12-12,74.00,74.45,73.30,73.65,128400,67.454
2013-12-11,75.00,75.40,74.25,74.40,138300,68.141
2013-12-10,74.55,75.15,74.20,75.00,286100,68.691
2013-12-09,74.45,74.80,74.10,74.50,94300,68.233
2013-12-06,74.90,75.00,74.05,74.60,129200,68.324
2013-12-05,74.20,75.00,74.10,74.25,100700,68.004
2013-12-04,74.30,74.70,74.20,74.20,76500,67.958
2013-12-03,74.65,75.20,73.95,74.30,172100,68.05
2013-12-02,75.55,75.55,74.55,74.75,83200,68.462
2013-11-29,75.70,75.75,74.90,75.50,163600,69.149
2013-11-28,75.50,75.75,74.65,75.70,77400,69.332
2013-11-27,74.55,75.65,74.50,75.55,133000,69.194
2013-11-26,74.30,74.75,74.05,74.60,158200,68.324
2013-11-25,74.45,74.45,74.10,74.35,88400,68.095
2013-11-22,74.60,74.65,74.20,74.25,97300,68.004
2013-11-21,74.80,74.95,74.25,74.55,126200,68.279
2013-11-20,74.85,75.25,74.20,74.85,249700,68.553
2013-11-19,74.50,75.25,74.15,75.20,140300,68.874
2013-11-18,74.40,74.95,73.90,74.90,209600,68.599
2013-11-15,74.40,74.60,74.10,74.40,114400,68.141
2013-11-14,74.70,74.70,74.10,74.40,100700,68.141
2013-11-13,74.20,74.50,74.00,74.30,236300,68.05
2013-11-12,74.70,75.00,74.10,74.30,242200,68.05
2013-11-11,74.40,75.10,74.40,74.70,682500,68.416
2013-11-08,73.40,75.00,73.40,74.40,353500,68.141
2013-11-07,73.70,73.95,72.95,73.95,683800,67.729
2013-11-06,73.90,74.35,73.70,73.90,66000,67.683
2013-11-05,73.95,73.95,73.50,73.85,281300,67.637
2013-11-04,74.70,75.40,73.65,74.00,135800,67.775
2013-11-01,74.70,75.85,74.15,75.30,42100,68.966
2013-10-31,74.25,74.80,74.00,74.60,107000,68.324
2013-10-30,75.25,75.75,74.50,74.55,65700,68.279
2013-10-29,74.55,75.50,74.55,75.30,117700,68.966
2013-10-28,74.90,74.95,74.70,74.90,117500,68.599
2013-10-25,73.50,74.90,73.50,74.55,170100,68.279
2013-10-24,74.00,74.10,73.50,74.10,71900,67.866
2013-10-23,74.50,74.60,73.30,73.80,136100,67.592
2013-10-22,74.45,74.50,73.70,74.10,258900,67.866
2013-10-21,74.10,74.55,73.70,74.55,189500,68.279
2013-10-18,72.50,74.20,72.50,74.20,178300,67.958
2013-10-17,72.90,72.90,72.40,72.55,270800,66.447
2013-10-16,71.95,73.70,70.65,73.70,161400,67.50
2013-10-15,72.40,72.65,72.20,72.35,92100,66.264
2013-10-14,71.95,72.30,71.85,72.30,82700,66.218
2013-10-11,72.40,72.40,71.95,72.30,131700,66.218
2013-10-10,71.30,72.00,71.05,72.00,96200,65.943
2013-10-09,70.70,71.15,70.65,71.15,154700,65.165
2013-10-08,71.20,71.30,70.55,70.90,240100,64.936
2013-10-07,71.10,71.25,70.50,71.10,130500,65.119
2013-10-04,71.40,71.70,71.10,71.40,377600,65.394
2013-10-03,72.10,72.35,71.00,71.40,135000,65.394
2013-10-02,72.00,72.35,71.60,72.10,103000,66.035
2013-10-01,70.70,72.35,70.65,72.35,215700,66.264
2013-09-30,71.25,71.55,70.70,71.00,252300,65.027
2013-09-27,71.80,72.05,71.30,71.85,94300,65.806
2013-09-26,71.65,72.45,71.15,71.95,210900,65.897
2013-09-25,71.15,71.70,70.55,71.70,292300,65.668
2013-09-24,71.20,71.85,71.10,71.15,104600,65.165
2013-09-23,72.00,72.15,71.10,71.40,471700,65.394
2013-09-20,71.90,72.90,71.70,71.90,331700,65.852
2013-09-19,70.35,72.50,70.35,71.70,287400,65.668
2013-09-18,69.95,70.15,68.95,69.55,142900,63.699
2013-09-17,70.25,70.25,69.70,69.95,321800,64.066
2013-09-16,70.40,70.75,70.25,70.25,145600,64.34
2013-09-13,69.95,70.25,69.80,70.05,77400,64.157
2013-09-12,69.75,70.75,69.75,69.95,91000,64.066
2013-09-11,69.10,70.00,69.10,69.75,107900,63.882
2013-09-10,69.55,69.95,69.20,69.25,292000,63.424
2013-09-09,69.75,69.95,69.00,69.00,91700,63.195
2013-09-06,69.35,70.00,69.15,69.70,95000,63.837
2013-09-05,69.55,70.00,69.55,69.60,122200,63.745
2013-09-04,69.15,69.60,68.90,69.60,178100,63.745
2013-09-03,70.40,70.50,69.15,69.15,328700,63.333
2013-09-02,69.10,70.40,69.10,70.40,123900,64.478
2013-08-30,69.05,69.60,68.70,69.00,123600,63.195
2013-08-29,69.10,69.40,68.75,69.00,158600,63.195
2013-08-28,69.25,69.85,68.55,69.00,121900,63.195
2013-08-27,69.90,70.40,69.45,69.50,355800,63.653
2013-08-26,70.90,70.90,69.90,70.25,205200,64.34
2013-08-23,70.60,71.00,70.20,70.60,402000,64.661
2013-08-22,71.45,71.65,70.60,70.60,280700,64.661
2013-08-21,71.65,72.05,71.15,71.20,97400,65.21
2013-08-20,71.35,71.85,71.05,71.85,77600,65.806
2013-08-19,71.05,72.10,71.00,71.40,214500,65.394
2013-08-16,71.10,71.75,70.95,71.20,93400,65.21
2013-08-15,71.70,71.70,70.85,71.60,169300,65.577
2013-08-14,72.00,72.00,71.40,71.50,287600,65.485
2013-08-13,72.40,72.50,71.40,71.70,224500,65.668
2013-08-12,72.70,73.15,71.55,72.50,187900,66.401
2013-08-09,73.00,73.40,72.60,72.70,109500,66.584
2013-08-08,73.15,74.00,73.00,73.00,289300,66.859
2013-08-07,74.20,74.20,73.25,73.25,194900,67.088
2013-08-06,75.25,75.60,74.00,74.20,243600,67.958
2013-08-05,74.75,75.30,74.75,75.25,225900,68.92
2013-08-02,74.90,75.00,74.60,74.75,99400,68.462
2013-08-01,73.55,74.80,73.50,74.75,260700,68.462
2013-07-31,73.05,73.85,73.05,73.45,200400,67.271
2013-07-30,72.15,73.40,72.15,73.05,130300,66.905
2013-07-29,72.00,72.50,71.80,72.15,80900,66.081
2013-07-26,72.10,72.25,71.70,71.90,51600,65.852
2013-07-25,72.05,72.35,71.70,72.00,54600,65.943
2013-07-24,72.55,72.60,71.65,72.25,70600,66.172
2013-07-23,73.15,73.45,72.10,72.30,115800,66.218
2013-07-22,72.50,73.60,72.25,72.85,268500,66.722
2013-07-19,71.65,72.25,71.55,72.10,94100,66.035
2013-07-18,71.00,72.20,71.00,71.65,97300,65.623
2013-07-17,70.95,71.45,70.65,71.00,360300,65.027
2013-07-16,71.50,71.60,70.85,71.00,57600,65.027
2013-07-15,70.85,71.75,70.85,71.60,123100,65.577
2013-07-12,71.35,71.75,70.85,70.85,121000,64.89
2013-07-11,69.85,71.45,69.85,71.20,179900,65.21
