Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,222.50,222.50,222.50,222.50,000,219.2365
2015-12-30,222.20,222.90,220.50,222.50,389400,219.2365
2015-12-29,219.70,221.80,219.30,221.80,389100,218.5468
2015-12-28,220.00,221.00,217.30,218.60,877000,215.3937
2015-12-25,219.60,219.60,219.60,219.60,000,216.379
2015-12-24,219.60,219.60,219.60,219.60,000,216.379
2015-12-23,215.70,219.60,214.60,219.60,314700,216.379
2015-12-22,214.90,216.10,213.30,213.40,485500,210.27
2015-12-21,214.50,215.40,213.40,214.00,567700,210.8612
2015-12-18,212.50,214.90,211.60,214.90,684500,211.748
2015-12-17,217.00,218.10,213.80,214.40,586500,211.2553
2015-12-16,215.20,217.50,214.20,214.70,533000,211.5509
2015-12-15,213.40,215.00,212.50,214.90,639000,211.748
2015-12-14,209.50,215.30,208.50,211.30,781700,208.2008
2015-12-11,212.40,213.30,209.10,210.00,620000,206.9198
2015-12-10,214.30,215.40,211.90,213.00,394200,209.8758
2015-12-09,216.00,218.10,214.30,215.60,673500,212.4377
2015-12-08,218.90,219.30,213.60,215.60,547000,212.4377
2015-12-07,219.80,220.90,218.40,219.00,448700,215.7878
2015-12-04,219.50,219.50,215.50,217.80,552300,214.6054
2015-12-03,222.90,226.60,220.80,220.80,924600,217.5614
2015-12-02,223.00,224.80,221.70,223.00,478400,219.7292
2015-12-01,221.90,224.90,221.40,222.80,411300,219.5321
2015-11-30,219.60,221.70,218.80,220.80,605900,217.5614
2015-11-27,219.00,221.90,218.60,220.20,265200,216.9702
2015-11-26,217.50,220.90,217.50,220.40,372600,217.1673
2015-11-25,214.30,218.00,214.00,217.50,453300,214.3098
2015-11-24,219.10,219.10,214.10,214.10,597400,210.9597
2015-11-23,219.50,220.60,218.00,219.30,406900,216.0834
2015-11-20,217.30,219.80,215.30,219.80,988500,216.5761
2015-11-19,216.50,219.50,216.10,217.40,396300,214.2113
2015-11-18,213.80,216.50,213.30,216.50,415600,213.3245
2015-11-17,212.00,215.00,211.90,215.00,500000,211.8465
