Date,Open,High,Low,Close,Volume,Adj Close
2007-12-31,113.152,113.152,113.152,113.152,000,107.84153
2007-12-28,115.866,115.866,113.152,113.152,1076500,107.84153
2007-12-27,118.788,120.458,116.283,116.701,356900,111.22397
2007-12-26,116.909,116.909,116.909,116.909,000,111.4222
2007-12-25,116.909,116.909,116.909,116.909,000,111.4222
2007-12-24,116.909,116.909,116.909,116.909,000,111.4222
2007-12-21,115.448,125.051,114.613,116.909,651000,111.4222
2007-12-20,112.734,114.822,111.481,113.569,610900,108.23896
2007-12-19,115.657,115.657,111.481,113.778,725900,108.43815
2007-12-18,111.064,116.074,110.855,114.195,834800,108.83558
2007-12-17,116.909,117.327,110.438,111.481,917400,106.24896
2007-12-14,120.667,122.755,117.536,118.997,473400,113.41222
2007-12-13,123.172,123.799,120.25,121.085,602200,115.40222
2007-12-12,122.755,127.765,121.085,125.051,490700,119.18209
2007-12-11,128.183,128.183,124.007,126.095,673600,120.17709
2007-12-10,129.01801,130.27,126.93,127.348,531500,121.37128
2007-12-07,124.425,129.853,123.172,129.853,637200,123.75872
2007-12-06,126.095,126.095,119.623,124.425,640600,118.58547
2007-12-05,122.337,126.513,122.337,124.842,1062900,118.9829
2007-12-04,121.085,121.085,115.866,120.667,487700,115.00384
2007-12-03,121.92,123.799,118.162,120.25,327400,114.60641
2007-11-30,122.129,122.546,120.041,121.085,364700,115.40222
2007-11-29,117.953,121.92,117.744,119.832,1197600,114.20803
2007-11-28,115.239,115.866,112.943,115.866,594800,110.42816
2007-11-27,112.316,115.448,111.273,113.569,566000,108.23896
2007-11-26,112.734,115.866,112.734,113.778,505800,108.43815
2007-11-23,109.811,112.316,109.394,111.064,630100,105.85153
2007-11-22,109.394,110.646,105.01,110.229,575500,105.05571
2007-11-21,107.306,109.394,105.218,109.185,809000,104.06071
2007-11-20,104.592,113.36,98.7466,110.646,1523700,105.45315
2007-11-19,112.734,114.613,102.713,103.131,814300,98.29084
2007-11-16,113.987,114.195,109.185,111.899,792000,106.64734
2007-11-15,119.415,121.92,113.987,115.239,543000,109.83058
2007-11-14,122.964,123.381,117.953,119.206,587300,113.61141
2007-11-13,125.678,128.183,117.744,119.623,1735400,114.00884
2007-11-12,123.59,129.01801,121.502,128.60001,638700,122.56453
2007-11-09,130.688,133.61099,125.26,125.678,606800,119.77966
2007-11-08,127.765,133.19299,125.678,131.105,530600,124.95195
2007-11-07,131.105,135.28101,130.27,131.52299,955900,125.35034
2007-11-06,124.425,131.105,123.59,131.105,682600,124.95195
2007-11-05,122.546,125.051,119.832,122.755,370000,116.99384
2007-11-02,123.381,126.93,120.041,124.007,245300,118.18709
2007-11-01,129.435,130.27,122.546,125.678,1168500,119.77966
2007-10-31,121.085,128.183,120.458,127.765,1179400,121.76871
2007-10-30,116.283,121.085,115.239,121.085,609200,115.40222
2007-10-29,113.569,116.283,111.899,115.448,385800,110.02977
2007-10-26,115.239,116.074,109.811,112.525,492100,107.24396
2007-10-25,111.69,112.316,109.394,111.899,494800,106.64734
2007-10-24,112.734,113.778,106.68,108.141,690600,103.06571
2007-10-23,113.778,114.404,111.481,111.69,258200,106.44815
2007-10-22,112.525,113.569,109.811,112.108,591600,106.84653
2007-10-19,118.371,120.25,116.074,117.744,289200,112.21802
2007-10-18,121.085,124.842,116.909,117.327,1017800,111.82059
2007-10-17,117.744,120.25,117.327,120.041,344400,114.40722
