Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,224.50,224.50,224.50,224.50,000,194.987
2012-12-28,226.70,226.80,224.50,224.50,1859000,194.987
2012-12-27,225.40,227.30,224.10,226.80,2357500,196.984
2012-12-26,225.70,225.70,225.70,225.70,000,196.029
2012-12-25,225.70,225.70,225.70,225.70,000,196.029
2012-12-24,225.70,225.70,225.70,225.70,000,196.029
2012-12-21,223.50,226.10,222.40,225.70,2744000,196.029
2012-12-20,225.50,226.20,223.60,225.10,2113700,195.508
2012-12-19,226.70,226.80,224.50,225.90,2311300,196.203
2012-12-18,225.30,227.30,225.30,226.00,3506700,196.29
2012-12-17,219.10,225.50,218.90,224.30,6183900,194.813
2012-12-14,215.80,218.00,215.70,217.00,2873100,188.473
2012-12-13,217.00,217.50,215.30,215.60,2626600,187.257
2012-12-12,218.20,218.60,216.40,216.70,2036400,188.212
2012-12-11,216.90,218.20,215.60,217.50,2538600,188.907
2012-12-10,213.40,217.90,213.30,217.10,3487400,188.56
2012-12-07,215.40,215.70,214.10,214.10,2008900,185.954
2012-12-06,214.70,215.50,214.00,215.10,2290800,186.823
2012-12-05,214.70,215.20,213.60,214.40,1919100,186.215
2012-12-04,214.50,215.00,213.70,214.20,1646200,186.041
2012-12-03,216.50,216.90,214.00,214.80,1898300,186.562
2012-11-30,214.80,216.40,213.70,215.90,3562800,187.517
2012-11-29,215.70,216.00,211.80,214.50,3385600,186.301
2012-11-28,213.90,214.90,213.30,214.50,2338900,186.301
2012-11-27,217.30,217.50,214.20,214.80,2538000,186.562
2012-11-26,218.50,218.50,215.20,216.40,2271000,187.952
2012-11-23,217.50,219.30,217.40,218.50,2332000,189.776
2012-11-22,213.30,217.30,213.30,216.00,2251600,187.604
2012-11-21,214.40,214.90,212.80,213.30,1779600,185.259
2012-11-20,214.40,215.40,212.10,214.40,2256100,186.215
2012-11-19,211.40,214.50,211.40,214.50,3623100,186.301
2012-11-16,212.80,214.70,209.70,210.00,3314500,182.393
2012-11-15,215.00,215.50,211.00,213.10,6811300,185.085
2012-11-14,219.50,221.50,218.30,219.60,2453600,190.731
2012-11-13,220.00,220.50,217.10,220.40,1993800,191.426
2012-11-12,219.90,222.70,219.50,220.90,1408000,191.86
2012-11-09,220.30,221.40,219.70,220.30,1750800,191.339
2012-11-08,222.60,223.30,219.70,220.10,2215600,191.165
2012-11-07,224.60,224.70,220.60,221.00,1869500,191.947
2012-11-06,223.00,224.70,222.00,223.50,2425300,194.118
2012-11-05,224.80,226.10,222.50,223.00,1963800,193.684
2012-11-02,224.00,225.40,223.40,225.40,868200,195.768
2012-11-01,223.40,225.40,222.60,223.90,2195100,194.466
2012-10-31,226.80,228.00,224.30,224.50,1592800,194.987
2012-10-30,225.20,227.20,225.10,226.60,1000600,196.811
2012-10-29,226.70,226.80,223.90,225.10,1242300,195.508
2012-10-26,225.00,227.40,225.00,226.80,1807500,196.984
2012-10-25,225.50,228.10,225.10,226.90,1684400,197.071
2012-10-24,228.00,229.10,225.10,225.40,2488900,195.768
2012-10-23,232.60,232.60,226.70,227.90,2730100,197.94
2012-10-22,233.90,235.10,232.50,233.40,1680300,202.717
2012-10-19,235.60,235.70,233.50,233.50,1839500,202.804
2012-10-18,236.50,236.90,233.70,235.80,2592000,204.801
2012-10-17,235.20,237.00,234.00,236.50,2057100,205.409
2012-10-16,234.90,235.90,233.20,235.40,2558800,204.454
2012-10-15,233.50,235.00,231.30,233.80,3537400,203.064
2012-10-12,229.60,230.30,229.00,229.20,2228500,199.069
2012-10-11,229.60,230.60,228.20,229.60,2529300,199.416
2012-10-10,230.30,231.80,230.20,230.50,2714000,200.198
2012-10-09,228.90,230.70,227.80,230.30,2794100,200.024
2012-10-08,230.10,231.20,228.10,229.50,2377100,199.329
2012-10-05,233.50,235.50,231.50,232.00,2746800,201.501
2012-10-04,230.60,234.00,230.30,232.80,2895700,202.196
2012-10-03,228.00,231.30,227.80,229.60,2691300,199.416
2012-10-02,227.10,230.10,227.10,229.90,3645600,199.677
2012-10-01,227.40,228.80,225.80,227.50,3236800,197.592
2012-09-28,231.00,231.90,227.40,228.20,5874300,198.20
2012-09-27,237.50,238.50,229.90,232.20,11419800,201.675
2012-09-26,248.30,248.90,245.90,246.40,2849600,214.008
2012-09-25,247.50,249.40,246.70,249.00,2505700,216.266
2012-09-24,244.80,247.50,243.70,247.40,2715600,214.876
2012-09-21,247.80,249.00,245.80,245.80,2926600,213.487
2012-09-20,245.60,248.20,244.90,247.20,2142700,214.703
2012-09-19,244.50,247.20,244.50,246.60,2145200,214.181
2012-09-18,241.90,245.00,241.90,244.20,2800400,212.097
2012-09-17,241.50,243.30,241.00,243.20,3377500,211.228
2012-09-14,246.10,247.70,244.40,247.10,3073800,214.616
2012-09-13,241.20,243.80,240.70,243.00,2597400,211.055
2012-09-12,243.40,244.30,239.80,241.90,2385500,210.099
2012-09-11,240.00,242.30,239.60,242.30,1516000,210.447
2012-09-10,239.90,242.10,239.80,241.40,1259800,209.665
2012-09-07,242.60,243.00,239.40,240.90,2585100,209.231
2012-09-06,239.00,242.50,238.40,240.90,2508600,209.231
2012-09-05,237.80,239.20,235.60,238.40,1665700,207.059
2012-09-04,239.00,239.70,237.50,238.80,1474500,207.407
2012-09-03,239.00,241.20,238.60,239.80,1253700,208.275
2012-08-31,239.80,241.10,238.20,239.60,1967600,208.102
2012-08-30,240.00,240.70,238.00,239.80,2272800,208.275
2012-08-29,239.30,243.80,239.30,241.80,1546800,210.013
2012-08-28,244.10,244.10,238.90,239.10,2527000,207.667
2012-08-27,243.90,245.60,243.80,245.50,963800,213.226
2012-08-24,241.50,244.50,241.50,244.00,2245500,211.923
2012-08-23,243.60,244.20,241.20,241.30,1754000,209.578
2012-08-22,245.70,246.20,241.00,242.00,2479300,210.186
2012-08-21,249.30,249.50,245.90,247.90,2321700,215.311
2012-08-20,250.00,250.90,248.70,249.30,1545200,216.527
2012-08-17,249.00,250.40,248.20,250.00,1893500,217.135
2012-08-16,248.50,249.40,246.50,248.40,1614600,215.745
2012-08-15,247.00,249.50,245.70,248.30,2008900,215.658
2012-08-14,246.60,248.00,245.50,248.00,2050100,215.397
2012-08-13,247.00,247.70,245.20,246.70,1808100,214.268
2012-08-10,248.80,249.30,245.70,247.50,2238700,214.963
2012-08-09,250.50,250.90,248.00,250.00,1862500,217.135
2012-08-08,249.00,249.90,246.90,249.90,2093700,217.048
2012-08-07,251.70,252.30,247.10,249.60,2099400,216.787
2012-08-06,255.60,255.60,250.20,251.70,2135700,218.611
2012-08-03,254.90,256.00,253.90,255.70,1848800,222.085
2012-08-02,253.70,257.30,251.60,254.10,2992500,220.696
2012-08-01,251.70,254.10,251.10,254.10,1758600,220.696
2012-07-31,249.90,253.30,249.10,251.70,2634200,218.611
2012-07-30,249.20,250.00,247.10,250.00,1435600,217.135
2012-07-27,248.50,249.60,245.50,248.90,1690100,216.179
2012-07-26,242.40,248.50,240.90,247.50,2510300,214.963
2012-07-25,239.80,243.20,238.40,242.80,2364200,210.881
2012-07-24,242.30,243.40,240.20,240.40,1513600,208.797
2012-07-23,244.80,246.20,240.80,242.30,1950200,210.447
2012-07-20,249.40,249.50,246.40,247.60,1607700,215.05
2012-07-19,246.30,250.00,245.40,249.60,2109000,216.787
2012-07-18,244.20,245.80,241.50,245.20,1992800,212.966
2012-07-17,244.20,246.50,242.70,242.80,2744900,210.881
2012-07-16,245.70,245.70,242.30,244.10,2194900,212.01
2012-07-13,243.90,247.90,243.50,246.80,1890400,214.355
2012-07-12,243.60,244.00,241.40,244.00,1855100,211.923
2012-07-11,243.90,244.90,242.00,244.20,1603100,212.097
2012-07-10,244.00,244.80,241.90,244.30,2132000,212.184
2012-07-09,243.60,245.00,242.60,243.40,1507000,211.402
2012-07-06,243.70,245.90,243.70,244.60,1477100,212.444
2012-07-05,247.60,247.80,243.80,245.00,2740700,212.792
2012-07-04,246.90,248.00,246.70,247.60,1241100,215.05
2012-07-03,247.20,248.30,244.30,247.70,3925500,215.137
2012-07-02,247.20,248.10,244.30,246.80,3211400,214.355
2012-06-29,245.40,247.40,243.90,247.40,3193700,214.876
2012-06-28,244.00,244.30,240.20,242.10,2486500,210.273
2012-06-27,244.00,244.40,240.90,243.40,2360900,211.402
2012-06-26,242.10,244.80,241.90,242.90,3078600,210.968
2012-06-25,243.50,244.50,238.00,242.30,4498600,210.447
2012-06-22,246.20,246.20,246.20,246.20,000,213.834
2012-06-21,240.60,247.40,240.10,246.20,5839200,213.834
2012-06-20,238.10,242.90,235.20,241.50,7889300,209.752
2012-06-19,227.00,231.30,226.70,230.40,3706400,200.111
2012-06-18,227.40,228.00,224.20,226.40,3477200,196.637
2012-06-15,224.70,225.70,222.70,224.60,4385400,195.074
2012-06-14,219.00,220.30,216.50,220.00,2626900,191.078
2012-06-13,218.50,222.00,217.50,219.40,4444700,190.557
2012-06-12,215.60,216.70,213.50,215.20,3062000,186.909
2012-06-11,218.40,219.00,215.30,215.60,3016300,187.257
2012-06-08,212.80,214.60,210.50,214.30,5367400,186.128
2012-06-07,209.40,217.90,209.40,215.60,3965900,187.257
2012-06-06,208.50,208.50,208.50,208.50,000,181.09
2012-06-05,209.50,211.00,208.40,208.50,1923300,181.09
2012-06-04,210.00,210.50,207.00,207.70,1961400,180.395
2012-06-01,216.60,216.90,208.70,211.10,4612400,183.348
2012-05-31,217.80,218.80,214.30,215.80,7936200,187.431
2012-05-30,218.90,221.70,216.30,217.20,3465100,188.646
2012-05-29,219.00,222.00,218.50,220.40,2685400,191.426
2012-05-28,219.40,220.90,215.20,217.30,1518200,188.733
2012-05-25,217.10,219.80,216.40,218.20,2175700,189.515
2012-05-24,216.60,218.00,213.50,216.70,2243700,188.212
2012-05-23,219.00,219.90,214.20,214.30,3738200,186.128
2012-05-22,219.80,221.80,218.00,220.30,3267300,191.339
2012-05-21,213.00,217.20,212.50,215.80,2567200,187.431
2012-05-18,216.00,216.90,212.70,213.00,4903800,184.999
2012-05-17,220.30,220.30,220.30,220.30,000,191.339
2012-05-16,223.40,226.00,220.30,220.30,2351700,191.339
2012-05-15,224.80,229.90,224.60,225.70,3428200,196.029
2012-05-14,228.70,228.90,220.50,224.60,3789100,195.074
2012-05-11,225.00,230.00,224.40,229.70,3085300,199.503
2012-05-10,228.60,229.70,224.70,225.30,2930400,195.682
2012-05-09,222.60,224.10,221.20,223.30,2619700,193.945
2012-05-08,222.70,225.10,220.10,221.80,4716000,192.642
2012-05-07,223.00,224.60,220.70,222.30,2326900,193.076
2012-05-04,229.10,229.90,224.00,225.70,4267100,196.029
2012-05-03,234.20,239.50,234.10,239.50,3772500,199.764
2012-05-02,234.00,235.40,232.10,234.70,4010400,195.76
2012-05-01,230.90,230.90,230.90,230.90,000,192.591
2012-04-30,231.10,232.60,230.20,230.90,1441900,192.591
2012-04-27,227.90,230.60,226.30,230.60,2643300,192.34
2012-04-26,229.60,231.80,227.50,228.30,2458600,190.422
2012-04-25,230.20,230.30,227.00,229.40,3422500,191.339
2012-04-24,228.00,229.50,226.60,228.80,2724500,190.839
2012-04-23,235.30,236.00,224.70,226.00,5145800,188.504
2012-04-20,232.40,237.20,231.90,236.70,3065900,197.428
2012-04-19,230.10,234.50,230.10,232.70,2637500,194.092
2012-04-18,235.40,235.40,230.20,231.00,2972200,192.674
2012-04-17,234.50,236.40,232.70,235.40,2559000,196.344
2012-04-16,231.90,236.20,231.40,234.50,2453100,195.593
2012-04-13,234.90,234.90,229.80,231.00,2818200,192.674
2012-04-12,230.00,235.10,229.20,234.70,2739400,195.76
2012-04-11,227.90,229.80,227.20,229.30,3789100,191.256
2012-04-10,230.00,232.00,227.00,227.30,3300500,189.588
2012-04-09,230.40,230.40,230.40,230.40,000,192.174
2012-04-06,230.40,230.40,230.40,230.40,000,192.174
2012-04-05,233.40,234.80,230.00,230.40,1753000,192.174
2012-04-04,237.70,239.40,229.90,232.70,5543900,194.092
2012-04-03,241.50,241.70,239.40,239.60,2084600,199.847
2012-04-02,240.10,241.70,237.10,241.70,2899400,201.599
2012-03-30,237.40,240.00,234.20,239.40,5453400,199.68
2012-03-29,238.00,240.00,235.60,238.10,12954200,198.596
2012-03-28,249.00,252.60,246.90,250.40,3382600,208.855
2012-03-27,250.60,251.50,248.30,248.60,2291200,207.354
2012-03-26,246.00,250.40,245.10,250.40,2711000,208.855
2012-03-23,244.00,245.80,243.50,245.40,2171200,204.685
2012-03-22,246.00,246.60,241.70,243.10,3985100,202.766
2012-03-21,246.50,248.40,244.50,245.20,2992500,204.518
2012-03-20,246.00,248.00,243.60,245.50,4169000,204.768
2012-03-19,248.50,250.80,248.10,250.40,4448600,208.855
2012-03-16,250.00,253.50,249.00,251.40,4522100,209.689
2012-03-15,249.50,249.80,246.00,249.60,6308600,208.188
2012-03-14,240.80,244.30,239.90,243.80,3084700,203.35
2012-03-13,240.00,241.00,239.80,240.50,2465800,200.598
2012-03-12,235.20,240.00,235.20,239.10,2671200,199.43
2012-03-09,236.50,237.70,235.50,235.90,2869500,196.761
2012-03-08,234.00,237.10,232.50,237.10,3823000,197.762
2012-03-07,231.60,233.70,229.20,232.20,3813200,193.675
2012-03-06,237.90,237.90,231.20,232.80,4332900,194.175
2012-03-05,238.90,239.30,237.60,238.90,2117700,199.263
2012-03-02,239.60,239.60,236.60,239.50,2138600,199.764
2012-03-01,237.70,239.90,236.30,239.40,1876800,199.68
2012-02-29,238.20,239.00,237.20,237.80,2937400,198.346
2012-02-28,238.70,239.10,237.70,238.20,2128900,198.679
2012-02-27,238.80,239.40,236.40,238.10,2413200,198.596
2012-02-24,240.90,241.60,237.70,239.70,2991100,199.931
2012-02-23,240.00,241.20,239.40,240.70,5006300,200.765
2012-02-22,239.50,240.50,237.70,240.50,3969700,200.598
2012-02-21,238.40,239.50,237.00,239.00,2848600,199.347
2012-02-20,237.20,239.60,235.50,238.50,2862500,198.93
2012-02-17,235.00,236.50,233.00,236.50,2707900,197.261
2012-02-16,232.40,234.10,231.40,234.10,2116500,195.26
2012-02-15,232.80,234.50,232.40,233.20,2717000,194.509
2012-02-14,230.70,232.90,229.60,232.80,2743700,194.175
2012-02-13,231.90,231.90,229.50,231.20,2395900,192.841
2012-02-10,230.90,231.80,228.90,230.00,3023500,191.84
2012-02-09,231.20,232.80,229.70,232.10,2610200,193.592
2012-02-08,231.00,232.60,230.00,231.20,1979700,192.841
2012-02-07,232.00,233.20,229.60,231.90,2691800,193.425
2012-02-06,232.40,232.50,229.60,231.60,2499500,193.174
2012-02-03,230.70,233.30,229.50,232.40,2851100,193.842
2012-02-02,229.80,232.00,228.70,230.60,2537400,192.34
2012-02-01,222.80,231.50,222.70,229.80,5024700,191.673
2012-01-31,221.50,224.00,221.30,222.70,3186400,185.751
2012-01-30,220.40,221.10,218.80,220.70,2690900,184.083
2012-01-27,223.00,223.80,220.10,221.40,3796300,184.667
2012-01-26,221.00,229.80,219.60,224.10,7904200,186.919
2012-01-25,226.00,226.90,221.50,224.20,3890100,187.002
2012-01-24,225.10,226.70,224.40,224.70,3537900,187.419
2012-01-23,224.40,226.70,223.50,226.10,3078200,188.587
2012-01-20,224.00,224.40,221.40,224.00,3261300,186.835
2012-01-19,225.00,225.50,222.50,223.60,3500500,186.502
2012-01-18,222.90,225.10,221.00,224.40,2843900,187.169
2012-01-17,221.10,222.70,219.90,222.60,2773300,185.668
2012-01-16,217.50,220.10,217.20,219.90,1516700,183.416
2012-01-13,220.70,220.70,217.80,218.70,3029000,182.415
2012-01-12,219.30,220.60,217.50,219.10,4342600,182.748
2012-01-11,221.70,222.10,218.70,219.30,2368400,182.915
2012-01-10,219.00,222.40,218.90,221.10,3483800,184.417
2012-01-09,218.60,218.60,215.60,217.50,3831600,181.414
2012-01-06,217.20,217.20,217.20,217.20,000,181.164
2012-01-05,218.90,219.10,216.60,217.20,2071500,181.164
2012-01-04,220.00,220.10,217.00,219.10,4549700,182.748
2012-01-03,224.70,224.70,220.20,222.30,3851200,185.417
2012-01-02,220.40,224.50,219.00,223.00,1722700,186.001
