Date,Open,High,Low,Close,Volume,Adj Close
2006-12-29,303.00,303.50,298.00,298.00,607300,227.09
2006-12-28,308.00,308.00,304.00,304.50,146700,232.05
2006-12-27,310.00,311.50,307.00,307.50,140700,234.33
2006-12-26,307.50,307.50,307.50,307.50,000,234.33
2006-12-25,307.50,307.50,307.50,307.50,000,234.33
2006-12-22,306.00,312.50,303.50,307.50,194400,234.33
2006-12-21,307.50,311.50,306.50,306.50,132300,233.57
2006-12-20,309.50,312.00,307.50,310.00,265000,236.24
2006-12-19,311.50,312.00,302.50,305.00,340000,232.43
2006-12-18,305.00,312.50,304.00,311.50,379000,237.38
2006-12-15,300.00,305.50,300.00,305.50,722400,232.81
2006-12-14,304.00,304.50,300.00,301.00,253900,229.38
2006-12-13,303.50,304.00,301.00,302.00,236700,230.14
2006-12-12,304.50,305.50,302.50,304.00,454300,231.67
2006-12-11,300.00,304.50,299.00,304.50,518500,232.05
2006-12-08,296.00,299.50,293.50,299.50,226200,228.24
2006-12-07,293.00,298.00,292.50,298.00,213600,227.09
2006-12-06,299.50,299.50,293.00,295.00,217300,224.81
2006-12-05,297.00,300.00,296.50,300.00,230200,228.62
2006-12-04,290.50,296.00,289.50,295.50,217400,225.19
2006-12-01,295.00,297.50,288.50,291.50,448400,222.14
2006-11-30,301.00,303.50,293.00,293.00,407100,223.28
2006-11-29,299.00,303.50,297.00,303.50,204300,231.28
2006-11-28,297.00,297.00,287.00,296.50,417200,225.95
2006-11-27,303.00,307.50,296.50,297.00,298800,226.33
2006-11-24,307.00,307.00,303.00,304.50,154900,232.05
2006-11-23,309.50,310.00,306.00,306.00,157800,233.19
2006-11-22,309.50,312.00,307.50,309.00,270600,235.48
2006-11-21,306.50,310.50,305.00,309.50,906400,235.86
2006-11-20,304.00,307.50,301.50,306.50,454300,233.57
2006-11-17,307.50,307.50,301.50,302.50,360400,230.52
2006-11-16,311.00,311.00,303.50,304.00,471000,231.67
2006-11-15,311.00,312.00,307.50,309.00,334300,235.48
2006-11-14,314.00,314.00,309.50,310.00,269900,236.24
2006-11-13,309.50,312.00,308.50,311.50,110800,237.38
2006-11-10,317.50,317.50,309.00,311.50,673600,237.38
2006-11-09,315.00,317.50,312.50,317.50,547500,241.95
2006-11-08,318.50,319.00,308.50,311.50,662500,237.38
2006-11-07,317.50,319.00,316.00,317.50,215600,241.95
2006-11-06,314.50,317.50,313.50,317.00,196100,241.57
2006-11-03,313.00,317.50,312.50,315.50,114100,240.43
2006-11-02,318.50,318.50,309.50,314.00,258900,239.29
2006-11-01,318.00,320.00,313.50,317.00,411000,241.57
2006-10-31,318.50,320.00,315.50,318.00,228600,242.33
2006-10-30,320.50,324.00,319.00,320.50,160800,244.24
2006-10-27,328.00,328.50,322.00,324.00,232400,246.91
2006-10-26,329.00,329.50,324.50,326.00,329500,248.43
2006-10-25,332.50,333.50,324.50,325.50,383400,248.05
2006-10-24,331.50,334.00,329.50,333.00,169400,253.77
2006-10-23,334.50,335.00,329.00,331.50,358400,252.62
2006-10-20,337.50,345.00,333.50,334.50,492000,254.91
2006-10-19,329.00,337.50,326.50,335.00,656200,255.29
2006-10-18,323.00,331.50,323.00,329.00,354000,250.72
2006-10-17,326.00,328.50,320.50,320.50,181800,244.24
2006-10-16,324.50,328.00,323.00,327.00,198400,249.19
2006-10-13,325.50,326.50,321.50,325.00,142100,247.67
2006-10-12,319.50,325.50,316.00,325.50,213900,248.05
2006-10-11,322.00,324.00,317.00,320.50,190600,244.24
2006-10-10,320.50,324.00,317.50,322.00,213600,245.38
2006-10-09,325.00,325.00,316.50,318.00,421700,242.33
2006-10-06,321.00,326.50,320.00,324.50,604800,247.29
2006-10-05,312.50,324.00,312.50,322.00,1819600,245.38
2006-10-04,303.00,311.00,302.50,310.50,392600,236.62
2006-10-03,305.00,306.00,301.00,304.00,150500,231.67
2006-10-02,307.50,307.50,304.00,307.00,166300,233.95
2006-09-29,305.00,307.50,301.50,306.00,234400,233.19
2006-09-28,301.50,304.50,300.50,303.50,382100,231.28
2006-09-27,302.00,303.50,297.00,300.00,551400,228.62
2006-09-26,300.50,301.50,296.50,299.50,488300,228.24
2006-09-25,304.50,306.50,298.50,299.50,172000,228.24
2006-09-22,308.50,308.50,304.50,305.50,163400,232.81
2006-09-21,310.00,314.00,309.00,309.00,236700,235.48
2006-09-20,309.00,311.50,306.50,310.00,269100,236.24
2006-09-19,308.50,313.50,308.00,309.50,304800,235.86
2006-09-18,312.00,314.00,308.00,309.00,151300,235.48
2006-09-15,311.50,315.00,308.00,311.50,320000,237.38
2006-09-14,304.50,311.50,304.50,310.00,295400,236.24
2006-09-13,303.00,307.50,301.50,306.00,214700,233.19
2006-09-12,296.00,302.00,295.50,302.00,217400,230.14
2006-09-11,300.50,306.00,296.50,297.50,167000,226.71
2006-09-08,301.50,304.50,300.00,303.00,145000,230.90
2006-09-07,304.50,304.50,298.00,300.50,242500,229.00
2006-09-06,308.50,310.00,304.50,305.00,194100,232.43
2006-09-05,311.00,313.00,308.00,309.00,250900,235.48
2006-09-04,306.00,312.00,306.00,312.00,179200,237.76
2006-09-01,305.50,307.50,303.50,306.00,217100,233.19
2006-08-31,309.00,309.50,301.50,303.50,214300,231.28
2006-08-30,309.50,309.50,302.00,308.50,312300,235.09
2006-08-29,309.50,316.50,306.50,308.50,243700,235.09
2006-08-28,311.50,312.50,307.50,312.00,256200,237.76
2006-08-25,302.50,314.50,302.00,312.50,520400,238.14
2006-08-24,297.50,302.50,297.00,302.50,275200,230.52
2006-08-23,298.50,304.00,298.00,300.50,347100,229.00
2006-08-22,294.00,299.00,293.00,298.50,538700,227.47
2006-08-21,291.50,294.50,287.50,294.00,464300,224.05
2006-08-18,292.00,293.00,289.00,290.50,227100,221.38
2006-08-17,294.50,295.00,291.00,292.00,319700,222.52
2006-08-16,292.50,296.00,284.00,294.50,750500,224.43
2006-08-15,301.00,304.00,284.00,291.00,1131300,221.76
2006-08-14,301.00,302.50,298.50,301.00,151500,229.38
2006-08-11,299.00,303.00,296.00,300.50,114000,229.00
2006-08-10,299.00,301.00,296.00,300.50,111700,229.00
2006-08-09,301.00,303.50,292.00,302.00,217000,230.14
2006-08-08,302.00,305.00,299.50,300.50,148000,229.00
2006-08-07,301.00,301.50,292.50,297.50,134600,226.71
2006-08-04,303.50,304.50,301.50,303.50,131500,231.28
2006-08-03,307.50,308.50,302.50,303.50,117100,231.28
2006-08-02,306.00,310.00,300.50,304.00,148300,231.67
2006-08-01,309.00,310.00,303.50,304.00,206700,231.67
2006-07-31,310.00,310.00,305.00,308.00,93900,234.71
2006-07-28,302.50,310.00,302.50,310.00,137800,236.24
2006-07-27,302.00,309.00,300.00,306.50,209700,233.57
2006-07-26,298.00,303.50,298.00,302.50,154100,230.52
2006-07-25,304.00,306.50,293.50,295.00,251200,224.81
2006-07-24,297.00,309.50,297.00,305.00,229100,232.43
2006-07-21,288.00,299.00,288.00,296.00,218400,225.57
2006-07-20,298.00,301.00,290.00,293.00,168500,223.28
2006-07-19,286.00,296.00,286.00,296.00,191500,225.57
2006-07-18,283.00,286.50,275.00,285.00,320000,217.19
2006-07-17,281.50,285.50,280.50,285.00,195000,217.19
2006-07-14,284.50,287.50,282.50,282.50,212700,215.28
2006-07-13,298.50,298.50,289.50,290.50,387000,221.38
2006-07-12,292.00,301.00,292.00,299.50,267600,228.24
2006-07-11,289.50,291.00,285.00,289.50,121000,220.62
2006-07-10,290.00,291.50,288.50,291.00,66500,221.76
2006-07-07,293.50,294.00,290.00,290.50,169500,221.38
2006-07-06,289.50,294.00,288.00,294.00,225000,224.05
2006-07-05,292.00,293.00,288.50,289.50,127500,220.62
2006-07-04,294.00,296.50,293.00,294.50,169500,224.43
2006-07-03,291.50,295.00,291.00,294.50,245600,224.43
2006-06-30,290.00,295.50,286.50,291.00,248000,221.76
2006-06-29,280.00,287.00,279.50,287.00,176000,218.71
2006-06-28,274.50,284.50,273.50,280.00,189200,213.38
2006-06-27,281.50,281.50,276.00,276.50,107500,210.71
2006-06-26,283.00,283.00,278.50,281.00,108900,214.14
2006-06-23,281.00,281.00,281.00,281.00,000,214.14
2006-06-22,282.00,287.00,280.50,281.00,142600,214.14
2006-06-21,281.00,281.00,274.50,278.00,122500,211.85
2006-06-20,279.00,280.00,273.00,279.00,289300,212.61
2006-06-19,278.00,283.00,276.50,281.00,249900,214.14
2006-06-16,283.50,285.00,274.50,279.00,221600,212.61
2006-06-15,271.00,281.00,271.00,278.00,476200,211.85
2006-06-14,265.00,266.50,259.00,261.50,549700,199.28
2006-06-13,269.00,270.00,260.50,262.50,326000,200.04
2006-06-12,279.50,279.50,271.00,274.00,232100,208.80
2006-06-09,284.00,287.00,277.50,279.00,298200,212.61
2006-06-08,273.00,282.00,269.50,277.50,596600,211.47
2006-06-07,291.50,291.50,276.50,276.50,278800,210.71
2006-06-06,292.50,292.50,292.50,292.50,000,222.90
2006-06-05,296.00,296.50,291.00,292.50,100100,222.90
2006-06-02,300.00,303.00,296.00,296.00,199000,225.57
2006-06-01,292.50,297.50,290.50,296.00,551500,225.57
2006-05-31,282.00,294.50,276.50,294.50,323700,224.43
2006-05-30,292.00,295.00,283.50,284.00,259600,216.42
2006-05-29,298.50,298.50,292.00,293.50,160500,223.66
2006-05-26,277.50,295.00,277.50,294.00,424400,224.05
2006-05-25,272.00,272.00,272.00,272.00,000,207.28
2006-05-24,280.00,282.00,272.00,272.00,351000,207.28
2006-05-23,264.00,284.00,264.00,280.00,594500,213.38
2006-05-22,282.00,282.00,261.50,264.50,545800,201.56
2006-05-19,287.00,296.00,282.50,285.00,642100,217.19
2006-05-18,294.00,298.50,287.00,288.50,515900,219.85
2006-05-17,311.50,314.50,295.50,297.00,438000,226.33
2006-05-16,310.50,311.00,305.00,310.50,788900,236.62
2006-05-15,313.50,315.00,308.00,310.50,489700,236.62
2006-05-12,331.50,331.50,317.00,319.00,434300,243.10
2006-05-11,330.00,334.50,330.00,332.00,180900,253.00
2006-05-10,333.00,338.00,329.50,331.00,348400,252.24
2006-05-09,333.00,339.00,332.50,333.50,232900,254.15
2006-05-08,331.50,338.50,330.50,332.00,171400,253.00
2006-05-05,331.50,336.00,331.00,332.50,175400,253.38
2006-05-04,328.00,331.50,327.00,331.50,256200,252.62
2006-05-03,325.50,333.50,325.50,327.00,411800,249.19
2006-05-02,318.00,326.50,317.00,325.50,260400,248.05
2006-04-28,315.00,319.50,311.00,319.00,293300,243.10
2006-04-27,319.00,321.00,311.00,316.00,316100,240.81
2006-04-26,319.00,323.00,319.00,322.50,239800,245.76
2006-04-25,322.50,324.00,317.00,320.00,265200,243.86
2006-04-24,320.00,325.00,315.50,322.00,214600,245.38
2006-04-21,318.00,325.00,314.00,320.00,430200,243.86
2006-04-20,312.00,320.00,312.00,315.00,382500,240.05
2006-04-19,308.50,312.50,308.00,311.00,565600,237.00
2006-04-18,302.00,307.50,301.00,306.00,583100,233.19
2006-04-17,302.50,302.50,302.50,302.50,000,230.52
2006-04-14,302.50,302.50,302.50,302.50,000,230.52
2006-04-13,305.00,305.00,301.00,302.50,351300,230.52
2006-04-12,308.50,310.00,304.00,305.50,138300,232.81
2006-04-11,313.00,314.00,309.00,309.50,229700,235.86
2006-04-10,314.00,314.00,308.00,311.50,299800,237.38
2006-04-07,318.00,319.50,314.00,314.00,240000,239.29
2006-04-06,326.50,327.00,314.50,319.00,537000,243.10
2006-04-05,328.50,328.50,321.00,327.00,441200,249.19
2006-04-04,334.50,334.50,328.00,328.00,289700,249.96
2006-04-03,331.50,335.50,329.00,335.50,240800,255.67
2006-03-31,324.50,334.00,323.50,329.00,673600,250.72
2006-03-30,317.50,324.50,317.50,324.50,505500,247.29
2006-03-29,321.50,321.50,315.50,317.00,598000,241.57
2006-03-28,331.00,331.50,325.50,327.50,253300,249.57
2006-03-27,336.00,336.00,329.50,330.00,441900,251.48
2006-03-24,335.00,335.50,333.00,334.50,152700,254.91
2006-03-23,332.50,335.50,332.00,335.00,441100,255.29
2006-03-22,330.00,333.00,329.50,332.50,366700,253.38
2006-03-21,331.50,331.50,328.00,330.00,207600,251.48
2006-03-20,331.00,332.00,328.00,330.00,196100,251.48
2006-03-17,329.00,331.50,328.00,329.00,153000,250.72
2006-03-16,327.50,328.50,323.00,327.00,206100,249.19
2006-03-15,326.50,329.00,324.00,327.50,248200,249.57
2006-03-14,325.00,327.00,324.00,325.00,213000,247.67
2006-03-13,329.00,329.00,322.50,325.00,201800,247.67
2006-03-10,330.00,330.00,323.00,327.00,312800,249.19
2006-03-09,327.00,333.00,327.00,330.50,383000,251.86
2006-03-08,318.00,329.00,318.00,325.00,510600,247.67
2006-03-07,317.00,319.00,313.00,317.50,190400,241.95
2006-03-06,317.00,319.00,316.50,317.00,182600,241.57
2006-03-03,315.00,320.00,313.00,314.00,179500,239.29
2006-03-02,310.00,315.00,310.00,313.00,263800,238.52
2006-03-01,307.00,313.00,306.00,313.00,187300,238.52
2006-02-28,313.00,313.50,306.00,307.00,164900,233.95
2006-02-27,314.00,314.00,310.00,312.50,297500,238.14
2006-02-24,311.00,312.50,309.50,312.50,89500,238.14
2006-02-23,313.00,314.50,309.00,310.00,92600,236.24
2006-02-22,310.00,313.50,310.00,312.50,228100,238.14
