Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,201.50,202.00001,197.00001,202.00001,699900,10.04381
2011-12-29,200.00,202.00001,197.99999,200.49999,315300,9.96923
2011-12-28,202.00001,204.00,196.00,199.00,797700,9.89465
2011-12-27,202.00001,204.50001,202.00001,204.00,496200,10.14326
2011-12-26,197.00001,197.00001,197.00001,197.00001,000,9.7952
2011-12-23,199.50001,207.50,197.99999,201.50,2071900,10.01895
2011-12-22,190.00,198.50,190.00,197.00001,1162900,9.7952
2011-12-21,184.00,187.99999,182.00001,187.99999,1241200,9.34771
2011-12-20,176.50,182.99999,176.50,181.00,868700,8.99965
2011-12-19,174.00,180.49999,174.00,177.00001,440100,8.80077
2011-12-16,175.00,176.50,175.00,176.00,122900,8.75104
2011-12-15,171.00,180.00,170.49999,173.50,1152600,8.62674
2011-12-14,171.00,172.99999,170.00,170.49999,680000,8.47757
2011-12-13,167.00001,171.50,165.49999,171.50,630500,8.5273
2011-12-12,170.00,170.49999,166.00,166.00,365400,8.25383
2011-12-09,165.00,170.49999,162.99999,167.99999,552200,8.35327
2011-12-08,172.00001,173.50,166.00,167.00001,588800,8.30355
2011-12-07,175.00,176.00,172.00001,172.00001,618700,8.55216
2011-12-06,174.50001,177.00001,172.99999,174.00,376200,8.6516
2011-12-05,172.50,176.00,171.50,176.00,368900,8.75104
2011-12-02,172.00001,172.99999,169.50001,172.00001,244100,8.55216
2011-12-01,172.99999,175.49999,167.99999,170.49999,455200,8.47757
2011-11-30,163.50,172.99999,162.50,172.99999,795700,8.60188
2011-11-29,164.00,167.50,162.00001,167.50,298400,8.32841
2011-11-28,157.00,164.50001,157.00,164.00,399100,8.15438
2011-11-25,155.00,158.00,152.00,156.00,292500,7.75661
2011-11-24,151.00,159.50,150.00,155.00,295600,7.70689
2011-11-23,158.00,160.00,150.50,151.50,698300,7.53286
2011-11-22,159.50,162.00001,155.50,158.00,567300,7.85605
2011-11-21,166.00,166.00,158.00,159.50,259600,7.93063
2011-11-18,165.00,168.50,164.50001,166.50,289200,8.27869
2011-11-17,172.99999,173.50,167.00001,169.50001,610000,8.42785
2011-11-16,170.49999,174.50001,170.49999,174.50001,358000,8.67646
2011-11-15,173.50,174.50001,171.50,172.99999,375600,8.60188
2011-11-14,172.00001,177.00001,172.00001,174.50001,457300,8.67646
2011-11-11,169.50001,172.50,169.00,172.00001,6013200,8.55216
2011-11-10,162.00001,169.00,159.00,167.50,241900,8.32841
2011-11-09,167.99999,170.49999,162.99999,164.50001,316000,8.17924
2011-11-08,169.50001,171.00,166.50,167.00001,297000,8.30355
2011-11-07,172.00001,172.00001,167.99999,169.50001,437100,8.42785
