Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,56.00,56.00,56.00,56.00,000,54.6547
2015-12-30,56.35,56.70,55.65,56.00,1437600,54.6547
2015-12-29,56.00,56.50,55.90,56.50,554100,55.1427
2015-12-28,56.15,56.75,55.45,55.85,415000,54.5083
2015-12-25,56.30,56.30,56.30,56.30,000,54.9475
2015-12-24,56.30,56.30,56.30,56.30,000,54.9475
2015-12-23,55.35,56.30,55.35,56.30,837800,54.9475
2015-12-22,55.45,55.60,54.80,55.05,732500,53.7275
2015-12-21,55.40,56.25,55.30,55.45,924400,54.1179
2015-12-18,56.40,56.75,55.20,55.55,1482100,54.2155
2015-12-17,55.75,57.35,55.75,56.95,2355400,55.5819
2015-12-16,53.00,55.55,52.75,55.05,2714800,53.7275
2015-12-15,52.60,53.25,52.35,52.65,1067700,51.3852
2015-12-14,53.40,53.75,52.45,52.55,1267500,51.2876
2015-12-11,53.75,53.90,52.45,53.00,1474800,51.7268
2015-12-10,53.90,54.20,53.30,53.75,1459900,52.4588
2015-12-09,53.80,54.10,52.85,53.95,1030700,52.654
2015-12-08,54.70,54.80,53.40,54.10,983500,52.8003
2015-12-07,55.50,55.80,55.05,55.05,1195800,53.7275
2015-12-04,56.45,56.45,55.05,55.85,750300,54.5083
2015-12-03,57.55,57.60,56.10,56.45,828700,55.0939
2015-12-02,57.05,57.75,56.90,57.35,1039400,55.9723
2015-12-01,57.00,57.75,56.85,57.25,902700,55.8747
2015-11-30,56.10,56.85,55.70,56.85,1450800,55.4843
2015-11-27,55.80,56.15,55.45,56.10,492400,54.7523
2015-11-26,55.85,56.35,55.70,55.90,663600,54.5571
2015-11-25,55.70,56.15,55.35,55.80,1154100,54.4595
2015-11-24,56.10,56.15,54.90,55.25,896000,53.9227
2015-11-23,56.05,56.30,55.40,56.10,649200,54.7523
2015-11-20,56.25,56.85,55.95,56.30,845700,54.9475
2015-11-19,55.60,56.45,55.60,56.25,2786600,54.8987
2015-11-18,55.30,55.80,54.95,55.60,1297100,54.2643
2015-11-17,54.00,55.55,54.00,55.45,874100,54.1179
2015-11-16,53.75,54.00,53.15,53.75,1173600,52.4588
2015-11-13,54.85,55.10,53.70,53.80,1075300,52.5076
2015-11-12,55.85,56.25,54.60,54.85,1459300,53.5323
2015-11-11,56.25,56.60,55.80,55.85,2081200,54.5083
2015-11-10,56.70,56.90,55.75,55.85,976500,54.5083
2015-11-09,57.50,57.65,56.75,56.75,1156300,55.3867
2015-11-06,57.10,58.40,56.65,57.40,1438400,56.0211
2015-11-05,57.10,57.75,56.85,57.10,1363200,55.7283
2015-11-04,57.05,57.90,56.75,56.85,1597500,55.4843
2015-11-03,55.80,57.25,55.80,56.80,1850500,55.4355
2015-11-02,56.00,56.35,55.60,55.75,1060600,54.4107
2015-10-30,55.25,56.35,55.25,56.35,805600,54.9963
2015-10-29,55.90,56.00,54.65,55.20,933800,53.8739
2015-10-28,54.65,55.65,54.30,55.60,1091300,54.2643
2015-10-27,54.55,54.70,54.10,54.20,1934000,52.8979
2015-10-26,55.45,55.75,54.15,54.60,1818000,53.2883
2015-10-23,54.05,55.70,53.35,55.50,3089500,54.1667
2015-10-22,52.05,53.45,51.05,53.30,2958500,52.0196
2015-10-21,56.05,56.05,52.05,52.85,3869600,50.5068
2015-10-20,54.15,55.60,54.15,55.60,2505900,53.1349
2015-10-19,54.25,54.95,54.25,54.85,710800,52.4181
2015-10-16,54.60,55.05,54.05,54.40,781400,51.9881
2015-10-15,56.00,56.05,54.25,54.55,1689000,52.1314
2015-10-14,56.15,56.15,55.15,55.95,942600,53.4694
2015-10-13,57.00,57.00,55.80,56.25,1132200,53.7561
2015-10-12,56.95,57.35,56.10,56.90,926000,54.3772
2015-10-09,56.20,57.10,56.05,56.95,1060000,54.425
2015-10-08,56.20,56.60,54.85,55.90,2269500,53.4216
2015-10-07,57.50,57.75,56.80,57.05,1269300,54.5206
2015-10-06,57.30,57.50,56.65,57.50,1107800,54.9506
2015-10-05,56.10,57.60,55.60,57.35,1139100,54.8073
2015-10-02,54.45,56.05,54.25,55.15,1238900,52.7048
2015-10-01,55.15,55.40,54.05,54.30,812800,51.8925
2015-09-30,54.60,55.00,54.10,54.80,1064000,52.3703
2015-09-29,52.70,53.85,52.25,53.55,902100,51.1758
2015-09-28,53.95,54.35,53.15,53.25,880600,50.8891
2015-09-25,53.55,54.25,53.15,53.95,663500,51.558
2015-09-24,54.80,54.85,52.65,52.85,820400,50.5068
2015-09-23,53.95,55.25,53.60,54.80,975100,52.3703
2015-09-22,55.10,55.30,53.75,53.95,704600,51.558
2015-09-21,54.85,56.05,54.50,55.05,1253000,52.6093
2015-09-18,55.25,55.65,54.55,55.10,1536600,52.657
2015-09-17,55.20,55.55,54.80,55.40,969900,52.9437
2015-09-16,54.50,55.45,54.40,55.05,1483100,52.6093
2015-09-15,55.50,55.50,53.80,54.10,1580900,51.7014
2015-09-14,56.40,56.70,55.30,55.50,941100,53.0393
2015-09-11,56.25,56.70,55.55,56.45,898800,53.9472
2015-09-10,56.60,57.25,56.00,56.15,1188500,53.6605
2015-09-09,57.35,57.80,56.85,56.90,1278700,54.3772
2015-09-08,56.45,57.10,55.90,56.25,2403300,53.7561
2015-09-07,55.15,56.80,54.95,55.90,1788700,53.4216
2015-09-04,54.95,55.15,54.45,54.55,1206600,52.1314
2015-09-03,54.70,56.00,54.60,55.60,1401700,53.1349
2015-09-02,54.00,54.40,53.05,54.05,1720700,51.6536
2015-09-01,54.45,54.70,52.80,53.50,2790800,51.128
2015-08-31,54.75,55.10,53.85,55.00,1240300,52.5615
2015-08-28,55.90,56.10,54.10,54.75,3078100,52.3226
2015-08-27,58.25,58.50,56.10,56.15,2894200,53.6605
2015-08-26,56.80,57.90,55.85,56.95,1418700,54.425
2015-08-25,54.40,57.80,54.35,57.45,2273400,54.9029
2015-08-24,54.75,55.00,52.70,53.75,2243300,51.3669
2015-08-21,56.95,57.95,55.80,55.95,2241700,53.4694
2015-08-20,58.45,58.50,57.20,57.60,1171800,55.0462
2015-08-19,59.65,59.80,58.50,58.60,2005900,56.0019
2015-08-18,60.55,60.90,59.60,59.75,1036700,57.1009
2015-08-17,60.50,60.90,59.95,60.55,1122600,57.8654
2015-08-14,60.95,60.95,60.25,60.40,718900,57.7221
2015-08-13,60.35,60.90,60.05,60.70,927100,58.0088
2015-08-12,61.00,61.00,59.40,59.90,913500,57.2442
2015-08-11,62.50,62.50,61.10,61.50,1082800,58.7733
2015-08-10,62.30,62.55,61.65,62.50,874700,59.729
2015-08-07,62.45,62.50,61.85,61.95,802300,59.2033
2015-08-06,63.00,63.10,62.40,62.50,741400,59.729
2015-08-05,63.25,63.70,62.90,63.00,862100,60.2068
2015-08-04,63.20,63.25,62.25,63.20,1108300,60.3979
2015-08-03,62.95,63.65,62.95,63.25,910300,60.4457
2015-07-31,62.85,63.00,62.45,62.95,1020900,60.159
2015-07-30,63.00,63.15,62.25,62.80,1465700,60.0156
2015-07-29,61.70,62.60,61.30,62.60,2152800,59.8245
2015-07-28,61.55,62.20,61.00,61.30,1206400,58.5822
2015-07-27,62.40,62.45,60.85,61.05,693300,58.3432
2015-07-24,62.50,62.80,61.90,62.50,688900,59.729
2015-07-23,62.40,62.60,61.85,62.35,860700,59.5856
2015-07-22,63.50,63.60,62.30,62.40,1000200,59.6334
2015-07-21,64.35,64.55,63.45,63.50,1042900,60.6846
