Date,Open,High,Low,Close,Volume,Adj Close
2016-09-27,285.50,286.30,283.50,285.60,251200,285.60
2016-09-26,286.80,287.80,284.30,284.70,260000,284.70
2016-09-23,289.70,289.70,286.20,287.10,228100,287.10
2016-09-22,289.50,290.40,286.60,289.50,288300,289.50
2016-09-21,290.50,290.60,286.10,286.50,255300,286.50
2016-09-20,292.10,292.20,288.70,288.70,260000,288.70
2016-09-19,287.30,292.50,287.00,292.50,426400,292.50
2016-09-16,286.40,289.30,285.10,285.20,1545400,285.20
2016-09-15,285.70,288.10,284.20,287.90,240200,287.90
2016-09-14,286.00,287.60,284.80,285.70,221600,285.70
2016-09-13,287.00,288.50,284.60,285.60,427100,285.60
2016-09-12,284.60,285.40,282.50,285.40,307700,285.40
2016-09-09,290.00,290.00,285.30,286.50,378600,286.50
2016-09-08,294.00,294.00,289.20,290.00,426000,290.00
2016-09-07,295.00,295.40,291.50,293.70,328400,293.70
2016-09-06,296.00,296.00,292.20,294.30,286600,294.30
2016-09-05,295.00,296.10,292.80,295.70,219300,295.70
2016-09-02,293.00,295.50,291.80,295.50,293900,295.50
2016-09-01,292.50,294.80,290.90,291.80,416200,291.80
2016-08-31,297.30,297.50,290.10,292.90,701400,292.90
2016-08-30,299.40,301.10,297.10,297.10,416000,297.10
2016-08-29,300.50,301.50,297.70,298.90,171200,298.90
2016-08-26,301.00,301.50,299.00,300.60,167600,300.60
2016-08-25,300.50,302.20,299.80,301.00,209600,301.00
2016-08-24,303.10,304.90,300.40,300.90,308000,300.90
2016-08-23,304.00,305.30,301.90,303.50,410300,303.50
2016-08-22,303.40,307.00,301.00,303.10,501400,303.10
2016-08-19,305.50,306.40,299.30,301.90,330200,301.90
2016-08-18,299.50,308.90,299.50,306.80,730900,306.80
2016-08-17,294.90,303.80,293.70,299.50,1329900,299.50
2016-08-16,289.50,291.10,287.50,287.50,285000,287.50
2016-08-15,289.50,293.30,289.00,291.20,280300,291.20
2016-08-12,288.40,289.50,287.70,288.60,172900,288.60
2016-08-11,288.90,290.50,287.70,289.20,280500,289.20
2016-08-10,290.50,291.30,286.60,287.90,334700,287.90
2016-08-09,287.50,292.90,287.50,292.50,383000,292.50
2016-08-08,290.10,290.10,283.50,288.00,379900,288.00
2016-08-05,289.50,291.90,287.60,290.30,206900,290.30
2016-08-04,287.60,289.30,286.50,289.30,182900,289.30
2016-08-03,287.00,287.80,284.70,287.50,183300,287.50
2016-08-02,287.80,287.80,284.10,286.10,256600,286.10
2016-08-01,287.00,288.80,284.40,288.60,228000,288.60
2016-07-29,287.00,287.60,284.50,286.30,260300,286.30
2016-07-28,288.90,291.20,286.80,287.10,210800,287.10
2016-07-27,286.50,288.90,286.50,288.50,183500,288.50
2016-07-26,288.70,288.90,285.70,286.70,202100,286.70
2016-07-25,286.50,289.20,286.00,289.00,166100,289.00
2016-07-22,286.30,287.20,284.30,286.50,133400,286.50
2016-07-21,288.20,288.80,285.10,286.30,209400,286.30
2016-07-20,286.20,289.90,285.70,288.20,241400,288.20
2016-07-19,284.80,285.80,282.70,283.90,237000,283.90
2016-07-18,285.70,288.50,284.50,285.50,176300,285.50
2016-07-15,288.50,289.00,283.70,285.60,228400,285.60
2016-07-14,287.40,290.00,287.30,287.90,199400,287.90
2016-07-13,286.20,290.60,285.20,286.80,268500,286.80
2016-07-12,286.00,289.40,284.50,286.20,271600,286.20
2016-07-11,282.10,287.60,282.00,286.00,259100,286.00
2016-07-08,279.70,282.20,278.40,280.90,258100,280.90
2016-07-07,277.60,283.40,277.20,278.30,235500,278.30
2016-07-06,280.00,285.80,277.50,277.50,537700,277.50
2016-07-05,279.70,281.90,277.40,281.30,247900,281.30
2016-07-04,284.60,285.40,279.60,279.70,223600,279.70
2016-07-01,282.00,284.80,280.80,284.40,399900,284.40
2016-06-30,278.10,282.00,274.80,281.70,582000,281.70
2016-06-29,275.10,278.70,273.90,277.80,326600,277.80
2016-06-28,268.30,277.80,266.40,272.10,574900,272.10
2016-06-27,260.40,266.30,260.40,262.00,646500,262.00
2016-06-24,272.00,272.00,272.00,272.00,000,272.00
2016-06-23,271.80,275.40,270.50,272.00,256500,272.00
2016-06-22,273.80,274.00,271.30,272.30,191100,272.30
2016-06-21,271.00,274.30,269.60,273.80,330100,273.80
2016-06-20,270.00,272.20,268.40,271.80,261000,271.80
2016-06-17,266.80,268.50,265.60,267.50,529300,267.50
2016-06-16,265.20,266.60,263.30,265.30,460700,265.30
2016-06-15,270.00,270.00,266.70,267.50,405600,267.50
2016-06-14,268.00,271.20,266.70,268.70,341600,268.70
2016-06-13,272.90,274.30,269.90,270.20,480800,270.20
2016-06-10,289.50,289.60,276.00,276.30,748500,276.30
2016-06-09,297.00,298.10,292.90,292.90,300000,292.90
2016-06-08,296.50,298.60,295.20,297.70,283000,297.70
2016-06-07,295.40,297.40,293.30,297.40,444100,297.40
2016-06-06,294.60,294.60,294.60,294.60,000,294.60
2016-06-03,295.10,296.00,292.20,294.60,358100,294.60
2016-06-02,291.50,295.80,289.00,295.80,455700,295.80
2016-06-01,293.50,294.50,290.00,290.60,298000,290.60
2016-05-31,289.80,294.20,287.20,293.70,1961800,293.70
2016-05-30,284.60,290.00,284.40,289.80,322000,289.80
2016-05-27,283.50,284.60,282.70,284.20,413900,284.20
2016-05-26,284.50,286.40,282.60,284.00,308400,284.00
2016-05-25,282.40,285.60,281.40,285.10,371600,285.10
2016-05-24,279.30,283.30,277.00,282.40,410900,282.40
2016-05-23,278.60,279.50,276.50,279.00,272900,279.00
2016-05-20,274.60,278.50,274.30,278.50,336700,278.50
2016-05-19,276.40,276.50,269.30,273.30,526600,273.30
2016-05-18,278.20,279.00,275.80,276.50,387500,276.50
