Date,Open,High,Low,Close,Volume,Adj Close
2007-12-28,110.00,115.00,109.75,115.00,333500,83.83
2007-12-27,109.00,110.75,109.00,110.75,210900,80.73
2007-12-21,106.50,109.75,106.50,108.50,266000,79.09
2007-12-20,104.75,107.50,104.50,106.50,249100,77.63
2007-12-19,104.50,105.50,102.00,104.50,355700,76.18
2007-12-18,103.00,106.00,103.00,105.00,202200,76.54
2007-12-17,106.00,107.00,103.75,104.00,205200,75.81
2007-12-14,107.00,108.25,106.75,107.00,188600,78.00
2007-12-13,109.00,109.50,107.50,107.75,174600,78.55
2007-12-12,107.00,110.75,107.00,109.50,280200,79.82
2007-12-11,111.00,111.00,108.50,110.50,201000,80.55
2007-12-10,112.00,112.50,110.75,111.50,103800,81.28
2007-12-07,108.00,115.00,108.00,113.00,362000,82.37
2007-12-06,106.50,110.00,106.50,108.00,364800,78.73
2007-12-05,106.50,108.50,105.25,106.50,213500,77.63
2007-12-04,109.50,109.50,106.50,107.50,119300,78.36
2007-12-03,109.50,110.75,107.50,109.50,693100,79.82
2007-11-30,102.50,109.00,102.00,109.00,636900,79.46
2007-11-29,105.00,105.25,104.00,104.75,457500,76.36
2007-11-28,102.50,104.50,102.50,103.75,252400,75.63
2007-11-27,103.75,103.75,102.00,102.25,1167700,74.54
2007-11-26,102.50,106.00,102.50,103.00,193900,75.08
2007-11-23,100.00,103.25,100.00,102.50,147200,74.72
2007-11-22,99.00,103.50,99.00,102.00,219800,74.35
2007-11-21,99.50,100.50,99.25,100.50,186800,73.26
2007-11-20,102.00,102.25,98.00,101.75,158400,74.17
2007-11-19,105.00,105.25,100.25,100.50,287700,73.26
2007-11-16,105.00,106.00,103.25,105.00,246700,76.54
2007-11-15,105.50,105.75,103.25,104.50,154600,76.18
2007-11-14,108.00,108.00,105.00,105.50,288000,76.91
2007-11-13,106.00,106.75,103.75,103.75,274500,75.63
2007-11-12,105.50,107.75,105.25,107.00,231800,78.00
2007-11-09,109.50,109.50,104.75,107.75,389700,78.55
2007-11-08,98.50,110.50,97.25,110.25,781600,80.37
2007-11-07,99.50,99.50,95.00,98.25,206700,71.62
2007-11-06,102.00,102.00,97.50,98.25,180300,71.62
2007-11-05,100.50,101.25,100.25,100.25,230200,73.08
2007-11-02,100.75,101.00,100.25,100.75,50700,73.44
2007-11-01,100.75,101.00,99.50,100.00,218800,72.90
2007-10-31,101.75,102.00,100.00,101.50,191900,73.99
2007-10-30,101.50,102.00,101.50,101.75,113400,74.17
2007-10-29,101.75,102.00,101.50,102.00,69700,74.35
2007-10-26,100.50,101.25,100.25,100.75,69900,73.44
2007-10-25,102.00,102.00,100.25,101.00,205300,73.63
2007-10-24,101.00,101.75,100.00,100.00,82600,72.90
2007-10-23,99.50,102.00,99.50,101.50,145100,73.99
2007-10-22,98.50,99.50,98.00,99.25,524000,72.35
2007-10-19,103.00,103.00,101.00,101.25,175100,73.81
2007-10-18,102.75,104.50,101.50,102.00,74900,74.35
2007-10-17,99.50,105.25,99.25,104.25,184100,75.99
2007-10-16,102.50,102.50,101.00,101.50,235500,73.99
2007-10-15,103.75,105.25,102.50,103.00,151000,75.08
2007-10-12,104.00,104.25,103.00,104.00,130000,75.81
2007-10-11,104.25,105.00,103.75,104.75,526400,76.36
2007-10-10,104.00,104.50,102.25,102.50,152200,74.72
2007-10-09,103.00,105.00,103.00,104.75,75100,76.36
2007-10-08,106.00,106.00,103.50,104.75,96100,76.36
