Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,180.5001,183.00,180.5001,183.00,105500,41.105
2011-12-29,180.5001,183.9999,180.5001,182.0001,14600,40.8804
2011-12-28,180.5001,184.50,180.5001,182.4999,52600,40.9927
2011-12-27,183.9999,186.00,183.9999,183.9999,13100,41.3296
2011-12-26,186.9999,186.9999,186.9999,186.9999,000,42.0035
2011-12-23,186.5001,186.9999,182.4999,184.50,36300,41.4419
2011-12-22,186.9999,188.0001,186.9999,186.9999,32500,42.0035
2011-12-21,182.4999,188.4999,182.4999,187.50,105800,42.1158
2011-12-20,176.0001,189.00,176.0001,188.0001,72300,42.2281
2011-12-19,171.5001,178.50,171.5001,176.4999,39900,39.645
2011-12-16,170.4999,179.0001,170.4999,177.00,37000,39.7573
2011-12-15,171.9999,174.9999,171.9999,173.0001,47800,38.8589
2011-12-14,173.0001,174.5001,169.50,171.9999,136900,38.6342
2011-12-13,165.00,173.0001,165.00,173.0001,19300,38.8589
2011-12-12,167.4999,171.5001,164.4999,165.00,16600,37.0619
2011-12-09,168.5001,173.0001,165.5001,171.9999,21500,38.6342
2011-12-08,173.4999,174.9999,168.00,168.5001,29600,37.8481
2011-12-07,170.0001,173.4999,170.0001,173.4999,23700,38.9711
2011-12-06,167.0001,174.00,167.0001,174.00,13200,39.0835
2011-12-05,168.9999,173.4999,166.50,173.4999,29400,38.9711
2011-12-02,162.5001,170.0001,162.5001,170.0001,65800,38.185
2011-12-01,167.4999,169.50,165.00,165.00,49200,37.0619
2011-11-30,167.4999,170.0001,163.50,170.0001,133400,38.185
2011-11-29,162.00,168.00,162.00,168.00,28300,37.7358
2011-11-28,166.50,168.00,165.9999,166.50,40700,37.3988
2011-11-25,163.50,165.00,157.50,162.9999,20700,36.6126
2011-11-24,156.9999,164.0001,156.9999,162.9999,42000,36.6126
2011-11-23,156.9999,159.9999,156.5001,158.4999,19600,35.6019
2011-11-22,162.5001,162.5001,158.4999,159.9999,31100,35.9388
2011-11-21,169.50,169.50,159.9999,159.9999,49300,35.9388
2011-11-18,166.50,168.5001,162.9999,166.50,59000,37.3988
2011-11-17,168.5001,169.50,165.9999,165.9999,63100,37.2865
2011-11-16,173.4999,173.4999,169.50,170.0001,41000,38.185
2011-11-15,174.5001,174.5001,171.00,172.50,22700,38.7465
2011-11-14,173.4999,174.9999,173.4999,174.5001,8500,39.1958
2011-11-11,171.5001,174.9999,171.5001,174.5001,5100,39.1958
2011-11-10,169.50,174.9999,169.50,174.9999,29600,39.3081
2011-11-09,173.4999,173.4999,168.9999,170.0001,16000,38.185
2011-11-08,174.00,174.00,172.50,173.0001,8300,38.8589
2011-11-07,176.0001,176.0001,173.0001,174.9999,62300,39.3081
2011-11-04,174.9999,177.00,174.9999,176.0001,10300,39.5327
2011-11-03,174.5001,174.9999,174.00,174.5001,20300,39.1958
2011-11-02,171.9999,174.9999,171.9999,174.5001,64600,39.1958
2011-11-01,173.4999,173.4999,164.0001,171.9999,53500,38.6342
2011-10-31,176.0001,177.00,171.9999,174.9999,76200,39.3081
2011-10-28,176.4999,177.9999,174.00,176.0001,284600,39.5327
2011-10-27,174.5001,177.00,174.00,176.4999,386000,39.645
2011-10-26,171.00,174.9999,171.00,174.9999,13700,39.3081
2011-10-25,174.9999,176.0001,170.0001,171.5001,47700,38.5219
2011-10-24,171.00,174.9999,170.4999,174.9999,26800,39.3081
2011-10-21,170.0001,173.4999,165.5001,173.4999,34900,38.9711
2011-10-20,174.9999,174.9999,169.50,172.50,2000,38.7465
2011-10-19,174.9999,174.9999,173.4999,174.9999,13900,39.3081
2011-10-18,173.0001,174.9999,172.50,174.9999,10900,39.3081
2011-10-17,173.0001,176.0001,173.0001,174.9999,68500,39.3081
2011-10-14,170.4999,174.9999,170.4999,174.9999,13800,39.3081
2011-10-13,174.9999,174.9999,170.0001,170.0001,19600,38.185
2011-10-12,174.00,174.9999,171.5001,174.9999,16700,39.3081
2011-10-11,177.00,177.00,171.00,174.9999,23200,39.3081
2011-10-10,171.9999,174.9999,171.00,174.9999,65700,39.3081
2011-10-07,167.0001,173.4999,166.50,171.9999,48700,38.6342
2011-10-06,164.0001,168.9999,164.0001,167.0001,18000,37.5112
2011-10-05,161.4999,162.5001,154.50,161.0001,100100,36.1635
2011-10-04,165.9999,165.9999,156.9999,160.50,30100,36.0511
2011-10-03,161.4999,168.9999,161.4999,168.9999,28100,37.9603
2011-09-30,170.4999,173.0001,161.4999,164.4999,15300,36.9496
2011-09-29,166.50,171.00,165.5001,168.9999,35400,37.9603
2011-09-28,168.9999,168.9999,162.9999,165.00,48000,37.0619
2011-09-27,168.00,168.00,162.5001,168.00,25800,37.7358
2011-09-26,159.9999,165.00,155.0001,162.00,112300,36.388
2011-09-23,168.9999,168.9999,159.00,164.4999,93900,36.9496
2011-09-22,169.50,170.4999,163.50,167.4999,73700,37.6234
2011-09-21,165.9999,171.9999,165.9999,171.9999,141100,38.6342
2011-09-20,165.9999,167.0001,164.4999,165.5001,122200,37.1742
2011-09-19,166.50,167.0001,161.0001,164.0001,53400,36.8373
2011-09-16,170.0001,170.4999,167.4999,170.0001,18200,38.185
2011-09-15,167.0001,172.50,167.0001,170.4999,1828100,38.2973
2011-09-14,174.00,174.00,167.0001,170.0001,1085000,38.185
2011-09-13,171.00,173.0001,165.9999,173.0001,26900,38.8589
2011-09-12,168.9999,170.0001,167.0001,170.0001,28800,38.185
2011-09-09,172.50,176.4999,171.5001,173.0001,37900,38.8589
2011-09-08,177.5001,177.5001,173.4999,175.50,16200,39.4204
2011-09-07,174.00,177.00,171.9999,177.00,8100,39.7573
2011-09-06,174.9999,174.9999,168.00,171.5001,25400,38.5219
2011-09-05,176.0001,176.4999,171.9999,171.9999,13600,38.6342
2011-09-02,188.0001,188.0001,180.00,182.0001,8800,40.8804
2011-09-01,185.0001,191.0001,182.0001,191.0001,29500,42.902
2011-08-31,175.50,189.5001,175.50,188.4999,24000,42.3404
2011-08-30,174.9999,181.50,174.5001,181.50,56400,40.7681
2011-08-29,174.9999,176.0001,173.0001,174.5001,46200,39.1958
2011-08-26,177.5001,177.5001,172.50,174.9999,63500,39.3081
2011-08-25,174.00,176.0001,172.50,175.50,30500,39.4204
2011-08-24,177.00,177.9999,173.4999,175.50,76700,39.4204
2011-08-23,174.5001,177.00,171.9999,175.50,61500,39.4204
2011-08-22,159.5001,170.0001,159.5001,170.0001,50300,38.185
2011-08-19,170.4999,170.4999,158.0001,159.9999,139200,35.9388
2011-08-18,168.5001,171.5001,165.00,170.4999,34700,38.2973
2011-08-17,171.9999,174.9999,170.4999,174.9999,22600,39.3081
2011-08-16,174.5001,179.4999,167.0001,174.00,42400,39.0835
2011-08-15,176.0001,177.00,173.4999,174.9999,40400,39.3081
2011-08-12,168.9999,174.9999,168.9999,174.00,42300,39.0835
2011-08-11,164.4999,171.9999,164.4999,170.4999,42700,38.2973
2011-08-10,167.0001,167.4999,159.9999,163.50,170400,36.725
2011-08-09,171.00,171.9999,153.5001,165.00,288400,37.0619
2011-08-08,179.0001,179.0001,166.50,170.0001,206600,38.185
2011-08-05,174.00,180.9999,171.00,180.9999,138800,40.6558
2011-08-04,180.5001,188.0001,179.0001,183.5001,100500,41.2173
2011-08-03,191.0001,191.0001,170.4999,180.5001,106400,40.5435
2011-08-02,190.50,194.4999,186.00,194.4999,79700,43.6881
2011-08-01,192.9999,195.9999,188.4999,190.50,28500,42.7896
2011-07-29,191.0001,194.0001,189.00,192.9999,22100,43.3512
2011-07-28,186.00,191.0001,186.00,189.00,50200,42.4527
2011-07-27,192.9999,192.9999,188.0001,189.5001,31100,42.5651
2011-07-26,196.50,200.0001,194.4999,196.50,33300,44.1374
2011-07-25,194.0001,198.5001,189.9999,198.5001,18100,44.5866
2011-07-22,192.5001,195.00,192.5001,194.0001,15400,43.5758
2011-07-21,192.9999,194.0001,176.0001,192.5001,58100,43.2389
2011-07-20,189.9999,194.4999,189.9999,193.50,62000,43.4635
2011-07-19,185.0001,191.4999,185.0001,191.4999,26500,43.0142
2011-07-18,192.9999,192.9999,185.0001,185.4999,19000,41.6665
2011-07-15,195.9999,195.9999,191.0001,195.00,35200,43.8004
2011-07-14,195.00,200.0001,195.00,195.9999,10100,44.025
2011-07-13,198.00,200.0001,197.0001,200.0001,12500,44.9235
2011-07-12,194.4999,199.50,191.4999,199.50,24900,44.8112
2011-07-11,198.00,200.4999,197.0001,200.4999,37800,45.0358
2011-07-08,200.0001,203.4999,198.5001,198.9999,17900,44.6989
2011-07-07,199.50,201.00,198.00,201.00,23700,45.1481
2011-07-06,198.5001,199.50,198.00,198.9999,10000,44.6989
2011-07-05,198.00,198.5001,197.0001,197.0001,22200,44.2497
2011-07-04,200.0001,200.4999,198.00,198.00,98500,44.4743
2011-07-01,205.50,205.50,200.0001,200.0001,48900,44.9235
2011-06-30,198.00,204.00,198.00,202.50,76500,45.4851
2011-06-29,197.4999,199.50,196.50,198.00,18400,44.4743
2011-06-28,192.00,192.9999,186.5001,189.9999,23100,42.6773
2011-06-27,189.5001,192.9999,186.00,192.9999,91400,43.3512
2011-06-23,189.9999,189.9999,183.9999,188.4999,31000,42.3404
2011-06-22,192.9999,192.9999,188.0001,189.5001,25700,42.5651
2011-06-21,183.00,192.5001,180.5001,191.4999,288100,43.0142
2011-06-20,189.00,191.0001,182.0001,182.0001,64000,40.8804
2011-06-17,186.9999,192.00,186.9999,188.4999,200200,42.3404
2011-06-16,195.00,195.00,186.00,189.5001,979900,42.5651
2011-06-15,197.0001,197.0001,192.5001,195.5001,184700,43.9128
2011-06-14,191.0001,197.4999,191.0001,197.4999,159500,44.3619
2011-06-13,195.5001,197.0001,191.0001,193.50,49900,43.4635
2011-06-10,198.5001,199.50,192.5001,192.5001,41400,43.2389
2011-06-09,192.9999,198.5001,191.0001,198.5001,43600,44.5866
2011-06-08,195.00,195.00,192.5001,195.00,36300,43.8004
2011-06-07,193.50,198.00,192.9999,198.00,20800,44.4743
2011-06-03,198.00,198.5001,192.00,198.5001,75500,44.5866
2011-06-01,197.0001,200.0001,195.9999,199.50,23500,44.8112
2011-05-31,201.00,204.00,189.9999,197.4999,72300,44.3619
2011-05-30,201.9999,203.4999,199.50,203.0001,32800,45.5974
2011-05-27,207.5001,207.5001,203.0001,204.9999,22800,46.0466
2011-05-26,205.50,209.0001,204.00,207.00,30000,46.4958
2011-05-25,206.4999,206.4999,203.0001,206.0001,13900,46.2712
2011-05-24,206.0001,210.00,205.50,207.5001,14800,46.6082
2011-05-23,204.9999,210.00,201.5001,205.50,83400,46.1589
2011-05-20,215.0001,215.0001,207.9999,208.50,30100,46.8328
2011-05-19,211.50,213.00,209.0001,209.0001,7700,46.9451
2011-05-18,215.0001,215.0001,210.9999,210.9999,41200,47.3943
