Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,158.90,158.90,158.90,158.90,000,153.872
2015-12-30,160.00,160.40,157.70,158.90,116800,153.872
2015-12-29,159.50,161.60,159.50,159.90,117400,154.84
2015-12-28,162.00,162.00,158.50,159.50,53000,154.453
2015-12-25,160.70,160.70,160.70,160.70,000,155.615
2015-12-24,160.70,160.70,160.70,160.70,000,155.615
2015-12-23,158.70,160.80,157.40,160.70,55700,155.615
2015-12-22,155.60,157.70,155.40,156.80,90200,151.838
2015-12-21,155.60,158.80,155.60,157.00,121200,152.032
2015-12-18,159.50,159.50,156.30,157.50,223100,152.516
2015-12-17,161.50,161.80,159.20,160.00,224100,154.937
2015-12-16,158.50,159.60,156.80,158.70,199600,153.678
2015-12-15,155.40,158.80,155.40,158.50,103500,153.484
2015-12-14,157.70,159.50,155.50,155.50,116800,150.579
2015-12-11,162.50,162.50,155.70,157.70,127800,152.709
2015-12-10,161.50,163.60,161.40,162.50,106200,157.358
2015-12-09,164.20,164.20,160.50,163.90,128700,158.713
2015-12-08,168.90,169.00,162.90,162.90,141400,157.745
2015-12-07,169.70,171.00,168.70,169.00,155300,163.652
2015-12-04,167.00,168.90,165.20,168.70,346900,163.361
2015-12-03,166.00,170.70,166.00,167.60,239600,162.296
2015-12-02,167.70,170.30,167.70,169.50,89300,164.136
2015-12-01,167.80,168.70,166.60,167.70,166000,162.393
2015-11-30,168.00,168.70,166.40,167.80,118000,162.49
2015-11-27,167.40,167.70,165.50,167.30,88700,162.006
2015-11-26,166.30,167.40,165.60,166.60,58300,161.328
2015-11-25,164.80,166.10,163.60,165.50,83400,160.263
2015-11-24,167.20,167.20,163.00,163.90,96700,158.713
2015-11-23,168.00,168.20,166.00,167.40,93300,162.103
2015-11-20,167.00,167.70,165.30,167.60,111600,162.296
2015-11-19,166.60,168.80,166.30,166.70,614200,161.425
2015-11-18,167.10,167.40,165.70,166.60,91400,161.328
2015-11-17,163.20,167.30,163.20,167.10,984400,161.812
2015-11-16,164.10,164.10,161.60,163.20,122100,158.035
2015-11-13,165.70,165.70,163.10,164.10,95600,158.907
2015-11-12,168.30,168.30,165.30,165.60,74600,160.359
2015-11-11,166.20,168.80,166.20,167.80,216900,162.49
2015-11-10,168.10,169.50,165.60,166.10,96500,160.844
2015-11-09,170.20,171.20,168.50,168.90,102200,163.555
2015-11-06,169.90,170.80,169.30,170.00,127300,164.62
2015-11-05,170.60,171.70,169.80,169.90,102100,164.523
2015-11-04,170.00,171.10,168.90,170.70,133000,165.298
2015-11-03,169.80,170.60,168.60,168.80,124100,163.458
2015-11-02,167.40,170.20,167.40,169.70,153800,164.33
2015-10-30,169.00,169.00,166.40,167.10,53800,161.812
2015-10-29,166.50,166.70,164.60,165.90,79400,160.65
2015-10-28,164.30,166.10,163.20,165.70,84900,160.456
2015-10-27,167.00,167.00,164.00,164.40,83400,159.197
2015-10-26,166.70,167.80,165.00,166.70,128100,161.425
2015-10-23,166.00,168.10,166.00,166.50,159900,161.231
2015-10-22,161.40,165.40,159.90,165.40,188600,160.166
2015-10-21,164.60,164.70,161.90,162.30,169800,157.164
2015-10-20,166.00,166.00,162.50,164.70,89200,159.488
2015-10-19,165.10,166.70,164.40,164.60,119500,159.391
2015-10-16,165.00,168.00,164.20,165.30,147900,160.069
2015-10-15,163.50,165.10,162.50,165.10,114700,159.875
2015-10-14,163.70,164.70,162.70,163.10,86700,157.939
2015-10-13,168.40,168.40,163.80,164.00,200600,158.81
2015-10-12,167.50,169.80,165.60,168.10,304600,162.78
2015-10-09,167.60,168.00,165.50,166.60,121100,161.328
2015-10-08,164.70,166.30,163.60,166.20,186400,160.94
2015-10-07,166.00,167.60,164.70,164.70,228900,159.488
2015-10-06,165.00,166.70,163.20,165.20,283000,159.972
2015-10-05,158.90,164.80,158.60,164.50,92800,159.294
2015-10-02,158.00,159.70,155.20,157.60,132100,152.613
2015-10-01,159.20,160.10,155.80,156.30,232100,151.354
2015-09-30,156.10,158.90,156.10,158.50,358200,153.484
2015-09-29,152.10,156.00,152.10,154.80,248100,149.901
2015-09-28,154.90,156.20,154.40,155.30,259300,150.385
2015-09-25,154.20,156.70,154.20,156.40,166300,151.451
2015-09-24,156.00,157.30,152.20,152.80,149900,147.965
2015-09-23,156.60,157.80,155.60,156.60,105000,151.644
2015-09-22,161.00,161.00,155.80,157.00,146200,152.032
2015-09-21,158.10,162.30,158.10,160.50,135100,155.421
2015-09-18,163.00,163.50,159.60,160.30,195900,155.227
2015-09-17,162.70,164.60,162.70,164.40,305500,159.197
2015-09-16,159.70,163.20,159.70,162.60,158600,157.454
2015-09-15,157.90,160.10,157.30,159.30,126900,154.259
2015-09-14,161.10,162.00,158.60,158.70,105600,153.678
2015-09-11,162.90,162.90,160.60,161.10,100900,156.002
2015-09-10,162.30,162.30,160.50,161.80,131700,156.68
2015-09-09,163.90,165.10,162.40,162.80,134100,157.648
2015-09-08,157.60,160.80,157.20,160.20,102700,155.13
2015-09-07,155.70,157.60,155.70,156.80,86700,151.838
2015-09-04,158.90,158.90,155.00,155.80,161400,150.87
