Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,129.00,129.10,127.00,128.40,1681300,107.7129
2011-12-29,127.40,128.30,126.60,128.30,1328600,107.629
2011-12-28,128.20,129.00,127.30,127.60,1488600,107.0418
2011-12-27,129.70,129.90,128.10,128.50,510100,107.7968
2011-12-26,128.40,128.40,128.40,128.40,000,107.7129
2011-12-23,129.30,129.80,128.20,129.70,899800,108.8035
2011-12-22,126.70,128.50,126.40,128.40,2010200,107.7129
2011-12-21,126.80,128.80,125.80,126.70,2145600,106.2868
2011-12-20,122.20,126.80,121.70,126.30,3605000,105.9513
2011-12-19,122.50,125.00,122.20,123.00,1466800,103.1829
2011-12-16,123.90,124.30,122.10,123.90,2245500,103.9379
2011-12-15,122.50,124.20,121.40,123.90,1495600,103.9379
2011-12-14,124.70,125.40,121.80,122.20,1608000,102.5118
2011-12-13,122.60,126.00,122.10,124.90,2118600,104.7768
2011-12-12,125.20,125.20,122.30,122.70,1230100,102.9313
2011-12-09,123.00,126.80,122.70,125.40,1641800,105.1963
2011-12-08,128.20,128.30,124.00,124.40,2658700,104.3574
2011-12-07,128.90,129.80,125.50,127.60,2359500,107.0418
2011-12-06,128.00,129.00,127.00,127.90,2720700,107.2935
2011-12-05,128.50,129.90,127.50,128.90,1803200,108.1324
2011-12-02,125.60,127.60,125.40,127.60,1502000,107.0418
2011-12-01,125.40,126.40,124.20,125.10,1788800,104.9446
2011-11-30,120.40,126.90,120.00,125.60,3251800,105.364
2011-11-29,121.40,122.40,119.60,122.00,2287300,102.3441
2011-11-28,118.40,121.80,118.30,121.40,1259300,101.8407
2011-11-25,117.00,117.80,114.60,117.00,1872100,98.1496
2011-11-24,116.20,117.90,114.60,116.50,3305100,97.7302
2011-11-23,117.00,119.00,115.00,115.80,2849600,97.143
2011-11-22,118.60,119.40,116.70,118.10,1838100,99.0724
2011-11-21,120.60,121.80,117.50,117.90,2560900,98.9046
2011-11-18,121.80,122.50,120.90,121.40,1667900,101.8407
2011-11-17,122.90,124.00,121.00,122.40,1220800,102.6796
2011-11-16,124.00,126.10,123.30,123.70,1608500,103.7702
2011-11-15,124.60,125.50,123.10,125.00,1150000,104.8607
2011-11-14,128.00,128.80,124.80,125.40,1236400,105.1963
2011-11-11,124.00,127.90,123.10,127.50,1146500,106.9579
2011-11-10,121.30,125.80,121.20,123.30,1822800,103.4346
2011-11-09,128.70,129.10,122.60,124.30,2379600,104.2735
2011-11-08,126.80,130.40,126.50,128.00,2057100,107.3774
2011-11-07,127.70,128.70,125.50,126.80,2671200,106.3707
2011-11-04,126.60,129.50,126.00,128.40,1157400,107.7129
2011-11-03,122.00,126.70,121.90,125.80,2993500,105.5318
2011-11-02,123.20,124.10,121.00,123.80,2276200,103.854
2011-11-01,125.20,125.70,121.60,122.60,1925900,102.8474
2011-10-31,132.80,133.50,128.10,128.10,2316900,107.4613
2011-10-28,134.60,135.20,133.40,134.00,1572400,112.4107
2011-10-27,131.70,134.50,130.70,134.40,2542100,112.7462
2011-10-26,128.20,130.20,127.10,128.00,1613300,107.3774
2011-10-25,130.00,130.60,127.40,128.90,1928000,108.1324
2011-10-24,130.00,130.70,128.50,130.20,1858900,109.2229
2011-10-21,127.40,130.10,126.40,129.80,2395500,108.8874
2011-10-20,127.00,129.60,127.00,127.30,2856900,106.7901
2011-10-19,127.60,129.20,126.80,128.50,2120000,107.7968
2011-10-18,123.80,128.00,123.50,127.00,1967800,106.5385
2011-10-17,127.30,129.00,124.80,125.70,1499300,105.4479
2011-10-14,124.50,127.70,124.00,127.00,1932100,106.5385
2011-10-13,126.50,127.70,124.00,124.50,1591900,104.4413
2011-10-12,125.90,127.80,124.20,126.60,3461200,106.2029
2011-10-11,127.40,127.40,125.40,126.40,1901100,106.0351
2011-10-10,124.10,127.30,122.80,127.30,2348200,106.7901
2011-10-07,123.50,125.20,122.60,123.80,2113500,103.854
2011-10-06,121.60,123.50,120.60,123.50,2510100,103.6024
2011-10-05,119.60,120.90,117.10,120.70,1714100,101.2535
2011-10-04,119.10,119.20,115.20,117.00,3059100,98.1496
