Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,249.00,249.00,249.00,249.00,000,233.377
2014-12-30,248.20,252.00,246.50,249.00,159700,233.377
2014-12-29,248.10,249.00,246.40,248.50,124200,232.909
2014-12-26,248.00,248.00,248.00,248.00,000,232.44
2014-12-25,248.00,248.00,248.00,248.00,000,232.44
2014-12-24,248.00,248.00,248.00,248.00,000,232.44
2014-12-23,245.50,248.50,244.90,248.00,176600,232.44
2014-12-22,243.60,246.00,243.00,245.30,120800,229.909
2014-12-19,244.00,245.30,241.00,243.60,163600,228.316
2014-12-18,238.30,242.50,237.00,241.50,176900,226.348
2014-12-17,235.00,235.70,232.00,234.00,217400,219.318
2014-12-16,234.20,236.70,231.10,235.00,274500,220.256
2014-12-15,237.20,239.50,234.10,234.10,227500,219.412
2014-12-12,240.20,240.50,237.10,237.10,142000,222.224
2014-12-11,242.00,243.00,239.50,240.60,177400,225.504
2014-12-10,241.30,243.00,241.00,241.90,149700,226.723
2014-12-09,241.60,242.30,237.70,239.90,244800,224.848
2014-12-08,243.30,244.00,241.10,242.40,340300,227.191
2014-12-05,239.20,244.60,239.20,243.10,205500,227.847
2014-12-04,239.00,241.90,237.00,238.50,209400,223.536
2014-12-03,233.30,238.90,233.10,238.30,199300,223.349
2014-12-02,232.20,233.90,231.00,233.30,523200,218.662
2014-12-01,237.50,238.00,232.20,232.50,450100,217.912
2014-11-28,237.10,237.50,235.80,237.40,265200,222.505
2014-11-27,235.60,237.10,235.00,236.90,172400,222.036
2014-11-26,233.50,236.90,233.40,235.40,319900,220.631
2014-11-25,229.40,235.00,228.30,233.50,314300,218.85
2014-11-24,223.80,228.40,223.50,228.40,283700,214.07
2014-11-21,220.80,226.10,220.40,224.80,315600,210.696
2014-11-20,219.50,221.00,219.00,220.50,343900,206.665
2014-11-19,219.40,219.80,218.10,219.40,269700,205.634
2014-11-18,218.50,221.00,218.20,219.50,381200,205.728
2014-11-17,214.20,219.00,213.00,218.40,267100,204.697
2014-11-14,219.90,219.90,214.20,215.00,709700,201.51
2014-11-13,227.60,227.60,216.30,219.00,982600,205.259
2014-11-12,227.20,228.00,224.00,227.60,420300,213.32
2014-11-11,236.50,238.90,224.10,225.60,839100,211.445
2014-11-10,235.40,238.40,234.80,237.20,183800,222.318
2014-11-07,236.80,238.50,233.60,234.90,208100,220.162
2014-11-06,236.40,238.50,232.80,235.80,148900,221.005
2014-11-05,237.70,239.70,236.30,236.90,153200,222.036
2014-11-04,236.40,239.70,235.10,236.20,198100,221.38
2014-11-03,238.00,238.40,236.20,236.50,204800,221.661
2014-10-31,233.50,238.20,232.90,238.10,185600,223.161
2014-10-30,232.90,232.90,228.50,232.40,192100,217.819
2014-10-29,230.00,232.40,229.40,230.80,508900,216.319
2014-10-28,227.00,229.00,226.70,228.50,460000,214.163
2014-10-27,229.00,232.70,225.50,225.80,519100,211.633
2014-10-24,235.10,237.20,223.20,226.10,389600,211.914
2014-10-23,229.90,233.00,226.50,233.00,213700,218.381
2014-10-22,226.00,229.50,224.70,229.20,351400,214.82
2014-10-21,214.00,224.10,212.50,224.10,258800,210.039
2014-10-20,214.50,215.10,210.80,213.50,208300,200.105
