Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,9.50,9.50,9.50,9.50,000,9.14
2015-12-30,9.65,9.65,9.45,9.50,436500,9.14
2015-12-29,9.45,9.70,9.40,9.65,873000,9.285
2015-12-28,9.25,9.50,9.15,9.45,1861900,9.092
2015-12-25,9.25,9.25,9.25,9.25,000,8.90
2015-12-24,9.25,9.25,9.25,9.25,000,8.90
2015-12-23,9.15,9.30,9.15,9.25,397400,8.90
2015-12-22,9.05,9.20,9.00,9.15,886800,8.804
2015-12-21,8.90,9.05,8.90,9.00,598600,8.659
2015-12-18,9.00,9.00,8.90,9.00,955800,8.659
2015-12-17,8.95,9.05,8.95,9.00,741300,8.659
2015-12-16,8.90,8.95,8.75,8.90,594700,8.563
2015-12-15,8.95,9.00,8.80,8.90,857600,8.563
2015-12-14,8.85,9.00,8.75,8.80,927700,8.467
2015-12-11,8.85,8.85,8.75,8.80,799300,8.467
2015-12-10,8.85,9.15,8.75,8.85,675000,8.515
2015-12-09,8.80,8.90,8.55,8.85,961300,8.515
2015-12-08,9.05,9.20,8.75,8.80,997000,8.467
2015-12-07,9.15,9.20,9.05,9.20,1882400,8.852
2015-12-04,9.40,9.40,9.05,9.15,1489500,8.804
2015-12-03,9.50,9.50,9.25,9.35,1129400,8.996
2015-12-02,9.65,9.70,9.40,9.50,969500,9.14
2015-12-01,9.75,9.85,9.70,9.75,1082600,9.381
2015-11-30,9.60,9.90,9.55,9.85,6671800,9.477
2015-11-27,9.95,9.95,9.65,9.70,1792500,9.333
2015-11-26,9.95,10.05,9.70,9.95,2911100,9.573
2015-11-25,9.60,10.00,9.60,10.00,3916300,9.621
2015-11-24,9.55,9.70,9.50,9.65,2023100,9.285
2015-11-23,9.50,9.70,9.40,9.65,1526800,9.285
2015-11-20,9.45,9.60,9.25,9.55,1405800,9.188
2015-11-19,9.10,9.50,9.10,9.45,2066000,9.092
2015-11-18,9.10,9.10,9.00,9.10,326400,8.755
2015-11-17,9.10,9.25,9.05,9.10,476600,8.755
2015-11-16,9.00,9.10,9.00,9.10,557500,8.755
2015-11-13,9.10,9.15,8.95,9.10,497100,8.755
2015-11-12,8.95,9.25,8.95,9.15,1017100,8.804
2015-11-11,9.00,9.15,9.00,9.10,662100,8.755
2015-11-10,9.25,9.25,9.00,9.10,597300,8.755
2015-11-09,9.45,9.45,9.15,9.30,839800,8.948
2015-11-06,9.45,9.70,9.30,9.50,1194000,9.14
2015-11-05,9.40,9.55,9.25,9.50,1384200,9.14
2015-11-04,9.10,9.55,9.05,9.50,2646300,9.14
2015-11-03,9.20,9.20,8.95,9.05,904200,8.707
2015-11-02,8.85,9.20,8.75,9.20,1355000,8.852
2015-10-30,8.90,8.95,8.75,8.85,391400,8.515
2015-10-29,8.90,8.95,8.70,8.85,774300,8.515
2015-10-28,8.80,8.90,8.80,8.85,592800,8.515
2015-10-27,8.80,8.85,8.65,8.85,536200,8.515
2015-10-26,8.65,8.85,8.65,8.80,511000,8.467
2015-10-23,8.60,8.80,8.60,8.70,1387500,8.371
2015-10-22,8.70,8.75,8.45,8.55,984000,8.226
2015-10-21,8.50,8.70,8.40,8.65,1361700,8.323
2015-10-20,8.20,8.50,8.20,8.40,1518000,8.082
2015-10-19,8.10,8.25,8.10,8.25,1309800,7.938
2015-10-16,8.30,8.45,8.00,8.10,2636500,7.793
2015-10-15,8.20,8.35,8.20,8.35,438800,8.034
2015-10-14,8.30,8.35,8.25,8.25,1521800,7.938
2015-10-13,8.40,8.55,8.30,8.35,2102700,8.034
2015-10-12,8.30,8.50,8.30,8.40,1197900,8.082
2015-10-09,8.10,8.35,8.10,8.30,1645300,7.986
2015-10-08,7.95,8.10,7.95,8.10,383600,7.793
2015-10-07,7.95,8.15,7.95,7.95,848700,7.649
2015-10-06,8.00,8.05,7.95,8.05,517600,7.745
2015-10-05,7.85,8.05,7.85,8.05,946100,7.745
2015-10-02,7.90,7.90,7.75,7.85,362500,7.553
2015-10-01,8.00,8.00,7.75,7.75,517100,7.457
2015-09-30,8.00,8.05,7.90,7.90,745200,7.601
2015-09-29,7.75,8.05,7.75,8.05,1330900,7.745
2015-09-28,7.90,8.00,7.80,8.00,785200,7.697
2015-09-25,8.00,8.00,7.85,7.90,358600,7.601
2015-09-24,8.05,8.10,7.75,7.75,1138800,7.457
2015-09-23,7.85,8.15,7.80,8.10,1546800,7.793
2015-09-22,7.70,7.80,7.60,7.75,1533300,7.457
2015-09-21,7.60,7.75,7.60,7.70,431300,7.408
2015-09-18,7.80,7.80,7.60,7.65,2318700,7.36
2015-09-17,7.75,7.85,7.70,7.70,415500,7.408
2015-09-16,7.95,7.95,7.75,7.75,504900,7.457
2015-09-15,7.95,8.00,7.70,7.80,593500,7.505
2015-09-14,8.05,8.10,7.90,8.00,382100,7.697
2015-09-11,8.00,8.10,7.95,8.10,270800,7.793
2015-09-10,8.05,8.20,7.95,8.05,343300,7.745
2015-09-09,8.50,8.50,8.10,8.15,1062800,7.841
2015-09-08,8.10,8.40,8.00,8.30,647500,7.986
2015-09-07,8.20,8.20,8.00,8.05,402200,7.745
2015-09-04,8.05,8.15,7.85,8.00,392000,7.697
2015-09-03,8.00,8.10,7.85,8.05,257700,7.745
2015-09-02,7.80,7.85,7.70,7.85,768800,7.553
2015-09-01,7.95,7.95,7.65,7.70,689200,7.408
2015-08-31,8.05,8.05,7.90,8.00,230400,7.697
2015-08-28,8.00,8.20,7.95,7.95,409100,7.649
2015-08-27,8.10,8.15,8.10,8.10,591600,7.793
2015-08-26,7.80,8.00,7.70,7.80,815100,7.505
2015-08-25,7.55,7.95,7.55,7.80,2439800,7.505
2015-08-24,7.70,7.80,7.45,7.55,3172100,7.264
2015-08-21,8.00,8.20,7.95,8.00,650100,7.697
2015-08-20,8.25,8.25,8.15,8.20,1149700,7.89
2015-08-19,8.60,8.60,8.25,8.30,522400,7.986
2015-08-18,8.60,8.65,8.50,8.60,441400,8.274
2015-08-17,8.60,8.70,8.50,8.70,463000,8.371
2015-08-14,8.50,8.70,8.45,8.55,1062000,8.226
2015-08-13,8.50,8.55,8.40,8.50,578000,8.178
2015-08-12,8.50,8.55,8.20,8.45,686500,8.13
2015-08-11,8.50,8.60,8.40,8.50,657700,8.178
2015-08-10,8.45,8.60,8.40,8.55,598600,8.226
2015-08-07,8.45,8.50,8.35,8.45,251500,8.13
2015-08-06,8.40,8.45,8.35,8.45,317000,8.13
2015-08-05,8.20,8.40,8.20,8.40,834100,8.082
2015-08-04,8.45,8.45,8.10,8.25,566300,7.938
2015-08-03,8.30,8.40,8.25,8.40,298800,8.082
2015-07-31,8.25,8.30,8.15,8.30,341400,7.986
2015-07-30,8.15,8.25,8.15,8.15,424400,7.841
2015-07-29,8.05,8.20,8.05,8.15,628200,7.841
2015-07-28,8.00,8.05,7.90,8.05,805300,7.745
2015-07-27,8.20,8.25,7.85,7.90,1237100,7.601
2015-07-24,8.45,8.50,8.10,8.20,1114000,7.89
2015-07-23,8.55,8.60,8.45,8.55,548500,8.226
2015-07-22,8.50,8.55,8.40,8.55,705400,8.226
2015-07-21,8.40,8.55,8.30,8.50,781600,8.178
2015-07-20,8.50,8.55,8.30,8.35,918500,8.034
2015-07-17,8.40,8.50,8.30,8.45,911100,8.13
2015-07-16,8.25,8.55,8.25,8.40,1501500,8.082
2015-07-15,8.30,8.35,8.15,8.30,264200,7.986
2015-07-14,8.45,8.50,8.15,8.20,1379100,7.89
2015-07-13,8.40,8.50,8.35,8.40,1144400,8.082
2015-07-10,8.40,8.40,8.15,8.25,999900,7.938
2015-07-09,8.10,8.35,8.00,8.15,970000,7.841
2015-07-08,7.90,8.10,7.85,7.95,1308000,7.649
2015-07-07,7.90,8.05,7.85,7.85,917800,7.553
2015-07-06,7.90,8.10,7.85,8.00,702700,7.697
2015-07-03,8.05,8.15,8.00,8.05,689500,7.745
2015-07-02,7.90,8.05,7.90,7.95,590600,7.649
2015-07-01,7.65,7.95,7.65,7.90,701900,7.601
2015-06-30,7.65,7.75,7.50,7.65,719200,7.36
2015-06-29,7.60,7.85,7.60,7.65,1247500,7.36
2015-06-26,7.95,8.00,7.80,7.95,440600,7.649
2015-06-25,8.10,8.10,7.90,7.90,1105500,7.601
2015-06-24,8.15,8.15,8.00,8.05,562500,7.745
2015-06-23,8.00,8.05,7.90,8.00,487700,7.697
2015-06-22,7.85,8.00,7.75,7.85,1755500,7.553
2015-06-19,7.85,7.85,7.85,7.85,000,7.553
2015-06-18,7.90,7.95,7.80,7.85,956200,7.553
2015-06-17,8.15,8.20,7.90,7.90,3159000,7.601
2015-06-16,7.85,8.05,7.80,8.00,904900,7.697
2015-06-15,8.20,8.20,7.75,7.90,2353100,7.601
2015-06-12,8.30,8.35,8.10,8.25,1928600,7.938
2015-06-11,8.25,8.55,8.25,8.30,2474500,7.986
2015-06-10,7.95,8.30,7.95,8.20,2973400,7.89
2015-06-09,7.90,8.05,7.85,7.95,1631000,7.649
2015-06-08,8.20,8.25,7.85,7.90,2023600,7.601
2015-06-05,8.35,8.35,8.10,8.10,1494400,7.793
2015-06-04,8.40,8.50,8.25,8.35,3931500,8.034
2015-06-03,8.15,8.45,8.10,8.35,2536600,8.034
2015-06-02,8.30,8.40,8.10,8.15,2261800,7.841
2015-06-01,8.25,8.35,8.25,8.25,2649200,7.938
2015-05-29,8.45,8.45,8.25,8.30,1260300,7.986
2015-05-28,8.60,8.70,8.40,8.40,940200,8.082
2015-05-27,8.70,8.85,8.60,8.60,620500,8.274
2015-05-26,8.75,8.85,8.55,8.65,2149000,8.323
2015-05-25,8.75,8.80,8.65,8.75,298000,8.419
2015-05-22,8.95,9.00,8.70,8.75,987200,8.419
2015-05-21,8.85,8.95,8.80,8.90,754700,8.563
2015-05-20,9.05,9.05,8.80,8.80,640100,8.467
2015-05-19,8.80,9.05,8.75,9.00,652700,8.659
2015-05-18,8.90,8.95,8.75,8.80,662900,8.467
2015-05-15,8.75,8.90,8.70,8.85,2397700,8.515
2015-05-14,8.60,8.60,8.60,8.60,000,8.274
2015-05-13,8.65,8.85,8.60,8.60,1375200,8.274
2015-05-12,8.75,8.80,8.50,8.55,1879400,8.226
2015-05-11,8.50,8.95,8.45,8.65,3632000,8.323
2015-05-08,8.40,8.60,8.30,8.55,1429100,8.226
2015-05-07,8.55,8.55,8.30,8.35,2681300,8.034
2015-05-06,8.90,8.95,8.55,8.65,1790400,8.323
2015-05-05,9.20,9.20,8.95,8.95,737000,8.611
2015-05-04,9.40,9.40,9.15,9.20,508000,8.852
2015-05-01,9.25,9.25,9.25,9.25,000,8.90
2015-04-30,9.40,9.40,9.10,9.25,835100,8.90
2015-04-29,9.65,9.75,9.25,9.40,2453200,9.044
2015-04-28,9.75,9.80,9.50,9.50,815900,9.14
2015-04-27,9.70,9.80,9.55,9.75,1158100,9.381
2015-04-24,9.50,9.75,9.25,9.70,1444800,9.333
2015-04-23,10.00,10.05,9.60,9.60,863100,8.948
2015-04-22,9.95,10.00,9.65,9.85,1614300,9.181
2015-04-21,10.00,10.10,9.85,9.85,819700,9.181
2015-04-20,9.75,10.05,9.75,10.00,1705500,9.321
2015-04-17,9.95,10.00,9.70,9.75,890800,9.088
2015-04-16,10.05,10.05,9.90,9.95,892000,9.274
2015-04-15,10.00,10.10,9.95,10.10,543200,9.414
2015-04-14,10.05,10.10,9.95,10.00,916100,9.321
2015-04-13,10.05,10.20,9.95,10.05,759900,9.367
2015-04-10,10.10,10.15,10.05,10.10,782200,9.414
2015-04-09,10.10,10.25,10.05,10.10,526600,9.414
2015-04-08,10.00,10.10,9.95,10.00,594400,9.321
2015-04-07,10.00,10.15,9.95,9.95,753900,9.274
2015-04-06,9.95,9.95,9.95,9.95,000,9.274
2015-04-03,9.95,9.95,9.95,9.95,000,9.274
2015-04-02,9.90,10.00,9.90,9.95,1416400,9.274
2015-04-01,9.90,10.00,9.80,9.90,996200,9.228
2015-03-31,9.80,10.00,9.60,10.00,2515900,9.321
2015-03-30,9.45,9.80,9.45,9.80,1273800,9.134
2015-03-27,9.45,9.65,9.30,9.55,2574300,8.901
2015-03-26,9.60,9.70,9.40,9.50,1748700,8.855
2015-03-25,9.90,9.95,9.65,9.75,1164800,9.088
2015-03-24,9.45,9.90,9.40,9.90,1902100,9.228
2015-03-23,9.20,9.50,9.20,9.45,1216800,8.808
2015-03-20,9.50,9.50,9.15,9.15,2597500,8.528
2015-03-19,9.10,9.60,9.10,9.40,1741200,8.762
2015-03-18,9.05,9.45,8.90,9.10,1646100,8.482
2015-03-17,9.05,9.15,8.90,9.00,2143100,8.389
2015-03-16,9.10,9.25,8.90,9.00,909500,8.389
2015-03-13,8.70,9.10,8.65,9.00,3247200,8.389
2015-03-12,8.75,8.90,8.55,8.65,2291100,8.062
2015-03-11,8.55,8.95,8.55,8.75,4590300,8.156
2015-03-10,8.95,9.20,8.55,8.65,2428800,8.062
2015-03-09,9.20,9.35,8.70,8.95,1818300,8.342
2015-03-06,9.80,9.85,9.15,9.20,2348400,8.575
2015-03-05,9.80,9.95,9.70,9.80,784100,9.134
2015-03-04,9.75,9.80,9.50,9.75,2525600,9.088
2015-03-03,10.10,10.25,9.90,9.90,817100,9.228
2015-03-02,10.40,10.40,10.10,10.10,1409300,9.414
2015-02-27,10.50,10.65,10.35,10.40,2788800,9.694
2015-02-26,10.15,10.45,10.00,10.45,2698100,9.74
2015-02-25,10.25,10.30,10.00,10.15,2260700,9.461
2015-02-24,9.85,10.35,9.80,10.25,2914700,9.554
2015-02-23,9.60,9.90,9.50,9.80,1261800,9.134
2015-02-20,9.40,9.65,9.25,9.60,1172900,8.948
2015-02-19,9.55,9.65,9.35,9.45,1703100,8.808
2015-02-18,9.50,9.60,9.40,9.55,2628900,8.901
2015-02-17,9.80,9.80,9.40,9.50,1360200,8.855
2015-02-16,9.95,9.95,9.70,9.85,1064100,9.181
2015-02-13,9.90,10.00,9.70,9.90,2583900,9.228
2015-02-12,9.45,9.90,9.35,9.75,2659900,9.088
2015-02-11,9.45,9.55,9.25,9.50,2190400,8.855
2015-02-10,9.00,9.30,8.95,9.25,1474700,8.622
2015-02-09,9.00,9.05,8.80,9.00,1831500,8.389
2015-02-06,8.80,9.25,8.70,9.00,2437200,8.389
2015-02-05,8.30,9.20,8.25,8.95,1784200,8.342
2015-02-04,8.55,8.55,8.25,8.25,2262400,7.69
2015-02-03,8.55,8.60,8.40,8.55,1937500,7.969
2015-02-02,8.25,8.50,8.25,8.50,1489300,7.923
2015-01-30,8.20,8.40,8.20,8.25,1383500,7.69
2015-01-29,8.30,8.35,8.15,8.20,2477600,7.643
2015-01-28,8.20,8.40,8.05,8.30,2633500,7.736
2015-01-27,8.20,8.45,8.05,8.05,2032800,7.503
2015-01-26,7.95,8.30,7.90,8.15,2095100,7.596
2015-01-23,8.00,8.00,7.85,7.90,4865500,7.363
2015-01-22,7.50,8.00,7.50,7.80,4473000,7.27
2015-01-21,7.50,7.80,7.45,7.45,6575500,6.944
2015-01-20,7.40,7.55,7.30,7.45,3612200,6.944
2015-01-19,7.35,7.35,7.15,7.25,1216800,6.758
2015-01-16,7.40,7.40,7.20,7.30,2028600,6.804
2015-01-15,7.45,7.45,7.15,7.25,5528500,6.758
2015-01-14,7.50,7.50,7.20,7.20,764300,6.711
2015-01-13,7.75,7.80,7.55,7.60,1269600,7.084
2015-01-12,7.85,7.85,7.75,7.80,477200,7.27
2015-01-09,7.80,7.85,7.70,7.75,768500,7.224
2015-01-08,7.70,7.90,7.60,7.85,779500,7.317
2015-01-07,7.60,7.75,7.45,7.70,1279700,7.177
2015-01-06,7.60,7.60,7.60,7.60,000,7.084
2015-01-05,7.75,7.85,7.60,7.60,425000,7.084
2015-01-02,7.60,7.85,7.60,7.75,567500,7.224
2015-01-01,7.60,7.60,7.60,7.60,000,7.084
