Date,Open,High,Low,Close,Volume,Adj Close
2010-12-30,117.50,124.60,117.50,124.60,51600,105.3871
2010-12-29,120.00,120.00,117.30,118.00,6900,99.8048
2010-12-28,119.40,119.40,116.60,117.60,6100,99.4665
2010-12-27,119.60,120.00,115.90,119.50,14600,101.0735
2010-12-23,118.80,119.40,118.00,118.30,4400,100.0585
2010-12-22,117.50,119.00,117.20,118.80,9200,100.4814
2010-12-21,120.00,120.10,117.50,118.00,13200,99.8048
2010-12-20,122.00,123.00,120.10,120.10,31300,101.581
2010-12-17,120.00,122.00,119.00,121.40,18600,102.6805
2010-12-16,117.00,121.00,117.00,120.00,36700,101.4964
2010-12-15,118.60,119.20,117.30,118.40,10700,100.1431
2010-12-14,117.00,118.90,116.90,118.90,12700,100.566
2010-12-13,115.00,117.80,114.10,117.80,22300,99.6356
2010-12-10,113.10,115.00,112.90,115.00,15600,97.2674
2010-12-09,113.00,115.00,112.50,113.50,15900,95.9987
2010-12-08,114.70,114.70,111.60,113.00,13600,95.5758
2010-12-07,110.00,114.70,110.00,114.70,13600,97.0136
2010-12-06,111.00,111.00,110.00,111.00,11800,93.8842
2010-12-03,112.00,112.50,109.60,111.00,11400,93.8842
2010-12-02,111.00,112.20,111.00,112.00,14500,94.73
2010-12-01,110.10,111.90,110.00,111.80,10600,94.5608
2010-11-30,112.40,112.40,108.00,108.50,11400,91.7697
2010-11-29,109.40,111.30,108.00,108.00,12300,91.3468
2010-11-26,109.00,110.00,108.30,109.30,2900,92.4463
2010-11-25,110.00,112.00,109.40,110.50,12000,93.4613
2010-11-24,112.00,112.00,110.00,110.40,7700,93.3767
2010-11-23,110.50,112.00,110.00,110.20,8100,93.2075
2010-11-22,110.80,112.30,109.00,112.30,17400,94.9837
2010-11-19,109.00,110.90,109.00,110.80,12400,93.715
2010-11-18,109.60,110.00,109.00,109.00,17900,92.1926
2010-11-17,108.00,109.60,108.00,109.60,7000,92.70
2010-11-16,106.20,109.60,106.20,109.60,21500,92.70
2010-11-15,109.00,109.60,107.10,109.00,37200,92.1926
2010-11-12,109.00,109.60,107.00,109.00,6000,92.1926
