Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,212.00,212.00,212.00,212.00,000,209.15
2015-12-30,218.70,218.70,209.30,212.00,116700,209.15
2015-12-29,220.00,220.30,216.30,216.80,40800,213.88
2015-12-28,220.00,220.00,214.50,220.00,11100,217.04
2015-12-25,220.00,220.00,220.00,220.00,000,217.04
2015-12-24,220.00,220.00,220.00,220.00,000,217.04
2015-12-23,216.00,220.00,213.20,220.00,13100,217.04
2015-12-22,217.90,219.10,213.10,214.40,27000,211.52
2015-12-21,214.80,219.10,213.70,217.90,48100,214.97
2015-12-18,213.00,214.80,212.70,214.00,58200,211.12
2015-12-17,214.00,218.50,212.60,213.60,68900,210.73
2015-12-16,217.00,217.00,212.40,214.40,30800,211.52
2015-12-15,219.40,224.60,217.10,217.70,25000,214.77
2015-12-14,218.20,219.00,214.20,218.00,39100,215.07
2015-12-11,218.00,221.70,216.70,219.00,114700,216.06
2015-12-10,211.00,219.20,211.00,218.00,151700,215.07
2015-12-09,214.10,220.60,211.10,220.60,68000,217.63
2015-12-08,220.00,220.00,215.80,217.00,141800,214.08
2015-12-07,220.00,223.00,212.00,221.50,84200,218.52
2015-12-04,229.90,229.90,215.50,223.60,70400,220.59
2015-12-03,239.00,239.00,227.00,230.00,30700,226.91
2015-12-02,234.00,237.40,232.10,233.00,62300,229.87
2015-12-01,230.20,235.00,229.00,232.00,27000,228.88
2015-11-30,227.50,230.20,225.50,230.20,81100,227.10
2015-11-27,225.00,235.00,222.00,227.70,46900,224.64
2015-11-26,222.00,224.00,222.00,223.40,18900,220.40
2015-11-25,220.10,221.90,219.30,221.50,26500,218.52
2015-11-24,221.00,221.00,215.70,218.70,33800,215.76
2015-11-23,214.50,224.60,214.50,221.00,32500,218.03
2015-11-20,212.50,215.00,212.00,214.50,19200,211.62
2015-11-19,215.00,215.00,212.10,213.00,19100,210.14
2015-11-18,213.00,214.80,212.00,213.00,19800,210.14
2015-11-17,215.00,215.00,211.30,213.90,12700,211.02
2015-11-16,205.30,210.90,202.10,208.70,36600,205.89
2015-11-13,209.00,211.00,205.60,208.00,21200,205.20
2015-11-12,215.00,215.00,208.90,211.10,36700,208.26
2015-11-11,214.00,215.00,212.00,213.00,128800,210.14
2015-11-10,213.70,214.00,212.60,213.20,25000,210.33
2015-11-09,210.00,214.90,210.00,212.90,25900,210.04
2015-11-06,210.00,215.60,208.80,211.30,39800,208.46
2015-11-05,218.00,219.00,210.00,212.00,1556500,209.15
2015-11-04,210.00,215.00,207.60,214.70,77200,211.81
2015-11-03,195.00,214.00,195.00,208.80,147600,205.99
2015-11-02,189.00,193.50,187.00,193.50,25800,190.90
2015-10-30,194.00,194.00,188.50,189.80,14100,187.25
2015-10-29,185.00,193.60,185.00,187.50,14000,184.98
2015-10-28,181.50,185.20,181.30,184.30,14600,181.82
2015-10-27,181.90,182.00,180.00,181.50,19300,179.06
2015-10-26,181.10,182.70,181.10,182.20,14900,179.75
2015-10-23,183.00,183.00,180.20,181.00,20800,178.57
2015-10-22,179.50,182.00,178.00,179.10,19500,176.69
2015-10-21,182.10,184.00,178.00,179.60,14900,177.18
2015-10-20,182.00,185.00,182.00,182.10,11300,179.65
2015-10-19,178.20,180.50,178.20,180.20,37700,177.78
2015-10-16,179.00,181.50,178.20,178.20,59900,175.80
2015-10-15,183.50,183.50,177.10,179.00,58100,176.59
2015-10-14,180.00,182.20,177.30,179.70,91200,177.28
2015-10-13,182.80,182.80,179.20,179.50,58700,177.09
2015-10-12,184.50,184.50,182.00,182.90,12900,180.44
2015-10-09,183.50,184.50,181.70,183.20,17400,180.74
2015-10-08,185.70,185.70,182.40,183.20,6200,180.74
2015-10-07,185.00,185.80,180.10,185.80,30300,183.30
2015-10-06,180.00,185.30,178.40,185.00,23000,182.51
2015-10-05,175.00,183.00,172.30,181.50,20000,179.06
2015-10-02,176.20,177.90,172.00,173.60,27300,171.27
2015-10-01,183.60,185.30,173.00,174.20,23800,171.86
2015-09-30,184.50,184.50,181.00,182.50,103100,180.05
2015-09-29,172.60,178.50,171.10,178.50,53500,176.10
2015-09-28,175.20,177.50,174.00,175.00,25200,172.65
2015-09-25,173.20,176.50,172.60,175.80,18900,173.44
2015-09-24,176.00,176.50,171.40,171.70,155900,169.39
2015-09-23,173.00,178.00,172.00,175.40,15000,173.04
2015-09-22,178.00,179.80,174.00,174.80,14700,172.45
2015-09-21,175.00,178.90,175.00,177.00,8600,174.62
2015-09-18,174.00,175.00,171.10,174.00,28700,171.66
2015-09-17,175.00,175.00,172.50,173.40,20600,171.07
2015-09-16,172.70,176.90,172.40,173.00,33200,170.67
2015-09-15,174.30,177.70,169.50,172.60,26500,170.28
2015-09-14,177.70,177.70,173.30,174.60,18700,172.25
2015-09-11,178.70,179.10,176.00,177.70,16700,175.31
2015-09-10,184.20,184.20,178.00,179.30,29400,176.89
2015-09-09,185.00,190.00,182.50,184.30,843600,181.82
2015-09-08,180.00,183.80,178.00,180.80,27300,178.37
2015-09-07,175.00,179.90,175.00,178.00,23500,175.61
2015-09-04,172.40,173.50,171.30,172.50,61800,170.18
2015-09-03,173.00,178.00,172.80,172.80,37500,170.48
2015-09-02,175.40,175.60,172.30,172.70,16900,170.38
2015-09-01,178.60,179.60,172.00,175.40,32200,173.04
2015-08-31,182.00,183.00,177.20,178.00,236900,175.61
2015-08-28,170.00,177.20,168.70,171.00,16700,168.70
2015-08-27,165.40,170.20,165.20,167.00,14900,164.75
2015-08-26,166.80,166.90,161.20,162.40,32800,160.22
2015-08-25,163.60,170.00,163.60,166.90,53300,164.66
2015-08-24,166.00,168.50,160.00,163.80,187200,161.60
2015-08-21,173.50,173.50,164.50,170.70,688800,168.40
2015-08-20,176.40,178.00,173.60,174.80,7800,172.45
2015-08-19,180.00,180.00,175.40,177.60,10900,175.21
2015-08-18,181.00,181.00,179.00,180.00,10100,177.58
2015-08-17,183.00,185.00,179.10,181.40,21300,178.96
2015-08-14,185.90,185.90,182.10,182.60,7800,180.14
2015-08-13,184.00,189.50,184.00,184.80,29600,182.32
2015-08-12,184.00,184.30,179.50,181.10,18900,178.66
2015-08-11,188.00,189.70,183.00,184.00,31800,181.53
2015-08-10,180.00,190.30,180.00,187.20,41700,184.68
2015-08-07,178.00,180.00,177.50,179.80,13800,177.38
2015-08-06,174.40,177.90,173.30,177.90,18600,175.51
2015-08-05,169.90,174.20,169.90,174.20,19400,171.86
2015-08-04,170.50,171.00,167.10,167.30,14300,165.05
2015-08-03,168.40,171.00,168.10,168.80,23200,166.53
2015-07-31,166.70,168.20,165.50,168.20,10400,165.94
2015-07-30,168.80,169.10,166.20,167.00,17200,164.75
2015-07-29,166.70,166.70,165.00,166.00,4600,163.77
2015-07-28,163.00,165.00,163.00,165.00,8700,162.78
2015-07-27,168.50,168.50,163.30,164.10,16500,161.89
2015-07-24,168.10,168.60,165.40,168.60,7600,166.33
2015-07-23,166.60,167.00,164.70,167.00,23300,164.75
2015-07-22,166.00,166.00,164.10,165.00,11500,162.78
2015-07-21,166.50,166.80,164.50,166.20,35900,163.97
2015-07-20,167.20,168.70,164.10,166.50,39500,164.26
2015-07-17,165.00,165.00,162.10,165.00,76900,162.78
2015-07-16,165.50,168.70,162.00,163.60,126400,161.40
2015-07-15,151.70,153.50,151.70,152.70,13100,150.65
2015-07-14,155.10,156.50,146.10,153.20,29000,151.14
2015-07-13,154.80,154.80,153.50,153.80,27500,151.73
2015-07-10,153.40,155.10,151.40,152.00,31600,149.96
2015-07-09,151.90,153.50,151.30,151.50,57500,149.46
2015-07-08,151.30,153.50,147.70,151.50,33600,149.46
2015-07-07,156.50,159.20,151.00,152.80,21100,150.75
2015-07-06,160.00,161.00,156.20,156.50,24700,154.40
2015-07-03,168.80,168.80,162.00,163.40,9500,161.20
2015-07-02,166.00,166.00,163.00,163.60,50300,161.40
2015-07-01,168.80,169.20,165.30,166.00,19200,163.77
2015-06-30,170.00,173.50,165.20,169.50,115800,167.22
2015-06-29,159.90,175.00,153.50,175.00,196800,172.65
2015-06-26,161.00,165.60,161.00,165.20,11800,162.98
2015-06-25,163.00,165.40,162.00,162.50,36600,160.31
2015-06-24,164.50,167.00,163.00,164.10,17100,161.89
2015-06-23,167.00,167.10,162.70,164.90,15200,162.68
2015-06-22,166.00,167.30,162.50,167.00,55100,164.75
2015-06-19,166.00,166.00,166.00,166.00,000,163.77
2015-06-18,160.00,169.90,158.40,166.00,883100,163.77
2015-06-17,164.00,164.00,159.30,162.50,23800,160.31
2015-06-16,158.10,162.00,157.00,161.90,26200,159.72
2015-06-15,165.00,165.00,159.00,160.30,24500,158.14
2015-06-12,158.00,166.90,158.00,165.00,27700,162.78
2015-06-11,159.20,166.80,159.20,161.50,60100,159.33
2015-06-10,155.00,159.80,154.50,159.20,74900,157.06
2015-06-09,158.00,158.50,155.70,157.60,22100,155.48
2015-06-08,158.00,159.80,155.00,158.30,423900,156.17
2015-06-05,160.90,160.90,156.30,158.00,92800,155.88
2015-06-04,151.50,161.70,151.50,161.00,37000,158.84
2015-06-03,157.20,160.00,152.80,152.80,42700,150.75
2015-06-02,160.00,162.90,155.70,160.50,30000,158.34
2015-06-01,164.80,164.80,156.20,160.00,47500,157.85
2015-05-29,169.90,169.90,166.00,166.00,463400,163.77
2015-05-28,169.60,170.00,162.10,167.50,47900,165.25
2015-05-27,169.00,169.90,167.60,169.60,19400,167.32
2015-05-26,170.00,170.00,167.50,167.50,13200,165.25
2015-05-25,170.40,170.60,167.80,170.50,12700,168.21
2015-05-22,171.00,171.00,167.30,170.40,28600,168.11
2015-05-21,170.00,171.00,166.50,171.00,33300,168.70
2015-05-20,170.50,171.00,168.20,170.00,29100,167.71
2015-05-19,168.80,170.50,168.00,170.00,22700,167.71
2015-05-18,170.00,170.40,164.40,170.40,43800,168.11
2015-05-15,170.80,172.30,166.00,171.00,30800,168.70
2015-05-14,170.90,170.90,170.90,170.90,000,168.60
2015-05-13,166.10,170.90,166.10,170.90,59600,168.60
2015-05-12,162.40,166.50,156.70,166.10,117900,163.87
2015-05-11,164.00,166.00,158.50,162.90,32700,160.71
2015-05-08,160.90,163.40,160.70,163.40,28200,161.20
2015-05-07,155.90,160.90,151.10,160.90,67700,158.74
2015-05-06,158.00,163.60,148.20,156.90,348600,152.23
2015-05-05,162.50,162.50,158.10,159.60,21700,154.84
2015-05-04,159.00,163.40,158.40,158.40,19700,153.68
2015-05-01,160.60,160.60,160.60,160.60,000,155.81
2015-04-30,161.50,161.50,152.00,160.60,102300,155.81
2015-04-29,165.00,165.00,158.30,161.30,23700,156.49
2015-04-28,166.40,166.40,158.40,163.00,17900,158.14
