Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,226.00,226.00,226.00,226.00,000,213.06
2014-12-30,226.50,228.00,223.00,226.00,81300,213.06
2014-12-29,226.00,228.50,225.50,227.00,43500,214.00
2014-12-26,224.50,224.50,224.50,224.50,000,211.64
2014-12-25,224.50,224.50,224.50,224.50,000,211.64
2014-12-24,224.50,224.50,224.50,224.50,000,211.64
2014-12-23,229.00,231.00,224.50,224.50,46800,211.64
2014-12-22,219.00,228.50,219.00,228.00,76200,214.94
2014-12-19,218.50,222.50,218.50,219.00,78300,206.46
2014-12-18,214.00,218.50,213.50,218.50,54500,205.99
2014-12-17,214.00,214.00,212.00,212.50,83000,200.33
2014-12-16,210.50,214.00,210.00,213.00,73000,200.80
2014-12-15,211.00,214.50,210.00,211.00,287100,198.92
2014-12-12,208.00,214.50,208.00,212.00,40800,199.86
2014-12-11,210.50,211.00,207.50,209.50,164800,197.50
2014-12-10,202.00,211.50,201.50,210.00,58200,197.97
2014-12-09,206.50,207.00,203.00,203.00,84200,191.37
2014-12-08,209.50,210.00,207.50,207.50,43900,195.62
2014-12-05,213.00,214.00,210.00,210.50,53000,198.44
2014-12-04,216.50,217.00,211.50,212.00,56300,199.86
2014-12-03,218.00,221.00,217.00,218.00,48300,205.51
2014-12-02,218.50,220.50,217.50,217.50,42900,205.04
2014-12-01,214.50,218.50,214.50,217.50,37100,205.04
2014-11-28,215.00,216.00,212.00,215.50,44300,203.16
2014-11-27,215.00,216.00,214.50,215.00,13400,202.69
2014-11-26,218.00,218.00,214.50,214.50,41700,202.22
2014-11-25,218.00,218.50,215.50,218.00,106000,205.51
2014-11-24,214.50,216.00,214.00,216.00,31300,203.63
2014-11-21,212.00,216.00,211.00,214.50,36300,202.22
2014-11-20,216.50,217.00,211.50,212.00,147300,199.86
2014-11-19,217.00,218.00,215.00,216.00,36000,203.63
2014-11-18,218.00,219.50,216.00,216.00,67400,203.63
2014-11-17,215.00,218.00,214.00,217.00,99000,204.57
2014-11-14,215.00,216.50,214.00,215.50,41500,203.16
2014-11-13,213.50,217.00,213.50,215.00,399800,202.69
2014-11-12,214.00,214.00,211.00,213.00,59400,200.80
2014-11-11,210.50,215.00,210.50,214.00,76600,201.74
2014-11-10,210.00,210.50,208.50,210.50,138000,198.44
2014-11-07,208.50,212.00,206.50,209.00,247300,197.03
2014-11-06,209.50,209.50,202.50,206.50,111100,194.67
2014-11-05,205.50,209.50,205.50,208.50,56000,196.56
2014-11-04,200.50,205.00,200.50,205.00,64800,193.26
2014-11-03,203.00,205.00,200.50,200.50,352700,189.02
2014-10-31,201.00,204.00,201.00,203.00,33900,191.37
2014-10-30,202.50,203.50,198.50,198.50,57400,187.13
2014-10-29,202.00,206.50,202.00,202.50,71400,190.90
2014-10-28,205.50,205.50,203.00,203.00,69800,191.37
2014-10-27,202.50,207.00,202.50,205.50,48100,193.73
2014-10-24,203.00,204.00,201.00,201.00,70700,189.49
2014-10-23,205.50,205.50,201.00,203.00,68100,191.37
2014-10-22,197.50,205.00,197.00,203.50,335600,191.85
2014-10-21,191.00,197.50,190.00,197.50,105600,186.19
2014-10-20,196.00,196.00,190.00,190.50,52900,179.59
2014-10-17,188.50,196.00,188.00,195.00,76000,183.83
2014-10-16,188.50,191.00,184.50,189.00,88800,178.18
2014-10-15,192.50,193.50,188.00,188.50,136100,177.70
2014-10-14,193.00,195.50,191.00,192.50,90100,181.48
2014-10-13,193.00,196.00,192.00,194.00,121500,182.89
2014-10-10,194.50,196.50,191.50,195.00,87900,183.83
2014-10-09,199.50,200.50,195.00,195.50,103500,184.30
2014-10-08,199.50,199.50,194.00,197.00,241300,185.72
2014-10-07,208.00,209.00,198.50,200.00,156900,188.55
2014-10-06,209.00,210.50,207.50,208.00,296800,196.09
2014-10-03,207.00,209.50,206.00,209.00,39200,197.03
2014-10-02,206.00,208.50,205.00,206.00,84100,194.20
2014-10-01,206.50,206.50,203.00,204.00,74000,192.32
2014-09-30,208.50,208.50,203.00,206.50,89100,194.67
2014-09-29,211.00,212.50,208.50,209.00,107900,197.03
2014-09-26,206.50,210.50,199.50,210.00,125200,197.97
2014-09-25,209.50,211.00,197.00,206.00,275800,194.20
2014-09-24,209.50,211.00,209.00,210.00,111300,197.97
2014-09-23,210.50,211.50,209.00,209.50,40800,197.50
2014-09-22,210.00,212.00,210.00,210.50,18900,198.44
2014-09-19,209.00,210.00,207.50,209.00,55900,197.03
2014-09-18,207.50,209.00,207.50,208.00,84500,196.09
2014-09-17,209.00,209.00,205.00,208.00,116700,196.09
2014-09-16,212.00,212.00,209.00,209.00,85700,197.03
2014-09-15,207.50,212.00,207.00,212.00,31500,199.86
2014-09-12,205.50,208.50,205.00,208.50,132600,196.56
2014-09-11,210.00,210.00,203.00,205.50,199100,193.73
2014-09-10,210.00,210.50,208.00,208.50,128200,196.56
2014-09-09,209.00,211.00,207.00,210.00,54600,197.97
2014-09-08,210.50,212.00,208.00,209.50,223700,197.50
2014-09-05,212.00,212.00,210.00,210.00,41900,197.97
2014-09-04,213.00,213.00,211.50,212.00,30000,199.86
2014-09-03,210.00,215.00,210.00,212.50,53100,200.33
2014-09-02,205.50,210.00,204.50,209.50,147700,197.50
2014-09-01,206.00,206.50,204.50,205.50,51100,193.73
2014-08-29,210.00,210.00,205.50,207.00,40000,195.14
2014-08-28,213.50,213.50,208.00,209.00,43100,197.03
2014-08-27,214.00,215.00,213.00,213.00,225000,200.80
2014-08-26,210.00,214.50,208.50,213.00,75900,200.80
2014-08-25,208.50,211.00,208.50,210.00,40400,197.97
2014-08-22,210.00,211.50,208.00,208.50,26000,196.56
2014-08-21,206.50,210.00,206.00,210.00,113900,197.97
2014-08-20,208.50,209.00,206.00,207.00,72100,195.14
2014-08-19,205.00,208.50,205.00,207.00,64900,195.14
2014-08-18,199.00,205.50,199.00,205.00,41500,193.26
2014-08-15,201.00,202.50,198.00,198.00,50700,186.66
2014-08-14,198.50,203.00,198.50,201.50,30900,189.96
2014-08-13,200.00,200.00,197.00,199.50,115900,188.07
2014-08-12,198.50,203.00,198.50,199.50,119800,188.07
2014-08-11,196.50,201.00,196.50,200.00,124100,188.55
2014-08-08,199.00,199.00,194.00,197.00,68200,185.72
2014-08-07,202.50,203.50,201.00,201.00,53800,189.49
2014-08-06,207.00,207.00,202.00,202.00,132100,190.43
2014-08-05,206.50,208.50,206.50,207.50,89200,195.62
2014-08-04,213.00,213.00,205.50,205.50,127400,193.73
2014-08-01,206.50,212.00,202.00,212.00,314900,199.86
2014-07-31,208.00,209.50,203.50,205.50,171600,193.73
2014-07-30,196.50,196.50,193.00,194.00,21000,182.89
2014-07-29,195.50,197.00,193.50,194.00,68300,182.89
2014-07-28,199.50,200.50,195.50,195.50,48700,184.30
2014-07-25,202.00,202.50,198.50,199.50,67200,188.07
2014-07-24,206.50,206.50,203.50,203.50,41400,191.85
2014-07-23,205.50,208.00,205.50,208.00,34400,196.09
2014-07-22,206.00,207.00,203.00,206.50,55500,194.67
2014-07-21,208.50,208.50,204.00,205.00,39400,193.26
2014-07-18,211.00,211.00,208.00,208.00,70400,196.09
2014-07-17,211.00,214.50,207.50,213.00,59500,200.80
2014-07-16,210.00,213.00,203.50,209.50,88100,197.50
2014-07-15,208.50,213.00,207.50,211.00,38100,198.92
2014-07-14,206.00,210.00,206.00,209.00,35600,197.03
