Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,37.45,37.45,37.45,37.45,000,37.45
2014-12-30,38.18,38.22,37.45,37.45,1630400,37.45
2014-12-29,37.55,38.21,37.55,37.89,2399000,37.89
2014-12-26,37.19,37.19,37.19,37.19,000,37.19
2014-12-25,37.19,37.19,37.19,37.19,000,37.19
2014-12-24,37.19,37.19,37.19,37.19,000,37.19
2014-12-23,36.81,37.56,36.56,37.19,1506900,37.19
2014-12-22,36.95,37.48,36.44,36.86,1584900,36.86
2014-12-19,36.02,37.42,35.85,36.95,2446600,36.95
2014-12-18,35.06,36.45,34.90,35.94,2564200,35.94
2014-12-17,33.17,34.90,33.17,34.72,1496200,34.72
2014-12-16,33.08,33.70,32.62,33.70,1258400,33.70
2014-12-15,33.80,34.30,33.48,33.48,1370600,33.48
2014-12-12,34.83,34.99,33.88,34.03,1303900,34.03
2014-12-11,35.20,35.84,34.33,35.33,1893100,35.33
2014-12-10,36.50,36.83,35.61,35.66,1334500,35.66
2014-12-09,35.63,36.59,35.10,36.44,1505700,36.44
2014-12-08,36.40,36.55,35.45,35.68,1118100,35.68
2014-12-05,35.63,35.88,35.00,35.61,768000,35.61
2014-12-04,35.70,36.13,35.36,35.40,2870400,35.40
2014-12-03,34.84,35.37,34.58,35.30,1973800,35.30
2014-12-02,34.93,36.09,34.32,35.71,1861900,35.71
2014-12-01,35.00,35.63,34.16,34.50,1627200,34.50
2014-11-28,37.60,37.75,34.54,35.15,2972100,35.15
2014-11-27,37.90,37.97,37.50,37.60,697200,37.60
2014-11-26,38.40,38.40,37.65,37.91,1082100,37.91
2014-11-25,38.25,38.79,37.86,38.15,2010200,38.15
2014-11-24,38.50,38.58,37.67,38.09,1351700,38.09
2014-11-21,35.74,38.95,35.74,38.73,4176400,38.73
2014-11-20,35.40,35.90,35.19,35.59,908800,35.59
2014-11-19,35.85,36.12,35.18,35.24,1374100,35.24
2014-11-18,37.50,37.57,35.97,36.32,1760100,36.32
2014-11-17,37.00,37.98,36.72,37.63,1784900,37.63
2014-11-14,36.05,37.11,35.88,37.03,1588200,37.03
2014-11-13,36.20,36.91,36.02,36.59,1892000,36.59
2014-11-12,35.80,36.91,35.45,36.18,2371200,36.18
2014-11-11,35.16,35.16,34.36,34.99,995400,34.99
2014-11-10,35.15,35.70,35.00,35.24,1742300,35.24
2014-11-07,33.25,34.74,33.16,34.65,2670200,34.65
2014-11-06,33.09,33.39,32.83,33.23,800800,33.23
2014-11-05,32.90,33.20,32.42,32.94,875300,32.94
2014-11-04,33.10,33.15,32.39,32.55,1122300,32.55
2014-11-03,33.05,33.35,32.70,33.01,847100,33.01
2014-10-31,33.50,33.70,33.08,33.20,800100,33.20
2014-10-30,33.00,34.00,32.50,33.12,2805900,33.12
2014-10-29,34.50,35.00,34.17,34.38,1130300,34.38
2014-10-28,33.00,34.22,32.74,34.20,1512200,34.20
2014-10-27,33.38,33.38,32.61,32.61,1237900,32.61
2014-10-24,33.00,33.28,32.89,33.15,950000,33.15
2014-10-23,32.60,33.19,32.30,32.59,1317900,32.59
2014-10-22,33.45,33.67,33.03,33.14,1170800,33.14
2014-10-21,31.95,33.10,31.84,32.91,1903100,32.91
2014-10-20,32.41,32.41,31.60,31.94,1164500,31.94
2014-10-17,30.81,32.30,30.64,32.22,1732500,32.22
2014-10-16,31.20,31.57,29.28,30.35,3140700,30.35
2014-10-15,32.85,33.08,31.42,31.70,1045600,31.70
2014-10-14,32.25,33.29,31.95,32.90,1351500,32.90
2014-10-13,32.40,32.99,31.88,32.52,1340400,32.52
2014-10-10,33.06,33.10,31.83,32.85,2126600,32.85
2014-10-09,33.79,33.90,33.15,33.45,1742900,33.45
2014-10-08,33.55,33.99,32.80,33.22,2497300,33.22
2014-10-07,36.95,37.05,32.88,33.73,6002900,33.73
2014-10-06,34.75,35.20,34.15,34.70,1994100,34.70
2014-10-03,34.70,35.25,34.65,34.84,698500,34.84
2014-10-02,35.90,36.16,34.39,34.46,1296900,34.46
2014-10-01,35.59,36.27,35.01,35.81,1598400,35.81
2014-09-30,36.35,36.60,35.42,35.72,1174000,35.72
2014-09-29,36.97,37.13,36.37,36.84,436500,36.84
2014-09-26,37.10,37.34,36.81,36.98,1160900,36.98
2014-09-25,37.54,37.73,36.81,36.91,1658200,36.91
2014-09-24,35.80,37.02,35.62,36.83,1212100,36.83
2014-09-23,35.45,35.76,35.00,35.50,946200,35.50
2014-09-22,36.03,36.17,35.20,35.60,2220100,35.60
2014-09-19,37.50,37.58,36.72,36.75,893400,36.75
2014-09-18,38.04,38.09,37.45,37.58,479200,37.58
2014-09-17,38.13,38.45,38.00,38.00,674000,38.00
2014-09-16,37.86,37.98,37.57,37.71,510800,37.71
2014-09-15,38.17,38.56,37.80,38.10,618000,38.10
2014-09-12,38.25,39.10,38.12,38.63,775600,38.63
2014-09-11,38.18,38.25,37.35,37.56,985200,37.56
2014-09-10,38.50,38.60,38.20,38.20,549000,38.20
2014-09-09,38.94,39.20,38.04,38.50,982600,38.50
2014-09-08,38.61,39.29,38.50,39.19,1215800,39.19
2014-09-05,37.98,38.00,37.50,37.89,898000,37.89
2014-09-04,37.60,38.49,37.42,38.37,1301800,38.37
2014-09-03,37.21,37.52,37.05,37.36,717000,37.36
2014-09-02,37.69,37.80,36.77,37.15,912900,37.15
2014-09-01,37.61,37.98,37.59,37.70,607700,37.70
2014-08-29,37.38,37.74,37.27,37.50,1807900,37.50
2014-08-28,38.64,38.73,38.11,38.32,912700,38.32
2014-08-27,38.79,38.90,38.55,38.73,1140700,38.73
2014-08-26,38.21,38.74,38.06,38.50,765700,38.50
2014-08-25,38.01,38.25,37.91,38.09,556400,38.09
2014-08-22,38.31,38.56,37.64,37.91,700300,37.91
2014-08-21,38.46,38.58,38.20,38.31,754700,38.31
2014-08-20,37.86,39.14,37.71,38.86,1221500,38.86
2014-08-19,38.86,39.03,38.08,38.13,861700,38.13
2014-08-18,38.82,39.32,38.76,38.80,783800,38.80
2014-08-15,38.56,38.90,37.97,38.00,2099300,38.00
2014-08-14,39.97,40.35,39.54,39.58,852300,39.58
2014-08-13,39.95,40.20,39.75,40.06,662900,40.06
2014-08-12,39.56,39.99,39.55,39.75,501200,39.75
2014-08-11,39.85,40.19,39.54,40.18,732500,40.18
2014-08-08,39.06,39.37,38.70,39.33,979800,39.33
2014-08-07,40.11,40.40,39.66,39.67,1201700,39.67
