Date,Open,High,Low,Close,Volume,Adj Close
2006-12-29,443.00,446.50,439.00,444.00,14800,184.332
2006-12-28,442.00,444.00,439.00,443.00,12300,183.917
2006-12-27,435.00,449.00,433.00,438.50,32000,182.048
2006-12-26,442.00,442.00,442.00,442.00,000,183.502
2006-12-25,442.00,442.00,442.00,442.00,000,183.502
2006-12-22,431.50,442.00,430.00,442.00,126100,183.502
2006-12-21,428.00,431.50,428.00,431.50,24800,179.142
2006-12-20,421.50,427.50,421.00,427.50,16100,177.482
2006-12-19,422.00,423.00,420.00,421.50,443300,174.991
2006-12-18,417.00,424.50,417.00,422.50,146500,175.406
2006-12-15,415.00,418.00,415.00,418.00,203200,173.538
2006-12-14,410.50,415.00,410.50,414.00,57800,171.877
2006-12-13,412.00,413.00,406.00,413.00,61700,171.462
2006-12-12,399.00,411.00,399.00,411.00,144500,170.632
2006-12-11,400.00,402.00,397.00,402.00,62300,166.895
2006-12-08,399.50,400.00,396.00,400.00,39200,166.065
2006-12-07,396.00,400.00,395.00,400.00,64900,166.065
2006-12-06,393.00,398.50,393.00,396.00,27300,164.404
2006-12-05,394.00,394.50,392.00,392.50,19600,162.951
2006-12-04,390.00,394.00,390.00,394.00,21700,163.574
2006-12-01,390.00,390.00,387.00,388.00,7600,161.083
2006-11-30,390.00,393.00,389.00,390.00,36600,161.913
2006-11-29,379.50,390.00,379.50,389.00,62200,161.498
2006-11-28,386.00,386.00,377.00,380.50,28900,157.969
2006-11-27,392.50,392.50,386.50,388.00,43000,161.083
2006-11-24,395.50,395.50,391.00,392.50,20200,162.951
2006-11-23,399.50,399.50,395.00,397.50,12300,165.027
2006-11-22,395.50,399.50,395.50,397.50,58400,165.027
2006-11-21,396.00,398.00,395.50,395.50,28200,164.196
2006-11-20,400.50,400.50,394.50,397.00,58100,164.819
2006-11-17,400.00,402.00,394.00,399.50,37200,165.857
2006-11-16,400.00,402.00,398.00,402.00,33000,166.895
2006-11-15,401.00,402.50,399.00,400.00,35200,166.065
2006-11-14,403.00,403.00,400.50,403.00,59600,167.31
2006-11-13,400.50,405.00,398.00,405.00,41400,168.141
2006-11-10,403.00,403.50,399.50,401.00,29000,166.48
2006-11-09,401.50,403.00,400.50,403.00,45200,167.31
2006-11-08,400.00,401.50,395.50,401.50,60600,166.687
2006-11-07,397.00,401.50,397.00,401.50,23200,166.687
2006-11-06,394.00,399.00,394.00,399.00,75700,165.65
2006-11-03,395.00,395.00,390.50,392.00,12900,162.743
2006-11-02,392.00,394.00,386.00,390.50,12300,162.121
2006-11-01,392.50,395.00,392.50,394.00,14400,163.574
2006-10-31,392.00,392.00,390.00,391.50,8500,162.536
2006-10-30,394.00,395.00,385.00,386.00,14000,160.252
2006-10-27,398.00,398.00,393.50,395.00,25700,163.989
2006-10-26,395.00,398.00,392.00,392.00,34900,162.743
2006-10-25,392.50,395.00,391.00,395.00,25100,163.989
2006-10-24,392.00,394.00,391.50,393.50,51100,163.366
2006-10-23,391.00,392.00,390.00,392.00,98000,162.743
2006-10-20,385.00,390.00,382.00,388.00,229400,161.083
2006-10-19,385.00,385.50,380.00,385.50,59200,160.045
2006-10-18,381.00,384.50,379.50,381.50,68800,158.384
2006-10-17,382.00,384.00,379.50,380.00,72800,157.761
2006-10-16,384.50,385.00,380.00,380.00,65700,157.761
2006-10-13,387.50,389.00,384.00,385.00,30300,159.837
2006-10-12,386.00,389.50,385.00,387.50,26600,160.875
2006-10-11,383.50,384.50,383.00,383.00,30400,159.007
2006-10-10,384.00,385.50,383.00,384.00,16300,159.422
2006-10-09,389.00,389.00,383.50,384.00,18000,159.422
2006-10-06,384.00,387.00,384.00,384.32,23600,159.555
2006-10-05,382.00,386.00,381.00,385.00,209400,159.837
2006-10-04,376.00,381.00,376.00,376.50,33500,156.308
2006-10-03,380.00,380.00,376.00,376.00,22600,156.101
2006-10-02,377.00,386.50,377.00,380.00,53000,157.761
2006-09-29,379.50,381.50,376.00,376.50,58100,156.308
2006-09-28,380.00,382.00,379.00,379.50,13000,157.554
2006-09-27,379.00,382.50,378.00,382.50,19500,158.799
2006-09-26,378.50,380.00,378.00,378.00,114700,156.931
2006-09-25,380.00,383.50,377.50,377.50,21000,156.724
2006-09-22,384.00,384.50,382.00,384.50,24900,159.63
2006-09-21,387.00,387.50,384.00,384.00,52300,159.422
2006-09-20,385.50,386.00,383.50,384.00,28300,159.422
2006-09-19,382.00,386.00,382.00,383.50,20400,159.215
2006-09-18,387.50,388.00,386.50,386.50,6000,160.46
2006-09-15,387.00,388.00,384.50,384.50,18500,159.63
2006-09-14,384.00,387.50,383.50,386.00,18500,160.252
2006-09-13,386.00,387.50,380.00,384.00,43100,159.422
2006-09-12,386.00,387.50,382.50,387.50,13200,160.875
2006-09-11,392.50,392.50,386.50,388.00,13100,161.083
2006-09-08,387.50,393.00,387.50,393.00,9900,163.159
2006-09-07,392.00,392.00,387.00,387.50,13300,160.875
2006-09-06,389.50,392.00,386.50,392.00,35800,162.743
2006-09-05,395.00,395.00,386.50,386.50,61800,160.46
2006-09-04,390.00,393.50,388.50,392.50,68300,162.951
2006-09-01,391.00,391.00,387.00,390.00,24000,161.913
2006-08-31,389.00,391.50,387.00,389.00,17200,161.498
2006-08-30,392.00,392.00,387.50,390.00,95900,161.913
2006-08-29,390.00,394.50,387.00,392.50,55300,162.951
2006-08-28,390.00,390.50,388.50,390.00,27600,161.913
2006-08-25,388.00,388.00,386.00,386.00,18900,160.252
2006-08-24,384.50,388.00,384.50,388.00,12100,161.083
2006-08-23,388.00,388.00,384.50,386.00,8000,160.252
2006-08-22,387.00,388.00,385.00,386.00,47800,160.252
2006-08-21,386.00,388.00,383.00,387.50,28200,160.875
2006-08-18,387.00,390.50,385.50,387.00,12700,160.668
2006-08-17,385.00,387.50,381.50,387.00,18500,160.668
2006-08-16,380.50,381.50,379.00,381.50,14600,158.384
2006-08-15,384.00,386.50,379.00,380.50,22200,157.969
2006-08-14,383.50,387.50,382.50,384.00,10800,159.422
2006-08-11,384.00,389.00,382.50,387.00,28700,160.668
2006-08-10,386.00,389.00,384.00,388.00,47200,161.083
2006-08-09,385.00,390.00,381.00,389.00,26600,161.498
2006-08-08,394.00,395.00,386.00,386.00,29500,160.252
2006-08-07,394.50,394.50,385.00,393.50,28500,163.366
2006-08-04,395.50,395.50,388.50,393.00,8300,163.159
2006-08-03,383.50,396.00,383.50,395.00,34800,163.989
2006-08-02,382.00,383.50,381.50,383.50,9600,159.215
2006-08-01,382.00,382.00,380.50,381.00,9000,158.177
2006-07-31,380.00,382.50,380.00,382.50,14100,158.799
2006-07-28,379.00,379.50,377.50,379.00,5500,157.346
2006-07-27,378.50,380.00,378.00,379.00,26800,157.346
2006-07-26,375.00,379.00,374.00,378.50,31800,157.139
2006-07-25,371.00,378.00,371.00,375.50,47800,155.893
2006-07-24,368.00,374.50,368.00,373.00,8600,154.855
2006-07-21,368.00,370.00,366.00,368.50,5900,152.987
2006-07-20,370.00,372.50,350.00,366.50,17700,152.157
2006-07-19,369.00,369.00,363.00,366.00,22200,151.949
2006-07-18,371.00,371.00,360.00,361.00,4000,149.873
2006-07-17,379.00,379.00,370.50,371.00,13200,154.025
2006-07-14,380.00,380.00,376.00,379.00,8300,157.346
2006-07-13,388.50,388.50,380.00,380.00,34400,157.761
2006-07-12,389.00,389.00,385.00,385.00,10100,159.837
2006-07-11,384.00,389.00,382.00,382.00,51600,158.592
2006-07-10,384.00,384.00,380.00,382.50,14800,158.799
2006-07-07,380.00,384.00,380.00,384.00,19600,159.422
2006-07-06,376.00,383.00,376.00,383.00,49800,159.007
2006-07-05,372.00,381.50,372.00,375.00,8100,155.686
2006-07-04,380.00,380.00,371.00,371.00,25800,154.025
2006-07-03,375.00,382.50,375.00,379.50,31500,157.554
2006-06-30,370.50,373.50,370.50,373.00,41300,154.855
2006-06-29,364.00,367.50,363.50,365.00,51400,151.534
2006-06-28,366.00,366.00,362.50,364.50,25200,151.326
2006-06-27,364.00,367.50,364.00,364.50,2900,151.326
2006-06-26,369.00,370.00,364.00,364.50,6500,151.326
2006-06-23,364.00,364.00,364.00,364.00,000,151.119
