Date,Open,High,Low,Close,Volume,Adj Close
2010-12-30,84.00,84.30,83.55,83.65,743800,83.65
2010-12-29,84.00,84.25,83.50,83.90,637900,83.90
2010-12-28,84.50,85.00,83.30,83.65,1068600,83.65
2010-12-27,82.15,84.35,82.15,84.30,742200,84.30
2010-12-24,82.80,82.80,82.80,82.80,000,82.80
2010-12-23,82.50,82.90,81.90,82.80,794600,82.80
2010-12-22,81.00,83.15,81.00,82.40,1300400,82.40
2010-12-21,78.30,82.00,78.20,81.95,2001600,81.95
2010-12-20,78.25,79.00,77.90,78.20,1322000,78.20
2010-12-17,76.95,78.25,76.60,78.25,1549400,78.25
2010-12-16,77.30,77.45,75.90,76.70,1057000,76.70
2010-12-15,77.00,77.35,76.30,77.35,893600,77.35
2010-12-14,75.90,77.45,75.45,77.00,1322600,77.00
2010-12-13,76.00,76.50,75.65,75.95,1273000,75.95
2010-12-10,74.95,76.40,73.90,76.05,1596200,76.05
2010-12-09,77.10,77.40,74.30,74.40,2490400,74.40
2010-12-08,79.00,79.00,75.95,76.25,2817700,76.25
2010-12-07,77.40,80.50,77.20,79.75,3166100,79.75
2010-12-06,74.50,77.05,74.50,77.00,1770600,77.00
2010-12-03,74.65,74.95,73.70,74.45,1011500,74.45
2010-12-02,73.40,75.10,72.45,74.45,2029400,74.45
2010-12-01,69.95,73.30,69.65,72.45,3126000,72.45
2010-11-30,68.05,69.20,67.35,69.05,1369500,69.05
2010-11-29,69.00,69.30,67.75,67.95,1651100,67.95
2010-11-26,68.80,69.35,67.45,68.55,2358200,68.55
2010-11-25,67.05,68.95,66.60,68.95,1521000,68.95
2010-11-24,66.55,67.30,65.55,66.95,1966700,66.95
2010-11-23,67.55,67.75,66.30,66.55,1295500,66.55
2010-11-22,68.25,69.15,67.65,67.90,1638900,67.90
2010-11-19,67.70,67.70,66.65,67.40,845200,67.40
2010-11-18,67.35,67.95,67.10,67.80,975200,67.80
2010-11-17,66.60,67.30,65.10,66.70,1150100,66.70
2010-11-16,67.50,67.90,66.65,66.90,1654700,66.90
2010-11-15,67.60,68.10,67.00,68.05,935200,68.05
2010-11-12,68.30,68.30,66.20,67.60,1503800,67.60
2010-11-11,68.30,69.35,68.05,69.35,1330200,69.35
2010-11-10,68.35,68.40,67.10,67.65,1014800,67.65
2010-11-09,68.10,68.75,67.70,68.35,1277400,68.35
2010-11-08,69.50,69.50,67.25,68.05,2821500,68.05
2010-11-05,70.8067,71.7042,69.6598,70.1585,1347100,70.1585
2010-11-04,68.3135,70.6072,68.3135,70.4078,2830800,70.4078
2010-11-03,63.8258,68.3135,63.8258,67.765,3806400,67.765
2010-11-02,62.1802,62.8285,61.4822,62.8285,1741600,62.8285
2010-11-01,63.0778,63.5764,62.0307,62.5293,1797500,62.5293
2010-10-29,60.8339,63.1775,60.3852,63.0279,2240200,63.0279
2010-10-28,62.9282,63.7759,60.7342,60.9337,2496000,60.9337
2010-10-27,64.0751,64.5737,62.7786,62.9781,1776900,62.9781
2010-10-26,63.4268,65.7206,63.0778,64.0751,2957300,64.0751
2010-10-25,62.0307,63.8258,61.532,63.5266,1722100,63.5266
2010-10-22,60.8339,62.28,60.435,61.6317,991900,61.6317
2010-10-21,60.435,61.3326,60.2854,61.0334,870600,61.0334
2010-10-20,59.4377,60.5846,59.3879,60.2854,1041200,60.2854
2010-10-19,61.3824,61.7813,59.4876,59.7369,1776600,59.7369
2010-10-18,61.6317,62.5293,60.9337,61.3326,1636600,61.3326
2010-10-15,60.6843,62.1304,60.3353,61.6317,1927800,61.6317
2010-10-14,62.0805,62.4794,60.086,60.3353,1964700,60.3353
2010-10-13,60.8339,63.1277,60.5846,62.0307,1600800,62.0307
2010-10-12,61.1331,61.183,59.8367,60.3353,1432600,60.3353
2010-10-11,60.3353,61.532,60.1358,61.183,1124300,61.183
2010-10-08,60.3353,60.3353,59.0388,60.2854,1550300,60.2854
2010-10-07,59.4876,60.2854,58.9391,60.1857,1588000,60.1857
2010-10-06,59.4876,60.2854,58.8892,59.0887,2437200,59.0887
2010-10-05,57.1939,58.8394,56.8448,58.6898,1400500,58.6898
2010-10-04,58.241,58.241,56.9944,57.1939,1084800,57.1939
2010-10-01,57.144,57.9917,56.9944,57.6925,2016900,57.6925
2010-09-30,56.2464,57.0443,56.047,56.5955,2011700,56.5955
2010-09-29,55.4486,56.5456,55.0497,56.3462,1728200,56.3462
2010-09-28,54.95,56.047,54.1023,55.299,1771400,55.299
2010-09-27,55.8475,56.2464,55.0996,55.3489,1118000,55.3489
2010-09-24,53.9527,55.7478,53.7034,55.6979,1436300,55.6979
2010-09-23,55.6979,56.047,53.3543,53.9029,2535000,53.9029
2010-09-22,55.2492,56.2464,53.7034,55.4486,2801900,55.4486
2010-09-21,55.7478,56.2963,55.1494,55.2492,1933400,55.2492
2010-09-20,55.6979,58.241,54.202,55.3988,6266500,55.3988
2010-09-17,51.8584,55.7977,51.8584,55.3988,12638900,55.3988
2010-09-16,46.3634,47.1712,46.154,47.0914,1123200,47.0914
2010-09-15,46.6726,46.8222,46.2338,46.3634,881000,46.3634
2010-09-14,46.4731,46.7524,46.2438,46.6626,1027800,46.6626
2010-09-13,46.5729,46.8122,46.2637,46.4233,1304500,46.4233
2010-09-10,45.4659,45.9745,45.3761,45.8548,1149600,45.8548
2010-09-09,45.3761,45.5855,44.7578,45.4758,1543900,45.4758
2010-09-08,44.2791,45.2664,44.1295,44.8376,1519500,44.8376
2010-09-07,45.3362,45.4858,44.4885,44.5384,2002800,44.5384
2010-09-06,43.8902,45.5157,43.8902,45.436,2282400,45.436
2010-09-03,43.6109,44.4287,43.3317,43.8204,1942700,43.8204
2010-09-02,42.9827,43.6409,42.9328,43.3018,2612600,43.3018
2010-09-01,41.4867,43.0824,41.018,43.0325,2150100,43.0325
2010-08-31,41.2773,41.2773,40.4097,41.1078,998200,41.1078
2010-08-30,42.1848,42.2746,41.1177,41.5665,1181700,41.5665
2010-08-27,41.9854,42.2746,41.028,41.9056,1221000,41.9056
2010-08-26,40.9981,42.2546,40.9981,42.1549,1999900,42.1549
2010-08-25,42.3643,42.3643,40.0806,40.6989,2156400,40.6989
2010-08-24,42.4142,42.6336,41.0878,41.4668,2580800,41.4668
2010-08-23,41.8857,43.7306,41.6962,42.7034,2011100,42.7034
2010-08-20,42.6835,43.1622,41.6662,41.8956,1321200,41.8956
2010-08-19,43.1622,43.7705,42.5139,42.6935,1088600,42.6935
2010-08-18,43.8603,43.9201,42.9827,43.0924,1119000,43.0924
2010-08-17,43.4713,43.8403,42.8829,43.8303,913800,43.8303
2010-08-16,43.9101,44.3988,42.6835,43.1921,1375700,43.1921
2010-08-13,42.5339,43.9301,42.2846,43.571,1992800,43.571
2010-08-12,42.2746,43.581,41.766,42.4541,2261500,42.4541
2010-08-11,44.8775,44.8775,42.6835,42.7832,1890000,42.7832
2010-08-10,45.4758,45.8648,44.688,44.9174,2206000,44.9174
2010-08-09,45.6155,46.7125,45.1866,45.426,3637500,45.426
2010-08-06,45.2465,46.174,44.8775,44.9174,2540500,44.9174
2010-08-05,44.0797,45.3761,44.0298,44.8675,3789900,44.8675
2010-08-04,41.7859,44.3788,41.7361,43.8902,5606100,43.8902
2010-08-03,41.8857,41.8857,41.1377,41.6862,2342500,41.6862
2010-08-02,40.0905,41.8857,40.0108,41.776,1605300,41.776
2010-07-30,39.9809,40.5692,39.7016,40.1304,1011300,40.1304
2010-07-29,40.0905,40.6291,39.7415,40.3997,1428900,40.3997
2010-07-28,40.2202,40.7089,39.6318,39.9809,1403900,39.9809
2010-07-27,40.0307,40.5593,40.0307,40.2302,1155900,40.2302
2010-07-26,39.911,40.0307,39.4722,40.0207,688800,40.0207
2010-07-23,39.4124,40.0307,39.1431,39.8113,1234000,39.8113
2010-07-22,38.5747,39.8712,38.4949,39.6418,1397900,39.6418
2010-07-21,38.6545,39.3825,38.4351,38.8639,1445700,38.8639
2010-07-20,38.7542,38.8938,37.9364,38.4351,2208900,38.4351
2010-07-19,38.5049,39.2728,38.106,38.7542,1236600,38.7542
2010-07-16,39.4822,39.7016,38.1957,38.8938,2145900,38.8938
2010-07-15,39.1631,39.7415,38.7642,39.1332,1298800,39.1332
2010-07-14,39.3925,39.8313,38.7442,39.183,1623400,39.183
2010-07-13,37.9963,39.3925,37.9863,39.3925,2336200,39.3925
2010-07-12,38.076,38.3952,37.5475,38.1857,1172100,38.1857
2010-07-09,37.8866,38.3453,37.6173,37.8168,2827200,37.8168
2010-07-08,37.1785,37.8367,36.4505,37.5774,3288300,37.5774
2010-07-07,35.4034,36.7597,34.7751,36.7597,1766300,36.7597
2010-07-06,34.5457,35.892,34.4559,35.6926,1873800,35.6926
2010-07-05,34.8848,34.8848,33.8276,34.2066,1357400,34.2066
2010-07-02,33.9673,35.0443,33.9673,34.7252,2369900,34.7252
2010-07-01,34.1767,34.446,33.3789,33.7179,2599700,33.7179
2010-06-30,33.7977,34.7751,33.5384,34.5357,3880000,34.5357
2010-06-29,34.8349,35.1441,33.8576,33.9074,3157700,33.9074
2010-06-28,35.6527,35.7424,34.7152,35.1939,2099200,35.1939
2010-06-25,35.543,35.543,35.543,35.543,000,35.543
2010-06-24,36.8195,37.0887,35.2837,35.543,2581400,35.543
2010-06-23,36.999,37.5575,36.4106,36.7597,1807600,36.7597
2010-06-22,38.3952,38.4052,36.9591,37.5674,2395000,37.5674
2010-06-21,38.2655,38.6245,38.096,38.5946,2287700,38.5946
2010-06-18,38.2855,38.2954,37.5674,37.717,1826100,37.717
2010-06-17,37.5974,38.3952,37.4677,37.9265,1907100,37.9265
2010-06-16,38.0561,38.3952,37.5475,37.6971,2502700,37.6971
2010-06-15,37.5874,38.0661,37.1087,37.9265,2555400,37.9265
2010-06-14,37.4378,37.8467,37.348,37.7469,2395900,37.7469
2010-06-11,36.0616,36.9491,35.7624,36.6699,2578500,36.6699
2010-06-10,35.7025,36.2311,35.0144,36.0117,3761500,36.0117
2010-06-09,35.2438,35.7424,34.7452,35.6926,2852300,35.6926
2010-06-08,35.3535,35.523,34.6055,35.0842,3175900,35.0842
2010-06-07,35.2737,35.9319,34.7352,35.3335,2243600,35.3335
2010-06-04,37.3082,37.7968,35.902,36.0516,2491900,36.0516
2010-06-03,37.2383,37.6572,36.7098,37.1087,2975000,37.1087
2010-06-02,36.0017,36.5702,35.4133,36.3009,3043000,36.3009
2010-06-01,35.7025,36.7995,34.805,36.3208,4149800,36.3208
2010-05-31,36.0017,36.2411,35.4931,35.7025,1038500,35.7025
2010-05-28,37.0489,37.0987,35.9419,35.9917,1965000,35.9917
2010-05-27,35.902,36.7796,35.902,36.6101,3151900,36.6101
2010-05-26,34.6753,35.902,33.9074,35.4931,17376100,35.4931
2010-05-25,34.1867,34.3562,33.2692,33.8376,5119700,33.8376
2010-05-24,35.3136,35.4432,34.0271,34.9446,4380500,34.9446
2010-05-21,34.4958,35.2538,33.8177,34.9546,5767300,34.9546
2010-05-20,35.0643,35.7524,33.6382,34.5756,4434100,34.5756
2010-05-19,35.882,35.9519,34.5756,34.5856,3970900,34.5856
2010-05-18,36.1314,36.5602,35.5829,36.1114,3300400,36.1114
2010-05-17,36.4006,36.6599,35.6028,35.6028,3523500,35.6028
2010-05-14,39.4722,39.5919,36.5502,36.5502,4941600,36.5502
2010-05-13,39.3227,39.3227,39.3227,39.3227,000,39.3227
2010-05-12,37.4777,39.5221,37.009,39.3227,2531000,39.3227
2010-05-11,38.6944,38.6944,36.9691,37.4079,3505500,37.4079
2010-05-10,39.1431,39.9908,38.5946,39.0833,4783100,39.0833
2010-05-07,38.8938,39.6817,37.2683,37.7669,5006500,37.7669
2010-05-06,40.8884,42.2247,39.8313,40.0507,3871300,40.0507
2010-05-05,43.1821,43.3118,40.7188,41.2673,3458400,41.2673
2010-05-04,44.8775,44.9074,43.2818,43.3517,3020900,43.3517
2010-05-03,44.3788,45.2066,44.0996,44.7478,1598700,44.7478
2010-04-30,45.4659,45.4758,44.339,44.3489,737000,44.3489
2010-04-29,44.9672,45.5556,44.4686,45.1767,1697900,45.1767
2010-04-28,45.8748,46.174,44.8775,45.047,2239900,45.047
2010-04-27,47.5901,47.7796,45.9346,45.9845,2674900,45.9845
2010-04-26,47.7098,48.727,47.5103,47.5701,2540800,47.5701
2010-04-23,46.872,47.5701,46.513,47.3607,1900600,47.3607
2010-04-22,46.4033,47.3806,46.2836,46.872,2336500,46.872
2010-04-21,47.8793,48.0987,46.164,46.3933,2889200,46.3933
2010-04-20,47.969,48.0588,47.4006,47.8693,1563900,47.8693
2010-04-19,47.6699,48.0189,47.0216,47.7297,2648000,47.7297
2010-04-16,49.3852,49.6046,48.1884,48.3281,1772100,48.3281
2010-04-15,49.8639,49.9636,49.3054,49.7342,1669700,49.7342
2010-04-14,49.1957,49.6345,48.9962,49.6345,1992900,49.6345
2010-04-13,50.4622,50.562,48.8666,49.1658,2277600,49.1658
2010-04-12,49.6644,51.0606,49.6445,50.6118,1788800,50.6118
2010-04-09,50.4622,50.4622,49.8639,49.8639,1936600,49.8639
2010-04-08,50.7614,50.7614,49.5148,49.8639,2334600,49.8639
2010-04-07,52.9554,53.3543,50.6118,50.8611,4130800,50.8611
2010-04-06,50.8611,53.0053,48.6173,52.9554,4268800,52.9554
2010-04-05,62.0805,62.0805,62.0805,62.0805,000,62.0805
2010-04-02,62.0805,62.0805,62.0805,62.0805,000,62.0805
2010-04-01,61.2827,62.3298,61.2827,62.0805,1567200,62.0805
2010-03-31,61.2328,61.8312,60.6345,60.9835,1598000,60.9835
2010-03-30,62.28,62.7786,60.9337,61.2328,2636700,61.2328
2010-03-29,62.8285,63.1775,61.7813,62.28,1826000,62.28
2010-03-26,61.8312,62.5293,61.5819,62.3298,1379600,62.3298
2010-03-25,61.0334,62.28,61.0334,61.9808,1686000,61.9808
2010-03-24,61.4822,61.7813,60.5846,61.0334,1165200,61.0334
2010-03-23,61.4323,61.9808,60.8339,61.532,1482100,61.532
2010-03-22,59.9364,61.6816,59.9364,61.3326,1566700,61.3326
2010-03-19,61.8312,62.28,60.9835,61.4323,1297900,61.4323
2010-03-18,62.0805,62.3298,61.4822,61.4822,1854100,61.4822
2010-03-17,61.6816,62.8285,61.5819,62.28,1682200,62.28
2010-03-16,60.5846,61.6317,60.5846,61.532,2062300,61.532
2010-03-15,59.9862,60.5846,59.4876,60.435,1403200,60.435
2010-03-12,59.8865,60.5347,59.687,59.9364,2557000,59.9364
2010-03-11,59.9364,60.2854,59.4876,59.687,1782700,59.687
2010-03-10,60.1358,60.5846,59.8367,60.086,1547500,60.086
2010-03-09,59.8367,60.5846,59.4377,60.1358,1627000,60.1358
2010-03-08,59.6372,59.6372,58.9391,59.338,1112000,59.338
2010-03-05,59.2383,59.5873,58.3906,59.338,1915100,59.338
2010-03-04,57.3933,59.5873,57.0443,58.8892,3377700,58.8892
2010-03-03,57.0941,57.7922,56.7949,57.7922,1637000,57.7922
2010-03-02,56.3462,57.1939,55.7977,56.9445,1178200,56.9445
2010-03-01,54.0026,56.6952,54.0026,56.3462,2643800,56.3462
2010-02-26,53.853,54.1023,53.5039,54.0026,1456900,54.0026
2010-02-25,54.1023,54.1023,52.9056,53.5538,1810700,53.5538
2010-02-24,53.7533,54.0524,52.9554,53.853,1736600,53.853
2010-02-23,54.1522,54.7007,53.0053,53.4042,1488400,53.4042
2010-02-22,54.8004,55.1993,53.853,54.1522,1431800,54.1522
2010-02-19,54.1023,54.6508,53.6037,54.5511,2045000,54.5511
2010-02-18,54.9999,55.1993,53.7533,54.4015,1753700,54.4015
2010-02-17,53.0552,55.6481,53.0552,55.0497,2327000,55.0497
2010-02-16,54.8004,55.5484,54.1522,55.5484,1231700,55.5484
2010-02-15,54.8004,55.4486,53.6535,54.0026,1198600,54.0026
2010-02-12,56.4459,56.5955,54.6009,54.95,1926500,54.95
2010-02-11,55.0996,56.7949,55.0996,56.1467,2158100,56.1467
2010-02-10,55.8475,56.047,54.8503,54.8503,1518300,54.8503
2010-02-09,54.8503,55.8475,54.1522,55.4985,1896000,55.4985
2010-02-08,56.047,56.047,53.4042,54.8503,2065400,54.8503
2010-02-05,56.2963,56.5456,55.2492,55.5982,2348700,55.5982
2010-02-04,57.4432,57.7922,56.6952,56.8947,1846600,56.8947
2010-02-03,57.9418,58.4903,57.2437,57.4432,1613900,57.4432
