Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,25.190001,25.530001,25.09,25.299999,4828100,22.212359
2010-12-30,25.16,25.469999,25.00,25.24,4021900,22.159682
2010-12-29,25.01,25.309999,24.99,25.040001,3703600,21.984092
2010-12-28,25.059999,25.24,24.879999,25.00,3214100,21.948972
2010-12-27,25.17,25.26,24.58,25.16,3809000,22.089446
2010-12-23,25.540001,25.790001,25.07,25.16,7529000,22.089446
2010-12-22,25.98,26.10,25.48,25.49,6338600,22.379172
2010-12-21,25.74,26.16,25.709999,25.98,8490900,22.809372
2010-12-20,26.120001,26.15,25.58,25.60,4908200,22.475748
2010-12-17,25.780001,26.17,25.52,25.889999,11601100,22.730355
2010-12-16,25.290001,25.809999,25.049999,25.73,9251600,22.589882
2010-12-15,25.09,25.360001,25.01,25.27,5706400,22.186022
2010-12-14,25.02,25.280001,24.870001,25.18,6336800,22.107005
2010-12-13,25.469999,25.540001,24.91,24.950001,5744200,21.905075
2010-12-10,25.559999,25.65,25.33,25.49,4529700,22.335274
2010-12-09,25.559999,25.700001,25.360001,25.440001,4794700,22.291463
2010-12-08,25.629999,25.780001,24.91,25.49,6228900,22.335274
2010-12-07,25.469999,25.83,25.42,25.58,9261300,22.414136
2010-12-06,25.040001,25.32,24.950001,25.18,6657600,22.063641
2010-12-03,25.24,25.49,24.52,25.059999,12011100,21.958492
2010-12-02,25.93,26.200001,25.33,25.540001,12666400,22.379087
2010-12-01,26.16,26.200001,25.540001,25.799999,8205000,22.606907
2010-11-30,25.440001,26.120001,25.26,25.68,9731400,22.50176
2010-11-29,26.049999,26.200001,25.209999,25.42,9935000,22.273938
2010-11-26,26.299999,26.32,25.66,26.00,5427200,22.782155
2010-11-24,26.00,26.040001,25.549999,25.889999,8252200,22.685769
2010-11-23,25.35,26.139999,25.299999,25.450001,11114500,22.300226
2010-11-22,25.059999,25.780001,24.99,25.639999,9155300,22.466709
2010-11-19,24.73,25.18,24.60,25.08,6236000,21.976017
2010-11-18,25.01,25.200001,24.700001,24.73,6371400,21.669334
2010-11-17,24.190001,24.969999,24.040001,24.65,9480800,21.599235
2010-11-16,24.440001,24.90,23.90,24.15,8772300,21.161117
2010-11-15,25.139999,25.24,24.629999,24.700001,7762500,21.643048
2010-11-12,24.74,25.280001,24.629999,25.059999,10751700,21.958492
2010-11-11,24.75,25.09,24.42,24.92,7344000,21.83582
2010-11-10,25.33,25.60,24.74,24.860001,12263400,21.783246
2010-11-09,25.74,25.75,25.01,25.219999,7575700,22.09869
2010-11-08,25.389999,25.629999,25.07,25.57,6574700,22.405373
2010-11-05,25.73,26.030001,25.50,25.57,7505300,22.405373
2010-11-04,24.67,25.85,24.60,25.559999,11477800,22.396611
2010-11-03,24.030001,24.110001,23.559999,23.969999,6687500,21.003394
2010-11-02,24.18,24.370001,23.690001,24.02,8271100,21.047207
2010-11-01,23.870001,24.26,23.73,23.969999,8165600,21.003394
2010-10-29,23.23,23.93,23.09,23.67,8934900,20.740524
2010-10-28,23.52,23.67,22.83,23.290001,10461300,20.407554
