Date,Open,High,Low,Close,Volume,Adj Close
2010-12-30,172.80,174.00,172.50,172.50,9500,165.75
2010-12-29,172.50,173.10,170.50,171.50,10400,164.79
2010-12-28,170.50,172.20,170.50,172.00,19200,165.27
2010-12-27,173.80,173.80,170.00,170.50,50500,163.83
2010-12-23,168.80,170.40,168.60,170.00,8900,163.35
2010-12-22,170.50,170.60,166.10,168.90,32900,162.29
2010-12-21,164.00,168.60,164.00,168.50,16700,161.90
2010-12-20,160.00,165.70,160.00,163.00,44200,156.62
2010-12-17,160.60,163.40,160.60,162.00,7500,155.66
2010-12-16,160.00,161.80,160.00,160.60,15600,154.31
2010-12-15,157.40,159.90,157.40,159.20,13400,152.97
2010-12-14,156.80,158.00,156.80,157.00,11000,150.85
2010-12-13,153.50,157.00,152.40,154.00,17600,147.97
2010-12-10,152.70,153.90,150.00,153.50,26600,147.49
2010-12-09,155.00,155.50,153.80,154.50,64000,148.45
2010-12-08,152.40,155.00,152.00,155.00,31700,148.93
2010-12-07,154.50,156.00,151.30,152.70,17500,146.72
2010-12-06,153.00,155.60,153.00,154.50,8300,148.45
2010-12-03,154.40,154.40,151.00,153.00,14700,147.01
2010-12-02,146.70,156.00,146.70,154.50,22600,148.45
2010-12-01,148.00,150.00,145.70,148.60,11500,142.78
2010-11-30,146.00,146.00,144.00,144.90,4200,139.23
2010-11-29,146.50,146.50,144.20,146.00,4400,140.29
2010-11-26,141.50,144.50,141.50,144.20,21100,138.56
2010-11-25,143.50,144.10,140.10,141.90,35100,136.35
2010-11-24,148.90,148.90,141.50,143.60,23600,137.98
2010-11-23,150.90,150.90,147.00,149.00,13500,143.17
2010-11-22,146.50,150.00,146.50,149.60,9000,143.74
2010-11-19,146.50,150.40,146.50,146.50,25700,140.77
2010-11-18,143.10,146.50,143.10,146.50,7500,140.77
2010-11-17,144.40,144.80,141.90,142.50,19500,136.92
2010-11-16,146.00,148.00,142.30,144.40,41700,138.75
2010-11-15,143.80,146.30,142.40,146.30,13900,140.57
2010-11-12,143.10,144.00,138.50,142.30,25300,136.73
2010-11-11,141.80,142.00,139.00,141.40,1600,135.87
2010-11-10,143.00,144.50,141.20,141.70,114700,136.15
2010-11-09,140.00,143.00,137.70,142.60,6300,137.02
2010-11-08,138.50,140.40,138.20,140.40,21400,134.90
2010-11-05,138.90,138.90,135.10,138.20,300,132.79
2010-11-04,137.60,138.90,137.00,138.90,310300,133.46
2010-11-03,136.00,137.50,135.70,136.50,3700,131.16
2010-11-02,136.50,136.50,135.50,135.50,200,130.20
2010-11-01,133.70,137.00,133.60,135.10,15300,129.81
2010-10-29,131.30,134.50,131.30,134.50,7600,129.24
2010-10-28,133.00,133.00,131.00,131.00,7700,125.87
2010-10-27,138.00,138.00,134.50,135.10,54700,129.81
2010-10-26,136.90,136.90,135.00,135.10,8800,129.81
2010-10-25,138.80,138.80,136.00,136.90,101400,131.54
2010-10-22,135.20,137.00,135.10,137.00,18200,131.64
2010-10-21,133.80,137.00,133.70,136.10,17600,130.77
2010-10-20,133.10,135.00,133.00,133.80,12300,128.56
2010-10-19,132.10,136.80,132.10,136.60,20300,131.25
2010-10-18,133.00,135.90,132.00,133.00,7000,127.79
2010-10-15,135.00,135.80,132.00,132.00,10200,126.83
2010-10-14,136.00,136.40,135.10,136.40,2200,131.06
2010-10-13,132.80,136.20,132.80,135.80,10500,130.48
2010-10-12,129.50,132.80,129.50,132.40,8500,127.22
2010-10-11,137.00,137.00,128.90,133.00,5100,127.79
2010-10-08,132.00,134.80,131.90,133.80,18800,128.56
2010-10-07,137.00,137.00,130.20,130.20,20700,125.10
2010-10-06,139.00,139.00,136.60,137.00,2400,131.64
2010-10-05,139.00,139.00,134.50,138.00,8600,132.60
2010-10-04,139.00,139.00,135.00,136.10,12700,130.77
2010-10-01,138.50,139.70,138.40,139.00,4100,133.56
2010-09-30,139.00,139.00,137.00,139.00,3300,133.56
2010-09-29,135.20,139.00,135.20,139.00,19700,133.56
2010-09-28,136.00,137.40,135.00,135.00,7300,129.72
2010-09-27,131.60,136.60,131.60,136.00,6600,130.68
2010-09-24,131.80,136.50,131.80,136.50,6400,131.16
2010-09-23,133.60,135.00,131.20,131.20,4000,126.06
2010-09-22,133.60,134.60,132.50,133.60,8500,128.37
2010-09-21,135.00,135.00,133.10,133.60,9700,128.37
2010-09-20,133.00,134.60,131.70,134.60,4600,129.33
2010-09-17,130.00,133.10,130.00,133.10,37700,127.89
2010-09-16,129.90,130.40,129.00,130.00,11400,124.91
2010-09-15,116.00,130.00,116.00,130.00,8100,124.91
2010-09-14,129.00,129.20,128.60,129.20,8000,124.14
2010-09-13,130.00,130.00,128.20,128.50,4000,123.47
2010-09-10,127.30,128.00,126.50,127.50,5100,122.51
2010-09-09,125.00,126.40,125.00,126.40,6000,121.45
2010-09-08,125.00,125.50,124.30,124.30,7800,119.43
2010-09-07,125.00,125.00,123.10,124.20,2900,119.34
2010-09-06,125.90,127.00,125.50,126.20,4100,121.26
2010-09-03,120.10,126.00,120.10,124.80,18100,119.92
2010-09-02,121.30,121.30,120.30,120.30,3800,115.59
2010-09-01,120.00,121.10,117.50,120.30,9400,115.59
2010-08-31,118.80,118.80,118.00,118.00,1800,113.38
2010-08-30,121.00,121.00,120.00,120.00,7500,115.30
2010-08-27,121.80,123.00,120.20,121.20,10600,116.46
2010-08-26,122.00,122.00,121.40,121.70,1900,116.94
2010-08-25,121.10,121.70,119.00,120.80,5900,116.07
2010-08-24,127.00,127.00,121.10,121.80,5500,117.03
2010-08-23,125.10,125.90,124.00,125.90,4600,120.97
2010-08-20,128.00,128.00,124.60,125.80,7900,120.88
