Date,Open,High,Low,Close,Volume,Adj Close
2010-12-30,646.50,646.50,634.50,646.00,110200,537.72
2010-12-29,647.00,647.00,636.50,640.00,49500,532.72
2010-12-28,635.00,645.50,635.00,643.50,43200,535.64
2010-12-27,641.50,645.00,633.50,633.50,35500,527.31
2010-12-23,640.00,648.50,638.00,646.00,98500,537.72
2010-12-22,633.00,639.00,630.00,635.50,140300,528.98
2010-12-21,639.00,639.00,629.50,631.00,76400,525.23
2010-12-20,637.50,638.50,627.50,634.00,151200,527.73
2010-12-17,632.50,633.50,621.00,627.00,120500,521.90
2010-12-16,638.50,638.50,631.00,634.00,209900,527.73
2010-12-15,612.00,642.50,610.50,640.00,229600,532.72
2010-12-14,601.50,608.00,595.00,608.00,134000,506.09
2010-12-13,613.50,616.00,602.00,603.00,108400,501.93
2010-12-10,610.50,615.50,606.00,613.00,66600,510.25
2010-12-09,616.50,618.50,608.50,611.50,86000,509.00
2010-12-08,616.00,619.50,613.50,616.00,172800,512.75
2010-12-07,609.00,618.00,607.00,614.00,219200,511.08
2010-12-06,610.00,615.50,606.00,608.50,226900,506.50
2010-12-03,621.00,623.00,605.00,606.00,279500,504.42
2010-12-02,625.00,629.50,619.00,623.00,148800,518.57
2010-12-01,610.00,623.50,609.00,621.00,282500,516.91
2010-11-30,624.00,624.00,607.50,610.50,687300,508.17
2010-11-29,643.50,643.50,618.50,621.00,403800,516.91
2010-11-26,643.00,646.00,637.50,640.50,180700,533.14
2010-11-25,645.00,649.00,639.00,642.50,131800,534.81
2010-11-24,630.00,647.00,629.00,647.00,260000,538.55
2010-11-23,638.00,642.50,628.00,630.00,95900,524.40
2010-11-22,646.50,646.50,635.00,637.50,63300,530.64
2010-11-19,643.00,643.00,635.50,640.50,52800,533.14
2010-11-18,624.00,641.50,624.00,639.00,122300,531.89
2010-11-17,627.50,629.50,623.00,626.00,67800,521.07
2010-11-16,639.00,639.00,626.00,627.50,74900,522.32
2010-11-15,631.50,643.00,631.50,638.50,75500,531.48
2010-11-12,632.50,636.00,630.00,635.50,130700,528.98
2010-11-11,628.00,632.50,625.50,630.50,54300,524.82
2010-11-10,626.00,631.00,619.50,624.50,163000,519.82
2010-11-09,620.00,629.00,619.50,625.00,208400,520.24
2010-11-08,631.50,637.00,617.00,619.50,230500,515.66
2010-11-05,630.00,639.50,625.00,632.00,123300,526.07
2010-11-04,640.00,640.00,629.50,629.50,136400,523.98
2010-11-03,643.00,643.50,633.00,634.50,73600,528.15
2010-11-02,631.00,641.00,631.00,639.50,76100,532.31
2010-11-01,631.50,639.50,625.00,637.50,75400,530.64
2010-10-29,634.50,637.50,626.50,631.00,115500,525.23
2010-10-28,639.50,644.50,634.50,635.00,74800,528.56
2010-10-27,640.50,643.50,634.00,634.50,87500,528.15
2010-10-26,616.00,646.00,615.00,644.00,244500,536.05
2010-10-25,634.00,634.00,615.00,623.00,120000,518.57
2010-10-22,621.00,628.50,620.00,626.50,70600,521.49
2010-10-21,625.00,637.50,620.00,623.00,208300,518.57
2010-10-20,625.50,643.50,625.50,630.00,184300,524.40
2010-10-19,644.50,660.00,622.50,632.50,615900,526.48
2010-10-18,654.00,655.00,635.50,639.00,153300,531.89
2010-10-15,666.00,666.00,651.50,656.50,108000,546.46
2010-10-14,666.00,668.50,659.50,662.00,138000,551.04
2010-10-13,655.50,663.00,653.50,662.00,124300,551.04
2010-10-12,655.50,655.50,644.00,649.00,157200,540.22
2010-10-11,652.00,659.00,652.00,657.50,79500,547.29
2010-10-08,648.50,651.00,644.50,649.50,95600,540.63
2010-10-07,654.00,656.50,643.00,645.00,135800,536.89
2010-10-06,665.00,665.00,654.00,657.50,118500,547.29
2010-10-05,646.00,668.00,646.00,664.00,121500,552.70
2010-10-04,647.00,652.50,639.00,650.00,97100,541.05
2010-10-01,645.00,656.00,636.00,647.00,355800,538.55
2010-09-30,648.50,650.50,640.50,643.00,325800,535.22
2010-09-29,665.00,668.50,647.00,649.00,235000,540.22
2010-09-28,677.50,683.00,663.00,664.00,194300,552.70
2010-09-27,679.00,687.00,673.00,675.00,95600,561.86
2010-09-24,677.50,685.00,675.50,677.00,86800,563.52
2010-09-23,690.50,692.00,672.50,682.50,158600,568.10
2010-09-22,701.00,701.00,685.50,695.00,119900,578.51
2010-09-21,698.00,710.00,697.00,700.50,92100,583.08
2010-09-20,694.50,701.00,692.00,696.50,41300,579.75
2010-09-17,701.00,701.00,692.50,694.50,53100,578.09
2010-09-16,699.50,703.50,694.50,698.00,175200,581.00
2010-09-15,696.50,707.00,692.00,695.00,180500,578.51
2010-09-14,695.00,700.50,688.50,695.00,123700,578.51
2010-09-13,710.50,710.50,692.00,698.00,303800,581.00
2010-09-10,710.00,716.00,703.50,708.50,187400,589.74
2010-09-09,719.50,722.50,710.50,714.00,95900,594.32
2010-09-08,706.00,717.00,704.00,715.50,120200,595.57
2010-09-07,702.50,711.50,691.00,702.00,139000,584.33
2010-09-06,708.00,713.00,706.50,707.00,42200,588.49
2010-09-03,697.00,707.00,693.50,706.50,63900,588.08
2010-09-02,689.00,698.00,689.00,693.00,179800,576.84
2010-09-01,678.50,695.00,678.50,687.00,240500,571.85
2010-08-31,672.00,681.00,670.00,678.50,260200,564.77
2010-08-30,680.00,691.00,676.00,676.00,170100,562.69
2010-08-27,673.50,681.00,666.00,677.00,158800,563.52
2010-08-26,680.00,683.50,674.00,679.50,63500,565.60
2010-08-25,664.50,678.00,664.50,678.00,129800,564.36
2010-08-24,666.50,671.50,662.00,668.00,60500,556.03
2010-08-23,682.50,684.00,670.00,672.50,103700,559.78
2010-08-20,686.50,690.50,672.00,674.00,120300,561.03
2010-08-19,685.00,693.00,680.00,680.50,147600,566.44
2010-08-18,680.00,686.00,678.00,683.50,119800,568.93
2010-08-17,674.50,680.00,672.00,678.50,76600,564.77
2010-08-16,669.00,675.00,663.00,674.00,75000,561.03
2010-08-13,669.00,671.50,664.00,670.00,46800,557.70
2010-08-12,658.00,668.00,650.50,665.00,144400,553.53
2010-08-11,665.00,665.00,640.50,653.00,136900,543.55
2010-08-10,678.00,678.00,655.50,666.00,222900,554.37
2010-08-09,670.00,680.00,670.00,677.00,103000,563.52
2010-08-06,678.50,679.00,659.50,663.50,85800,552.29
2010-08-05,682.00,689.50,674.00,676.50,139500,563.11
2010-08-04,676.00,680.00,668.00,678.00,48800,564.36
2010-08-03,684.00,684.00,671.00,677.00,83200,563.52
2010-08-02,668.50,684.00,668.50,681.00,104700,566.85
2010-07-30,667.50,675.00,661.00,668.00,126700,556.03
2010-07-29,665.00,673.00,660.50,664.50,68100,553.12
2010-07-28,664.00,670.00,658.00,665.00,79300,553.53
2010-07-27,675.50,680.50,665.00,666.00,116000,554.37
2010-07-26,680.00,680.50,662.50,671.00,210100,558.53
2010-07-23,679.00,683.00,670.00,683.00,97500,568.52
2010-07-22,655.00,678.50,655.00,676.50,159500,563.11
2010-07-21,650.00,661.50,644.50,652.50,135000,543.13
2010-07-20,646.00,650.00,623.50,636.00,160900,529.40
2010-07-19,633.50,640.00,629.50,638.50,67100,531.48
2010-07-16,640.00,644.50,631.50,639.00,87200,531.89
2010-07-15,648.00,650.00,638.50,642.00,95500,534.39
2010-07-14,655.00,656.50,645.00,649.00,83600,540.22
2010-07-13,639.00,651.50,638.50,651.50,69800,542.30
2010-07-12,642.00,644.00,631.50,638.00,107500,531.06
2010-07-09,645.00,645.00,632.00,637.00,94900,530.23
2010-07-08,650.50,650.50,636.00,639.50,125500,532.31
2010-07-07,636.00,648.50,635.50,644.50,62000,536.47
2010-07-06,639.50,654.50,639.50,643.50,273300,535.64
2010-07-05,617.00,635.50,617.00,635.00,93800,528.56
2010-07-02,630.50,631.50,615.50,617.00,110500,513.58
2010-07-01,626.00,640.50,618.50,625.00,119900,520.24
2010-06-30,644.00,655.00,635.50,636.50,446400,529.81
2010-06-29,671.50,671.50,644.50,651.00,120600,541.88
2010-06-28,669.50,679.50,662.00,679.00,122400,565.19
2010-06-24,667.00,680.50,660.00,665.00,123900,553.53
2010-06-23,661.00,674.00,657.50,667.50,118200,555.62
