Date,Open,High,Low,Close,Volume,Adj Close
2007-12-31,455.00,455.00,455.00,455.00,000,358.125
2007-12-28,431.00,455.00,431.00,455.00,248700,358.125
2007-12-27,441.50,441.50,428.50,437.00,118500,343.957
2007-12-26,437.00,437.00,437.00,437.00,000,343.957
2007-12-25,437.00,437.00,437.00,437.00,000,343.957
2007-12-24,437.00,437.00,437.00,437.00,000,343.957
2007-12-21,435.50,444.00,434.50,437.00,90200,343.957
2007-12-20,432.50,442.00,432.50,436.00,154400,343.17
2007-12-19,432.50,444.00,429.00,434.50,430600,341.99
2007-12-18,429.50,436.50,426.00,426.50,258100,335.693
2007-12-17,421.00,431.00,419.50,428.00,158600,336.873
2007-12-14,425.00,429.50,420.00,428.50,151200,337.267
2007-12-13,427.00,436.00,421.50,423.50,131000,333.332
2007-12-12,428.00,435.00,425.50,434.00,123400,341.596
2007-12-11,434.00,435.00,426.00,434.00,197000,341.596
2007-12-10,421.00,430.00,421.00,428.50,149900,337.267
2007-12-07,429.00,431.00,418.50,428.00,134700,336.873
2007-12-06,425.00,432.50,423.00,427.50,143500,336.48
2007-12-05,420.50,428.00,415.00,427.50,193800,336.48
2007-12-04,422.00,423.50,413.00,415.00,205700,326.641
2007-12-03,421.00,424.50,417.50,419.00,282900,329.79
2007-11-30,427.50,433.00,417.50,418.00,377600,329.003
2007-11-29,444.00,444.50,427.00,428.00,273100,336.873
2007-11-28,435.00,442.50,428.50,435.00,404600,342.383
2007-11-27,429.50,437.50,424.00,432.50,286200,340.415
2007-11-26,423.00,438.00,423.00,431.00,217600,339.235
2007-11-23,418.50,429.00,418.50,423.00,175700,332.938
2007-11-22,413.00,423.50,408.00,420.00,362200,330.577
2007-11-21,397.50,417.00,397.50,414.50,420700,326.248
2007-11-20,405.00,421.00,397.00,416.50,454000,327.822
2007-11-19,410.00,425.50,404.50,404.50,433400,318.377
2007-11-16,421.00,430.00,415.50,424.50,229400,334.119
2007-11-15,432.00,434.50,426.00,427.50,272200,336.48
2007-11-14,430.00,436.00,429.00,434.50,285500,341.99
2007-11-13,419.50,427.00,411.50,426.00,357700,335.299
2007-11-12,409.00,422.00,407.00,417.50,613000,328.609
2007-11-09,436.00,438.50,419.00,420.50,266500,330.97
2007-11-08,436.00,438.00,429.00,433.00,493400,340.809
2007-11-07,440.50,452.00,439.00,442.50,250100,348.286
2007-11-06,441.00,451.50,439.00,441.50,219500,347.499
2007-11-05,437.50,449.00,437.50,438.50,266600,345.138
2007-11-02,437.00,446.00,437.00,440.00,185800,346.319
2007-11-01,449.00,451.00,436.50,441.00,488800,347.106
2007-10-31,428.50,448.00,428.50,446.50,561000,351.435
2007-10-30,439.00,442.50,427.50,433.50,489300,341.202
2007-10-29,415.50,435.50,415.50,434.50,499100,341.99
2007-10-26,414.50,420.00,407.00,420.00,448100,330.577
2007-10-25,410.00,419.00,410.00,411.50,301800,323.887
2007-10-24,422.50,423.00,408.00,411.00,433100,323.493
2007-10-23,400.50,420.00,397.00,419.50,525300,330.183
2007-10-22,399.00,400.00,390.50,395.50,452000,311.293
2007-10-19,409.50,410.50,395.00,405.00,245600,318.77
2007-10-18,410.00,415.50,404.50,408.50,505200,321.525
2007-10-17,406.00,408.50,403.00,404.50,508700,318.377
2007-10-16,408.00,415.50,400.00,406.00,317600,319.558
2007-10-15,418.00,419.00,411.50,412.00,197000,324.28
2007-10-12,417.50,422.50,412.50,418.00,298900,329.003
2007-10-11,418.00,423.00,411.00,420.00,436500,330.577
2007-10-10,421.50,421.50,417.00,419.00,140300,329.79
2007-10-09,420.50,422.50,417.00,420.00,205300,330.577
2007-10-08,421.00,424.00,414.50,423.00,185700,332.938
2007-10-05,419.50,421.50,415.00,417.00,198700,328.215
2007-10-04,415.00,420.50,413.00,417.00,266700,328.215
2007-10-03,416.00,419.00,412.50,413.00,147000,325.067
2007-10-02,426.00,430.00,415.00,416.00,237700,327.428
2007-10-01,422.50,427.50,412.00,423.00,293900,332.938
2007-09-28,407.00,418.50,401.00,416.00,372300,327.428
2007-09-27,406.00,411.00,401.50,409.00,268800,321.919
2007-09-26,399.00,407.50,399.00,400.00,212000,314.835
2007-09-25,401.00,405.00,397.50,399.00,197200,314.048
2007-09-24,409.50,411.00,399.00,405.00,492600,318.77
2007-09-21,400.50,412.50,400.50,407.00,206200,320.345
2007-09-20,408.50,411.00,403.00,405.50,394600,319.164
2007-09-19,412.00,421.00,408.50,411.00,528100,323.493
2007-09-18,388.00,395.00,384.00,395.00,373300,310.90
2007-09-17,395.00,395.00,383.00,388.50,218600,305.783
2007-09-14,396.00,398.00,385.00,395.00,449800,310.90
2007-09-13,378.00,395.50,372.50,395.50,487200,311.293
2007-09-12,375.00,380.00,374.50,377.50,121500,297.126
2007-09-11,375.00,381.00,374.00,381.00,108400,299.88
2007-09-10,370.00,379.50,368.00,374.00,177200,294.371
2007-09-07,390.00,390.00,375.00,377.00,120100,296.732
2007-09-06,380.50,388.50,379.50,385.50,250600,303.422
2007-09-05,389.00,389.00,378.00,378.00,222800,297.519
2007-09-04,391.50,391.50,382.00,386.50,238200,304.209
2007-09-03,392.50,395.50,391.00,392.50,79400,308.932
2007-08-31,393.50,395.00,387.00,394.50,162600,310.506
2007-08-30,395.00,396.00,384.00,391.00,154400,307.751
2007-08-29,384.00,394.50,378.00,390.00,270700,306.964
2007-08-28,393.00,393.50,385.00,389.00,206500,306.177
2007-08-27,381.00,398.50,381.00,389.00,306500,306.177
2007-08-24,382.00,386.00,378.50,379.50,119900,298.70
2007-08-23,385.00,387.00,381.00,384.00,243800,302.242
2007-08-22,377.00,388.00,373.50,384.00,325100,302.242
2007-08-21,384.00,384.00,368.50,374.00,372600,294.371
2007-08-20,382.50,385.00,376.00,381.00,616200,299.88
2007-08-17,372.50,385.00,369.00,374.00,420800,294.371
2007-08-16,380.00,387.50,377.00,380.00,246300,299.093
2007-08-15,394.00,397.00,386.00,393.00,168900,309.325
2007-08-14,400.00,406.50,395.00,400.50,243000,315.229
2007-08-13,394.00,402.00,393.50,398.50,188400,313.654
2007-08-10,396.00,400.00,389.00,393.00,340000,309.325
2007-08-09,411.00,411.00,388.50,401.00,419700,315.622
2007-08-08,403.00,411.00,398.00,406.00,289000,319.558
2007-08-07,404.00,407.50,396.50,398.00,162200,313.261
2007-08-06,397.50,405.50,395.00,400.00,156000,314.835
2007-08-03,410.00,412.00,403.00,406.50,242000,319.951
2007-08-02,410.00,415.00,406.00,408.00,166900,321.132
2007-08-01,414.50,414.50,406.00,408.00,264900,321.132
2007-07-31,420.00,425.00,413.00,417.00,250300,328.215
2007-07-30,422.50,426.50,405.00,417.00,468400,328.215
2007-07-27,423.50,429.00,414.50,416.00,297300,327.428
2007-07-26,439.50,443.00,423.50,427.50,257600,336.48
2007-07-25,435.00,441.50,425.00,441.00,583500,347.106
2007-07-24,425.00,442.50,422.50,430.00,689200,338.448
2007-07-23,429.50,433.00,423.50,425.00,403600,334.512
2007-07-20,449.00,449.00,435.50,436.50,206200,343.564
2007-07-19,449.00,450.00,443.00,445.00,184900,350.254
2007-07-18,448.50,452.00,443.50,445.50,318300,350.647
2007-07-17,450.50,455.50,449.50,452.00,263100,355.764
2007-07-16,452.00,452.00,449.00,449.50,305200,353.796
2007-07-13,450.00,450.00,446.00,449.00,415800,353.402
2007-07-12,441.00,449.00,441.00,447.00,173100,351.828
2007-07-11,440.00,447.00,439.00,442.00,401700,347.893
2007-07-10,445.50,451.00,441.00,447.00,555900,351.828
2007-07-09,448.50,449.00,443.50,444.00,114000,349.467
2007-07-06,443.00,446.50,438.00,446.50,281100,351.435
2007-07-05,448.00,448.00,441.00,443.00,241500,348.68
2007-07-04,449.00,449.00,441.00,446.00,210800,351.041
2007-07-03,442.00,452.00,442.00,448.50,367700,353.009
2007-07-02,439.00,446.50,434.50,440.50,466400,346.712
2007-06-29,431.50,444.50,431.50,443.50,429500,349.073
2007-06-28,433.50,440.00,431.50,438.00,317500,344.744
2007-06-27,424.50,433.50,421.00,433.00,379700,340.809
2007-06-26,426.00,426.00,421.50,422.50,380300,332.544
2007-06-25,417.00,425.00,414.00,425.00,268800,334.512
2007-06-22,421.00,421.00,421.00,421.00,000,331.364
2007-06-21,423.50,424.50,417.00,421.00,351700,331.364
2007-06-20,437.50,437.50,423.50,424.50,355200,334.119
2007-06-19,432.00,438.00,431.50,433.00,421400,340.809
2007-06-18,431.00,433.00,429.50,432.50,638900,340.415
2007-06-15,427.00,431.50,421.00,429.00,369000,337.661
2007-06-14,427.50,428.00,422.50,425.00,418600,334.512
2007-06-13,424.00,424.00,415.00,420.50,495900,330.97
2007-06-12,424.50,430.00,422.50,424.00,375300,333.725
2007-06-11,430.00,433.00,422.50,424.00,622600,333.725
2007-06-08,408.00,428.00,407.50,423.00,761600,332.938
2007-06-07,428.50,428.50,409.50,415.50,386000,327.035
2007-06-06,430.00,430.00,430.00,430.00,000,338.448
2007-06-05,416.50,437.50,416.50,430.00,920200,338.448
2007-06-04,422.50,422.50,417.50,418.50,278900,329.396
2007-06-01,420.00,420.00,420.00,420.00,000,330.577
2007-05-31,408.00,425.00,408.00,420.00,974100,330.577
2007-05-30,397.00,404.00,397.00,404.00,247000,317.983
2007-05-29,403.50,404.00,400.50,401.50,315900,316.016
2007-05-28,398.00,403.50,398.00,403.50,187200,317.59
2007-05-25,400.50,404.50,400.00,401.50,157300,316.016
2007-05-24,406.00,406.00,400.00,403.50,314800,317.59
2007-05-23,396.50,407.00,394.50,406.50,613100,319.951
2007-05-22,393.00,398.50,391.00,396.50,557200,312.08
2007-05-21,390.00,395.50,387.50,390.00,495900,306.964
2007-05-18,391.00,393.00,387.00,391.50,448600,308.145
2007-05-17,388.50,388.50,388.50,388.50,000,305.783
2007-05-16,389.50,391.50,384.00,388.50,135400,305.783
2007-05-15,389.50,392.00,383.00,390.00,555200,306.964
2007-05-14,392.00,392.00,385.00,389.50,452000,306.571
2007-05-11,383.50,391.50,381.50,390.00,436500,306.964
2007-05-10,389.50,391.50,383.50,385.50,361000,303.422
2007-05-09,402.00,404.00,392.00,395.00,376200,310.90
2007-05-08,401.00,403.00,398.00,400.50,384400,315.229
2007-05-07,399.00,402.50,399.00,400.50,267200,315.229
2007-05-04,398.50,401.50,397.00,399.50,392600,314.441
