Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,136.847,136.847,136.847,136.847,000,111.3859
2013-12-30,138.085,138.542,136.39,136.847,378700,111.3859
2013-12-27,136.977,138.802,136.977,138.085,300100,112.3935
2013-12-26,136.847,136.847,136.847,136.847,000,111.3859
2013-12-25,136.847,136.847,136.847,136.847,000,111.3859
2013-12-24,136.847,136.847,136.847,136.847,000,111.3859
2013-12-23,133.587,136.847,133.587,136.847,414500,111.3859
2013-12-20,134.63,135.608,133.326,133.326,2734500,108.52
2013-12-19,131.305,134.499,131.305,134.173,648800,109.2094
2013-12-18,130.392,131.24,129.675,130.653,381600,106.3443
2013-12-17,129.414,131.566,128.567,129.023,431400,105.0176
2013-12-16,131.24,131.24,127.849,128.827,622000,104.858
2013-12-13,130.718,132.478,130.718,131.174,276900,106.7684
2013-12-12,132.478,132.674,128.827,130.653,617800,106.3443
2013-12-11,130.001,133.587,129.936,132.674,650200,107.9893
2013-12-10,130.392,131.24,129.023,130.392,528500,106.1319
2013-12-09,129.74,130.131,128.175,129.871,433300,105.7078
2013-12-06,129.023,129.414,127.523,128.893,238300,104.9118
2013-12-05,127.849,129.805,127.002,128.11,425800,104.2744
2013-12-04,129.088,129.545,127.002,128.045,375900,104.2215
2013-12-03,132.348,132.348,128.697,128.827,536400,104.858
2013-12-02,133.261,133.261,131.696,131.892,219200,107.3528
2013-11-29,133.978,134.434,133.261,133.261,165000,108.4671
2013-11-28,133.978,134.63,133.782,134.108,229900,109.1565
2013-11-27,132.804,134.173,132.739,133.913,246500,108.9977
2013-11-26,132.022,133.00,131.892,132.87,244200,108.1488
2013-11-25,130.718,131.892,130.718,131.892,163600,107.3528
2013-11-22,130.066,130.914,129.936,130.197,183900,105.9731
2013-11-21,130.197,131.305,128.893,129.805,322000,105.6541
2013-11-20,130.848,131.696,128.501,130.457,412700,106.1848
2013-11-19,132.348,132.348,130.457,130.848,228400,106.503
2013-11-18,132.022,132.739,130.848,132.609,392000,107.9364
2013-11-15,133.196,133.196,131.044,131.892,328600,107.3528
2013-11-14,132.413,133.196,131.37,133.196,323200,108.4142
2013-11-13,132.413,133.00,130.457,131.174,258400,106.7684
2013-11-12,133.065,133.652,131.435,133.196,755100,108.4142
2013-11-11,131.957,133.587,131.305,133.065,336700,108.3075
2013-11-08,133.00,133.196,129.936,130.914,590800,106.5567
2013-11-07,134.76,135.217,132.674,133.196,386400,108.4142
2013-11-06,133.00,135.151,132.935,134.043,526900,109.1036
2013-11-05,131.696,132.935,131.696,132.674,257000,107.9893
2013-11-04,132.022,134.043,131.435,131.435,674200,106.9808
2013-11-01,130.066,131.37,129.088,131.37,137500,106.9279
2013-10-31,130.197,130.718,129.349,130.131,318800,105.9194
2013-10-30,130.066,131.50,129.675,129.805,395800,105.6541
2013-10-29,129.219,130.392,128.958,129.545,382400,105.4424
2013-10-28,127.328,129.871,127.198,129.088,606800,105.0705
2013-10-25,124.199,126.415,122.569,126.415,492100,102.8948
2013-10-24,128.175,129.74,124.59,125.502,606800,102.1517
2013-10-23,127.523,128.501,126.741,127.915,292600,104.1157
2013-10-22,126.676,128.501,126.676,128.371,251900,104.4869
2013-10-21,126.48,127.198,126.35,126.676,310700,103.1072
2013-10-18,125.959,126.611,125.828,126.154,300000,102.6824
2013-10-17,126.48,127.719,124.85,125.633,397300,102.2583
2013-10-16,125.176,126.024,124.199,125.828,332200,102.417
2013-10-15,124.329,126.415,124.329,126.415,302600,102.8948
2013-10-14,125.111,125.111,123.416,124.068,249700,100.9845
2013-10-11,125.307,126.48,125.307,125.372,442700,102.0459
2013-10-10,121.917,125.828,121.786,125.046,323700,101.7805
2013-10-09,121.134,121.851,119.635,121.33,368800,98.7559
2013-10-08,122.243,122.829,121.069,121.395,406200,98.8088
2013-10-07,122.764,123.09,121.851,122.503,263000,99.7106
2013-10-04,122.699,123.677,121.851,123.547,391500,100.5604
2013-10-03,123.873,124.459,123.221,123.742,206300,100.7191
2013-10-02,124.394,124.785,123.742,124.199,295900,101.0911
2013-10-01,124.264,124.916,123.286,124.916,341000,101.6747
2013-09-30,124.524,124.85,122.895,124.72,861300,101.5152
2013-09-27,125.828,126.415,124.785,125.046,207000,101.7805
2013-09-26,125.894,126.741,125.633,126.154,688600,102.6824
2013-09-25,126.48,126.806,125.828,125.894,390000,102.4707
2013-09-24,124.459,127.002,124.459,126.48,598900,102.9477
2013-09-23,124.59,124.981,123.873,124.459,328200,101.3027
2013-09-20,124.394,125.046,124.003,124.329,327300,101.1969
2013-09-19,124.524,125.763,123.873,124.003,345400,100.9316
2013-09-18,122.569,124.199,122.569,123.612,324600,100.6133
2013-09-17,122.699,123.351,122.177,122.569,349900,99.7644
2013-09-16,123.155,124.199,122.569,122.764,518600,99.9231
2013-09-13,123.025,123.025,122.308,122.895,322300,100.0297
2013-09-12,123.873,125.437,122.96,123.155,970100,100.2413
2013-09-11,123.481,124.329,122.895,123.547,511800,100.5604
2013-09-10,119.309,123.677,119.113,123.612,915700,100.6133
2013-09-09,119.309,119.309,117.549,118.787,311300,96.686
2013-09-06,118.526,119.635,117.223,119.244,642000,97.058
2013-09-05,116.962,119.70,116.766,118.918,1546900,96.7927
2013-09-04,115.397,117.027,115.397,116.897,463600,95.1477
2013-09-03,114.875,116.179,114.615,115.853,757300,94.2979
2013-09-02,113.898,114.745,113.441,114.745,625800,93.3961
2013-08-30,113.506,113.898,112.528,112.985,478800,91.9635
2013-08-29,110.442,113.637,110.442,113.506,608700,92.3876
2013-08-28,109.008,110.573,108.943,110.312,345300,89.7878
2013-08-27,111.616,112.268,109.073,109.464,599400,89.0976
2013-08-26,112.137,112.268,111.159,112.007,251400,91.1675
2013-08-23,112.137,112.463,111.355,111.485,313600,90.7426
2013-08-22,110.964,112.137,110.964,111.811,344200,91.0079
2013-08-21,113.05,113.572,110.964,110.964,284700,90.3185
2013-08-20,114.093,114.093,112.659,112.92,395300,91.9106
2013-08-19,113.441,114.68,112.333,114.419,491200,93.1307
2013-08-16,112.528,114.093,110.312,113.767,1143400,92.60
2013-08-15,116.701,116.701,113.702,114.093,544700,92.8654
2013-08-14,115.723,117.027,114.941,117.027,472000,95.2535
2013-08-13,112.659,116.44,112.528,115.853,619300,94.2979
2013-08-12,111.355,112.594,111.29,112.594,253800,91.6453
2013-08-09,111.811,112.072,111.224,111.485,214600,90.7426
2013-08-08,111.094,111.876,110.768,111.746,306000,90.955
2013-08-07,110.833,111.746,110.507,110.768,347100,90.159
2013-08-06,110.964,111.746,110.312,111.616,497400,90.8492
2013-08-05,112.268,112.333,110.833,110.964,339200,90.3185
2013-08-02,112.137,112.268,111.029,111.811,233200,91.0079
2013-08-01,111.55,112.137,111.29,112.072,209100,91.2204
2013-07-31,111.224,111.811,110.181,111.485,345200,90.7426
2013-07-30,111.355,111.876,110.312,111.29,259200,90.5839
2013-07-29,112.137,112.724,110.898,111.681,225500,90.9021
2013-07-26,112.659,113.05,111.094,111.681,247700,90.9021
2013-07-25,112.333,113.441,111.485,112.659,188900,91.6982
2013-07-24,112.007,113.05,111.681,112.659,213100,91.6982
2013-07-23,112.268,112.789,111.485,112.007,149800,91.1675
2013-07-22,111.942,112.724,110.833,111.811,231900,91.0079
2013-07-19,110.833,112.528,110.312,111.746,310300,90.955
2013-07-18,109.855,111.746,109.334,111.616,494700,90.8492
2013-07-17,107.769,109.855,107.313,109.855,364700,89.4159
2013-07-16,108.095,108.225,106.856,107.574,175500,87.5593
2013-07-15,107.313,109.008,107.117,107.639,171800,87.6122
2013-07-12,109.203,110.051,107.508,107.508,240600,87.5055
2013-07-11,107.769,109.529,107.639,109.203,439800,88.8852
2013-07-10,106.791,107.574,105.552,107.443,286800,87.4526
2013-07-09,105.552,106.856,105.552,106.791,275500,86.9219
2013-07-08,104.444,106.27,104.444,105.552,298500,85.9135
2013-07-05,104.314,105.292,103.271,104.053,286600,84.6934
2013-07-04,102.684,104.314,102.684,104.314,337800,84.9058
2013-07-03,102.423,103.14,100.598,102.814,309200,83.6849
2013-07-02,101.054,102.879,100.728,102.814,443100,83.6849
2013-07-01,100.011,100.663,98.5113,100.663,292700,81.9341
2013-06-28,100.924,101.771,98.9676,99.4892,255600,80.9787
2013-06-27,98.4461,100.858,97.8593,100.076,266500,81.4563
2013-06-26,97.1421,98.3809,96.6206,97.7289,204600,79.5459
2013-06-25,95.5122,97.6637,95.5122,96.2294,300900,78.3254
2013-06-24,97.8593,98.9676,95.2514,95.5122,403600,77.7416
2013-06-21,98.772,98.772,98.772,98.772,000,80.3949
2013-06-20,101.054,101.315,98.3157,98.772,399900,80.3949
2013-06-19,102.619,103.531,101.054,102.162,525400,83.1542
2013-06-18,101.445,102.032,101.119,101.706,166400,82.783
2013-06-17,100.402,101.641,100.272,101.054,166900,82.2524
2013-06-14,99.75,101.054,99.2936,99.8152,271400,81.244
2013-06-13,98.772,99.75,98.0549,99.424,269700,80.9256
2013-06-12,100.206,101.184,99.6848,99.9456,298700,81.3502
2013-06-11,101.901,102.097,100.272,100.598,405200,81.8812
2013-06-10,101.836,102.749,101.575,101.706,245500,82.783
2013-06-07,100.858,101.641,99.3588,101.249,422700,82.4111
2013-06-06,101.315,101.315,101.315,101.315,000,82.4648
2013-06-05,102.553,102.945,101.054,101.315,315200,82.4648
2013-06-04,104.314,104.77,103.531,103.662,269500,84.3751
2013-06-03,103.662,105.096,102.488,104.183,262800,84.7992
2013-05-31,104.444,105.031,103.01,103.662,255900,84.3751
2013-05-30,103.662,104.966,102.553,104.444,317800,85.0116
2013-05-29,104.183,104.64,103.401,103.792,347800,84.4809
2013-05-28,101.901,104.90,101.901,104.379,533600,84.9587
2013-05-27,101.575,102.162,100.924,101.967,229800,82.9955
2013-05-24,101.706,102.227,100.402,101.901,574700,82.9418
2013-05-23,103.792,103.792,100.598,101.51,1137800,82.6235
2013-05-22,103.662,105.487,103.336,104.705,374300,85.2241
2013-05-21,103.857,104.053,103.14,103.271,253900,84.0569
2013-05-20,103.923,104.248,103.597,103.857,189500,84.5338
2013-05-17,103.075,103.923,102.879,103.597,391700,84.3222
2013-05-16,103.857,103.988,103.336,103.531,338100,84.2685
2013-05-15,102.814,103.792,102.619,103.727,413100,84.428
2013-05-14,102.684,103.01,101.315,102.684,1158700,83.5791
2013-05-13,103.14,103.205,101.575,102.684,753600,83.5791
2013-05-10,102.619,103.662,102.358,102.423,759000,83.3666
2013-05-09,102.619,102.619,102.619,102.619,000,83.5262
2013-05-08,101.641,102.684,101.38,102.619,406600,83.5262
2013-05-07,101.901,103.205,100.728,101.249,773300,82.4111
2013-05-06,100.141,102.097,100.076,102.097,1065600,83.1013
2013-05-03,98.4461,100.858,97.1421,100.467,1010400,81.7746
2013-05-02,100.467,101.054,99.098,101.054,617800,82.2524
2013-05-01,99.6196,99.6196,99.6196,99.6196,000,81.0848
2013-04-30,99.6196,99.6196,99.6196,99.6196,000,81.0848
2013-04-29,98.2505,99.6196,98.2505,99.6196,654700,81.0848
2013-04-26,99.1632,100.076,98.2505,98.5764,760000,80.2357
2013-04-25,97.6637,100.206,97.6637,99.098,1000100,80.6603
2013-04-24,96.8161,97.7941,96.099,97.4681,759900,79.3336
2013-04-23,94.4039,96.2946,93.8171,96.2946,421900,78.3785
2013-04-22,93.2304,94.7299,93.2304,93.8171,492800,76.3619
2013-04-19,93.8823,94.0779,92.9696,92.9696,421200,75.6721
2013-04-18,92.9044,94.2735,92.774,93.10,1127800,75.7782
2013-04-17,94.3387,94.5343,91.9916,93.426,840700,76.0436
2013-04-16,94.9255,94.9907,92.5784,93.8171,904900,76.3619
2013-04-15,96.8161,97.2725,94.9255,95.0559,658700,77.3702
2013-04-12,98.1201,98.1853,96.5554,96.6858,692300,78.6969
2013-04-11,97.3377,98.4461,96.3598,98.1201,1317500,79.8643
2013-04-10,98.4461,98.4461,96.751,97.2725,1539000,79.1744
2013-04-09,105.618,107.704,104.90,105.031,832400,77.35
2013-04-08,105.813,106.40,105.031,105.552,603500,77.7337
2013-04-05,107.508,107.508,103.075,104.966,860500,77.3021
2013-04-04,109.269,109.269,105.813,106.791,464000,78.6461
2013-04-03,108.747,110.442,108.225,108.551,578300,79.9423
2013-04-02,106.53,108.551,106.27,108.551,492500,79.9423
2013-04-01,106.726,106.726,106.726,106.726,000,78.5982
2013-03-29,106.726,106.726,106.726,106.726,000,78.5982
2013-03-28,106.596,106.726,105.748,106.27,395100,78.2624
2013-03-27,106.922,107.052,106.139,106.726,497000,78.5982
2013-03-26,107.052,107.378,106.27,106.856,722000,78.694
2013-03-25,107.443,107.834,105.878,106.27,894100,78.2624
2013-03-22,105.422,105.944,103.597,105.683,708500,77.8301
2013-03-21,105.748,106.074,104.64,105.422,983200,77.6379
2013-03-20,105.944,106.856,105.487,105.748,887700,77.878
2013-03-19,108.551,108.877,105.683,106.009,507100,78.0702
2013-03-18,108.682,109.073,107.182,108.486,489700,79.8944
2013-03-15,110.377,110.442,109.529,110.116,382000,81.0948
2013-03-14,108.943,110.768,108.943,110.442,382900,81.3349
2013-03-13,109.529,109.529,108.16,109.073,516200,80.3267
2013-03-12,111.159,111.485,109.334,109.595,612900,80.7111
2013-03-11,110.833,111.29,110.573,111.29,283100,81.9594
2013-03-08,110.573,111.616,110.507,111.029,499000,81.7672
2013-03-07,110.833,111.094,109.399,110.703,586800,81.5271
2013-03-06,110.051,111.42,109.855,110.768,1063500,81.575
2013-03-05,108.551,110.247,108.551,110.116,786800,81.0948
2013-03-04,108.095,108.551,107.704,108.551,655300,79.9423
2013-03-01,109.595,109.79,107.704,108.291,655400,79.7508
2013-02-28,109.855,109.855,108.747,109.855,525000,80.9026
2013-02-27,106.922,109.269,106.726,109.269,940100,80.471
2013-02-26,107.443,108.03,106.204,106.987,746800,78.7905
2013-02-25,108.095,109.529,108.095,109.529,1083800,80.6625
2013-02-22,107.899,108.877,107.248,107.965,884600,79.5107
2013-02-21,109.529,109.855,107.248,107.834,953900,79.4142
2013-02-20,109.529,111.224,109.529,110.573,452300,81.4314
2013-02-19,107.704,109.986,107.704,109.464,508900,80.6146
2013-02-18,107.899,108.551,107.639,107.704,271200,79.3185
2013-02-15,107.574,108.486,107.378,107.769,564200,79.3664
