Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,42.5913,42.5913,42.5913,42.5913,000,38.3109
2008-12-30,43.2142,43.9149,42.5913,42.5913,7100,38.3109
2008-12-29,44.46,44.5378,42.747,43.2142,3362400,38.8712
2008-12-26,43.7592,43.7592,43.7592,43.7592,000,39.3614
2008-12-25,43.7592,43.7592,43.7592,43.7592,000,39.3614
2008-12-24,43.7592,43.7592,43.7592,43.7592,000,39.3614
2008-12-23,43.2142,43.7592,42.9027,43.7592,4833600,39.3614
2008-12-22,44.9272,44.9272,42.9806,43.0584,6275000,38.7311
2008-12-19,45.4722,45.7837,44.3043,44.3043,7408900,39.8517
2008-12-18,45.4722,46.3287,45.0829,45.6279,11587400,41.0423
2008-12-17,46.5623,46.6402,43.7592,44.8493,14741300,40.342
2008-12-16,44.8493,46.0951,43.9928,44.9272,10425200,40.412
2008-12-15,46.8737,47.4967,44.8493,44.8493,10165100,40.342
2008-12-12,46.6402,46.718,45.5501,45.9394,12803300,41.3225
2008-12-11,49.9883,50.2219,47.8081,48.3531,10387200,43.4936
2008-12-10,52.4799,52.7135,49.2096,50.2219,12180300,45.1746
2008-12-09,49.8326,53.0249,48.6646,51.857,18657000,46.6454
2008-12-08,46.4844,50.6112,45.0829,49.9883,14434300,44.9645
2008-12-05,45.7837,45.8615,42.2019,43.0584,13386400,38.7311
2008-12-04,45.7837,49.2096,45.6279,45.8615,15267400,41.2525
2008-12-03,46.2508,46.3287,44.1485,46.173,15947700,41.5326
2008-12-02,41.579,46.4844,41.034,46.3287,15420500,41.6727
2008-12-01,45.6279,45.6279,42.1241,42.3577,8570200,38.1008
2008-11-28,46.3287,47.4188,44.46,45.2386,13992000,40.6922
2008-11-27,44.3043,46.9516,43.6035,46.9516,9327600,42.233
2008-11-26,44.5378,45.4722,43.2142,43.7592,15548100,39.3614
2008-11-25,45.9394,46.7959,44.1485,44.8493,16776500,40.342
2008-11-24,41.6569,47.4188,41.5012,45.9394,35400,41.3225
2008-11-21,44.3821,45.005,40.4111,40.8783,25600,36.7701
2008-11-20,43.7592,45.3943,43.1363,44.7714,12509600,40.2719
2008-11-19,48.3531,48.3531,44.6157,44.6157,10836000,40.1319
2008-11-18,48.7425,49.599,46.4066,47.6524,12592000,42.8634
2008-11-17,49.2875,49.599,47.4188,49.1318,9598300,44.1941
2008-11-14,52.4799,52.4799,49.1318,50.0661,10779100,45.0345
2008-11-13,48.2753,51.312,48.2753,50.144,11714000,45.1046
2008-11-12,51.857,52.4021,48.1974,49.2875,9708500,44.3341
2008-11-11,52.4799,52.8692,50.2219,50.9226,8871800,45.8049
2008-11-10,55.283,55.828,52.7135,53.3364,6146000,47.9761
2008-11-07,52.7135,54.4265,51.9349,53.6479,8593800,48.2563
2008-11-06,52.8692,55.283,51.3898,52.1685,14969100,46.9256
2008-11-05,54.9715,54.9715,52.3242,54.5822,14730900,49.0967
2008-11-04,50.689,54.3486,49.599,54.115,13275300,48.6765
2008-11-03,50.0661,50.0661,48.2753,49.3654,13987300,44.4042
2008-10-31,48.9761,49.599,46.4844,47.4967,8773000,42.7233
2008-10-30,49.2875,50.7669,47.9638,49.0539,54800,44.124
2008-10-29,48.1974,48.2753,45.4722,47.1852,18369700,42.4431
2008-10-28,48.2753,48.7425,43.7592,45.005,14592300,40.482
2008-10-27,48.2753,48.3531,45.4722,46.4844,21181900,41.8128
2008-10-24,51.9349,52.4799,47.886,50.8448,24970700,45.7349
2008-10-23,54.3486,56.0616,52.4021,54.115,15129700,48.6765
2008-10-22,55.3609,55.3609,52.4021,54.115,10885300,48.6765
2008-10-21,56.6845,58.0082,54.3486,54.5044,24415100,49.0267
2008-10-20,55.1273,55.5944,52.7135,55.2051,13142900,49.657
2008-10-17,54.5044,55.0494,50.9226,52.3242,13838400,47.0657
2008-10-16,51.4677,55.828,50.6112,52.0906,20715700,46.8555
2008-10-15,55.2051,56.996,52.7135,53.2585,18975600,47.9061
2008-10-14,57.2296,58.709,54.5044,55.3609,21981900,49.7972
2008-10-13,53.3364,55.6723,53.3364,53.8036,18054500,48.3964
2008-10-10,49.0539,52.7914,47.886,50.9226,30840500,45.8049
2008-10-09,56.9181,57.6968,52.2463,52.3242,26049600,47.0657
2008-10-08,54.115,59.4876,52.9471,54.4265,36653400,48.9567
2008-10-07,62.6021,63.4586,57.2296,57.2296,25768100,51.4781
2008-10-06,65.4052,65.4052,61.5121,62.2128,23226000,55.9605
2008-10-03,67.1961,69.2205,66.3396,68.5976,22269800,61.7036
2008-10-02,67.3518,69.2205,66.2617,66.8068,28158800,60.0928
2008-10-01,64.393,66.651,63.5365,66.4174,20216100,59.7425
2008-09-30,62.3686,66.651,62.3686,63.1472,25695500,56.801
2008-09-29,66.9625,67.4297,63.6922,63.848,19429800,57.4313
2008-09-26,66.4174,68.5976,65.0159,67.8969,12551300,61.0733
2008-09-25,65.2495,67.3518,65.2495,67.3518,13075500,60.583
2008-09-24,66.3396,66.651,64.2373,65.6388,17083700,59.0421
2008-09-23,66.8068,67.0404,63.6144,65.3274,31000,58.762
2008-09-22,73.1916,73.1916,67.5854,67.5854,19597100,60.7931
2008-09-19,67.8969,72.2572,66.9625,71.5564,60600,64.365
2008-09-18,62.7579,65.2495,62.6021,63.0693,26979700,56.7309
2008-09-17,66.1839,66.8068,62.9136,62.9915,22682400,56.6609
2008-09-16,65.3274,65.4052,63.2251,64.5487,43253000,58.0616
2008-09-15,65.7167,67.0404,64.7045,66.4174,23405900,59.7425
2008-09-12,67.7411,69.532,67.1961,69.532,13591600,62.5441
2008-09-11,67.7411,67.7411,65.2495,66.7289,12195400,60.0227
2008-09-10,69.9992,70.1549,67.5075,68.0526,16173400,61.2134
2008-09-09,69.3763,71.4786,68.9091,69.8434,15580700,62.8242
2008-09-08,68.5198,70.2328,68.4419,69.7656,21952600,62.7542
2008-09-05,64.938,66.106,64.7823,65.0159,17876500,58.4818
2008-09-04,68.2862,68.2862,65.8724,65.8724,11108900,59.2523
2008-09-03,68.2083,68.4419,67.2739,67.7411,7533900,60.9332
2008-09-02,66.4174,68.6755,66.0281,68.364,16152300,61.4935
2008-09-01,66.106,66.651,65.1716,66.651,5404700,59.9526
2008-08-29,67.3518,67.8969,66.4953,66.8846,8809900,60.1627
2008-08-28,65.4052,67.2739,64.7823,67.0404,9281100,60.3029
2008-08-27,65.4052,65.7945,64.2373,65.7167,5928000,59.1122
2008-08-26,64.4709,65.4831,64.1594,65.4831,8977600,58.9021
2008-08-25,65.7945,66.1839,64.7045,65.0938,3149700,58.5519
2008-08-22,63.848,66.3396,63.7701,66.2617,12393100,59.6025
2008-08-21,64.7823,64.938,63.5365,63.6144,8796800,57.2212
2008-08-20,64.938,65.6388,63.848,64.938,10171000,58.4118
