Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,26.50,26.50,26.50,26.50,000,24.3068
2012-12-28,27.00,27.20,26.50,26.50,545600,24.3068
2012-12-27,27.70,27.70,26.80,27.00,237800,24.76541
2012-12-26,27.90,27.90,27.90,27.90,000,25.59093
2012-12-25,27.90,27.90,27.90,27.90,000,25.59093
2012-12-24,27.90,27.90,27.90,27.90,000,25.59093
2012-12-21,27.70,27.90,27.20,27.90,73100,25.59093
2012-12-20,28.00,28.10,27.40,27.90,307100,25.59093
2012-12-19,29.00,29.00,27.80,28.30,163700,25.95782
2012-12-18,28.70,28.70,27.50,28.70,168800,26.32472
2012-12-17,27.40,28.60,27.40,28.00,137800,25.68265
2012-12-14,28.10,28.80,27.30,28.60,200300,26.233
2012-12-13,28.30,28.50,27.30,28.00,105400,25.68265
2012-12-12,28.10,28.40,27.80,28.10,127100,25.77438
2012-12-11,28.80,28.80,28.00,28.60,177400,26.233
2012-12-10,28.40,29.00,28.10,28.80,288300,26.41644
2012-12-07,27.80,28.70,27.70,28.70,117500,26.32472
2012-12-06,27.60,28.00,27.60,28.00,55600,25.68265
2012-12-05,27.60,28.40,27.60,27.80,158800,25.4992
2012-12-04,28.00,28.30,27.50,27.80,199300,25.4992
2012-12-03,28.40,28.40,28.00,28.20,22300,25.8661
2012-11-30,28.70,28.80,28.00,28.50,98200,26.14127
2012-11-29,27.90,28.80,27.90,28.70,93800,26.32472
2012-11-28,28.00,28.30,28.00,28.20,21400,25.8661
2012-11-27,28.50,28.50,27.80,28.20,204000,25.8661
2012-11-26,28.50,28.70,28.20,28.20,177000,25.8661
2012-11-23,28.00,28.90,28.00,28.50,70100,26.14127
2012-11-22,27.90,28.60,27.90,28.30,293500,25.95782
2012-11-21,28.40,28.60,28.00,28.30,455000,25.95782
2012-11-20,27.70,28.50,27.70,28.40,271200,26.04955
2012-11-19,28.00,28.40,26.70,27.70,178100,25.40748
2012-11-16,27.70,27.90,27.40,27.70,41000,25.40748
2012-11-15,28.10,28.10,27.60,28.10,125400,25.77438
2012-11-14,27.70,28.00,27.70,27.90,132400,25.59093
2012-11-13,27.50,28.10,27.10,28.10,304000,25.77438
2012-11-12,26.60,28.00,26.60,27.80,135600,25.4992
2012-11-09,27.10,27.40,27.00,27.20,126500,24.94886
2012-11-08,27.60,27.60,26.90,27.30,1462300,25.04059
2012-11-07,27.50,28.00,27.30,27.30,1071700,25.04059
2012-11-06,27.50,27.50,27.00,27.40,335000,25.13231
2012-11-05,26.50,27.10,25.80,26.80,555800,24.58197
2012-11-02,26.50,26.80,26.50,26.50,53900,24.3068
2012-11-01,26.60,27.00,26.50,26.50,81000,24.3068
2012-10-31,27.00,27.40,26.50,26.70,156700,24.49024
2012-10-30,27.10,27.20,26.70,26.70,266400,24.49024
2012-10-29,26.20,27.10,26.00,26.90,1029400,24.67369
2012-10-26,25.50,26.60,25.50,26.50,1017700,24.3068
2012-10-25,25.00,25.40,24.30,24.30,60800,22.28887
2012-10-24,24.60,24.80,24.20,24.70,54300,22.65577
2012-10-23,24.70,25.00,24.30,24.60,320100,22.56404
2012-10-22,24.80,25.10,24.60,24.60,62700,22.56404
2012-10-19,24.80,25.80,24.80,25.30,406300,23.20611
2012-10-18,25.10,25.90,24.90,25.90,79300,23.75645
2012-10-17,25.00,25.50,24.40,25.20,63600,23.11439
2012-10-16,24.50,24.90,23.80,24.20,177100,22.19715
2012-10-15,24.60,25.20,24.40,24.40,174900,22.3806
2012-10-12,25.00,25.50,24.50,24.50,144800,22.47232
2012-10-11,25.70,26.10,25.50,25.50,85500,23.38956
2012-10-10,25.70,26.10,25.00,25.60,54900,23.48128
2012-10-09,26.00,26.10,25.80,25.90,63400,23.75645
2012-10-08,26.50,26.50,25.70,26.00,2118300,23.84818
2012-10-05,26.00,26.30,25.90,26.00,1392000,23.84818
2012-10-04,25.70,26.00,25.70,26.00,179800,23.84818
2012-10-03,25.70,26.00,25.60,25.90,195100,23.75645
2012-10-02,25.30,27.20,24.90,26.00,388900,23.84818
2012-10-01,25.00,25.70,24.90,25.30,57900,23.20611
2012-09-28,24.80,25.10,24.80,24.80,142400,22.74749
2012-09-27,24.70,25.00,24.30,24.90,960000,22.83922
2012-09-26,24.90,25.30,24.10,24.70,276900,22.65577
2012-09-25,24.30,25.10,23.80,24.50,424900,22.47232
2012-09-24,24.40,24.40,23.20,24.20,238600,22.19715
2012-09-21,24.80,24.80,24.00,24.20,71300,22.19715
2012-09-20,24.70,24.90,24.00,24.10,75800,22.10543
2012-09-19,25.10,25.30,24.60,24.60,118200,22.56404
2012-09-18,26.00,26.00,24.90,25.10,184100,23.02266
2012-09-17,25.30,26.00,24.90,26.00,168400,23.84818
2012-09-14,25.40,25.50,24.80,25.30,279700,23.20611
2012-09-13,25.20,25.20,24.10,25.10,127400,23.02266
2012-09-12,24.50,25.30,24.50,25.20,196500,23.11439
2012-09-11,25.20,25.20,23.90,24.50,136100,22.47232
2012-09-10,23.90,24.90,23.70,24.70,105100,22.65577
2012-09-07,23.70,24.40,23.70,24.00,65100,22.0137
2012-09-06,23.30,24.20,22.80,23.60,167400,21.64681
2012-09-05,22.50,23.10,21.80,23.00,270400,21.09646
2012-09-04,23.70,23.70,22.30,22.70,582100,20.82129
2012-09-03,23.10,23.30,22.60,23.20,117900,21.27991
2012-08-31,23.10,23.30,22.90,23.00,94900,21.09646
2012-08-30,23.40,23.70,22.80,23.10,88300,21.18819
2012-08-29,23.10,23.70,23.10,23.10,54600,21.18819
2012-08-28,24.30,24.30,23.00,23.30,83500,21.37163
2012-08-27,22.80,23.50,22.80,23.40,163200,21.46336
2012-08-24,22.40,23.80,22.40,23.20,34600,21.27991
2012-08-23,24.50,24.60,23.70,23.80,381100,21.83025
2012-08-22,25.00,25.00,24.00,24.20,61100,22.19715
2012-08-21,24.90,25.20,24.80,25.20,11500,23.11439
2012-08-20,25.30,25.40,24.80,25.20,40500,23.11439
2012-08-17,25.20,25.60,24.70,25.60,44600,23.48128
2012-08-16,25.30,25.30,24.90,25.20,54000,23.11439
2012-08-15,25.00,25.30,24.60,25.00,110300,22.93094
2012-08-14,25.50,25.80,25.10,25.40,34600,23.29783
2012-08-13,25.80,25.80,25.40,25.50,46500,23.38956
2012-08-10,25.90,26.30,25.40,25.60,26900,23.48128
2012-08-09,26.00,26.00,25.40,25.70,38200,23.57301
2012-08-08,25.20,25.70,24.90,25.70,43900,23.57301
2012-08-07,26.00,26.50,25.00,25.50,65200,23.38956
2012-08-06,25.50,26.80,25.50,25.80,94500,23.66473
2012-08-03,24.20,25.60,24.20,25.20,134400,23.11439
2012-08-02,24.80,25.00,24.10,24.10,124400,22.10543
2012-08-01,24.10,24.80,23.80,24.80,223800,22.74749
2012-07-31,24.40,24.50,24.20,24.50,351000,22.47232
