Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,39.35,39.35,39.35,39.35,000,35.303
2013-12-30,38.80,39.61,38.72,39.35,475400,35.303
2013-12-27,37.83,38.81,37.83,38.81,462300,34.818
2013-12-26,37.66,37.66,37.66,37.66,000,33.787
2013-12-25,37.66,37.66,37.66,37.66,000,33.787
2013-12-24,37.66,37.66,37.66,37.66,000,33.787
2013-12-23,37.14,37.68,37.10,37.66,447300,33.787
2013-12-20,37.35,37.94,37.16,37.20,1695100,33.374
2013-12-19,37.20,37.73,37.15,37.32,379100,33.482
2013-12-18,37.06,37.43,37.00,37.20,363500,33.374
2013-12-17,36.96,37.15,36.86,37.00,599200,33.195
2013-12-16,36.25,37.07,36.25,36.97,669900,33.168
2013-12-13,36.45,36.88,36.07,36.29,314400,32.558
2013-12-12,36.90,36.92,36.25,36.40,372100,32.656
2013-12-11,37.00,37.24,36.81,36.95,341500,33.15
2013-12-10,37.53,37.75,36.72,37.05,430800,33.239
2013-12-09,37.60,37.90,37.28,37.50,354100,33.643
2013-12-06,37.93,38.00,37.08,37.51,203800,33.652
2013-12-05,37.88,38.20,37.53,37.58,229500,33.715
2013-12-04,38.17,38.30,37.54,37.88,276000,33.984
2013-12-03,39.35,39.35,37.90,38.05,394700,34.137
2013-12-02,39.60,39.62,39.20,39.29,218500,35.249
2013-11-29,39.46,39.73,39.42,39.42,199600,35.366
2013-11-28,39.59,39.70,39.40,39.46,315600,35.402
2013-11-27,39.25,39.71,39.17,39.41,423100,35.357
2013-11-26,39.28,39.60,39.16,39.31,366200,35.267
2013-11-25,39.18,39.50,39.11,39.20,368900,35.168
2013-11-22,39.22,39.28,38.98,39.17,247400,35.141
2013-11-21,39.20,39.35,38.87,39.00,295700,34.989
2013-11-20,39.54,39.55,39.13,39.20,215700,35.168
2013-11-19,39.35,39.50,39.09,39.40,285100,35.348
2013-11-18,39.09,39.39,39.00,39.39,461800,35.339
2013-11-15,39.35,39.48,38.95,39.10,993600,35.079
2013-11-14,39.10,39.60,38.81,39.31,1097800,35.267
2013-11-13,39.48,39.48,38.50,38.88,585900,34.881
2013-11-12,39.89,39.89,39.28,39.42,458000,35.366
2013-11-11,39.20,39.57,39.08,39.47,589200,35.411
2013-11-08,38.69,38.75,38.30,38.70,177800,34.72
2013-11-07,39.00,39.02,38.50,38.69,292500,34.711
2013-11-06,38.51,39.02,38.51,38.91,496900,34.908
2013-11-05,38.25,38.50,38.18,38.36,312600,34.415
2013-11-04,37.50,38.41,37.50,38.25,864600,34.316
2013-11-01,38.23,38.29,37.72,37.90,101300,34.002
2013-10-31,38.30,38.49,37.73,38.15,287800,34.226
2013-10-30,38.97,39.00,38.40,38.50,279400,34.54
2013-10-29,39.18,39.38,38.68,38.97,153000,34.962
2013-10-28,39.00,39.24,38.70,39.06,235900,35.043
2013-10-25,39.30,39.30,38.51,39.00,291600,34.989
2013-10-24,39.57,39.77,39.04,39.32,272600,35.276
2013-10-23,39.50,39.60,39.12,39.55,251800,35.482
2013-10-22,39.14,39.60,39.01,39.50,552100,35.437
2013-10-21,38.70,39.17,38.70,39.01,381400,34.998
2013-10-18,38.72,38.75,38.40,38.60,347000,34.63
2013-10-17,38.70,38.90,38.40,38.50,287200,34.54
2013-10-16,38.70,38.70,38.33,38.50,244400,34.54
2013-10-15,38.49,38.81,38.41,38.80,263400,34.809
2013-10-14,38.42,38.42,37.85,38.16,135400,34.235
2013-10-11,38.75,38.90,38.30,38.50,344700,34.54
2013-10-10,37.94,38.60,37.92,38.53,495900,34.567
2013-10-09,38.14,38.20,37.60,37.86,254100,33.966
2013-10-08,38.45,38.45,38.10,38.24,169400,34.307
2013-10-07,38.70,38.77,38.33,38.50,177500,34.54
2013-10-04,38.67,38.95,38.53,38.65,271600,34.675
2013-10-03,38.65,39.00,38.65,38.75,304700,34.765
2013-10-02,38.94,38.98,38.53,38.59,368100,34.621
2013-10-01,38.43,38.84,38.37,38.83,377600,34.836
2013-09-30,38.74,38.74,37.98,38.43,321400,34.477
2013-09-27,39.35,39.35,38.81,38.96,159900,34.953
2013-09-26,39.26,39.35,39.10,39.25,181700,35.213
2013-09-25,39.33,39.48,38.98,39.09,348100,35.07
2013-09-24,38.76,39.44,38.75,39.33,783800,35.285
2013-09-23,38.75,39.20,38.35,38.68,1014200,34.702
2013-09-20,38.65,38.70,38.35,38.54,261200,34.576
