Date,Open,High,Low,Close,Volume,Adj Close
2016-09-27,149.60,150.00,147.10,148.40,33900,148.40
2016-09-26,148.40,152.70,148.40,149.60,19300,149.60
2016-09-23,151.90,152.60,150.20,152.60,43600,152.60
2016-09-22,152.90,153.00,150.80,151.90,23400,151.90
2016-09-21,154.20,154.20,150.30,150.40,16400,150.40
2016-09-20,153.00,153.00,150.60,152.60,25300,152.60
2016-09-19,150.50,153.00,150.50,152.50,86700,152.50
2016-09-16,151.50,151.50,147.90,150.90,89300,150.90
2016-09-15,146.40,151.30,146.30,150.80,65400,150.80
2016-09-14,146.40,150.20,145.80,147.60,57100,147.60
2016-09-13,151.70,151.80,148.00,149.80,39800,149.80
2016-09-12,151.00,151.70,149.60,151.60,34600,151.60
2016-09-09,156.00,156.00,151.10,152.40,55500,152.40
2016-09-08,157.80,157.80,154.40,156.00,47600,156.00
2016-09-07,155.90,157.00,155.90,157.00,35100,157.00
2016-09-06,155.80,156.50,155.70,155.90,26600,155.90
2016-09-05,156.00,156.70,154.70,155.70,157300,155.70
2016-09-02,156.80,156.80,154.60,156.00,162700,156.00
2016-09-01,151.00,157.80,151.00,155.70,59100,155.70
2016-08-31,157.60,157.60,155.40,157.40,160100,157.40
2016-08-30,157.10,157.10,155.50,156.30,198500,156.30
2016-08-29,157.20,157.20,154.40,156.00,86400,156.00
2016-08-26,155.50,157.10,155.00,156.90,87100,156.90
2016-08-25,154.60,156.40,154.30,155.90,126800,155.90
2016-08-24,155.50,156.40,154.30,155.50,65300,155.50
2016-08-23,154.50,156.00,153.30,156.00,155400,156.00
2016-08-22,155.00,155.60,152.00,153.00,36500,153.00
2016-08-19,155.00,156.00,151.90,154.20,40400,154.20
2016-08-18,156.50,158.30,153.20,155.50,42500,155.50
2016-08-17,154.80,156.00,153.20,156.00,31000,156.00
2016-08-16,153.90,156.20,153.90,154.00,41000,154.00
2016-08-15,154.00,155.50,152.20,154.50,354100,154.50
2016-08-12,152.00,153.50,151.10,153.00,36600,153.00
2016-08-11,155.00,155.00,151.70,152.60,23400,152.60
2016-08-10,153.00,157.00,152.10,155.20,32700,155.20
2016-08-09,151.00,154.10,149.20,154.10,25500,154.10
2016-08-08,150.30,151.90,148.00,150.50,118700,150.50
2016-08-05,145.80,150.30,142.50,150.30,35400,150.30
2016-08-04,145.20,145.60,143.10,145.60,33800,145.60
2016-08-03,149.00,149.00,142.60,145.00,31600,145.00
2016-08-02,146.30,149.40,144.20,149.00,52900,149.00
2016-08-01,147.40,147.40,140.50,146.30,28200,146.30
2016-07-29,146.00,149.10,145.50,146.10,18700,146.10
2016-07-28,149.30,149.60,145.00,146.30,40300,146.30
2016-07-27,145.10,149.10,144.90,149.10,36600,149.10
2016-07-26,141.20,146.50,140.30,145.00,21300,145.00
2016-07-25,143.00,144.40,143.00,143.70,26800,143.70
2016-07-22,144.00,144.30,142.50,142.60,16800,142.60
2016-07-21,142.40,143.60,141.70,143.00,20700,143.00
2016-07-20,140.90,142.70,140.90,142.40,42100,142.40
2016-07-19,143.30,143.30,139.80,139.80,14900,139.80
2016-07-18,141.20,142.70,139.20,140.50,21100,140.50
2016-07-15,139.50,142.00,139.20,139.60,23300,139.60
2016-07-14,141.00,143.00,139.80,143.00,87600,143.00
2016-07-13,141.00,141.00,139.50,140.70,17300,140.70
2016-07-12,140.50,140.50,139.30,139.80,42900,139.80
2016-07-11,140.70,141.00,138.90,140.70,163200,140.70
2016-07-08,133.60,142.90,133.00,139.50,66100,139.50
2016-07-07,131.10,137.40,131.10,134.50,56200,134.50
2016-07-06,134.00,134.00,129.80,131.00,50100,131.00
2016-07-05,130.00,135.40,130.00,130.90,36700,130.90
2016-07-04,132.20,135.20,131.50,134.00,32600,134.00
2016-07-01,130.00,137.50,130.00,134.50,58600,134.50
2016-06-30,134.40,134.40,127.00,132.50,101300,132.50
2016-06-29,128.30,136.90,124.90,131.10,47800,131.10
2016-06-28,124.00,127.20,123.50,123.60,44800,123.60
2016-06-27,130.00,130.50,123.00,123.50,196900,123.50
2016-06-24,134.90,134.90,134.90,134.90,000,134.90
2016-06-23,135.00,135.00,133.50,134.90,15700,134.90
2016-06-22,133.40,134.30,132.10,133.80,74500,133.80
2016-06-21,129.60,133.50,129.60,133.20,39400,133.20
2016-06-20,129.00,132.80,128.30,130.90,63000,130.90
2016-06-17,128.20,130.60,128.20,129.90,190200,129.90
2016-06-16,133.80,133.80,128.00,128.50,68200,128.50
2016-06-15,134.00,134.00,131.10,131.10,80100,131.10
2016-06-14,134.30,134.30,130.30,132.00,251100,132.00
2016-06-13,134.40,136.20,134.30,136.20,161800,136.20
2016-06-10,136.00,137.40,135.10,136.30,76600,136.30
2016-06-09,139.00,139.00,136.00,137.50,55200,137.50
2016-06-08,138.00,140.00,136.90,138.70,147000,138.70
2016-06-07,135.00,138.00,135.00,137.10,368800,137.10
2016-06-06,135.10,135.10,135.10,135.10,000,135.10
2016-06-03,133.00,137.00,133.00,135.10,29600,135.10
2016-06-02,135.00,135.00,133.00,134.60,28700,134.60
2016-06-01,135.70,135.70,133.50,135.30,47600,135.30
2016-05-31,136.00,136.20,134.00,135.80,138800,135.80
2016-05-30,135.00,136.40,134.40,135.60,12100,135.60
2016-05-27,133.00,136.00,133.00,135.10,33900,135.10
2016-05-26,133.00,135.70,133.00,135.70,28400,135.70
2016-05-25,134.20,136.00,133.10,134.30,98300,134.30
2016-05-24,135.00,135.20,132.30,134.20,36000,134.20
2016-05-23,132.80,135.00,132.00,134.30,106100,134.30
2016-05-20,133.10,133.20,131.40,133.10,66000,133.10
2016-05-19,135.00,135.00,131.40,132.10,42100,132.10
2016-05-18,134.20,135.00,134.20,135.00,69000,135.00
2016-05-17,133.00,134.80,133.00,134.10,231500,134.10
2016-05-16,133.90,134.70,131.20,133.20,31500,133.20
2016-05-13,134.00,134.40,130.50,134.40,68600,134.40
2016-05-12,132.00,134.10,130.60,133.80,257700,133.80
2016-05-11,133.00,133.10,131.10,132.50,472200,132.50
2016-05-10,133.80,134.10,131.70,132.10,169000,132.10
2016-05-09,131.70,134.40,131.70,133.00,278000,133.00
2016-05-06,135.00,135.00,131.00,132.30,90100,132.30
2016-05-05,131.50,131.50,131.50,131.50,000,131.50
2016-05-04,136.40,136.40,130.80,131.50,247700,131.50
2016-05-03,136.50,137.10,134.40,136.40,344400,132.60
2016-05-02,136.30,137.20,135.50,136.00,31500,132.21
2016-04-29,138.00,138.00,134.40,136.30,248800,132.50
2016-04-28,139.80,140.00,137.40,138.00,68300,134.16
2016-04-27,140.30,146.10,139.20,139.80,141800,135.91
2016-04-26,140.80,146.00,139.10,146.00,163400,141.93
2016-04-25,144.00,144.40,142.00,142.90,23400,138.92
2016-04-22,144.40,144.40,143.10,143.30,114800,139.31
2016-04-21,142.50,144.90,141.10,144.40,141200,140.38
2016-04-20,142.30,142.50,140.80,142.50,77600,138.53
2016-04-19,140.50,142.50,140.50,142.10,21600,138.14
2016-04-18,141.80,142.40,140.10,140.80,36500,136.88
2016-04-15,141.30,143.20,140.20,142.20,115100,138.24
2016-04-14,144.50,144.50,142.00,143.50,74800,139.50
2016-04-13,144.50,144.60,141.40,144.50,35700,140.47
2016-04-12,144.00,145.20,143.60,144.30,21100,140.28
2016-04-11,145.00,145.00,143.50,144.00,65600,139.99
2016-04-08,144.90,145.50,143.40,145.00,77000,140.96
2016-04-07,145.60,146.10,144.20,145.00,42300,140.96
2016-04-06,146.70,146.70,143.50,145.60,35000,141.54
2016-04-05,144.50,148.80,143.20,146.30,52200,142.22
2016-04-04,143.70,146.20,143.70,145.90,31900,141.84
2016-04-01,139.50,144.00,139.50,144.00,46000,139.99
2016-03-31,141.70,142.60,139.50,141.20,53500,137.27
2016-03-30,139.00,142.10,139.00,141.50,46100,137.56
2016-03-29,139.40,140.70,138.30,139.70,46900,135.81
2016-03-28,139.40,139.40,139.40,139.40,000,135.52
2016-03-25,139.40,139.40,139.40,139.40,000,135.52
2016-03-24,141.80,141.80,139.10,139.40,44600,135.52
2016-03-23,138.00,140.90,137.00,140.90,54500,136.97
2016-03-22,143.60,145.90,135.00,137.30,262500,133.47
2016-03-21,141.00,146.00,140.00,143.50,47200,139.50
2016-03-18,141.30,142.00,139.80,141.00,138000,137.07
2016-03-17,140.10,142.00,139.70,141.30,68900,137.36
2016-03-16,142.00,142.10,140.20,141.10,39300,137.17
2016-03-15,140.40,142.90,139.10,141.80,104800,137.85
2016-03-14,140.00,142.10,140.00,141.50,100500,137.56
2016-03-11,138.00,140.00,137.90,139.60,35900,135.71
2016-03-10,137.00,140.50,135.50,138.10,91400,134.25
2016-03-09,138.80,139.30,136.00,137.40,53500,133.57
2016-03-08,138.60,139.90,136.50,137.90,44100,134.06
2016-03-07,143.00,143.00,138.00,140.00,52500,136.10
2016-03-04,140.00,143.60,140.00,141.80,90600,137.85
2016-03-03,138.30,140.70,135.60,139.70,355300,135.81
2016-03-02,140.40,140.90,138.40,139.00,106300,135.13
2016-03-01,142.00,142.00,139.30,140.90,50100,136.97
2016-02-29,140.00,141.50,137.40,140.50,109000,136.59
2016-02-26,141.10,141.10,139.40,140.00,61800,136.10
2016-02-25,137.80,141.80,135.60,140.70,62900,136.78
2016-02-24,138.00,138.90,135.00,136.80,437300,132.99
2016-02-23,138.80,141.80,135.20,138.00,269400,134.16
2016-02-22,140.40,142.80,137.60,139.50,171000,135.61
2016-02-19,138.90,142.50,136.20,140.50,150100,136.59
2016-02-18,140.50,142.50,136.30,142.10,109400,138.14
2016-02-17,140.00,141.10,138.50,140.00,160100,136.10
2016-02-16,139.40,146.00,139.00,139.90,147200,136.00
2016-02-15,133.60,141.40,133.60,137.50,606900,133.67
2016-02-12,128.50,134.00,125.30,132.90,212300,129.20
2016-02-11,129.70,132.20,125.90,127.40,292100,123.85
2016-02-10,125.60,130.10,125.60,129.70,159500,126.09
2016-02-09,125.00,132.10,121.50,126.30,226500,122.78
2016-02-08,134.50,137.00,122.60,125.10,554800,121.61
2016-02-05,134.70,135.80,133.10,134.10,80100,130.36
2016-02-04,134.90,136.00,133.00,134.20,78600,130.46
2016-02-03,136.70,136.70,132.40,135.00,160000,131.24
2016-02-02,133.80,137.20,133.30,135.70,232300,131.92
2016-02-01,133.20,134.00,131.40,133.40,222800,129.68
2016-01-29,135.10,135.30,130.90,133.20,84900,129.49
2016-01-28,132.70,135.80,130.90,132.90,89700,129.20
2016-01-27,137.50,137.50,131.00,132.70,125000,129.00
2016-01-26,136.50,137.10,134.50,136.50,60100,132.70
2016-01-25,137.60,139.20,134.80,137.50,88700,133.67
2016-01-22,133.00,137.50,132.70,136.50,120000,132.70
2016-01-21,130.00,131.40,125.50,130.60,94100,126.96
2016-01-20,136.40,136.40,128.50,130.40,242000,126.77
2016-01-19,136.20,138.30,135.00,137.90,189600,134.06
2016-01-18,139.70,140.50,134.80,136.10,81100,132.31
2016-01-15,142.00,143.20,138.00,139.20,123100,135.32
2016-01-14,144.70,144.70,139.20,141.70,117200,137.75
2016-01-13,145.60,148.70,144.00,145.00,75400,140.96
2016-01-12,143.20,147.00,142.00,145.60,130600,141.54
2016-01-11,149.00,149.00,135.10,144.60,218700,140.57
2016-01-08,150.90,152.40,148.10,149.20,153400,145.04
2016-01-07,152.20,152.20,148.10,150.90,269200,146.70
2016-01-06,153.50,153.50,153.50,153.50,000,149.22
2016-01-05,153.00,154.50,152.10,153.50,58100,149.22
2016-01-04,153.60,154.30,152.80,154.20,155300,149.90
2016-01-01,155.90,155.90,155.90,155.90,000,151.56
