Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,62.50,62.50,62.50,62.50,000,50.412
2012-12-28,62.80,62.85,62.10,62.50,564700,50.412
2012-12-27,63.00,63.00,62.50,62.75,692900,50.6137
2012-12-26,63.15,63.15,63.15,63.15,000,50.9363
2012-12-25,63.15,63.15,63.15,63.15,000,50.9363
2012-12-24,63.15,63.15,63.15,63.15,000,50.9363
2012-12-21,63.85,63.85,63.15,63.15,1024400,50.9363
2012-12-20,63.85,64.40,63.35,64.00,1068600,51.6219
2012-12-19,65.00,65.10,63.75,63.95,1349000,51.5816
2012-12-18,65.50,65.85,62.60,64.95,3918500,52.3882
2012-12-17,67.60,68.45,67.10,68.45,701400,55.2113
2012-12-14,66.25,67.60,66.10,67.60,689200,54.5257
2012-12-13,66.85,67.00,65.70,65.95,897500,53.1948
2012-12-12,66.30,67.00,65.90,66.85,557100,53.9207
2012-12-11,66.10,66.55,65.60,66.50,544400,53.6384
2012-12-10,66.00,66.35,64.60,66.00,644000,53.2351
2012-12-07,65.45,66.00,65.20,65.70,432500,52.9931
2012-12-06,66.00,66.95,65.45,65.45,538700,52.7915
2012-12-05,66.10,66.65,65.60,65.85,672600,53.1141
2012-12-04,64.75,66.20,64.30,65.85,925000,53.1141
2012-12-03,66.05,66.10,64.80,65.00,828700,52.4285
2012-11-30,66.50,66.90,65.05,66.25,1267300,53.4368
2012-11-29,64.80,66.45,64.75,66.20,1228400,53.3964
2012-11-28,65.00,65.00,63.75,64.45,469200,51.9849
2012-11-27,63.90,65.50,63.85,64.95,757000,52.3882
2012-11-26,64.50,64.95,63.10,63.55,896100,51.259
2012-11-23,63.70,64.45,62.65,64.25,834700,51.8236
2012-11-22,60.50,63.75,60.50,63.60,1577500,51.2993
2012-11-21,58.30,60.05,57.90,60.05,988800,48.4359
2012-11-20,56.65,58.30,56.50,58.25,818300,46.984
2012-11-19,55.95,56.65,55.85,56.55,513600,45.6128
2012-11-16,56.50,57.00,55.30,55.40,786400,44.6852
2012-11-15,57.00,57.90,56.40,56.50,590500,45.5725
2012-11-14,55.75,57.35,55.50,57.05,917000,46.0161
2012-11-13,56.70,56.75,54.95,55.70,831900,44.9272
2012-11-12,56.25,57.30,56.25,56.75,629500,45.7741
2012-11-09,59.00,59.75,56.00,56.00,931100,45.1692
2012-11-08,58.75,59.35,58.60,58.70,523700,47.347
2012-11-07,58.80,59.60,58.55,58.70,554100,47.347
2012-11-06,57.20,58.60,57.20,58.30,500600,47.0244
2012-11-05,57.20,57.70,56.65,57.10,422400,46.0564
2012-11-02,57.75,57.75,57.05,57.30,212700,46.2178
2012-11-01,56.95,58.10,56.75,57.75,651000,46.5807
2012-10-31,57.45,58.00,56.75,56.95,489600,45.9355
2012-10-30,56.60,57.60,56.60,57.45,412600,46.3387
2012-10-29,56.60,57.15,55.75,56.60,539300,45.6531
2012-10-26,55.80,56.95,55.40,56.55,477400,45.6128
2012-10-25,55.05,57.20,55.05,55.80,814700,45.0079
2012-10-24,54.00,55.20,53.80,54.80,547400,44.2013
2012-10-23,55.15,55.20,53.75,54.35,862700,43.8383
2012-10-22,55.85,56.25,54.90,55.15,649100,44.4836
2012-10-19,57.85,57.90,55.85,55.85,604300,45.0482
2012-10-18,58.05,58.75,57.50,57.75,368300,46.5807
2012-10-17,57.60,58.80,57.35,58.25,551900,46.984
2012-10-16,57.70,57.95,57.35,57.50,352600,46.3791
2012-10-15,57.50,58.15,57.50,57.50,475600,46.3791
2012-10-12,58.00,58.25,57.55,57.80,415000,46.6211
2012-10-11,58.15,58.70,57.85,58.00,670700,46.7824
2012-10-10,59.35,59.85,58.30,58.45,439400,47.1453
2012-10-09,59.55,60.65,59.30,59.35,397400,47.8713
2012-10-08,60.15,60.45,59.55,59.85,253800,48.2746
2012-10-05,59.90,61.15,59.85,60.85,584100,49.0812
2012-10-04,59.80,60.35,59.35,59.85,381800,48.2746
2012-10-03,59.00,60.00,58.70,59.80,551700,48.2342
2012-10-02,57.55,59.70,57.55,59.00,595100,47.589
2012-10-01,57.85,58.25,57.10,58.10,768500,46.863
2012-09-28,58.70,59.35,57.65,57.95,731200,46.742
2012-09-27,57.65,58.95,57.60,58.70,753500,47.347
2012-09-26,58.20,58.40,57.20,57.55,688500,46.4194
2012-09-25,58.70,59.25,58.30,58.90,632000,47.5083
2012-09-24,59.15,59.45,58.50,58.75,507600,47.3873
2012-09-21,59.15,59.50,58.95,59.20,971500,47.7503
2012-09-20,59.00,59.55,58.80,58.95,602600,47.5486
2012-09-19,59.30,59.65,59.00,59.10,448200,47.6696
2012-09-18,60.50,60.50,59.10,59.15,1200300,47.71
2012-09-17,60.50,60.70,59.70,60.70,401400,48.9602
2012-09-14,59.55,60.75,59.50,60.70,986500,48.9602
2012-09-13,59.75,59.95,58.75,59.20,483500,47.7503
2012-09-12,58.80,60.00,58.55,60.00,615800,48.3956
2012-09-11,59.05,59.35,58.30,58.80,635300,47.4276
2012-09-10,59.50,59.90,59.35,59.65,328100,48.1133
2012-09-07,59.25,60.00,59.20,59.85,871300,48.2746
2012-09-06,57.90,59.05,57.80,58.80,484200,47.4276
2012-09-05,57.00,58.75,56.30,58.05,1031900,46.8227
2012-09-04,57.50,58.80,56.90,57.10,742700,46.0564
2012-09-03,59.35,59.45,57.25,57.65,949400,46.5001
2012-08-31,59.00,60.40,58.30,59.35,717000,47.8713
2012-08-30,59.90,59.90,58.45,58.80,384200,47.4276
2012-08-29,59.55,60.05,59.05,60.05,450200,48.4359
2012-08-28,60.90,61.05,59.45,59.45,619800,47.9519
2012-08-27,61.10,61.35,60.60,60.90,402000,49.1215
2012-08-24,61.10,61.10,60.00,61.00,609200,49.2022
2012-08-23,63.20,63.20,60.55,61.10,849600,49.2828
