Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,118.00,118.00,118.00,118.00,000,98.52
2009-12-30,117.25,118.00,116.50,118.00,77000,98.52
2009-12-29,112.00,116.25,111.00,116.00,59800,96.85
2009-12-28,112.50,113.75,111.75,113.00,43400,94.35
2009-12-25,113.50,113.50,113.50,113.50,000,94.77
2009-12-24,113.50,113.50,113.50,113.50,000,94.77
2009-12-23,114.25,114.75,112.75,113.50,131200,94.77
2009-12-22,114.75,116.25,113.00,114.00,222900,95.18
2009-12-21,114.25,117.00,113.00,114.75,267000,95.81
2009-12-18,118.00,118.00,114.50,115.00,283700,96.02
2009-12-17,117.75,120.00,117.50,118.00,195600,98.52
2009-12-16,116.75,120.25,116.75,117.50,326000,98.10
2009-12-15,113.75,116.75,113.75,116.75,305000,97.48
2009-12-14,110.75,115.50,110.75,114.00,395600,95.18
2009-12-11,105.75,110.75,105.75,110.25,165100,92.05
2009-12-10,106.50,106.75,105.50,106.50,90700,88.92
2009-12-09,107.00,107.25,105.25,106.00,171400,88.50
2009-12-08,107.00,107.50,106.25,106.75,161500,89.13
2009-12-07,108.00,108.50,105.50,107.00,256000,89.34
2009-12-04,108.75,110.00,107.50,108.25,86200,90.38
2009-12-03,109.00,109.50,108.75,108.75,156100,90.80
2009-12-02,108.00,109.00,107.25,108.50,192200,90.59
2009-12-01,109.00,109.50,107.75,108.00,144800,90.17
2009-11-30,109.00,110.00,106.75,108.50,91100,90.59
2009-11-27,105.00,109.50,103.75,108.50,138800,90.59
2009-11-26,107.50,110.00,106.00,106.75,238600,89.13
2009-11-25,109.25,110.25,107.25,107.75,380400,89.96
2009-11-24,107.75,111.25,107.25,110.50,129900,92.26
2009-11-23,107.75,109.50,107.25,108.50,191200,90.59
2009-11-20,107.00,108.50,105.75,107.25,126100,89.55
2009-11-19,109.50,110.00,106.50,106.75,262900,89.13
2009-11-18,107.50,110.00,107.25,109.00,337600,91.01
2009-11-17,104.00,106.50,104.00,106.50,247800,88.92
2009-11-16,108.00,108.50,103.50,104.00,254200,86.83
2009-11-13,102.25,106.75,102.00,106.75,361600,89.13
2009-11-12,100.75,101.75,100.50,101.25,235200,84.54
2009-11-11,97.50,101.25,97.50,100.50,249400,83.91
2009-11-10,97.00,98.50,97.00,97.50,691600,81.41
2009-11-09,94.50,98.00,94.50,96.75,203000,80.78
2009-11-06,94.00,94.50,92.25,94.50,190800,78.90
2009-11-05,92.25,94.50,90.50,94.00,98200,78.48
2009-11-04,92.00,93.25,91.75,92.25,204700,77.02
2009-11-03,94.00,94.00,90.50,92.00,101000,76.81
2009-11-02,93.00,94.75,92.25,93.75,218300,78.28
2009-10-30,90.25,94.25,89.75,94.25,114300,78.69
2009-10-29,87.50,92.75,86.75,90.25,156400,75.35
2009-10-28,92.75,93.00,87.25,87.75,221500,73.27
2009-10-27,90.50,94.00,90.00,92.50,594300,77.23
2009-10-26,90.75,91.00,88.50,90.50,250800,75.56
2009-10-23,87.00,90.50,87.00,90.25,505400,75.35
2009-10-22,83.00,83.00,82.00,82.00,117400,68.46
2009-10-21,83.75,83.75,81.25,82.00,142400,68.46
2009-10-20,84.00,84.25,82.25,83.00,114200,69.30
2009-10-19,83.75,84.00,82.50,84.00,66000,70.13
2009-10-16,84.50,84.50,83.00,83.75,71000,69.93
2009-10-15,86.75,87.00,83.50,84.00,181000,70.13
2009-10-14,87.00,87.75,85.25,86.75,83100,72.43
2009-10-13,86.75,87.50,84.75,86.50,53500,72.22
2009-10-12,87.25,88.50,85.75,86.50,47900,72.22
2009-10-09,88.00,88.00,85.00,86.75,110800,72.43
2009-10-08,86.50,87.50,86.50,87.50,83800,73.06
2009-10-07,86.00,88.25,85.00,86.75,147800,72.43
2009-10-06,84.00,86.25,84.00,85.75,171700,71.60
2009-10-05,83.00,84.00,81.75,84.00,66600,70.13
2009-10-02,81.50,82.50,79.75,82.25,233700,68.67
2009-10-01,83.00,83.50,81.50,81.50,100900,68.05
2009-09-30,82.75,83.50,81.25,83.50,173300,69.72
2009-09-29,81.00,82.75,80.75,82.25,120100,68.67
2009-09-28,80.00,82.00,79.50,81.25,81300,67.84
