Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,49.00,49.00,49.00,49.00,000,37.60
2008-12-30,48.70,49.50,47.80,49.00,4749800,37.60
2008-12-29,48.20,49.10,48.20,48.90,2330500,37.52
2008-12-26,48.30,48.30,48.30,48.30,000,37.06
2008-12-25,48.30,48.30,48.30,48.30,000,37.06
2008-12-24,48.30,48.30,48.30,48.30,000,37.06
2008-12-23,47.50,48.70,47.10,48.30,2374800,37.06
2008-12-22,47.50,47.90,46.50,47.60,4384500,36.52
2008-12-19,49.00,49.60,47.50,47.90,8231200,36.75
2008-12-18,48.80,50.50,48.10,49.80,7380800,38.21
2008-12-17,49.60,49.90,46.80,48.80,8044300,37.44
2008-12-16,47.50,49.00,47.20,48.80,4637800,37.44
2008-12-15,49.30,50.25,47.10,47.80,5747600,36.68
2008-12-12,48.60,49.60,47.80,49.40,5097100,37.90
2008-12-11,49.20,50.50,48.50,50.25,8360800,38.56
2008-12-10,48.50,51.00,48.00,49.50,10066000,37.98
2008-12-09,47.20,49.40,46.60,49.00,12491100,37.60
2008-12-08,47.30,48.20,46.00,47.90,6759700,36.75
2008-12-05,45.60,46.30,44.00,44.40,4770700,34.07
2008-12-04,46.30,49.70,45.80,47.00,7635500,36.06
2008-12-03,46.50,46.60,44.60,46.50,5406700,35.68
2008-12-02,42.90,47.30,42.60,46.30,7896900,35.53
2008-12-01,47.80,47.80,44.20,44.30,4885200,33.99
2008-11-28,48.90,48.90,46.50,47.60,7144500,36.52
2008-11-27,48.10,49.20,47.90,49.00,5666700,37.60
2008-11-26,48.30,49.10,46.30,47.50,7853700,36.45
2008-11-25,47.00,50.75,45.30,48.60,11175200,37.29
2008-11-24,42.80,47.80,42.20,47.70,8102400,36.60
2008-11-21,43.00,43.00,40.80,41.80,9461200,32.07
2008-11-20,39.90,43.20,39.20,42.70,13528300,32.76
2008-11-19,47.40,47.60,43.30,43.30,6655800,33.22
