Date,Open,High,Low,Close,Volume,Adj Close
2010-12-30,107.40,108.50,106.20,106.20,1193500,88.8813
2010-12-29,107.00,108.80,107.00,107.90,1524200,90.3041
2010-12-28,105.80,107.30,105.80,106.60,614600,89.2161
2010-12-27,105.60,106.20,105.00,106.20,505900,88.8813
2010-12-23,106.00,106.00,105.10,105.60,469500,88.3791
2010-12-22,104.70,105.80,104.30,105.50,1264100,88.2954
2010-12-21,104.20,104.80,103.80,104.40,1829200,87.3748
2010-12-20,104.30,104.70,103.00,103.30,1392700,86.4542
2010-12-17,104.80,105.00,104.00,104.40,1380100,87.3748
2010-12-16,106.10,106.10,104.70,104.70,1199100,87.6259
2010-12-15,105.90,106.00,105.30,105.80,1177700,88.5465
2010-12-14,104.70,106.00,104.50,106.00,1286600,88.7139
2010-12-13,104.00,105.00,104.00,105.00,854800,87.877
2010-12-10,103.10,104.60,103.10,104.10,1046000,87.1238
2010-12-09,104.00,104.10,102.90,103.30,1382700,86.4542
2010-12-08,104.30,104.50,103.70,104.10,1816300,87.1238
2010-12-07,104.40,105.20,103.20,104.70,1613400,87.6259
2010-12-06,106.00,106.00,104.40,104.50,883400,87.4585
2010-12-03,104.50,105.70,104.50,105.70,1098900,88.4628
2010-12-02,103.60,104.60,102.80,104.60,1541500,87.5422
2010-12-01,103.40,103.40,102.30,103.00,2257700,86.2031
2010-11-30,103.00,103.70,102.40,102.50,2178700,85.7847
2010-11-29,103.80,104.30,102.30,103.40,2397200,86.5379
2010-11-26,102.70,104.00,102.50,103.50,1407500,86.6216
2010-11-25,102.90,103.70,102.90,102.90,927400,86.1194
2010-11-24,102.70,103.20,101.80,103.10,1251300,86.2868
2010-11-23,103.40,103.60,102.10,102.30,2320500,85.6173
2010-11-22,104.20,104.90,103.50,103.90,1748700,86.9564
2010-11-19,103.70,103.90,102.70,103.80,1010800,86.8727
2010-11-18,102.50,103.70,102.30,103.70,1351100,86.789
2010-11-17,102.10,103.00,101.80,102.00,1680600,85.3662
2010-11-16,102.90,103.30,101.80,102.00,1901400,85.3662
2010-11-15,102.00,103.20,101.90,103.00,1086400,86.2031
2010-11-12,102.30,102.80,101.80,102.40,1302400,85.701
2010-11-11,103.30,103.90,102.80,103.10,1037900,86.2868
2010-11-10,103.20,103.20,102.30,103.20,1564100,86.3705
2010-11-09,102.80,103.60,102.50,103.30,1546400,86.4542
2010-11-08,103.00,103.50,102.30,103.20,1874600,86.3705
2010-11-05,103.50,103.90,102.00,102.80,820900,86.0358
2010-11-04,103.30,103.90,102.70,103.40,1257300,86.5379
2010-11-03,102.40,103.50,101.40,102.10,1649200,85.4499
2010-11-02,102.30,102.40,101.20,102.20,1693800,85.5336
2010-11-01,104.00,104.80,101.70,101.90,2181700,85.2825
2010-10-29,103.00,103.90,102.50,103.60,2498800,86.7053
2010-10-28,105.70,106.80,100.80,101.80,2912300,85.1988
2010-10-27,106.10,106.40,104.50,104.70,2843000,87.6259
2010-10-26,105.80,107.00,105.10,106.00,2551800,88.7139
2010-10-25,106.00,106.80,105.30,106.50,1652600,89.1324
2010-10-22,106.20,106.50,105.40,105.70,1280800,88.4628
2010-10-21,104.50,106.70,104.50,106.30,1614000,88.965
2010-10-20,104.40,105.40,104.10,105.30,790900,88.1281
2010-10-19,105.60,105.80,104.70,105.00,1510000,87.877
2010-10-18,105.70,106.10,104.30,106.00,949200,88.7139
2010-10-15,106.20,106.80,105.20,105.70,2327100,88.4628
2010-10-14,105.00,106.30,105.00,105.70,2299200,88.4628
2010-10-13,104.10,105.50,104.00,105.10,1788500,87.9607
2010-10-12,102.70,104.30,101.50,104.00,1469500,87.0401
2010-10-11,102.70,103.40,102.50,103.10,1715600,86.2868
2010-10-08,102.80,102.80,101.10,102.50,1154700,85.7847
2010-10-07,102.40,103.00,102.00,102.40,1493700,85.701
2010-10-06,102.40,102.90,101.50,102.60,1885900,85.8684
2010-10-05,99.40,102.00,98.50,101.70,1831200,85.1151
2010-10-04,101.30,101.30,98.85,99.50,1891700,83.2739
2010-10-01,101.60,102.60,99.90,100.80,2830100,84.3619
2010-09-30,102.00,103.70,101.40,102.50,2723200,85.7847
2010-09-29,103.50,103.90,102.00,102.80,1893200,86.0358
2010-09-28,102.20,103.60,101.40,103.30,1844700,86.4542
2010-09-27,101.10,102.60,101.10,102.20,1774800,85.5336
2010-09-24,99.70,101.30,99.50,101.10,1683200,84.613
2010-09-23,101.30,101.40,99.00,100.10,2477700,83.7761
2010-09-22,102.90,103.10,100.20,100.70,4067500,84.2782
2010-09-21,103.50,104.00,102.60,103.20,1961600,86.3705
2010-09-20,104.10,105.00,102.60,103.70,1967900,86.789
2010-09-17,104.90,105.80,103.10,104.00,2212900,87.0401
2010-09-16,104.20,104.80,103.50,104.40,1320700,87.3748
2010-09-15,104.50,105.00,103.70,104.20,1631000,87.2074
2010-09-14,104.30,104.30,103.70,104.30,2013600,87.2911
2010-09-13,104.40,105.00,103.50,104.10,1986200,87.1238
2010-09-10,103.20,103.90,102.60,103.90,1488900,86.9564
2010-09-09,103.00,103.70,102.30,103.40,2008700,86.5379
2010-09-08,103.00,103.50,102.20,103.00,1483000,86.2031
2010-09-07,103.20,103.80,102.40,103.20,1724500,86.3705
2010-09-06,104.20,104.20,102.90,103.30,1174500,86.4542
2010-09-03,102.90,104.30,102.30,103.00,2606300,86.2031
2010-09-02,101.80,103.60,101.10,102.90,3536800,86.1194
2010-09-01,99.20,101.50,98.60,101.50,2449000,84.9478
2010-08-31,98.00,98.50,97.35,98.30,2107000,82.2696
2010-08-30,100.60,101.00,98.40,98.85,1270200,82.7299
2010-08-27,99.00,100.40,98.35,100.40,2003300,84.0271
2010-08-26,99.90,100.00,98.35,99.00,1853500,82.8554
2010-08-25,100.10,100.70,97.50,98.90,2682900,82.7718
2010-08-24,100.20,100.60,98.30,99.85,2121600,83.5668
2010-08-23,100.80,101.80,100.10,100.70,2171400,84.2782
2010-08-20,103.20,103.70,100.70,101.00,2107900,84.5293
2010-08-19,105.20,105.50,103.30,103.70,982500,86.789
2010-08-18,105.90,105.90,104.40,105.00,1988200,87.877
2010-08-17,104.70,105.90,104.30,105.90,1345400,88.6302
2010-08-16,104.40,105.00,103.50,104.70,1066900,87.6259
2010-08-13,105.00,105.30,103.10,104.30,1155500,87.2911
2010-08-12,103.70,105.20,102.80,103.90,1887100,86.9564
2010-08-11,105.00,105.30,103.30,103.60,2295300,86.7053
2010-08-10,104.20,105.40,104.00,105.20,1741900,88.0444
2010-08-09,105.30,105.70,103.60,104.60,1511900,87.5422
2010-08-06,105.70,106.30,103.80,104.60,1985500,87.5422
2010-08-05,106.60,106.90,105.60,105.70,948100,88.4628
2010-08-04,106.50,106.90,105.10,105.90,1235500,88.6302
2010-08-03,106.40,106.90,104.80,106.40,2274800,89.0487
2010-08-02,104.60,107.60,104.20,107.60,1731800,90.053
2010-07-30,105.50,105.90,103.40,104.20,2248800,87.2074
2010-07-29,106.40,107.40,105.30,105.40,1900600,88.2118
