Date,Open,High,Low,Close,Volume,Adj Close
2007-12-31,165.50,165.50,165.50,165.50,000,120.4144
2007-12-28,164.50,167.50,164.00,165.50,3323700,120.4144
2007-12-27,168.00,169.50,165.50,165.50,2106000,120.4144
2007-12-26,168.00,168.00,168.00,168.00,000,122.2334
2007-12-25,168.00,168.00,168.00,168.00,000,122.2334
2007-12-24,168.00,168.00,168.00,168.00,000,122.2334
2007-12-21,167.50,168.50,166.00,168.00,3354000,122.2334
2007-12-20,166.00,168.00,164.00,165.50,2845000,120.4144
2007-12-19,168.50,168.50,163.00,165.50,6958700,120.4144
2007-12-18,168.00,171.00,166.50,168.00,5089800,122.2334
2007-12-17,171.00,172.50,168.50,168.50,3165200,122.5971
2007-12-14,176.00,176.50,172.00,174.00,5500,126.5988
2007-12-13,178.50,179.50,174.50,175.00,5768900,127.3264
2007-12-12,177.00,182.00,174.50,181.00,9934900,131.6919
2007-12-11,185.00,185.50,178.00,179.50,5056400,130.6005
2007-12-10,179.00,185.50,178.50,184.50,2671000,134.2384
2007-12-07,181.50,182.50,180.00,181.00,4755300,131.6919
2007-12-06,182.50,184.50,177.00,180.50,7037400,131.3281
2007-12-05,176.50,180.00,175.50,179.50,4894300,130.6005
2007-12-04,180.50,181.00,174.00,176.50,8649600,128.4178
2007-12-03,178.00,183.50,176.00,181.00,7239600,131.6919
2007-11-30,174.50,179.00,173.00,178.50,6970300,129.8729
2007-11-29,177.00,178.00,172.50,173.50,6846500,126.235
2007-11-28,165.00,175.50,163.00,175.50,7632000,127.6902
2007-11-27,160.50,165.50,159.50,163.00,7315800,118.5955
2007-11-26,164.50,168.50,161.50,161.50,5857100,117.5041
2007-11-23,161.50,164.50,160.00,162.00,6920400,117.8679
2007-11-22,165.00,166.00,161.00,161.50,4733900,117.5041
2007-11-21,163.50,167.50,162.50,164.00,6727600,119.323
2007-11-20,164.50,167.50,156.50,167.50,9261000,121.8696
2007-11-19,167.50,171.00,161.00,162.50,8083400,118.2317
2007-11-16,166.50,169.50,165.00,167.50,6644500,121.8696
2007-11-15,174.50,174.50,167.00,169.50,6334100,123.3247
2007-11-14,182.00,182.50,171.50,173.00,8455400,125.8712
2007-11-13,174.00,180.00,170.50,178.00,6680400,129.5091
2007-11-12,166.00,175.00,165.50,174.50,8455600,126.9626
2007-11-09,174.00,175.00,165.50,168.00,9029000,122.2334
2007-11-08,167.00,175.50,166.00,171.00,11516100,124.4161
2007-11-07,179.00,180.00,169.50,171.00,9146800,124.4161
2007-11-06,180.00,181.50,175.50,177.50,8368500,129.1454
2007-11-05,180.00,182.00,177.50,179.00,4425100,130.2367
2007-11-02,183.50,185.00,181.00,183.00,3955300,133.147
2007-11-01,196.00,197.00,185.50,188.50,5304000,137.1487
2007-10-31,188.50,196.00,187.00,194.50,5036000,141.5142
2007-10-30,186.00,189.50,184.00,189.00,5059700,137.5125
2007-10-29,187.00,189.00,184.50,187.00,2623800,136.0574
2007-10-26,193.00,194.00,180.50,185.00,10107000,134.6022
2007-10-25,194.50,194.50,186.00,189.00,6886700,137.5125
2007-10-24,200.00,200.00,189.50,192.00,6092200,139.6953
2007-10-23,198.50,202.50,197.00,200.50,4075100,145.8797
2007-10-22,197.50,199.50,195.50,196.50,4986400,142.9694
2007-10-19,203.00,205.50,201.00,202.00,3564400,146.9711
2007-10-18,209.00,209.00,203.00,204.50,3313200,148.79
2007-10-17,205.50,209.00,205.00,207.50,4597300,150.9727
2007-10-16,207.00,210.50,204.00,205.50,5457700,149.5176
2007-10-15,215.00,215.00,209.00,210.00,2493400,152.7917
2007-10-12,215.00,215.50,212.00,215.00,2809900,156.4296
2007-10-11,216.50,219.00,215.00,216.50,3364500,157.521
2007-10-10,217.00,217.50,214.50,216.50,1887200,157.521
2007-10-09,213.50,218.00,213.50,216.50,3159700,157.521
2007-10-08,218.00,220.00,214.00,215.00,2489900,156.4296
2007-10-05,218.00,219.00,214.00,218.00,3908900,158.6123
2007-10-04,215.50,220.50,214.50,217.50,4000000,158.2485
2007-10-03,214.50,217.00,213.00,217.00,4517400,157.8847
2007-10-02,216.50,217.50,213.00,214.00,5572200,155.702
2007-10-01,206.50,212.50,205.50,212.50,6611800,154.6106
2007-09-28,207.50,209.50,206.00,209.50,8707800,152.4279
2007-09-27,201.00,208.50,201.00,207.50,13875900,150.9727
2007-09-26,196.50,197.50,195.00,196.50,4902400,142.9694
2007-09-25,199.00,200.00,194.50,195.00,5296900,141.878
2007-09-24,203.50,204.00,199.50,200.50,2644000,145.8797
2007-09-21,204.00,206.00,203.00,204.00,2824500,148.4262
2007-09-20,205.50,206.50,202.50,204.50,6116500,148.79
2007-09-19,206.00,209.50,204.00,208.00,10921500,151.3365
2007-09-18,186.50,197.00,186.00,196.50,15497500,142.9694
2007-09-17,192.00,193.50,187.50,188.00,5431100,136.7849
2007-09-14,198.50,201.00,194.00,194.00,6846000,141.1504
2007-09-13,197.00,202.50,195.50,201.50,4949200,146.6073
2007-09-12,196.50,199.00,194.50,199.00,3529300,144.7883
2007-09-11,196.00,198.50,194.50,197.00,4186000,143.3332
2007-09-10,194.00,199.50,190.00,194.00,7975400,141.1504
2007-09-07,201.00,203.00,192.00,193.50,9353800,140.7866
2007-09-06,206.50,207.50,201.00,203.00,3954400,147.6986
2007-09-05,211.50,212.50,205.50,205.50,3436800,149.5176
2007-09-04,210.50,212.50,208.00,212.00,3310900,154.2468
2007-09-03,210.00,212.00,207.50,211.00,2707200,153.5193
2007-08-31,210.50,211.00,204.50,208.00,6656600,151.3365
2007-08-30,211.50,213.00,204.50,209.00,5924500,152.0641
2007-08-29,204.50,209.50,203.00,209.50,4509000,152.4279
2007-08-28,212.00,213.50,206.00,207.00,4402800,150.609
2007-08-27,215.00,216.50,213.00,213.50,2446800,155.3382
2007-08-24,215.50,217.00,211.50,214.50,4601400,156.0658
2007-08-23,219.00,220.00,215.50,216.50,5923400,157.521
2007-08-22,217.00,219.00,214.00,215.50,7287300,156.7934
2007-08-21,222.00,222.50,213.00,215.00,8631200,156.4296
2007-08-20,223.00,226.00,221.00,221.00,4243700,160.7951
2007-08-17,206.00,223.00,205.50,220.50,26941400,160.4313
2007-08-16,211.00,213.00,207.50,208.00,12051500,151.3365
2007-08-15,221.50,222.50,214.50,217.50,10001100,158.2485
2007-08-14,226.50,228.50,223.00,223.50,4049900,162.614
2007-08-13,227.50,230.50,224.50,229.00,4622800,166.6157
2007-08-10,226.50,229.50,222.50,224.00,8412600,162.9778
2007-08-09,240.00,240.00,231.50,233.50,7116100,169.8898
2007-08-08,233.50,241.50,233.50,241.50,4711200,175.7104
2007-08-07,228.00,232.00,227.50,232.00,4436700,168.7984
2007-08-06,224.50,227.00,222.50,224.00,4793500,162.9778
2007-08-03,232.50,234.00,227.00,228.50,5278600,166.2519
2007-08-02,231.50,235.00,231.00,232.50,3432400,169.1622
2007-08-01,227.00,231.50,226.00,229.00,6900700,166.6157
2007-07-31,228.50,234.00,228.00,234.00,4120000,170.2536
2007-07-30,226.00,227.50,222.00,227.50,3212000,165.5243
2007-07-27,221.00,227.50,220.00,226.00,6507400,164.433
2007-07-26,234.50,236.00,223.00,224.50,5912600,163.3416
2007-07-25,235.50,236.50,233.00,233.00,5193200,169.526
2007-07-24,239.50,241.50,236.50,236.50,4097300,172.0725
2007-07-23,237.00,240.00,236.00,239.50,2018600,174.2553
2007-07-20,241.50,241.50,236.00,238.50,2385500,173.5277
2007-07-19,238.50,243.50,237.50,239.50,5633000,174.2553
2007-07-18,233.00,241.50,233.00,237.00,5561300,172.4363
2007-07-17,237.00,237.50,233.50,235.00,3880300,170.9812
2007-07-16,233.50,237.50,233.00,237.00,4966700,172.4363
2007-07-13,230.50,233.00,230.00,233.00,2167700,169.526
2007-07-12,225.00,228.50,224.00,228.50,3112800,166.2519
2007-07-11,227.00,227.00,223.50,225.50,4082200,164.0692
2007-07-10,230.50,231.50,226.00,228.00,2934000,165.8881
2007-07-09,228.00,230.50,228.00,230.00,3181600,167.3433
2007-07-06,224.50,228.00,224.00,226.50,2079000,164.7968
2007-07-05,230.00,231.00,223.50,224.50,4241100,163.3416
2007-07-04,228.00,231.00,226.00,229.50,2806100,166.9795
2007-07-03,223.50,227.00,223.50,227.00,4168200,165.1605
2007-07-02,221.00,222.50,218.50,221.50,2736400,161.1589
2007-06-29,222.00,224.00,218.50,222.00,5183200,161.5226
2007-06-28,215.50,221.00,215.50,220.50,3845400,160.4313
2007-06-27,214.00,216.00,209.50,214.00,4330400,155.702
2007-06-26,217.50,219.00,214.50,215.50,3513800,156.7934
2007-06-25,217.50,221.00,215.00,220.50,3601200,160.4313
2007-06-22,220.50,220.50,220.50,220.50,000,160.4313
2007-06-21,220.00,222.50,220.00,220.50,3782900,160.4313
