Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,56.70,56.70,56.70,56.70,000,49.16
2012-12-28,57.40,57.60,56.35,56.70,1449200,49.16
2012-12-27,57.35,57.90,57.05,57.40,1131000,49.77
2012-12-26,57.40,57.40,57.40,57.40,000,49.77
2012-12-25,57.40,57.40,57.40,57.40,000,49.77
2012-12-24,57.40,57.40,57.40,57.40,000,49.77
2012-12-21,56.15,57.80,56.05,57.40,2769900,49.77
2012-12-20,55.10,56.65,55.10,56.45,5481900,48.94
2012-12-19,54.65,55.25,54.60,55.20,3091800,47.86
2012-12-18,54.95,55.10,54.50,54.65,2083600,47.38
2012-12-17,54.20,54.70,54.10,54.55,2775100,47.30
2012-12-14,54.05,54.45,53.85,54.40,1202700,47.17
2012-12-13,54.15,54.40,53.45,53.80,1192900,46.65
2012-12-12,54.60,54.70,53.75,53.85,1387800,46.69
2012-12-11,53.80,54.70,53.65,54.45,1926100,47.21
2012-12-10,52.50,53.90,52.50,53.75,1916200,46.60
2012-12-07,53.15,53.30,52.30,53.00,1157300,45.95
2012-12-06,53.45,54.05,53.15,53.20,1576700,46.13
2012-12-05,52.80,53.45,52.60,53.25,1472600,46.17
2012-12-04,52.00,52.85,52.00,52.40,1295400,45.43
2012-12-03,52.45,52.45,51.85,52.25,1104600,45.30
2012-11-30,51.30,52.10,51.30,52.05,2074900,45.13
2012-11-29,50.95,51.40,50.70,51.10,1556800,44.31
2012-11-28,50.80,50.80,50.35,50.55,1143100,43.83
2012-11-27,50.85,51.00,50.60,50.90,1306300,44.13
2012-11-26,51.40,51.55,50.45,50.75,1445000,44.00
2012-11-23,51.35,51.45,50.95,51.40,1403500,44.57
2012-11-22,51.10,51.40,50.85,51.15,1527400,44.35
2012-11-21,50.90,51.05,50.65,50.85,1102800,44.09
2012-11-20,51.35,51.50,50.70,50.90,1183200,44.13
2012-11-19,51.35,51.35,50.80,51.30,1132800,44.48
2012-11-16,50.65,51.40,50.20,50.80,1504500,44.05
2012-11-15,51.40,51.65,50.40,50.55,2078200,43.83
2012-11-14,52.35,52.35,51.20,51.55,1826400,44.70
2012-11-13,52.35,52.35,51.50,52.35,1906200,45.39
2012-11-12,52.35,53.50,51.90,52.50,1923700,45.52
2012-11-09,51.70,52.50,51.40,52.35,1437500,45.39
2012-11-08,53.00,53.15,51.25,51.60,2844500,44.74
