Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,116.30,116.30,116.30,116.30,000,112.0964
2015-12-30,117.50,118.20,116.00,116.30,29100,112.0964
2015-12-29,117.00,117.90,116.70,117.40,29500,113.1566
2015-12-28,117.50,120.00,116.50,116.80,28700,112.5783
2015-12-25,117.20,117.20,117.20,117.20,000,112.9639
2015-12-24,117.20,117.20,117.20,117.20,000,112.9639
2015-12-23,116.00,117.30,115.70,117.20,14000,112.9639
2015-12-22,118.50,119.00,115.50,115.50,39300,111.3253
2015-12-21,118.40,119.00,117.50,118.00,30100,113.7349
2015-12-18,116.00,120.00,114.50,119.20,46900,114.8916
2015-12-17,116.70,118.80,115.80,115.80,43400,111.6145
2015-12-16,117.00,118.60,114.70,115.60,47800,111.4217
2015-12-15,115.00,117.50,114.50,116.20,48200,112.00
2015-12-14,115.90,118.00,114.00,114.50,49200,110.3614
2015-12-11,116.00,116.50,113.50,115.10,43400,110.9398
2015-12-10,117.40,117.40,115.00,115.50,25400,111.3253
2015-12-09,117.40,117.40,113.50,116.00,58800,111.8072
2015-12-08,119.10,119.10,115.50,117.40,29400,113.1566
2015-12-07,118.70,120.80,117.90,119.10,31300,114.7952
2015-12-04,118.80,119.00,117.90,119.00,39400,114.6988
2015-12-03,120.50,121.50,118.50,119.20,53800,114.8916
2015-12-02,122.00,122.00,119.80,120.50,21200,116.1446
2015-12-01,121.60,124.40,120.30,121.20,74300,116.8193
2015-11-30,119.00,125.00,118.70,125.00,65600,120.4819
2015-11-27,118.50,120.00,118.20,118.50,36500,114.2169
2015-11-26,119.00,119.80,118.40,118.50,25600,114.2169
2015-11-25,118.90,119.50,118.00,119.00,28100,114.6988
2015-11-24,121.00,121.70,118.50,118.90,42100,114.6024
2015-11-23,122.60,122.60,121.00,121.20,17900,116.8193
2015-11-20,122.50,122.80,121.70,122.70,20000,118.2651
2015-11-19,123.00,123.00,121.70,122.80,25200,118.3615
2015-11-18,122.90,122.90,121.50,121.50,24000,117.1084
2015-11-17,120.90,122.80,120.90,122.50,28700,118.0723
2015-11-16,120.30,122.00,119.00,120.80,19400,116.4337
2015-11-13,122.80,122.80,120.00,121.40,36400,117.0121
2015-11-12,123.00,123.70,121.60,121.70,15800,117.3012
2015-11-11,122.80,123.70,122.70,123.00,11700,118.5542
2015-11-10,122.60,124.00,121.10,122.70,18400,118.2651
2015-11-09,124.00,124.30,122.30,122.30,29700,117.8795
2015-11-06,123.70,123.80,122.00,123.50,33500,119.0361
2015-11-05,122.90,124.00,122.90,123.70,49100,119.2289
2015-11-04,121.00,123.00,121.00,122.90,65800,118.4578
2015-11-03,123.30,123.90,121.80,122.60,34000,118.1687
2015-11-02,123.90,123.90,121.50,122.80,65700,118.3615
2015-10-30,121.00,123.90,120.00,123.50,47000,119.0361
2015-10-29,121.20,121.90,118.00,121.10,72100,116.7229
2015-10-28,122.00,122.70,120.90,121.00,34000,116.6265
2015-10-27,122.00,122.20,121.00,122.00,35000,117.5904
2015-10-26,122.00,123.00,121.00,121.50,79400,117.1084
2015-10-23,123.50,124.00,121.90,123.30,50500,118.8434
2015-10-22,123.40,123.80,121.00,123.00,65200,118.5542
2015-10-21,123.70,123.90,121.30,122.50,87400,118.0723
2015-10-20,126.50,127.60,126.00,127.50,24200,122.8916
