Date,Open,High,Low,Close,Volume,Adj Close
2010-12-30,134.30,134.90,133.30,133.30,1459500,101.8762
2010-12-29,135.00,136.70,133.90,133.90,2532600,102.3348
2010-12-28,131.00,131.30,130.50,131.00,430900,100.1184
2010-12-27,131.70,131.70,130.30,130.80,584400,99.9655
2010-12-24,131.70,131.70,131.70,131.70,000,100.6534
2010-12-23,130.70,131.70,129.90,131.70,666500,100.6534
2010-12-22,131.50,131.70,130.50,130.50,587500,99.7363
2010-12-21,130.70,132.30,130.60,132.00,1034500,100.8827
2010-12-20,129.50,131.40,129.30,130.30,1486000,99.5834
2010-12-17,129.00,130.20,128.50,129.50,1797400,98.972
2010-12-16,128.50,129.30,127.80,129.00,1487100,98.5899
2010-12-15,128.40,128.70,127.30,128.30,1006300,98.0549
2010-12-14,128.20,128.70,127.30,128.70,1740400,98.3606
2010-12-13,127.00,128.70,127.00,128.00,1707100,97.8256
2010-12-10,126.90,127.90,125.10,126.30,2891800,96.5264
2010-12-09,129.50,129.50,126.10,127.10,4579300,97.1378
2010-12-08,132.00,133.00,130.40,131.20,2203900,100.2712
2010-12-07,131.30,133.90,131.30,132.40,2147800,101.1884
2010-12-06,131.70,132.20,130.60,131.20,1337400,100.2712
2010-12-03,130.80,132.00,130.20,132.00,1826200,100.8827
2010-12-02,129.40,131.40,129.00,131.20,2614400,100.2712
2010-12-01,125.60,129.30,125.30,128.50,2690100,98.2077
2010-11-30,124.10,125.80,124.10,125.00,2155500,95.5328
2010-11-29,125.60,126.20,123.90,124.30,2221500,94.9978
2010-11-26,124.80,126.10,123.70,125.00,1378300,95.5328
2010-11-25,124.00,125.50,123.50,125.10,1433000,95.6092
2010-11-24,123.00,124.20,122.20,123.70,1520300,94.5393
2010-11-23,124.90,125.40,122.90,123.20,1751200,94.1571
2010-11-22,127.10,127.90,124.90,125.40,1920600,95.8385
2010-11-19,125.70,126.50,124.80,126.30,1691200,96.5264
2010-11-18,124.50,125.70,123.70,125.30,2123100,95.7621
2010-11-17,123.00,123.70,121.70,123.20,2467700,94.1571
2010-11-16,126.00,126.10,122.70,123.60,1690700,94.4629
2010-11-15,125.50,126.70,124.50,126.60,1387300,96.7556
2010-11-12,125.40,126.10,124.20,125.60,1499100,95.9914
2010-11-11,128.40,128.40,125.80,126.30,1201300,96.5264
2010-11-10,128.30,128.90,127.10,127.50,1267400,97.4435
2010-11-09,128.00,129.60,127.60,128.30,974100,98.0549
2010-11-08,127.20,128.90,127.00,128.00,1711500,97.8256
2010-11-05,128.60,130.00,125.70,127.00,1122100,97.0613
