Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,137.20,137.20,137.20,137.20,000,132.05265
2015-12-30,138.39999,139.20,137.10001,137.20,1990800,132.05265
2015-12-29,138.60001,139.30,137.39999,138.60001,1943300,133.40014
2015-12-28,141.20,141.60001,137.80,138.10001,1015800,132.9189
2015-12-25,140.89999,140.89999,140.89999,140.89999,000,135.61384
2015-12-24,140.89999,140.89999,140.89999,140.89999,000,135.61384
2015-12-23,139.00,141.30,138.70,140.89999,2110600,135.61384
2015-12-22,136.70,137.80,135.10001,137.20,1711800,132.05265
2015-12-21,135.00,137.20,134.60001,135.60001,3251400,130.51269
2015-12-18,136.00,137.10001,134.80,135.70,3262700,130.60893
2015-12-17,140.20,141.70,137.30,137.50,2689600,132.3414
2015-12-16,137.60001,139.30,136.39999,137.70,3190900,132.5339
2015-12-15,136.50,138.50,135.80,138.00,2819500,132.82264
2015-12-14,139.80,140.89999,136.30,136.50,3921200,131.37892
2015-12-11,144.30,145.20,139.20,139.30,2878500,134.07387
2015-12-10,143.39999,146.50,142.30,144.89999,2823600,139.46377
2015-12-09,143.00,145.00,139.39999,143.60001,3575200,138.21255
2015-12-08,148.00,148.39999,141.80,143.89999,2718500,138.50129
2015-12-07,148.30,149.70,147.10001,148.10001,2015300,142.54373
2015-12-04,148.30,149.00,145.70,147.50,2928900,141.96623
2015-12-03,151.00,152.89999,148.20,148.20,3294600,142.63997
2015-12-02,151.10001,152.20,149.10001,151.70,2411700,146.00866
2015-12-01,153.00,155.89999,150.00,151.00,2473100,145.33492
2015-11-30,148.50,153.00,147.60001,152.10001,2981600,146.39366
2015-11-27,149.50,150.20,147.50,148.50,2666700,142.92871
2015-11-26,151.60001,152.00,149.00,150.00,3717600,144.37244
2015-11-25,153.39999,154.39999,152.39999,153.00,2981600,147.25989
2015-11-24,156.20,156.20,152.30,153.20,2498800,147.45238
2015-11-23,156.70,158.10001,155.00,156.60001,1758500,150.72483
2015-11-20,153.50,157.70,152.89999,156.80,3047300,150.91733
2015-11-19,154.60001,157.70,152.50,153.50,2728400,147.74113
2015-11-18,152.20,154.89999,151.70,153.50,1376100,147.74113
2015-11-17,150.39999,153.60001,150.39999,153.00,2521500,147.25989
2015-11-16,147.70,151.10001,146.10001,149.60001,2251000,143.98745
2015-11-13,149.20,151.20,147.89999,148.89999,2093400,143.3137
2015-11-12,151.70,153.30,149.60001,149.60001,2345200,143.98745
2015-11-11,152.20,155.20,151.89999,152.39999,1641900,146.68239
2015-11-10,154.80,155.70,150.30,151.70,2782400,146.00866
2015-11-09,158.70,160.39999,154.10001,154.30,2374900,148.51112
2015-11-06,155.30,159.39999,154.30,158.60001,2984600,152.6498
2015-11-05,159.30,160.30,154.10001,155.20,4033700,149.37735
2015-11-04,154.50,160.50,154.20,159.50,4119500,153.51603
2015-11-03,151.00,154.30,150.70,153.50,2529900,147.74113
2015-11-02,149.30,152.10001,148.50,150.39999,2368300,144.75743
2015-10-30,147.50,150.39999,147.50,150.39999,1558200,144.75743
2015-10-29,150.70,150.70,146.30,147.00,2272700,141.48499
2015-10-28,148.89999,153.50,147.80,150.60001,2562500,144.94994
2015-10-27,152.39999,152.50,148.00,148.60001,2745200,143.02497
2015-10-26,152.00,156.30,151.70,152.89999,2522000,147.16363
2015-10-23,150.00,152.89999,147.60001,151.39999,3313100,145.71991
2015-10-22,143.50,149.89999,141.60001,149.39999,3443100,143.79494
2015-10-21,144.89999,144.89999,141.30,143.80,4453400,138.40505
2015-10-20,141.50,144.60001,140.20,144.10001,6453900,138.6938
2015-10-19,143.00,143.70,140.30,141.39999,5261300,136.09508
2015-10-16,157.00,160.70,142.30,144.00,12426800,138.59754
2015-10-15,160.00,160.60001,154.60001,155.30,3346800,149.4736
2015-10-14,160.00,161.50,158.20,158.30,2901100,152.36105
2015-10-13,162.70,163.70,159.30,161.10001,2643400,155.05601
2015-10-12,163.30,166.00,162.70,163.50,3691700,157.36596
2015-10-09,158.60001,163.00,158.00,162.60001,2592500,156.49973
2015-10-08,155.20,158.00,155.20,156.89999,3075800,151.01357
2015-10-07,155.80,160.10001,155.00,156.10001,3029100,150.24359
2015-10-06,158.00,158.39999,154.10001,155.80,2994200,149.95484
2015-10-05,157.80,159.70,157.00,158.10001,2291400,152.16856
2015-10-02,156.89999,159.50,152.39999,154.80,2695200,148.99236
2015-10-01,155.50,157.50,154.10001,155.50,3423000,149.6661
2015-09-30,156.80,157.00,153.30,153.70,3861300,147.93362
2015-09-29,144.50,154.10001,144.50,154.00,5804300,148.22237
2015-09-28,147.10001,147.89999,144.80,146.00,2350400,140.52251
2015-09-25,146.70,150.10001,146.60001,147.20,2965600,141.67748
2015-09-24,147.60001,149.00,144.00,144.80,3097400,139.36753
2015-09-23,148.00,150.39999,146.70,148.30,3224700,142.73622
2015-09-22,155.39999,155.60001,146.20,148.30,4983000,142.73622
2015-09-21,154.00,156.20,153.10001,155.20,2773700,149.37735
2015-09-18,159.30,159.60001,153.20,154.10001,3892800,148.31863
2015-09-17,165.70,165.70,159.39999,160.30,3126300,154.28602
2015-09-16,166.50,168.00,165.20,166.00,2238400,159.77217
2015-09-15,162.10001,166.20,159.89999,165.70,2758500,159.48342
2015-09-14,166.10001,166.10001,161.10001,162.10001,2522800,156.01849
2015-09-11,165.00,166.89999,164.50,166.60001,3397300,160.34966
2015-09-10,163.00,165.70,162.00,163.20,3773500,157.07721
2015-09-09,162.00,164.39999,161.30,161.60001,2350300,155.53725
2015-09-08,158.60001,159.39999,157.60001,158.89999,2237800,152.93853
