Date,Open,High,Low,Close,Volume,Adj Close
2006-12-29,101.119,102.014,100.448,102.014,41700,102.014
2006-12-28,101.119,101.791,100.672,101.119,32200,101.119
2006-12-27,98.4349,101.791,98.4349,101.119,21700,101.119
2006-12-22,99.7772,99.7772,98.4349,98.4349,74400,98.4349
2006-12-21,100.001,100.448,99.106,99.7772,25200,99.7772
2006-12-20,99.3298,100.225,99.106,99.5535,88600,99.5535
2006-12-19,98.8823,99.5535,98.4349,99.3298,42500,99.3298
2006-12-18,100.001,100.225,98.6586,99.3298,112300,99.3298
2006-12-15,100.225,100.448,99.5535,100.001,113400,100.001
2006-12-14,100.672,100.672,100.001,100.001,172600,100.001
2006-12-13,100.672,101.567,100.672,101.119,139400,101.119
2006-12-12,100.672,101.791,100.672,101.119,310200,101.119
2006-12-11,101.119,101.119,100.896,101.119,134600,101.119
2006-12-08,101.119,101.791,100.672,101.791,22100,101.791
2006-12-07,101.119,101.791,101.119,101.791,16400,101.791
2006-12-06,101.567,102.014,101.343,101.567,10400,101.567
2006-12-05,102.014,102.462,101.791,102.462,69300,102.462
2006-12-04,100.896,102.909,100.896,102.909,223200,102.909
2006-12-01,102.014,102.014,101.343,101.343,17000,101.343
2006-11-30,100.672,102.462,100.225,102.014,13800,102.014
2006-11-29,102.462,102.909,101.343,102.909,10900,102.909
2006-11-28,101.343,102.462,99.3298,102.014,25300,102.014
2006-11-27,102.014,103.804,102.014,102.238,101000,102.238
2006-11-24,102.238,102.238,101.119,102.014,41100,102.014
2006-11-23,103.804,103.804,102.014,103.357,39300,103.357
2006-11-22,104.699,105.37,103.133,103.804,49400,103.804
2006-11-21,106.489,106.489,104.699,105.146,166000,105.146
2006-11-20,106.489,106.489,105.146,106.489,62900,106.489
2006-11-17,106.712,106.936,106.265,106.265,72900,106.265
2006-11-16,107.384,107.831,106.041,106.936,149300,106.936
2006-11-15,102.909,106.936,102.909,106.936,67600,106.936
2006-11-14,104.251,105.594,101.567,104.028,204200,104.028
2006-11-13,102.909,103.804,102.462,103.804,135200,103.804
2006-11-10,101.119,102.462,100.896,102.462,54400,102.462
2006-11-09,101.791,101.791,100.448,101.119,38000,101.119
2006-11-08,101.567,102.238,100.672,101.791,26000,101.791
2006-11-07,101.119,101.567,100.672,101.567,20200,101.567
2006-11-06,101.119,101.567,100.672,101.567,43900,101.567
2006-11-03,101.119,101.567,100.672,101.567,3300,101.567
2006-11-02,101.791,101.791,101.119,101.791,52400,101.791
2006-11-01,101.791,101.791,100.672,101.791,141100,101.791
2006-10-31,100.672,101.791,100.225,101.567,32300,101.567
2006-10-30,100.672,102.014,99.3298,100.672,12800,100.672
2006-10-27,102.014,102.909,100.672,100.672,15100,100.672
2006-10-26,100.672,102.238,100.672,102.238,194800,102.238
2006-10-25,100.672,102.014,100.448,101.567,37300,101.567
2006-10-24,100.672,102.014,98.4349,101.343,191000,101.343
2006-10-23,99.7772,100.672,99.3298,100.448,56800,100.448
2006-10-20,99.3298,100.225,98.8823,100.001,153800,100.001
2006-10-19,100.672,100.672,99.7772,100.225,35200,100.225
2006-10-18,100.225,100.672,99.7772,100.448,412700,100.448
2006-10-17,100.225,100.672,100.225,100.448,101700,100.448
2006-10-16,101.119,102.014,100.448,100.672,197100,100.672
2006-10-13,100.225,101.119,99.7772,101.119,162700,101.119
2006-10-12,100.001,100.225,99.3298,100.225,177700,100.225
2006-10-11,99.7772,100.225,99.106,100.001,160300,100.001
2006-10-10,99.106,100.225,98.6586,99.7772,113500,99.7772
2006-10-09,99.7772,100.225,98.4349,99.106,101300,99.106
2006-10-06,100.225,100.225,99.5535,99.7772,217900,99.7772
2006-10-05,101.119,101.119,98.4349,100.225,163900,100.225
2006-10-04,100.225,102.014,99.7772,100.225,93800,100.225
2006-10-03,101.119,101.119,99.3298,100.225,384500,100.225
2006-10-02,103.804,103.804,100.896,101.119,47700,101.119
2006-09-29,102.909,103.58,100.225,102.909,142500,102.909
2006-09-28,103.357,103.804,102.462,102.462,82200,102.462
2006-09-27,102.685,104.028,102.014,103.357,153200,103.357
2006-09-26,103.357,103.804,101.567,102.014,68100,102.014
2006-09-25,105.146,105.146,102.014,102.909,72900,102.909
2006-09-22,104.251,105.146,102.909,103.804,100200,103.804
2006-09-21,104.699,105.594,103.357,105.594,284000,105.594
2006-09-20,105.594,106.041,102.909,103.804,350700,103.804
2006-09-19,102.462,105.594,102.014,105.594,736100,105.594
2006-09-18,103.804,103.804,100.225,101.567,410500,101.567
2006-09-15,99.3298,101.119,98.4349,99.7772,2315500,99.7772
