Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,35.3109,35.3109,35.3109,35.3109,000,34.16195
2012-12-28,35.3768,35.8089,35.245,35.3109,539500,34.16195
2012-12-27,35.5233,36.0507,35.2523,35.3768,697000,34.22571
2012-12-26,35.6039,35.6039,35.6039,35.6039,000,34.44542
2012-12-25,35.6039,35.6039,35.6039,35.6039,000,34.44542
2012-12-24,35.6039,35.6039,35.6039,35.6039,000,34.44542
2012-12-21,35.494,35.9554,35.1278,35.6039,516600,34.44542
2012-12-20,36.1166,36.4755,35.8895,36.0067,486100,34.83511
2012-12-19,36.0946,36.4755,36.036,36.2045,536800,35.02647
2012-12-18,35.6332,36.4682,35.6332,36.08,1046800,34.90603
2012-12-17,34.8641,35.5819,34.8128,35.4867,771800,34.33203
2012-12-14,34.7909,35.1278,34.6151,35.0619,305400,33.92105
2012-12-13,35.5965,35.8602,34.432,34.7689,529600,33.63759
2012-12-12,35.8895,36.1825,35.6185,35.6185,473100,34.45954
2012-12-11,35.3768,36.0873,35.245,35.9261,517300,34.75713
2012-12-10,35.1571,35.6039,35.0838,35.3988,736500,34.24699
2012-12-07,35.9628,36.4755,35.4281,35.4281,724700,34.27534
2012-12-06,35.4794,36.3656,35.2669,36.1752,1240300,34.99813
2012-12-05,34.139,35.6185,34.139,35.2962,890200,34.14773
2012-12-04,34.2049,34.5345,33.9412,34.0877,505000,32.97855
2012-12-03,34.388,34.8275,34.2415,34.4613,298000,33.33999
2012-11-30,33.6922,34.8641,33.619,34.388,2288600,33.26908
2012-11-29,32.9598,33.8387,32.9598,33.7581,489700,32.65967
2012-11-28,32.8646,33.0477,32.4471,32.8499,249700,31.78103
2012-11-27,33.1063,33.5091,32.8865,33.1868,673700,32.10696
2012-11-26,33.326,33.5311,32.7474,33.055,719100,31.97945
2012-11-23,32.9231,33.4505,32.4178,33.3846,468200,32.29833
2012-11-22,32.0589,33.1282,32.0589,32.9231,746500,31.85184
2012-11-21,31.8611,32.1687,31.4949,32.0076,301600,30.96613
2012-11-20,31.4363,32.0882,31.2971,31.8611,519800,30.8244
2012-11-19,30.2497,31.4949,30.2351,31.4363,437100,30.41342
2012-11-16,30.279,30.4328,29.8396,29.9201,475800,28.94656
2012-11-15,30.0666,30.616,30.0154,30.3523,493600,29.36469
2012-11-14,30.8503,31.0774,30.1838,30.3376,183300,29.35047
2012-11-13,31.092,31.1799,30.3523,30.9382,367700,29.93153
2012-11-12,31.0774,31.4876,30.887,31.3118,178900,30.29297
2012-11-09,30.7112,31.1799,30.3962,31.092,455200,30.08032
2012-11-08,31.4143,31.7366,30.6306,30.7844,238600,29.78273
2012-11-07,32.2273,32.3372,31.385,31.385,416200,30.36379
2012-11-06,31.3411,32.1321,31.1287,31.949,432200,30.90944
2012-11-05,31.0994,31.3264,30.7624,31.2019,222400,30.18665
2012-11-02,30.9822,31.2971,30.8137,31.136,227700,30.12289
2012-11-01,30.1325,30.9089,29.8323,30.7258,233900,29.72604
2012-10-31,30.9016,30.9016,30.03,30.03,221000,29.05288
2012-10-30,29.8542,30.5647,29.8542,30.3962,159900,29.40717
2012-10-29,30.2717,30.3596,29.7004,29.9128,133700,28.93949
2012-10-26,29.466,30.4914,29.3708,30.2717,289400,29.28672
2012-10-25,30.7624,30.8357,29.4807,29.5979,380200,28.63484
2012-10-24,30.843,30.9968,30.0739,30.9456,289100,29.93869
2012-10-23,31.136,31.136,30.1838,30.7038,362400,29.70476
2012-10-22,31.2752,31.7366,30.7698,31.136,224400,30.12289
2012-10-19,31.6414,31.8025,31.2092,31.2678,598500,30.2504
2012-10-18,31.4216,31.6121,30.9089,31.385,537900,30.36379
2012-10-17,29.9934,31.3484,29.9128,31.1873,1120600,30.17252
2012-10-16,29.7956,30.0007,29.4514,29.8835,372300,28.91115
2012-10-15,29.6638,30.0886,29.4294,29.4441,546400,28.48604
2012-10-12,29.7736,30.1765,29.6418,29.7297,362300,28.76235
2012-10-11,28.8947,30.0739,28.6604,29.9568,471700,28.98206
2012-10-10,29.2976,29.3708,28.8801,28.8801,460200,27.9404
2012-10-09,29.51,29.5686,29.1511,29.1511,582200,28.20258
2012-10-08,29.9201,30.0593,29.4807,29.5393,455700,28.57815
2012-10-05,30.0447,30.4988,29.8762,30.3376,474400,29.35047
2012-10-04,30.0154,30.2571,29.7297,29.9494,519800,28.9749
2012-10-03,30.0227,30.4109,29.8835,30.0666,379900,29.08829
2012-10-02,30.2424,30.887,29.6638,30.2351,557400,29.25131
2012-10-01,29.6272,30.2497,29.4807,30.2424,433200,29.25837
2012-09-28,30.3962,30.4695,29.51,29.6272,689300,28.66319
2012-09-27,30.5427,30.5427,29.9128,30.0593,669400,29.08123
2012-09-26,31.0408,31.0408,30.4109,30.616,607500,29.61981
2012-09-25,31.5242,31.5242,31.0627,31.1287,469200,30.11583
2012-09-24,32.0662,32.0662,31.3118,31.5242,489800,30.49846
2012-09-21,32.2273,32.3006,31.8172,32.1907,507900,31.14328
2012-09-20,32.2273,32.2273,31.5681,31.8465,482700,30.81028
2012-09-19,32.3592,32.8499,32.1175,32.2493,752600,31.19997
2012-09-18,33.5384,33.5384,32.3079,32.5276,902300,31.46921
2012-09-17,32.9378,33.6849,31.8611,33.5897,1658000,32.49675
2012-09-14,34.7542,36.2557,34.7542,35.8895,1479200,34.72172
2012-09-13,34.2196,34.4027,33.7728,34.161,208700,33.04946
2012-09-12,34.2415,34.7176,33.7948,34.3514,661900,33.23367
2012-09-11,33.7801,34.2415,33.1136,34.2415,372700,33.12735
2012-09-10,33.2894,34.2562,33.1063,33.9632,402800,32.8581
2012-09-07,32.3738,33.7508,32.3738,33.2894,789700,32.20622
2012-09-06,30.9456,32.3006,30.9456,32.1541,576200,31.10786
2012-09-05,30.9382,30.9822,30.2864,30.9089,503500,29.90318
2012-09-04,31.5169,31.8538,30.7844,30.8357,367700,29.83236
2012-09-03,31.3484,32.1834,31.3484,31.6047,203000,30.57634
2012-08-31,31.2825,31.7146,30.9895,31.6047,383600,30.57634
2012-08-30,31.7366,31.7805,30.7624,31.092,412100,30.08032
2012-08-29,32.3372,32.4104,31.7146,31.7146,462200,30.68267
2012-08-28,33.077,33.077,32.2346,32.2346,888600,31.18575
2012-08-27,32.9598,33.4212,32.9598,33.0843,489000,32.0078
2012-08-24,33.6995,33.7508,32.7474,32.9598,735900,31.88735
2012-08-23,34.3294,34.4686,33.5311,33.8973,638400,32.79435
2012-08-22,35.0033,35.0033,33.6922,33.8387,866500,32.73765
2012-08-21,35.5965,35.7064,34.9007,35.1278,664100,33.98481
2012-08-20,36.1459,36.3729,35.3768,35.516,232300,34.36038
2012-08-17,35.6844,36.4022,35.6844,36.2924,366400,35.11151
2012-08-16,35.5672,35.8016,35.3768,35.6332,316800,34.47376
2012-08-15,36.7318,36.7318,35.5379,35.6551,242200,34.49495
2012-08-14,36.6952,37.098,36.5487,36.7685,214000,35.57212
2012-08-13,37.3178,37.3178,36.622,36.9149,120200,35.71376
2012-08-10,36.7685,37.1713,36.5487,37.1713,356300,35.96181
2012-08-09,36.8783,37.0614,36.5341,36.8051,110800,35.60753
2012-08-08,36.9882,36.9882,36.3143,36.7318,156300,35.53662
2012-08-07,36.2557,37.0614,35.9994,37.0248,321400,35.82008
2012-08-06,35.5965,36.2118,35.5233,36.0287,158800,34.8564
2012-08-03,34.659,35.5965,34.659,35.5965,98900,34.43826
2012-08-02,35.3182,35.8895,34.5711,34.5711,235800,33.44622
2012-08-01,35.9774,35.9774,35.2962,35.3695,114700,34.21864
2012-07-31,35.6698,36.1092,35.5233,35.9774,249400,34.80676
2012-07-30,34.8861,35.8895,34.8348,35.8163,293300,34.6509
2012-07-27,34.0877,35.0472,33.5677,34.8348,457000,33.70134
2012-07-26,33.6995,34.1317,32.6595,33.8021,933700,32.70224
2012-07-25,34.4246,35.0472,34.4173,34.7909,220400,33.65887
2012-07-24,34.5272,35.0838,34.3514,34.5858,234700,33.46044
2012-07-23,35.5379,35.5453,34.0584,34.41,540200,33.29036
2012-07-20,36.60,36.6952,35.9994,36.1825,214200,35.00519
2012-07-19,35.5233,36.7685,35.5233,36.622,256100,35.43039
2012-07-18,35.6698,35.6698,34.703,35.2303,458100,34.08397
2012-07-17,36.2704,36.3876,35.4061,35.6844,317400,34.5233
2012-07-16,35.9628,36.2777,35.743,36.2557,196400,35.07601
2012-07-13,35.5087,35.9994,35.4501,35.9261,288600,34.75713
2012-07-12,36.1459,36.3363,35.5306,35.6112,166500,34.45248
2012-07-11,36.1385,36.8051,36.1385,36.2777,141900,35.09729
2012-07-10,35.7577,36.8783,35.743,36.4389,276900,35.25325
2012-07-09,35.8969,35.9628,35.3475,35.743,254700,34.57999
2012-07-06,37.0614,37.2812,35.9847,35.9921,350200,34.82098
2012-07-05,37.4276,38.3798,37.0248,37.3544,273500,36.13896
2012-07-04,37.5009,37.8305,36.5341,37.5009,318600,36.28069
2012-07-03,36.622,37.5009,36.622,37.3178,269300,36.10355
2012-07-02,36.4389,36.9149,35.8236,36.622,386500,35.43039
2012-06-29,35.3036,36.329,34.7396,36.329,618600,35.14692
2012-06-28,34.7103,34.7689,33.5091,34.0584,543700,32.9502
2012-06-27,34.2782,34.7689,33.6922,34.4539,320500,33.33283
2012-06-26,34.6517,35.1571,34.0511,34.2782,264600,33.16285
2012-06-25,36.60,36.60,34.6077,34.6517,625700,33.5242
2012-06-22,37.098,37.098,37.098,37.098,000,35.8909
2012-06-21,36.5487,37.3544,35.6478,37.098,487000,35.8909
2012-06-20,35.9994,36.8417,35.6698,36.622,459000,35.43039
2012-06-19,34.6077,35.7357,34.5565,35.6039,387800,34.44542
2012-06-18,35.1571,35.4134,33.9193,34.5711,769400,33.44622
2012-06-15,33.6922,34.4613,33.4578,34.3514,541500,33.23367
2012-06-14,34.0584,34.0584,32.8719,33.1063,591800,32.02908
2012-06-13,35.3988,35.9115,33.5018,34.0584,886200,32.9502
2012-06-12,35.0106,35.4867,34.6077,35.4427,706900,34.28946
2012-06-11,36.4462,37.0248,35.2523,35.2523,904600,34.10526
2012-06-08,35.8895,35.8895,35.0106,35.7943,912600,34.62962
2012-06-07,35.5965,36.7685,35.3768,36.0653,948700,34.8918
2012-06-06,34.4686,34.4686,34.4686,34.4686,000,33.34706
2012-06-05,34.7176,34.7909,33.9705,34.4686,339700,33.34706
2012-06-04,34.2049,34.6077,33.4651,34.0951,370600,32.98571
2012-06-01,35.472,35.6625,33.553,34.3807,724300,33.26202
2012-05-31,36.7318,36.7318,34.8934,35.2303,739700,34.08397
2012-05-30,37.5009,37.5009,36.1239,36.351,593700,35.16821
2012-05-29,37.1347,37.8305,37.098,37.5741,475500,36.35151
2012-05-28,37.7939,37.7939,36.622,36.9882,356600,35.78467
2012-05-25,37.5741,37.9403,36.622,37.0614,421900,35.85549
2012-05-24,37.8671,38.1235,36.578,37.5741,658400,36.35151
2012-05-23,38.8193,38.8193,37.3544,37.4643,381800,36.24528
2012-05-22,38.8193,39.8081,38.4531,39.6616,310100,38.37108
2012-05-21,37.098,38.2333,36.7685,38.1235,340200,36.88303
2012-05-18,37.0614,37.4276,36.3143,36.8783,582400,35.67835
2012-05-17,37.6474,37.6474,37.6474,37.6474,000,36.42242
2012-05-16,38.6728,38.6728,36.9882,37.6474,380000,36.42242
2012-05-15,39.5517,40.394,38.3798,38.7827,526000,37.52078
2012-05-14,41.0166,41.0898,39.3686,39.5883,409700,38.30017
2012-05-11,40.8335,41.3096,40.2842,41.2363,267300,39.89455
2012-05-10,40.6504,41.3828,39.9179,41.3828,485600,40.03628
2012-05-09,40.5771,40.9067,39.2221,40.2109,406600,38.90251
2012-05-08,40.9067,41.0166,39.8447,40.2109,399400,38.90251
2012-05-07,39.6982,40.9067,39.4052,40.8335,361500,39.50485
2012-05-04,41.6026,41.7857,40.2842,40.6138,465300,39.2923
2012-05-03,42.8477,43.0308,41.3828,41.7857,713000,40.42607
2012-05-02,43.9464,44.2027,42.4082,42.5181,918800,41.13464
2012-05-01,43.5069,43.5069,43.5069,43.5069,000,42.09127
2012-04-30,42.4815,43.5069,42.2251,43.5069,725200,42.09127
2012-04-27,40.3574,42.7744,40.3574,42.4815,2340600,41.09923
2012-04-26,38.8193,39.1489,37.9037,38.5629,397100,37.30814
2012-04-25,37.391,38.7827,37.3544,38.7094,429000,37.44987
2012-04-24,37.8671,38.0502,37.0248,37.2079,431600,35.99723
2012-04-23,39.332,39.332,37.2445,37.3178,635000,36.10355
2012-04-20,38.9291,39.7715,38.4897,39.7348,246700,38.4419
2012-04-19,39.2587,39.7715,38.5995,38.8559,430600,37.5916
2012-04-18,39.8813,40.1377,38.7094,39.1489,392300,37.87507
2012-04-17,38.0502,39.8813,37.684,39.8813,479200,38.58364
2012-04-16,37.8305,38.5629,37.5009,38.1235,396200,36.88303
2012-04-13,38.8193,38.8193,37.6474,37.9403,272400,36.70579
2012-04-12,38.27,38.8925,37.3544,38.8193,543300,37.55619
2012-04-11,36.6952,37.9403,36.6952,37.7206,542600,36.49324
2012-04-10,38.6362,38.6362,36.8783,36.9149,489800,35.71376
2012-04-09,38.746,38.746,38.746,38.746,000,37.48528
2012-04-06,38.746,38.746,38.746,38.746,000,37.48528
2012-04-05,39.1855,39.5517,38.1235,38.746,298700,37.48528
2012-04-04,40.5405,40.5405,38.5995,38.746,788400,37.48528
2012-04-03,40.5771,41.1631,40.3208,40.7236,1643000,39.39853
2012-04-02,39.9179,40.5405,39.1855,40.5405,505000,39.22139
2012-03-30,39.2587,39.9179,39.0024,39.6616,329600,38.37108
2012-03-29,39.1123,39.4785,38.27,38.7094,442600,37.44987
2012-03-28,40.2842,40.5039,39.039,39.1123,368800,37.83966
2012-03-27,40.9067,40.98,40.1377,40.2475,575100,38.93792
2012-03-26,41.6392,41.7124,40.9067,41.7124,679800,38.42023
2012-03-23,41.3828,41.5293,40.394,41.3096,1237200,38.04923
2012-03-22,42.4815,42.4815,40.394,41.0166,642400,37.77935
2012-03-21,43.2139,43.5069,41.7857,42.1885,473800,38.85876
2012-03-20,44.4957,44.4957,42.5547,43.3238,721300,39.90445
2012-03-19,43.5801,44.8253,43.3604,44.7154,540800,41.18622
2012-03-16,43.1407,43.8365,42.7378,43.5801,555000,40.14053
2012-03-15,43.104,43.2872,42.1519,42.9576,552500,39.56716
2012-03-14,43.3238,43.5435,42.628,42.9942,566300,39.60087
2012-03-13,41.7124,42.7012,41.6758,42.628,452100,39.26357
2012-03-12,42.0054,42.0054,40.9067,41.3462,590100,38.08293
2012-03-09,41.7124,42.1519,40.8335,42.1153,627700,38.79133
2012-03-08,41.2729,41.749,40.5771,41.3096,674900,38.04923
2012-03-07,40.394,40.8701,39.7715,40.4673,860400,37.2734
2012-03-06,42.5181,42.5181,40.1011,40.6138,841800,37.40834
2012-03-05,44.0196,44.3126,42.4815,42.7378,638800,39.3647
2012-03-02,44.9718,44.9718,43.983,44.6788,450300,41.15251
2012-03-01,44.0928,44.9718,43.5069,44.7154,1055700,41.18622
2012-02-29,44.3858,45.1549,43.9464,44.276,951400,40.7815
2012-02-28,43.4703,44.3492,43.0674,44.3492,801500,40.84892
2012-02-27,45.1915,45.1915,43.3604,43.7632,805500,40.30917
2012-02-24,44.4224,45.338,44.1661,45.1915,872900,41.62475
2012-02-23,44.6788,45.1549,43.4703,44.2393,520000,40.7477
2012-02-22,45.9606,45.9606,44.3126,44.8619,496900,41.32116
2012-02-21,46.1437,46.3268,45.338,45.8141,758700,42.1982
2012-02-20,45.1549,46.1437,44.8619,46.1437,577600,42.50179
2012-02-17,44.0562,44.8985,44.0562,44.5323,877800,41.01757
2012-02-16,42.4815,43.7266,42.1153,43.6534,672400,40.20804
2012-02-15,42.8843,43.6534,42.628,42.8111,679800,39.43222
2012-02-14,43.7632,43.9097,42.0054,42.1519,921500,38.82505
2012-02-13,44.6788,45.2281,43.7266,44.0196,1013000,40.54534
2012-02-10,46.1437,46.1437,43.9097,44.6788,1927500,41.15251
2012-02-09,48.1579,48.7804,47.6452,47.9748,473000,44.18837
2012-02-08,47.5353,48.4509,47.5353,47.755,1102100,43.98592
2012-02-07,48.5607,48.5607,46.4733,47.4621,584100,43.71614
2012-02-06,48.2311,48.3776,47.5353,48.1579,556600,44.35702
2012-02-03,47.6818,48.5607,47.2423,48.4142,649500,44.59309
