Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,124.25,124.25,124.25,124.25,000,120.87102
2015-12-30,122.75,124.50,122.25,124.25,48700,120.87102
2015-12-29,120.00,123.75,119.00,122.50,48400,119.16861
2015-12-28,119.50,120.00,119.00,120.00,11700,116.7366
2015-12-25,119.00,119.00,119.00,119.00,000,115.76379
2015-12-24,119.00,119.00,119.00,119.00,000,115.76379
2015-12-23,120.00,120.00,118.75,119.00,63900,115.76379
2015-12-22,120.00,120.00,117.50,119.75,149000,116.49339
2015-12-21,116.75,120.00,116.75,118.75,50700,115.52059
2015-12-18,118.00,119.75,117.00,118.25,106300,115.03419
2015-12-17,118.00,120.25,117.25,118.25,52500,115.03419
2015-12-16,117.00,118.75,115.50,117.75,41700,114.54778
2015-12-15,118.75,118.75,115.00,115.75,34700,112.60217
2015-12-14,120.25,120.25,115.25,117.00,257200,113.81818
2015-12-11,120.50,120.50,117.25,120.25,33500,116.9798
2015-12-10,118.75,121.50,118.75,120.00,21300,116.7366
2015-12-09,121.00,122.00,120.25,121.00,129800,117.7094
2015-12-08,119.50,121.75,118.25,121.25,33000,117.9526
2015-12-07,122.00,122.00,119.50,119.50,45500,116.25019
2015-12-04,122.00,122.75,121.00,122.00,18100,118.68221
2015-12-03,126.25,127.00,121.75,122.50,78500,119.16861
2015-12-02,126.50,127.00,125.25,126.25,82300,122.81663
2015-12-01,125.00,128.00,123.25,126.50,162700,123.05983
2015-11-30,120.50,125.00,120.50,123.25,113100,119.89821
2015-11-27,121.25,121.25,119.25,120.75,50000,117.4662
2015-11-26,121.25,121.25,118.75,121.25,37500,117.9526
2015-11-25,120.00,121.50,118.50,121.50,55600,118.1958
2015-11-24,118.00,120.00,115.75,119.75,272900,116.49339
2015-11-23,119.25,120.00,116.75,119.00,196800,115.76379
2015-11-20,122.75,123.50,118.00,121.00,121200,117.7094
2015-11-19,123.00,124.50,121.25,124.50,104800,121.11422
2015-11-18,119.00,123.00,118.50,122.75,56200,119.41181
2015-11-17,119.00,121.00,118.00,119.00,95300,115.76379
2015-11-16,116.00,119.50,116.00,119.00,106600,115.76379
2015-11-13,117.25,117.50,113.50,116.00,80400,112.84538
2015-11-12,122.25,122.75,117.00,117.00,211200,113.81818
2015-11-11,125.00,125.00,121.75,122.25,35200,118.92541
2015-11-10,124.50,125.00,122.00,124.25,62100,120.87102
2015-11-09,122.75,124.25,121.50,124.00,43100,120.62782
2015-11-06,125.00,125.00,120.50,122.00,57000,118.68221
2015-11-05,121.258,121.498,120.298,120.778,50700,117.49344
2015-11-04,121.978,122.459,120.538,121.258,51000,117.96039
2015-11-03,122.219,122.939,120.298,121.018,88500,117.72691
2015-11-02,120.057,121.978,120.057,121.498,43500,118.19386
2015-10-30,119.577,120.057,119.097,120.057,38000,116.79204
2015-10-29,120.298,121.978,119.097,119.817,53900,116.55857
2015-10-28,121.738,122.459,119.817,120.298,83500,117.02649
2015-10-27,125.10,125.34,120.538,121.978,110900,118.6608
2015-10-26,124.62,125.10,121.978,124.62,67100,121.23096
2015-10-23,126.541,126.781,121.738,125.82,140300,122.39832
2015-10-22,129.422,133.504,129.18201,133.504,122100,129.87335
2015-10-21,130.623,131.103,129.18201,130.142,53900,126.60278
2015-10-20,128.46201,131.343,126.541,130.86301,31200,127.30418
2015-10-19,132.063,132.063,127.981,128.702,46100,125.20194
2015-10-16,132.063,132.784,131.103,132.30299,215800,128.70501
2015-10-15,127.261,132.543,126.541,132.30299,102600,128.70501
2015-10-14,127.741,127.981,125.82,127.981,127800,124.50055
2015-10-13,125.34,127.741,123.899,127.741,48400,124.26708
2015-10-12,124.38,125.34,123.179,125.34,35800,121.93137
2015-10-09,123.179,124.86,121.978,124.38,86500,120.99748
2015-10-08,120.057,125.34,120.057,125.34,156300,121.93137
2015-10-07,120.057,121.978,119.817,121.738,104300,118.42733
2015-10-06,118.377,121.738,117.656,119.817,132700,116.55857
2015-10-05,113.334,118.377,112.374,118.137,76800,114.92426
2015-10-02,113.334,113.814,111.894,113.334,312000,110.25188
2015-10-01,113.334,114.295,112.854,113.334,315600,110.25188
2015-09-30,109.973,114.295,108.772,111.413,105500,108.38312
2015-09-29,108.772,109.973,105.651,109.973,39100,106.98228
2015-09-28,108.772,110.213,108.292,109.973,57500,106.98228
2015-09-25,107.572,109.492,107.091,109.012,137000,106.04742
2015-09-24,109.252,109.252,107.091,107.812,43800,104.88005
2015-09-23,107.812,109.012,107.812,108.772,36800,105.81394
2015-09-22,108.772,109.012,107.572,108.772,79900,105.81394
2015-09-21,107.572,108.292,107.331,108.052,82400,105.11352
2015-09-18,107.812,108.772,106.611,107.572,74300,104.64657
2015-09-17,108.292,108.532,106.851,107.812,20300,104.88005
2015-09-16,108.532,108.532,107.091,108.292,11300,105.34699
2015-09-15,107.091,108.292,107.091,107.812,289900,104.88005
2015-09-14,108.292,109.012,107.572,108.772,31300,105.81394
2015-09-11,108.532,109.012,108.532,109.012,75100,106.04742
2015-09-10,109.733,109.733,106.371,109.252,16700,106.28089
2015-09-09,109.973,110.213,109.252,109.492,31300,106.51436
2015-09-08,109.012,109.492,108.532,109.252,28800,106.28089
2015-09-07,108.292,109.252,107.331,109.012,16600,106.04742
2015-09-04,109.012,109.012,106.611,108.292,17400,105.34699
2015-09-03,109.492,109.973,108.292,109.012,82800,106.04742
2015-09-02,108.292,110.213,108.292,109.492,18100,106.51436
2015-09-01,109.252,109.252,108.292,108.292,74600,105.34699
2015-08-31,108.772,109.492,108.292,109.252,59600,106.28089
2015-08-28,109.252,109.973,108.772,108.772,41500,105.81394
2015-08-27,105.891,110.453,105.891,108.772,27000,105.81394
2015-08-26,106.611,106.611,102.049,105.41,19800,102.54337
2015-08-25,103.249,105.17,102.769,104.93,44400,102.07643
2015-08-24,108.052,108.052,100.128,103.49,159900,100.67558
2015-08-21,111.413,111.413,106.611,109.012,1190300,106.04742
2015-08-20,112.854,112.854,111.413,111.413,10500,108.38312
2015-08-19,115.015,115.015,113.334,113.334,19200,110.25188
2015-08-18,113.334,114.535,113.334,114.295,42200,111.18674
2015-08-17,112.374,113.814,112.374,113.334,28900,110.25188
2015-08-14,114.295,114.295,112.374,112.374,17500,109.31799
2015-08-13,114.775,114.775,112.374,113.334,58000,110.25188
2015-08-12,112.374,113.334,110.933,112.374,42400,109.31799
2015-08-11,113.094,115.495,111.894,112.374,30100,109.31799
2015-08-10,112.614,113.814,112.374,113.094,26500,110.01841
2015-08-07,112.134,112.134,110.693,111.413,28000,108.38312
2015-08-06,112.614,113.334,111.413,111.894,20200,108.85104
2015-08-05,113.094,114.055,112.614,112.614,24000,109.55146
2015-08-04,114.295,114.535,112.854,112.854,18200,109.78493
2015-08-03,114.775,115.255,113.814,114.055,29200,110.95327
2015-07-31,114.295,115.255,113.574,113.814,21700,110.71883
2015-07-30,113.574,115.735,113.574,114.055,291500,110.95327
2015-07-29,112.854,115.495,112.374,113.334,41300,110.25188
2015-07-28,110.933,112.854,110.933,111.173,27300,108.14964
2015-07-27,112.614,112.614,110.213,110.693,29700,107.6827
2015-07-24,113.334,113.574,112.614,112.614,6600,109.55146
2015-07-23,114.295,114.295,113.094,113.334,11100,110.25188
2015-07-22,114.295,114.775,112.374,113.094,49900,110.01841
2015-07-21,116.216,116.936,112.374,113.574,20000,110.48535
2015-07-20,113.574,118.137,113.574,116.216,21500,113.0555
2015-07-17,114.295,115.015,112.374,113.574,52400,110.48535
2015-07-16,111.413,114.295,108.532,114.295,90600,111.18674
2015-07-15,112.854,112.854,111.653,112.374,41200,109.31799
2015-07-14,109.973,112.854,107.812,112.134,71300,109.08451
2015-07-13,109.733,112.134,109.492,109.973,22400,106.98228
2015-07-10,105.651,110.213,105.41,109.252,64400,106.28089
