Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,195.50,195.50,195.50,195.50,000,173.78
2014-12-30,195.60,195.70,194.30,195.50,1615300,173.78
2014-12-29,194.60,196.00,193.80,195.80,1489200,174.05
2014-12-26,194.60,194.60,194.60,194.60,000,172.98
2014-12-25,194.60,194.60,194.60,194.60,000,172.98
2014-12-24,194.60,194.60,194.60,194.60,000,172.98
2014-12-23,193.80,194.80,193.40,194.60,1181800,172.98
2014-12-22,192.80,194.30,192.70,193.60,1514100,172.09
2014-12-19,192.60,193.50,190.20,192.50,3068200,171.12
2014-12-18,189.80,192.10,189.20,191.70,3515900,170.41
2014-12-17,188.40,188.50,186.20,186.90,2920100,166.14
2014-12-16,190.00,190.90,184.80,189.90,4673800,168.80
2014-12-15,192.70,194.00,189.60,189.80,3415100,168.72
2014-12-12,195.90,196.40,192.70,192.70,2996600,171.29
2014-12-11,194.70,199.80,194.70,196.40,3073000,174.58
2014-12-10,196.10,196.80,193.90,194.20,2864500,172.63
2014-12-09,195.00,197.30,194.00,196.00,3817300,174.23
2014-12-08,194.80,196.00,193.80,195.30,2149600,173.61
2014-12-05,193.50,195.40,193.20,195.30,2208800,173.61
2014-12-04,195.80,196.00,191.80,192.00,5242300,170.67
2014-12-03,193.70,195.90,193.60,195.50,2152500,173.78
2014-12-02,195.80,195.80,192.90,193.80,2596900,172.27
2014-12-01,195.20,195.80,193.00,194.40,2479200,172.81
2014-11-28,195.80,195.80,193.90,195.60,2401000,173.87
2014-11-27,193.70,195.50,193.40,195.30,1341800,173.61
2014-11-26,196.00,196.40,192.70,193.30,2254200,171.83
2014-11-25,194.30,195.90,194.00,195.90,3147800,174.14
2014-11-24,191.00,194.80,191.00,194.40,2701500,172.81
2014-11-21,190.10,191.20,189.30,191.00,3229300,169.78
2014-11-20,191.00,191.40,189.40,189.90,1816800,168.80
2014-11-19,190.50,191.00,189.90,190.70,1672300,169.52
2014-11-18,189.60,190.40,188.70,190.40,2774000,169.25
2014-11-17,188.10,189.60,187.20,189.10,1596300,168.09
2014-11-14,189.50,189.80,188.30,189.40,2031600,168.36
2014-11-13,188.30,189.50,186.80,189.00,3312100,168.00
2014-11-12,190.50,190.60,187.90,188.30,2967800,167.38
2014-11-11,191.40,192.30,189.70,190.50,2540900,169.34
2014-11-10,191.30,192.00,190.50,191.40,2128800,170.14
2014-11-07,193.60,193.60,189.70,191.30,3299900,170.05
2014-11-06,193.50,195.00,191.80,193.50,3026200,172.01
