Date,Open,High,Low,Close,Volume,Adj Close
2007-12-31,129.50,129.50,129.50,129.50,000,85.6295
2007-12-28,127.00,130.00,127.00,129.50,1372000,85.6295
2007-12-27,128.25,130.25,118.25,127.50,2283200,84.3071
2007-12-26,128.75,128.75,128.75,128.75,000,85.1336
2007-12-25,128.75,128.75,128.75,128.75,000,85.1336
2007-12-24,128.75,128.75,128.75,128.75,000,85.1336
2007-12-21,130.25,130.25,128.00,128.75,2252700,85.1336
2007-12-20,131.25,131.75,128.25,129.00,2160900,85.2989
2007-12-19,129.25,132.25,128.50,130.50,3829000,86.2908
2007-12-18,127.75,131.25,127.50,128.25,2371100,84.803
2007-12-17,127.00,131.00,127.00,128.50,2886700,84.9683
2007-12-14,129.50,132.50,127.00,130.00,6155900,85.9602
2007-12-13,134.50,136.50,128.50,128.75,4848000,85.1336
2007-12-12,134.50,138.25,134.50,136.00,5820000,89.9276
2007-12-11,137.50,138.00,134.00,136.50,8320400,90.2582
2007-12-10,142.00,143.75,140.00,140.00,2964700,92.5725
2007-12-07,144.00,144.75,141.75,142.25,2379100,94.0603
2007-12-06,145.00,146.00,142.00,142.50,3041700,94.2256
2007-12-05,142.50,145.00,141.00,143.75,3049800,95.0521
2007-12-04,145.50,145.50,141.25,141.50,3553700,93.5643
2007-12-03,145.50,148.75,144.75,145.50,2322100,96.2093
2007-11-30,145.00,146.75,144.00,146.00,2134500,96.5399
2007-11-29,147.25,147.50,142.75,145.00,2925000,95.8786
2007-11-28,144.75,146.75,144.25,146.00,4211600,96.5399
2007-11-27,142.00,143.00,139.50,143.00,2622100,94.5562
2007-11-26,140.00,144.00,140.00,143.00,3574800,94.5562
2007-11-23,135.00,139.50,134.25,138.75,1984400,91.7459
2007-11-22,137.00,139.50,133.75,135.75,1909800,89.7622
2007-11-21,135.50,139.00,135.50,136.25,3470900,90.0929
2007-11-20,141.75,145.00,137.00,138.25,4099800,91.4153
2007-11-19,145.50,146.50,140.00,141.25,2987700,93.399
2007-11-16,142.00,145.50,141.50,144.75,3218400,95.7133
2007-11-15,144.50,145.00,141.00,142.75,1715800,94.3909
2007-11-14,141.50,145.25,138.25,144.50,3691800,95.548
2007-11-13,141.00,142.75,137.50,139.50,3577500,92.2419
2007-11-12,138.25,141.75,137.25,140.00,2111500,92.5725
2007-11-09,144.75,144.75,139.50,140.00,2721800,92.5725
2007-11-08,145.50,147.00,143.75,144.25,3009900,95.3827
2007-11-07,150.00,152.00,145.00,146.25,3625500,96.7052
2007-11-06,147.50,152.50,147.50,149.00,4641300,98.5236
2007-11-05,146.75,148.75,145.25,147.00,1913500,97.2011
2007-11-02,145.75,149.25,145.50,147.50,1330300,97.5317
2007-11-01,150.00,150.50,146.25,147.50,2522400,97.5317
2007-10-31,145.50,149.75,145.25,149.50,4715600,98.8542
2007-10-30,145.00,146.00,143.00,145.00,3003500,95.8786
2007-10-29,145.75,145.75,142.50,145.00,2427600,95.8786
2007-10-26,144.25,144.50,140.25,144.00,2394000,95.2174
2007-10-25,141.25,143.00,140.50,142.75,2208700,94.3909
2007-10-24,136.00,140.75,134.00,139.75,7172100,92.4072
2007-10-23,137.00,139.75,136.25,138.25,4769600,91.4153
2007-10-22,137.00,139.00,135.00,135.25,3280200,89.4316
2007-10-19,141.50,142.75,139.25,140.00,2329800,92.5725
2007-10-18,142.00,143.75,141.00,142.25,2790900,94.0603
2007-10-17,142.00,144.00,139.00,142.00,4060500,93.8949
2007-10-16,140.75,144.75,140.00,142.00,3218300,93.8949
2007-10-15,142.75,143.00,141.00,142.00,1953900,93.8949
2007-10-12,140.75,143.00,140.50,142.50,4450200,94.2256
2007-10-11,142.00,144.50,140.00,143.25,2644300,94.7215
2007-10-10,140.75,141.25,139.25,141.00,2717500,93.2337
2007-10-09,138.00,141.75,137.50,140.50,6435200,92.9031
2007-10-08,141.00,142.50,135.50,139.25,7510500,92.0766
2007-10-05,137.00,139.25,134.50,137.00,4206800,90.5888
2007-10-04,133.75,137.00,132.00,136.50,2153400,90.2582
2007-10-03,136.25,137.25,132.75,133.25,3860000,88.1092
2007-10-02,140.25,141.00,136.00,136.50,3785000,90.2582
2007-10-01,138.25,139.25,137.00,139.00,2484600,91.9112
2007-09-28,138.75,140.25,136.75,139.25,2925000,92.0766
2007-09-27,139.75,141.00,138.50,139.25,2899700,92.0766
2007-09-26,136.75,139.50,136.75,138.50,1584100,91.5806
2007-09-25,137.50,138.75,136.50,137.00,2127300,90.5888
2007-09-24,136.25,138.75,135.00,138.25,2396800,91.4153
2007-09-21,134.25,136.50,134.25,136.00,2583600,89.9276
2007-09-20,132.25,135.00,132.00,134.50,2685400,88.9357
2007-09-19,137.00,137.00,131.50,134.00,4449200,88.6051
2007-09-18,133.00,133.75,131.00,133.25,3261300,88.1092
2007-09-17,133.75,136.00,133.00,133.75,1270700,88.4398
2007-09-14,136.00,136.00,132.25,134.50,3790900,88.9357
2007-09-13,133.00,136.50,132.00,136.00,5531600,89.9276
2007-09-12,131.00,133.00,130.25,133.00,3783400,87.9439
2007-09-11,126.50,130.25,124.25,130.00,4666700,85.9602
2007-09-10,125.00,127.50,124.25,125.00,2076800,82.654
2007-09-07,128.25,128.50,124.50,125.00,2586600,82.654
2007-09-06,127.75,129.75,124.00,125.50,4472800,82.9846
2007-09-05,130.00,130.75,126.00,126.25,2330600,83.4805
2007-09-04,126.00,130.50,125.50,130.00,4909400,85.9602
2007-09-03,126.75,127.75,125.75,127.50,1892500,84.3071
2007-08-31,123.50,126.25,123.50,126.00,3413800,83.3152
2007-08-30,122.75,123.00,121.25,123.00,1546700,81.3315
2007-08-29,118.00,122.25,117.25,122.00,3019800,80.6703
2007-08-28,121.00,122.00,118.25,118.50,1938400,78.356
2007-08-27,122.00,124.75,120.75,122.00,1945200,80.6703
2007-08-24,117.75,121.75,117.75,121.00,2774800,80.0091
2007-08-23,117.25,119.25,116.50,118.25,2604000,78.1907
2007-08-22,117.75,118.75,116.75,117.00,2452000,77.3641
2007-08-21,116.25,117.00,114.00,117.00,2242500,77.3641
2007-08-20,114.75,117.75,114.50,116.25,2541700,76.8682
2007-08-17,114.00,117.75,113.50,116.00,5962700,76.7029
2007-08-16,118.00,118.00,114.75,116.25,4130600,76.8682
2007-08-15,117.50,121.50,116.25,120.75,3368900,79.8438
2007-08-14,118.50,121.50,118.00,119.25,2423000,78.8519
2007-08-13,120.00,120.75,116.25,118.50,2863100,78.356
2007-08-10,119.50,120.00,114.50,117.50,5081700,77.6948
2007-08-09,121.50,125.00,118.50,121.25,5709300,80.1744
2007-08-08,117.50,122.00,117.50,121.50,2728400,80.3397
2007-08-07,116.00,117.50,114.75,117.50,1611700,77.6948
2007-08-06,115.25,116.50,114.00,114.25,1994600,75.5458
2007-08-03,117.25,119.00,115.50,116.50,2238600,77.0335
2007-08-02,115.25,118.00,115.00,116.75,4067100,77.1988
2007-08-01,114.75,117.50,114.00,114.50,4321400,75.7111
2007-07-31,119.25,119.75,116.75,118.75,3972900,78.5213
2007-07-30,116.00,120.00,115.75,118.50,2494500,78.356
2007-07-27,115.50,118.50,115.00,116.50,3292700,77.0335
2007-07-26,121.00,123.25,115.75,116.00,4199800,76.7029
2007-07-25,121.00,123.00,121.00,121.50,4267300,80.3397
2007-07-24,121.00,122.00,119.25,119.25,2029000,78.8519
2007-07-23,121.50,122.75,121.25,122.00,1222100,80.6703
2007-07-20,121.75,123.25,121.50,122.50,3027400,81.0009
2007-07-19,120.75,122.50,120.50,120.75,2617200,79.8438
2007-07-18,119.00,122.25,118.75,121.00,5797600,80.0091
2007-07-17,118.00,120.00,117.50,119.75,1465100,79.1825
2007-07-16,119.00,119.50,118.00,118.75,2553000,78.5213
2007-07-13,118.00,119.25,117.25,119.00,2326200,78.6866
2007-07-12,116.00,117.25,115.00,116.50,2870300,77.0335
2007-07-11,113.75,116.25,113.50,115.75,2165300,76.5376
2007-07-10,116.50,117.25,113.25,114.75,3996100,75.8764
2007-07-09,114.75,116.00,114.00,116.00,4966700,76.7029
2007-07-06,113.00,114.75,112.75,113.75,1722800,75.2151
2007-07-05,115.50,115.50,112.50,112.75,1365800,74.5539
2007-07-04,116.50,116.75,114.25,114.75,1991500,75.8764
2007-07-03,114.25,116.00,114.25,115.00,1857800,76.0417
2007-07-02,111.75,113.25,111.75,113.00,1424200,74.7192
2007-06-29,114.00,114.00,112.00,112.25,3836100,74.2233
2007-06-28,113.75,114.75,112.75,114.25,1570200,75.5458
2007-06-27,113.00,113.75,111.75,112.75,2641800,74.5539
2007-06-26,112.50,114.00,111.75,114.00,2302200,75.3804
2007-06-25,111.75,113.75,111.25,112.50,3776000,74.3886
2007-06-22,112.00,112.00,112.00,112.00,000,74.058
2007-06-21,112.50,113.50,110.50,112.00,4052300,74.058
2007-06-20,113.25,115.00,112.50,113.50,2994300,75.0498
2007-06-19,113.00,114.50,113.00,113.00,2973000,74.7192
2007-06-18,116.50,116.75,112.50,113.00,8799900,74.7192
2007-06-15,117.00,117.50,114.00,115.00,5329900,76.0417
2007-06-14,117.50,118.75,115.75,116.75,4326000,77.1988
2007-06-13,115.00,117.00,114.50,116.25,3818700,76.8682
2007-06-12,120.25,120.75,115.00,115.75,10532300,76.5376
2007-06-11,119.25,120.50,117.25,119.25,4367900,78.8519
2007-06-08,115.75,117.75,114.00,117.50,4456900,77.6948
2007-06-07,118.00,121.75,115.75,116.75,8868500,77.1988
