Date,Open,High,Low,Close,Volume,Adj Close
2006-12-29,57.25,57.75,56.25,56.25,6797300,34.081
2006-12-28,58.00,58.25,56.75,57.50,4471800,34.8384
2006-12-27,57.75,58.25,57.25,58.00,5412400,35.1413
2006-12-22,56.75,57.75,56.50,57.50,11547700,34.8384
2006-12-21,56.25,57.00,56.25,57.00,7988700,34.5354
2006-12-20,56.00,56.75,55.75,56.50,15500100,34.2325
2006-12-19,56.00,56.00,55.25,55.50,16319600,33.6266
2006-12-18,56.00,56.50,55.75,56.00,12144800,33.9295
2006-12-15,55.50,56.25,55.25,56.00,18400500,33.9295
2006-12-14,55.75,56.00,54.75,55.25,15648900,33.4751
2006-12-13,55.50,56.00,55.00,55.50,16607300,33.6266
2006-12-12,54.50,55.50,54.25,55.25,19541100,33.4751
2006-12-11,53.25,54.50,53.25,54.50,12256400,33.0207
2006-12-08,52.50,53.25,52.50,52.75,12625100,31.9604
2006-12-07,52.50,53.25,52.25,53.00,12132500,32.1119
2006-12-06,52.75,53.25,52.50,52.75,12599600,31.9604
2006-12-05,53.00,53.25,52.25,52.75,14733400,31.9604
2006-12-04,52.75,53.00,52.00,52.50,9610100,31.8089
2006-12-01,52.00,53.00,51.75,52.50,13818200,31.8089
2006-11-30,53.00,53.00,51.75,51.75,12138900,31.3545
2006-11-29,52.50,53.00,51.50,53.00,14591200,32.1119
2006-11-28,51.00,52.50,50.75,52.00,20173900,31.506
2006-11-27,53.25,53.50,51.25,51.50,19130200,31.2031
2006-11-24,54.25,54.25,53.25,53.25,12413500,32.2634
2006-11-23,54.00,54.75,54.00,54.50,6279800,33.0207
2006-11-22,54.50,55.00,53.75,54.25,8431100,32.8692
2006-11-21,54.25,54.50,54.00,54.50,14997000,33.0207
2006-11-20,53.75,54.50,53.50,54.25,20151500,32.8692
2006-11-17,54.50,55.00,53.75,54.00,12294500,32.7178
2006-11-16,55.00,55.25,54.50,54.50,17773400,33.0207
2006-11-15,55.25,55.50,54.50,54.75,30841700,33.1722
2006-11-14,54.75,56.00,54.25,54.50,24097200,33.0207
2006-11-13,53.75,54.75,53.50,54.50,20111700,33.0207
2006-11-10,53.25,53.75,52.75,53.50,14814400,32.4148
2006-11-09,53.00,53.75,53.00,53.25,16968400,32.2634
2006-11-08,53.50,53.50,52.50,52.75,18779600,31.9604
2006-11-07,53.50,54.00,53.25,53.50,16330500,32.4148
2006-11-06,52.50,53.50,52.50,53.50,17819300,32.4148
2006-11-03,52.25,52.75,52.00,52.25,3126500,31.6575
2006-11-02,52.50,53.25,51.50,52.25,16652100,31.6575
2006-11-01,52.75,53.25,51.75,52.75,22674100,31.9604
2006-10-31,55.00,55.00,52.25,52.50,58517600,31.8089
2006-10-30,52.25,52.75,51.50,52.50,19038500,31.8089
2006-10-27,51.50,53.25,51.25,53.00,29073900,32.1119
2006-10-26,51.50,52.75,51.50,51.50,17529000,31.2031
2006-10-25,52.25,52.25,51.00,51.25,13315300,31.0516
2006-10-24,51.00,52.50,50.75,52.00,35343700,31.506
2006-10-23,50.75,51.25,50.25,51.00,12104200,30.9001
2006-10-20,50.50,51.00,50.25,50.75,14622500,30.7486
2006-10-19,50.25,51.00,50.00,50.25,13431600,30.4457
2006-10-18,49.60,50.50,49.50,50.25,11531700,30.4457
2006-10-17,50.00,50.25,49.20,49.70,17170900,30.1125
2006-10-16,50.25,50.75,50.00,50.00,11653600,30.2942
2006-10-13,50.50,50.75,49.90,50.00,10466700,30.2942
2006-10-12,49.40,51.00,49.20,50.50,27626300,30.5972
2006-10-11,49.50,49.70,48.90,49.40,12421500,29.9307
2006-10-10,49.30,49.70,49.00,49.50,18303900,29.9913
2006-10-09,49.30,49.80,48.90,49.20,37779800,29.8095
2006-10-06,48.20,48.40,47.70,48.10,9529000,29.143
2006-10-05,47.90,48.40,47.80,48.30,17927100,29.2642
2006-10-04,47.00,47.70,47.00,47.50,16894000,28.7795
2006-10-03,47.00,47.20,46.60,46.90,9955200,28.416
2006-10-02,46.90,47.50,46.90,47.20,12104700,28.5978
2006-09-29,46.60,47.20,46.30,47.00,14887300,28.4766
2006-09-28,46.40,46.90,46.20,46.50,13077700,28.1736
