Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,88.75,88.75,88.75,88.75,000,85.212
2008-12-30,83.75,88.75,83.75,88.75,18100,85.212
2008-12-29,84.50,85.25,84.00,85.25,28600,81.851
2008-12-26,85.25,85.25,85.25,85.25,000,81.851
2008-12-25,85.25,85.25,85.25,85.25,000,81.851
2008-12-24,85.25,85.25,85.25,85.25,000,81.851
2008-12-23,85.00,86.50,85.00,85.25,48000,81.851
2008-12-22,84.25,86.50,84.25,86.00,11600,82.571
2008-12-19,87.50,88.00,84.00,84.00,14100,80.651
2008-12-18,88.25,89.00,87.00,88.25,82800,84.732
2008-12-17,89.25,89.25,86.00,86.00,9800,82.571
2008-12-16,88.00,89.00,86.50,89.00,11600,85.452
2008-12-15,86.75,89.00,86.50,88.00,13100,84.491
2008-12-12,85.50,87.75,85.25,86.75,24200,83.291
2008-12-11,89.00,89.00,86.25,86.75,51600,83.291
2008-12-10,85.00,88.50,85.00,88.50,14100,84.972
2008-12-09,83.75,88.50,83.25,87.00,88400,83.531
2008-12-08,84.00,84.75,82.25,84.75,43900,81.371
2008-12-05,82.50,83.00,81.25,82.50,13800,79.211
2008-12-04,82.50,86.25,81.75,82.50,8200,79.211
2008-12-03,83.75,83.75,81.50,83.25,15600,79.931
2008-12-02,82.00,84.50,82.00,83.00,13200,79.691
2008-12-01,83.75,84.75,82.25,84.00,20200,80.651
2008-11-28,85.50,86.00,83.50,83.75,17500,80.411
2008-11-27,83.75,87.00,83.75,87.00,53300,83.531
2008-11-26,86.25,88.00,83.00,85.75,29400,82.331
2008-11-25,87.50,89.50,86.00,88.00,66200,84.491
2008-11-24,85.00,89.00,85.00,88.75,16600,85.212
2008-11-21,85.00,87.00,84.50,85.25,24100,81.851
2008-11-20,84.50,86.50,83.00,86.50,32300,83.051
2008-11-19,88.75,88.75,84.00,85.00,10400,81.611
2008-11-18,88.25,89.50,86.75,89.00,43700,85.452
2008-11-17,89.50,90.50,85.00,87.75,74400,84.251
2008-11-14,91.00,95.75,86.75,90.00,112100,86.412
2008-11-13,89.50,91.00,87.50,88.75,18600,85.212
2008-11-12,89.00,90.50,87.50,87.50,23600,84.011
2008-11-11,87.75,89.75,87.00,87.25,24700,83.771
2008-11-10,91.25,92.00,86.50,88.25,53400,84.732
2008-11-07,90.75,91.75,90.50,91.00,20800,87.372
2008-11-06,91.00,94.00,89.25,89.75,30900,86.172
2008-11-05,96.75,97.25,92.50,97.00,54200,93.133
2008-11-04,93.25,96.50,92.75,96.50,32800,92.653
2008-11-03,88.00,93.00,88.00,92.25,30700,88.572
2008-10-31,86.25,89.75,86.00,88.25,22000,84.732
2008-10-30,80.75,88.75,80.00,85.75,124200,82.331
2008-10-29,75.25,80.00,75.00,77.75,36300,74.65
2008-10-28,80.00,81.00,72.00,72.00,86300,69.129
2008-10-27,73.75,76.00,70.75,70.75,16600,67.929
2008-10-24,78.75,79.25,73.25,73.25,68600,70.33
2008-10-23,82.50,85.50,79.75,79.75,18400,76.57
2008-10-22,84.50,85.50,82.75,84.75,13400,81.371
2008-10-21,84.50,85.50,81.25,85.50,30500,82.091
2008-10-20,81.75,82.00,79.75,82.00,15300,78.731
2008-10-17,83.75,83.75,78.25,80.00,30200,76.81
2008-10-16,80.75,85.00,79.25,79.75,77900,76.57
2008-10-15,90.50,91.00,83.50,85.25,33900,81.851
2008-10-14,92.00,94.00,88.50,89.00,72000,85.452
2008-10-13,87.00,88.75,84.50,87.00,58500,83.531
2008-10-10,82.50,84.50,80.50,81.25,45800,78.011
2008-10-09,89.00,89.00,86.25,86.75,20100,83.291
2008-10-08,88.50,93.00,83.75,85.75,101300,82.331
2008-10-07,92.25,92.25,86.50,91.50,30200,87.852
2008-10-06,96.00,97.25,91.25,91.25,84400,87.612
2008-10-03,100.25,100.25,97.50,99.25,34100,95.293
2008-10-02,99.25,101.25,98.25,98.25,16300,94.333
2008-10-01,102.50,103.00,99.00,99.25,23700,95.293
2008-09-30,98.00,104.00,98.00,100.50,34100,96.493
2008-09-29,105.00,106.00,99.25,99.25,32000,95.293
2008-09-26,104.50,105.25,103.00,103.00,9300,98.893
2008-09-25,104.75,106.00,102.75,106.00,24300,101.774
2008-09-24,104.75,106.75,103.50,103.75,44200,99.614
2008-09-23,106.50,107.75,102.75,102.75,46000,98.653
2008-09-22,108.50,112.75,107.25,108.00,50300,103.694
2008-09-19,105.50,109.00,104.00,106.00,123400,101.774
2008-09-18,103.50,104.25,100.00,102.50,80600,98.413
2008-09-17,102.75,107.00,99.50,102.75,136000,98.653
2008-09-16,109.75,110.00,100.25,100.75,132800,96.733
2008-09-15,115.75,117.75,109.75,109.75,81300,105.374
2008-09-12,120.25,121.00,117.50,118.25,40000,113.535
2008-09-11,119.25,120.75,115.75,119.00,55600,114.256
2008-09-10,122.50,123.75,119.75,120.50,37600,115.696
2008-09-09,123.00,124.75,122.00,123.75,43400,118.816
2008-09-08,122.00,125.00,120.00,123.50,70700,118.576
2008-09-05,121.00,122.00,118.50,119.00,30800,114.256
2008-09-04,129.50,130.00,121.25,122.50,134800,117.616
2008-09-03,129.50,132.75,129.50,129.75,60500,124.577
2008-09-02,128.75,131.75,128.00,130.25,79600,125.057
2008-09-01,127.25,129.75,126.25,128.50,23000,123.377
2008-08-29,127.50,132.00,127.25,127.25,90600,122.177
2008-08-28,125.25,128.00,124.50,127.75,28600,122.657
2008-08-27,125.00,125.25,122.75,124.50,27100,119.536
2008-08-26,125.25,127.25,124.00,125.75,15400,120.736
2008-08-25,125.50,129.00,125.50,127.25,52300,122.177
2008-08-22,122.75,126.00,122.75,124.75,54000,119.776
2008-08-21,123.00,123.25,122.00,122.25,61700,117.376
2008-08-20,125.50,125.50,121.00,124.00,47200,119.056
2008-08-19,124.50,124.75,123.00,123.50,108500,118.576
2008-08-18,125.50,125.75,124.00,124.75,65100,119.776
2008-08-15,124.00,125.50,123.25,124.50,23600,119.536
2008-08-14,122.25,124.25,122.00,123.50,34800,118.576
2008-08-13,123.75,123.75,119.00,122.50,34900,117.616
2008-08-12,122.50,124.50,122.50,123.00,24000,118.096
2008-08-11,126.25,127.00,122.50,122.50,32100,117.616
2008-08-08,122.00,125.50,121.25,123.75,18100,118.816
2008-08-07,124.50,126.75,122.00,123.50,37600,118.576
2008-08-06,123.50,124.50,122.50,124.50,9700,119.536
2008-08-05,121.75,124.25,121.25,123.50,89600,118.576
2008-08-04,120.00,122.50,119.75,121.25,36600,116.416
2008-08-01,119.50,123.00,118.50,118.75,53500,114.016
2008-07-31,122.50,125.75,120.25,123.25,20300,118.336
2008-07-30,120.25,125.25,120.00,124.50,52100,119.536
2008-07-29,117.25,119.00,114.25,118.50,45200,113.775
2008-07-28,121.00,121.00,117.50,118.75,8500,114.016
2008-07-25,119.75,122.75,119.50,122.00,13600,117.136
2008-07-24,124.50,126.50,120.00,120.00,75900,115.216
2008-07-23,123.00,124.00,120.00,123.00,72100,118.096
2008-07-22,120.25,122.25,118.00,120.00,48800,115.216
2008-07-21,119.00,123.00,118.25,120.50,111300,115.696
2008-07-18,121.00,121.00,116.75,119.75,130900,114.976
2008-07-17,116.00,124.75,116.00,123.25,89800,118.336
2008-07-16,113.75,115.00,112.75,115.00,25700,110.415
2008-07-15,119.25,119.25,112.25,113.50,59300,108.975
2008-07-14,120.25,121.50,117.50,119.50,23000,114.736
2008-07-11,117.25,119.25,116.75,117.75,18400,113.055
2008-07-10,118.00,119.75,117.25,117.25,10400,112.575
2008-07-09,121.00,121.25,118.50,121.00,60200,116.176
2008-07-08,116.25,120.50,115.00,118.25,65000,113.535
2008-07-07,117.25,118.25,115.50,118.25,21900,113.535
2008-07-04,115.00,119.00,115.00,116.75,77500,112.095
2008-07-03,112.00,115.00,108.75,115.00,97700,110.415
2008-07-02,120.00,120.00,112.25,114.25,107900,109.695
2008-07-01,123.50,123.75,119.00,119.75,69200,114.976
2008-06-30,121.50,125.50,119.00,121.50,211800,116.656
2008-06-27,123.75,123.75,119.00,121.25,56600,116.416
2008-06-26,122.50,125.00,121.50,122.25,60900,117.376
2008-06-25,124.00,124.50,122.25,123.50,154400,118.576
2008-06-24,123.75,124.75,119.50,120.50,68800,115.696
2008-06-23,118.50,123.75,118.25,121.00,79900,116.176
2008-06-19,127.50,127.50,116.00,122.25,204900,117.376
2008-06-18,136.00,136.00,128.50,128.75,158800,123.617
2008-06-17,135.00,137.75,135.00,136.00,36800,130.578
2008-06-16,146.75,146.75,134.50,135.25,126800,129.858
2008-06-13,146.00,146.00,144.25,145.50,72900,139.699
2008-06-12,144.50,146.25,143.00,146.00,197700,140.179
2008-06-11,142.25,146.25,142.00,145.00,120400,139.219
2008-06-10,143.50,143.50,139.25,142.75,89300,137.059
2008-06-09,143.25,147.00,143.25,144.00,61700,138.259
2008-06-05,136.00,147.50,136.00,147.50,177900,141.619
2008-06-04,137.00,140.00,136.50,138.50,46800,132.978
2008-06-03,139.00,139.25,137.25,137.25,14500,131.778
2008-06-02,134.00,140.50,133.75,139.00,126500,133.458
2008-05-30,135.50,136.00,133.00,134.25,96700,128.898
2008-05-29,138.75,139.00,136.25,136.50,71600,131.058
2008-05-28,136.50,138.75,136.50,137.75,104800,132.258
2008-05-27,138.50,139.75,134.00,137.00,180700,131.538
2008-05-26,133.00,138.00,128.50,137.75,284000,132.258
2008-05-23,137.25,137.25,133.50,134.25,356300,128.898
2008-05-22,138.00,141.00,138.00,139.25,224500,133.698
2008-05-21,134.00,138.75,133.75,138.50,566200,132.978
2008-05-20,138.00,138.50,133.75,135.00,243000,129.618
2008-05-19,150.50,150.50,131.50,137.50,2200,132.018
2008-05-16,154.50,154.50,149.00,150.00,201900,144.02
2008-05-15,150.00,152.50,148.50,152.00,123800,145.94
2008-05-14,153.00,154.00,148.00,150.00,156100,144.02
2008-05-13,154.00,154.00,153.00,153.50,32300,147.38
2008-05-12,157.50,157.50,153.50,154.50,40900,148.34
2008-05-09,155.00,156.50,151.00,154.50,72000,148.34
2008-05-08,151.00,157.50,150.50,155.00,102900,148.82
2008-05-07,150.50,152.00,148.75,150.50,84700,144.50
2008-05-06,155.00,155.00,148.75,150.50,86200,144.50
2008-05-05,157.00,157.00,154.50,155.50,94100,149.30
2008-05-02,155.00,158.50,155.00,158.00,99200,151.701
2008-04-30,155.00,155.50,154.50,155.50,11500,149.30
2008-04-29,155.00,156.00,154.00,155.50,38700,149.30
2008-04-28,156.50,157.00,153.50,155.50,53800,149.30
2008-04-25,157.00,157.00,155.50,156.50,36400,150.26
2008-04-24,157.50,158.00,154.50,155.50,84300,149.30
2008-04-23,151.50,160.00,151.50,157.00,143200,150.74
2008-04-22,158.00,160.00,154.50,156.50,170300,150.26
2008-04-21,157.00,160.50,156.50,157.50,165900,151.221
2008-04-18,153.00,161.50,153.00,159.50,336000,153.141
2008-04-17,155.00,155.00,152.00,154.00,320000,147.86
2008-04-16,159.00,160.50,153.50,155.00,545500,148.82
2008-04-15,154.50,161.00,153.00,159.00,251400,152.661
2008-04-14,153.50,156.50,153.50,155.00,141700,148.82
2008-04-11,154.00,157.50,151.50,155.50,151100,149.30
2008-04-10,151.00,155.00,151.00,154.00,129500,147.86
2008-04-09,149.00,154.00,149.00,152.50,160500,146.42
2008-04-08,146.00,150.50,146.00,150.00,63900,144.02
2008-04-07,148.00,149.25,146.00,148.75,196100,142.819
2008-04-04,147.50,149.50,146.25,147.75,122500,141.859
2008-04-03,147.00,149.50,147.00,147.75,81100,141.859
2008-04-02,146.75,148.00,145.25,147.00,109300,141.139
