Date,Open,High,Low,Close,Volume,Adj Close
2006-12-29,472.00,473.50,470.50,471.50,10544000,75.2233
2006-12-28,473.00,473.00,468.50,472.00,15576900,75.3031
2006-12-27,472.50,475.00,470.50,471.50,10639100,75.2233
2006-12-26,94.40,94.40,94.40,472.00,000,75.3031
2006-12-25,94.40,94.40,94.40,472.00,000,75.3031
2006-12-22,470.00,472.50,468.00,472.00,16618000,75.3031
2006-12-21,466.00,473.50,465.50,469.50,24162700,74.9042
2006-12-20,469.50,472.50,466.00,466.50,29075100,74.4256
2006-12-19,464.50,468.50,464.00,467.00,28865500,74.5054
2006-12-18,470.50,474.00,470.00,470.00,16692600,74.984
2006-12-15,471.00,471.50,466.00,470.00,28712800,74.984
2006-12-14,471.00,472.00,467.00,470.00,24543500,74.984
2006-12-13,471.50,476.00,466.50,468.50,51942500,74.7447
2006-12-12,461.50,473.00,460.50,473.00,55935200,75.4626
2006-12-11,459.00,462.50,456.50,461.50,28880900,73.6279
2006-12-08,457.50,458.00,450.00,454.50,32146900,72.5111
2006-12-07,455.50,460.50,452.00,457.50,31163000,72.9897
2006-12-06,459.00,459.00,454.50,455.00,23011900,72.5909
2006-12-05,448.50,459.50,447.00,457.50,51901000,72.9897
2006-12-04,445.00,446.50,439.00,445.00,32408100,70.9955
2006-12-01,444.50,451.00,442.50,443.00,42435200,70.6764
2006-11-30,450.50,452.00,444.00,445.00,49366800,70.9955
2006-11-29,444.00,451.00,442.50,450.00,43244300,71.7932
2006-11-28,441.00,444.00,435.50,441.00,55495900,70.3573
2006-11-27,454.50,454.50,442.00,444.00,38962400,70.8359
2006-11-24,461.00,461.00,451.50,454.50,26861900,72.5111
2006-11-23,464.00,464.50,457.50,460.00,20121900,73.3886
2006-11-22,463.50,468.50,461.00,464.50,39694400,74.1065
2006-11-21,467.00,467.00,459.00,462.50,64651500,73.7874
2006-11-20,465.00,469.50,460.00,465.50,96463500,74.2661
2006-11-17,472.00,472.50,467.00,468.50,42925000,74.7447
2006-11-16,477.50,478.00,468.50,469.50,47974400,74.9042
2006-11-15,473.00,478.50,472.00,477.50,43923900,76.1805
2006-11-14,472.50,474.00,468.50,468.50,37217100,74.7447
2006-11-13,469.00,472.50,468.00,470.50,27171900,75.0638
2006-11-10,467.50,472.00,464.00,470.00,27160000,74.984
2006-11-09,472.50,476.00,467.50,468.00,52791000,74.6649
2006-11-08,460.50,469.50,460.50,469.50,54270900,74.9042
2006-11-07,459.50,465.00,459.00,463.00,51757800,73.8672
2006-11-06,454.00,458.00,452.50,457.50,31203800,72.9897
2006-11-03,451.00,453.50,449.50,452.50,16322600,72.192
2006-11-02,455.00,455.00,445.50,450.00,39153700,71.7932
2006-11-01,452.50,456.00,451.50,454.00,38204700,72.4313
2006-10-31,448.50,454.00,447.00,451.50,49494800,72.0325
2006-10-30,448.00,451.00,445.50,448.00,39540200,71.4741
2006-10-27,458.00,460.50,450.00,453.00,42929500,72.2718
2006-10-26,462.50,462.50,454.50,456.00,38441900,72.7504
2006-10-25,455.00,462.50,454.00,458.50,52788900,73.1493
2006-10-24,455.50,457.00,445.50,455.50,123961100,72.6707
2006-10-23,454.50,455.00,448.00,450.50,46995800,71.873
2006-10-20,458.00,458.00,446.50,453.00,80197500,72.2718
2006-10-19,456.00,459.50,453.00,454.00,40652400,72.4313
2006-10-18,450.00,461.00,449.50,460.00,72622700,73.3886
2006-10-17,457.50,458.00,447.50,447.50,56887200,71.3943
2006-10-16,456.00,459.50,455.50,456.00,37165200,72.7504
2006-10-13,462.00,462.00,453.50,455.00,44440300,72.5909
2006-10-12,453.00,466.50,452.00,458.50,97667200,73.1493
2006-10-11,445.00,448.50,441.50,446.50,65572400,71.2348
2006-10-10,434.00,447.00,433.00,445.00,74622500,70.9955
2006-10-09,434.00,435.00,430.50,432.00,27503100,68.9215
2006-10-06,436.00,436.50,429.00,433.00,49633400,69.081
2006-10-05,438.00,438.00,431.00,435.00,46727000,69.4001
2006-10-04,428.50,434.50,425.00,430.50,60471300,68.6821
2006-10-03,431.50,434.00,426.50,429.50,55924500,68.5226
2006-10-02,438.50,438.50,432.00,434.50,20356400,69.3203
2006-09-29,438.00,442.00,436.00,436.50,36406800,69.6394
2006-09-28,431.50,440.00,431.50,436.50,59547600,69.6394
2006-09-27,430.00,434.00,427.00,433.50,64248100,69.1608
2006-09-26,426.00,426.50,423.00,425.50,39494400,67.8844
2006-09-25,432.00,432.00,421.00,422.50,44573800,67.4058
2006-09-22,427.00,430.00,424.00,427.50,60845000,68.2035
2006-09-21,434.00,434.50,426.50,431.50,34750300,68.8417
2006-09-20,432.00,437.50,428.00,431.00,81189100,68.7619
2006-09-19,435.00,439.00,432.00,432.00,105773200,68.9215
2006-09-18,431.00,435.50,429.00,433.00,58727600,69.081
2006-09-15,436.00,436.50,428.50,429.50,64475500,68.5226
2006-09-14,434.50,438.00,431.00,435.00,75293200,69.4001
2006-09-13,435.50,437.50,430.00,435.00,81572600,69.4001
2006-09-12,421.50,433.50,416.50,429.00,110314500,68.4428
2006-09-11,430.00,433.50,420.00,422.50,65122800,67.4058
2006-09-08,425.00,434.00,424.50,430.50,75274100,68.6821
2006-09-07,429.50,432.00,425.00,428.00,53910100,68.2833
2006-09-06,432.00,438.50,426.00,432.00,269795800,68.9215
