Date,Open,High,Low,Close,Volume,Adj Close
2010-12-30,174.4998,177.00,174.4998,177.00,141500,22.84975
2010-12-29,174.00,175.9998,172.9998,175.9998,175100,22.72063
2010-12-28,172.9998,174.00,172.0002,174.00,85800,22.46247
2010-12-27,172.0002,172.9998,169.50,172.9998,91200,22.33334
2010-12-24,171.00,171.00,171.00,171.00,000,22.07518
2010-12-23,172.9998,172.9998,169.50,171.00,109900,22.07518
2010-12-22,174.00,175.0002,171.4998,173.5002,145400,22.39794
2010-12-21,177.4998,179.5002,172.9998,174.00,273400,22.46247
2010-12-20,174.00,177.4998,172.9998,177.4998,340200,22.91427
2010-12-17,169.9998,175.0002,169.50,175.0002,415800,22.59159
2010-12-16,170.5002,170.5002,169.50,169.9998,139400,21.94606
2010-12-15,170.5002,170.5002,169.0002,169.50,150700,21.88154
2010-12-14,170.5002,170.5002,169.50,169.9998,257900,21.94606
2010-12-13,169.9998,171.4998,169.0002,169.0002,455900,21.81702
2010-12-10,169.9998,170.5002,169.0002,169.9998,243300,21.94606
2010-12-09,168.00,169.9998,168.00,169.9998,249400,21.94606
2010-12-08,168.00,170.5002,167.5002,168.00,528600,21.6879
2010-12-07,165.00,170.5002,165.00,168.00,539500,21.6879
2010-12-06,165.00,166.50,162.00,165.00,427600,21.30061
2010-12-03,165.00,165.4998,160.50,165.00,164500,21.30061
2010-12-02,162.00,164.5002,160.0002,163.9998,174800,21.17149
2010-12-01,157.50,161.5002,156.4998,160.9998,335900,20.78421
2010-11-30,159.00,161.5002,153.00,153.00,835900,19.75148
2010-11-29,160.0002,161.5002,159.00,159.4998,180400,20.59057
2010-11-26,159.00,160.50,158.5002,160.50,118600,20.71969
2010-11-25,158.5002,160.9998,158.5002,158.5002,274000,20.46153
2010-11-24,154.0002,158.5002,149.7498,157.9998,403100,20.39693
2010-11-23,160.0002,160.50,153.00,153.00,366900,19.75148
2010-11-22,162.00,163.9998,157.9998,160.0002,260700,20.65517
2010-11-19,164.5002,164.5002,161.5002,162.00,42500,20.91333
2010-11-18,160.9998,164.5002,160.9998,163.9998,138300,21.17149
2010-11-17,160.0002,163.0002,159.00,160.9998,124700,20.78421
2010-11-16,159.00,162.4998,159.00,160.50,170000,20.71969
