Date,Open,High,Low,Close,Volume,Adj Close
2016-09-14,261.10,261.30,258.10,259.20,2331200,259.20
2016-09-13,262.10,263.50,259.70,260.60,1949700,260.60
2016-09-12,261.90,262.40,258.70,261.80,2213100,261.80
2016-09-09,268.20,268.20,263.80,265.00,2374000,265.00
2016-09-08,268.20,269.10,265.60,268.70,2416700,268.70
2016-09-07,269.10,269.60,267.80,268.10,2466100,268.10
2016-09-06,268.00,270.30,267.10,268.20,1958500,268.20
2016-09-05,265.60,266.70,265.00,265.70,1312500,265.70
2016-09-02,262.40,264.90,262.20,264.90,2266100,264.90
2016-09-01,264.90,264.90,261.60,261.90,2025300,261.90
2016-08-31,261.50,263.10,261.00,261.00,2305900,261.00
2016-08-30,263.40,264.40,262.30,262.60,1557200,262.60
2016-08-29,261.50,262.80,258.80,261.90,1705700,261.90
2016-08-26,265.90,265.90,260.00,262.30,4214900,262.30
2016-08-25,269.70,270.60,268.50,268.50,1268000,268.50
2016-08-24,271.00,271.50,269.00,270.50,3300300,270.50
2016-08-23,269.40,272.50,268.60,271.60,1805600,271.60
2016-08-22,269.90,271.70,267.50,268.10,1729100,268.10
2016-08-19,270.70,271.50,267.40,269.70,2317900,269.70
2016-08-18,269.00,271.30,268.40,270.40,1498600,270.40
2016-08-17,273.50,274.70,266.20,267.40,2764600,267.40
2016-08-16,277.50,277.50,272.70,273.20,2658100,273.20
2016-08-15,275.40,279.90,275.20,277.40,3786200,277.40
2016-08-12,272.90,273.80,271.40,271.60,2342000,271.60
2016-08-11,264.20,273.20,263.30,272.90,3650700,272.90
2016-08-10,261.00,265.50,259.40,263.20,2394000,263.20
2016-08-09,255.10,262.80,255.10,262.70,2508100,262.70
2016-08-08,256.20,257.00,255.10,255.70,1325900,255.70
2016-08-05,252.20,256.10,250.80,255.30,2035800,255.30
2016-08-04,250.10,250.50,248.10,249.50,1759900,249.50
2016-08-03,251.30,251.90,248.50,248.80,1585100,248.80
2016-08-02,256.70,256.70,251.30,251.30,1947200,251.30
2016-08-01,259.70,260.30,255.60,256.60,1722400,256.60
2016-07-29,256.40,259.20,256.00,258.50,1426300,258.50
2016-07-28,257.00,259.20,255.70,255.70,1383800,255.70
2016-07-27,259.30,260.10,256.50,256.80,1474400,256.80
2016-07-26,260.10,260.60,253.70,257.50,2152000,257.50
2016-07-25,259.50,262.00,258.90,259.00,1580800,259.00
2016-07-22,261.50,261.90,257.80,258.70,1817900,258.70
2016-07-21,264.70,265.00,260.80,261.70,1842800,261.70
2016-07-20,261.10,264.00,260.40,264.00,2281100,264.00
2016-07-19,259.80,261.00,258.80,260.40,1488000,260.40
2016-07-18,260.40,262.50,258.10,260.00,2249200,260.00
2016-07-15,258.00,261.90,257.00,260.40,3210100,260.40
2016-07-14,260.30,262.30,258.10,258.10,2481100,258.10
2016-07-13,258.20,262.20,257.30,260.00,2076800,260.00
2016-07-12,258.80,259.20,256.50,258.20,2276100,258.20
2016-07-11,253.70,259.40,253.10,258.80,2542000,258.80
2016-07-08,248.20,254.00,247.60,252.90,2210000,252.90
2016-07-07,246.80,250.60,246.70,248.60,1832200,248.60
2016-07-06,248.00,250.00,242.90,245.00,2746200,245.00
2016-07-05,249.40,250.40,247.30,249.00,2408700,249.00
2016-07-04,254.00,254.90,250.30,250.80,1762400,250.80
2016-07-01,248.50,252.30,247.30,252.00,2667400,252.00
2016-06-30,246.10,247.30,243.20,246.50,3365100,246.50
2016-06-29,244.90,246.50,242.20,246.10,3153400,246.10
2016-06-28,242.00,243.10,239.40,242.00,4340500,242.00
2016-06-27,235.00,241.70,234.50,236.60,10010900,236.60
2016-06-24,256.70,256.70,256.70,256.70,000,256.70
2016-06-23,253.00,258.10,252.20,256.70,4799200,256.70
2016-06-22,253.40,256.50,246.20,253.60,5116100,253.60
2016-06-21,252.60,252.60,247.30,250.60,4616000,250.60
2016-06-20,249.20,252.90,248.40,252.80,3354700,252.80
2016-06-17,241.40,244.80,240.20,244.60,5776500,244.60
2016-06-16,244.80,244.80,239.00,239.70,4328000,239.70
2016-06-15,243.30,248.30,243.20,247.80,4813500,247.80
2016-06-14,242.00,243.80,238.50,242.20,4656300,242.20
2016-06-13,243.90,245.30,242.60,243.80,3092700,243.80
2016-06-10,250.30,251.90,246.30,246.70,2898200,246.70
2016-06-09,255.30,255.40,251.20,251.20,3282100,251.20
2016-06-08,256.50,256.70,254.20,255.00,1866800,255.00
2016-06-07,255.20,257.00,254.90,256.50,2170400,256.50
2016-06-06,253.20,253.20,253.20,253.20,000,253.20
2016-06-03,253.50,257.00,250.60,253.20,3492300,253.20
2016-06-02,251.70,252.60,249.50,252.20,2666100,252.20
2016-06-01,254.90,255.20,250.80,251.70,2864300,251.70
2016-05-31,261.20,261.90,255.40,256.00,3793600,256.00
2016-05-30,259.00,261.00,257.00,261.00,1666700,261.00
2016-05-27,256.60,258.90,256.10,258.70,2471500,258.70
2016-05-26,255.00,258.30,254.70,257.40,2865700,257.40
2016-05-25,259.90,260.00,254.40,255.00,2941300,255.00
2016-05-24,253.60,258.40,252.00,257.90,4145200,257.90
2016-05-23,258.00,258.40,253.50,254.00,3151200,254.00
2016-05-20,257.00,259.20,256.40,257.60,3101000,257.60
2016-05-19,262.80,262.80,255.40,255.80,5397600,255.80
2016-05-18,261.50,264.70,260.40,264.70,3211200,264.70
2016-05-17,266.00,268.80,260.70,261.50,3078700,261.50
2016-05-16,260.80,265.90,260.00,265.70,2864400,265.70
2016-05-13,262.00,265.00,260.10,265.00,4153000,265.00
2016-05-12,265.00,266.80,261.80,262.40,3221700,262.40
2016-05-11,271.80,272.50,265.00,265.50,3113600,265.50
2016-05-10,275.00,275.00,269.40,270.10,2748700,270.10
2016-05-09,267.50,274.00,267.00,272.70,3509600,272.70
2016-05-06,268.60,268.60,264.90,265.40,3517800,265.40
2016-05-05,268.80,268.80,268.80,268.80,000,268.80
2016-05-04,272.70,273.00,268.70,268.80,1923500,268.80
2016-05-03,285.80,285.80,280.00,281.40,3700400,271.65
2016-05-02,286.40,289.50,285.00,286.80,2827700,276.863
2016-04-29,289.10,289.10,283.40,285.50,3607400,275.608
2016-04-28,290.10,290.60,284.20,290.10,3303500,280.049
2016-04-27,295.90,296.30,293.00,294.00,1840200,283.813
2016-04-26,297.70,299.10,294.70,296.00,1791000,285.744
2016-04-25,299.60,300.50,295.60,297.30,2190000,286.999
2016-04-22,301.80,302.50,298.30,299.70,2223000,289.316
2016-04-21,304.20,305.10,300.60,303.10,1838400,292.598
2016-04-20,302.50,304.00,299.00,303.90,2068800,293.37
2016-04-19,298.70,305.00,298.20,303.00,2900900,292.502
2016-04-18,293.90,298.50,292.50,296.40,3355800,286.13
2016-04-15,293.50,298.40,293.20,295.10,3150900,284.875
2016-04-14,296.20,297.50,291.50,292.40,2788200,282.269
2016-04-13,296.10,298.60,293.70,295.70,4558700,285.455
2016-04-12,289.00,289.00,286.40,288.80,3931900,278.794
2016-04-11,287.40,290.40,286.00,289.00,2696400,278.987
2016-04-08,281.50,288.40,280.30,288.00,4879500,278.021
2016-04-07,279.60,281.20,275.60,279.90,5198500,270.202
2016-04-06,269.20,279.90,267.10,279.60,5908300,269.912
2016-04-05,270.10,270.40,264.50,265.20,2958800,256.011
2016-04-04,268.50,271.00,266.70,270.70,2815900,261.321
2016-04-01,270.00,270.30,265.40,269.30,3151700,259.969
2016-03-31,272.80,273.60,270.00,270.70,3299400,261.321
2016-03-30,269.60,274.40,268.10,273.00,2461600,263.541
2016-03-29,266.80,268.70,265.80,267.70,2252700,258.425
2016-03-28,266.20,266.20,266.20,266.20,000,256.977
2016-03-25,266.20,266.20,266.20,266.20,000,256.977
2016-03-24,267.50,268.70,266.20,266.20,1500500,256.977
2016-03-23,271.50,273.30,269.60,270.50,3606900,261.128
2016-03-22,269.40,270.30,263.60,270.30,4876700,260.935
2016-03-21,272.50,272.50,269.00,269.30,3700600,259.969
2016-03-18,274.20,274.80,269.40,273.90,6677600,264.41
2016-03-17,282.10,282.40,274.20,278.00,3523300,268.368
2016-03-16,284.80,285.50,278.70,279.20,3490000,269.526
2016-03-15,289.90,290.20,283.40,284.50,3841800,274.643
2016-03-14,291.60,294.30,290.40,293.30,2623000,283.138
2016-03-11,288.80,290.90,286.90,289.60,1901800,279.566
2016-03-10,291.00,293.80,285.00,285.30,2895000,275.415
2016-03-09,288.00,292.00,286.80,291.30,1881700,281.207
2016-03-08,288.70,289.90,286.20,289.00,1795500,278.987
2016-03-07,290.10,290.80,287.00,290.80,1561000,280.724
2016-03-04,284.50,292.30,283.40,290.10,2732400,280.049
2016-03-03,283.40,283.80,281.40,283.50,1833000,273.677
2016-03-02,283.80,284.60,279.80,282.30,1943700,272.519
2016-03-01,278.80,284.20,277.00,283.40,2313000,273.581
2016-02-29,278.80,280.00,273.50,279.10,2173500,269.43
2016-02-26,279.90,282.70,278.70,279.20,2081600,269.526
2016-02-25,273.40,276.90,269.80,276.90,2870600,267.306
2016-02-24,280.00,280.20,270.60,271.40,2510100,261.996
2016-02-23,284.80,285.00,279.40,279.40,2346100,269.719
2016-02-22,285.70,289.00,285.00,285.70,1988100,275.801
2016-02-19,282.50,284.00,280.20,283.90,3467500,274.063
2016-02-18,288.00,288.10,283.30,284.00,2393800,274.16
2016-02-17,278.10,286.10,277.20,286.10,2759200,276.187
2016-02-16,279.70,280.70,274.20,275.50,2293500,265.954
2016-02-15,274.70,278.30,271.90,278.30,2717200,268.657
2016-02-12,268.80,269.30,266.50,269.00,2965900,259.68
2016-02-11,270.90,270.90,264.90,265.50,3980500,256.301
2016-02-10,270.60,273.70,268.60,272.80,4208000,263.348
2016-02-09,262.00,265.50,259.80,264.10,3417600,254.949
2016-02-08,270.70,271.60,260.30,261.00,3115800,251.957
2016-02-05,269.00,272.60,268.20,270.70,2953000,261.321
2016-02-04,272.80,275.70,263.80,269.30,4004700,259.969
2016-02-03,273.80,276.90,268.10,269.20,3619000,259.873
2016-02-02,278.40,278.90,272.40,273.70,2970500,264.217
2016-02-01,281.00,281.50,276.90,278.40,3132300,268.754
2016-01-29,283.70,285.20,275.20,279.40,4788600,269.719
2016-01-28,291.00,291.30,278.50,282.00,7151200,272.229
2016-01-27,293.30,296.40,290.40,296.10,2480200,285.841
2016-01-26,288.60,293.50,287.70,293.30,2632500,283.138
2016-01-25,295.60,295.90,290.90,292.80,2617600,282.655
2016-01-22,289.80,295.30,287.50,295.30,3753100,285.068
2016-01-21,281.60,287.80,279.50,284.90,3490500,275.029
2016-01-20,282.80,284.70,279.80,280.70,4186100,270.974
2016-01-19,281.00,289.60,280.40,288.90,3958400,278.89
2016-01-18,276.80,278.80,273.20,275.30,2747700,265.761
2016-01-15,281.00,285.80,275.40,276.70,5410100,267.113
2016-01-14,279.30,279.30,274.30,275.20,3842600,265.665
2016-01-13,282.90,284.50,280.50,281.10,3161500,271.36
2016-01-12,278.90,284.40,278.30,279.40,2210700,269.719
2016-01-11,280.00,281.70,276.60,277.70,2361400,268.078
2016-01-08,281.10,285.30,280.20,280.50,2858400,270.781
2016-01-07,283.90,283.90,274.10,280.40,6841900,270.685
2016-01-06,284.60,284.60,284.60,284.60,000,274.739
2016-01-05,289.80,289.80,283.80,284.60,2251000,274.739
2016-01-04,298.70,298.70,286.20,286.20,4539000,276.284
2016-01-01,302.10,302.10,302.10,302.10,000,291.633
2015-12-31,302.10,302.10,302.10,302.10,000,291.633
2015-12-30,302.20,303.50,300.50,302.10,1696900,291.633
2015-12-29,299.60,301.90,299.10,301.80,1656300,291.343
2015-12-28,301.40,302.30,297.80,298.20,1136200,287.868
2015-12-25,300.00,300.00,300.00,300.00,000,289.606
2015-12-24,300.00,300.00,300.00,300.00,000,289.606
2015-12-23,298.90,300.80,298.00,300.00,2009400,289.606
2015-12-22,298.70,299.20,295.30,295.60,2007200,285.358
2015-12-21,300.00,303.40,298.10,298.10,2046300,287.771
2015-12-18,301.20,303.30,298.10,299.70,3250500,289.316
2015-12-17,305.10,308.20,300.60,301.50,3146700,291.054
2015-12-16,305.70,306.60,301.50,302.60,3264800,292.115
2015-12-15,294.10,306.30,292.20,305.20,4032600,294.625
2015-12-14,299.70,301.40,295.00,295.50,2945600,285.261
2015-12-11,301.30,304.00,297.70,298.20,3891900,287.868
2015-12-10,307.50,307.50,301.70,302.40,2609600,291.922
2015-12-09,312.20,313.20,304.70,307.00,4471100,296.363
2015-12-08,319.00,319.50,309.50,310.70,3056500,299.935
2015-12-07,319.30,321.70,318.40,319.60,2380500,308.526
2015-12-04,318.20,318.80,314.40,316.30,2452800,305.341
2015-12-03,321.10,327.80,319.00,319.00,4042900,307.947
2015-12-02,322.80,325.60,319.00,324.50,3112400,313.257
2015-12-01,325.00,328.60,324.70,325.70,2165700,314.415
2015-11-30,319.00,324.50,318.40,323.50,2810200,312.291
2015-11-27,318.50,320.50,317.00,319.50,1167000,308.43
2015-11-26,316.30,319.70,315.20,319.00,2208200,307.947
2015-11-25,314.20,319.20,314.10,318.10,2068700,307.078
2015-11-24,318.60,318.90,312.00,312.80,2841100,301.962
2015-11-23,323.10,323.10,318.10,318.70,2019600,307.658
2015-11-20,321.40,323.60,319.90,323.60,2253100,312.388
2015-11-19,323.80,325.60,320.10,320.90,1870000,309.781
2015-11-18,321.50,322.70,320.60,322.50,1750400,311.326
2015-11-17,321.50,323.00,320.30,322.60,2360900,311.423
2015-11-16,317.00,319.80,312.00,318.20,2637200,307.175
2015-11-13,325.50,326.50,320.50,321.30,1745600,310.168
2015-11-12,331.50,331.90,326.00,326.00,1642900,314.705
2015-11-11,331.00,333.60,330.40,331.40,1137400,319.918
2015-11-10,330.10,332.00,326.30,329.80,2295500,318.373
2015-11-09,335.10,336.90,329.60,329.60,1727100,318.18
2015-11-06,338.90,339.10,332.30,335.10,1927000,323.489
2015-11-05,331.80,339.90,331.40,338.40,2938000,326.675
2015-11-04,332.00,332.80,330.00,331.80,2903100,320.304
2015-11-03,331.50,332.30,328.50,330.00,1775000,318.566
2015-11-02,328.90,333.70,325.70,331.10,1580600,319.628
2015-10-30,334.00,335.70,330.70,332.30,862400,320.786
2015-10-29,332.30,334.10,329.60,334.00,1560400,322.428
2015-10-28,331.80,333.50,328.80,331.20,1757100,319.725
2015-10-27,331.90,332.10,328.90,330.30,2263100,318.856
2015-10-26,333.00,334.10,330.90,332.10,2043000,320.593
2015-10-23,328.90,336.90,328.00,333.00,3644400,321.462
2015-10-22,320.40,328.40,318.40,327.30,2640900,315.96
2015-10-21,320.00,323.60,318.60,321.40,1751600,310.264
2015-10-20,317.60,319.70,316.10,319.70,1882700,308.623
2015-10-19,313.70,319.90,313.60,317.00,1880300,306.017
2015-10-16,315.10,315.50,311.90,313.60,2393600,302.734
2015-10-15,316.50,317.00,311.80,313.90,2656600,303.024
2015-10-14,314.60,316.40,313.30,314.70,2099400,303.796
2015-10-13,318.00,319.00,315.60,315.60,2977500,304.665
2015-10-12,311.50,315.70,311.50,314.30,1683800,303.41
2015-10-09,310.90,312.30,308.70,310.80,2400100,300.031
2015-10-08,308.10,310.70,307.20,308.50,1782400,297.811
2015-10-07,309.60,310.70,307.40,308.20,2352100,297.521
2015-10-06,309.30,311.30,307.70,309.20,2000900,298.487
2015-10-05,303.00,308.60,301.90,308.60,2886700,297.908
2015-10-02,301.50,303.00,296.30,299.50,3964200,289.123
2015-10-01,308.10,308.90,297.80,299.50,2967000,289.123
2015-09-30,304.00,306.60,302.00,305.70,3492800,295.108
2015-09-29,297.00,301.70,295.20,299.10,2948300,288.737
2015-09-28,305.00,305.30,299.70,299.70,2333800,289.316
2015-09-25,302.50,307.00,301.70,305.60,3253300,295.012
2015-09-24,312.70,313.00,296.10,298.00,6612600,287.675
2015-09-23,306.00,311.90,305.60,310.40,2707600,299.645
2015-09-22,315.00,315.50,307.10,307.10,2782300,296.46
2015-09-21,311.50,317.10,310.10,315.60,2008200,304.665
2015-09-18,316.00,316.40,311.90,312.60,2768700,301.769
2015-09-17,317.50,318.00,315.10,317.40,1838900,306.403
