Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,18.940001,19.040001,18.540001,18.719999,10610700,18.719999
2016-09-30,19.23,19.280001,18.459999,18.860001,15237300,18.860001
2016-09-29,20.00,20.280001,18.629999,19.01,23414500,19.01
2016-09-28,19.82,20.139999,19.219999,20.129999,18335900,20.129999
2016-09-27,18.93,19.370001,18.66,19.23,16630400,19.23
2016-09-26,19.049999,19.75,18.959999,19.549999,17376900,19.549999
2016-09-23,18.51,19.309999,18.50,18.950001,19508400,18.950001
2016-09-22,18.540001,18.940001,17.99,18.200001,23123400,18.200001
2016-09-21,16.90,17.98,16.860001,17.90,23897800,17.90
2016-09-20,16.76,16.950001,16.50,16.639999,12423300,16.639999
2016-09-19,16.440001,17.23,16.41,16.809999,21796800,16.809999
2016-09-16,15.79,16.25,15.72,15.91,15740400,15.91
2016-09-15,16.280001,16.459999,15.84,16.059999,14493100,16.059999
2016-09-14,16.209999,16.58,15.96,16.280001,17827700,16.280001
2016-09-13,17.02,17.02,16.02,16.35,20319200,16.35
2016-09-12,16.77,17.549999,16.50,17.43,22914300,17.43
2016-09-09,18.200001,18.200001,16.799999,17.030001,25154400,17.030001
2016-09-08,19.07,19.120001,18.42,18.559999,14762600,18.559999
2016-09-07,19.290001,19.57,19.09,19.16,10412800,19.16
2016-09-06,19.059999,19.57,18.700001,19.48,12176200,19.48
2016-09-02,19.690001,19.93,18.74,18.90,13787900,18.90
2016-09-01,19.530001,19.58,18.66,19.33,16664800,19.33
2016-08-31,19.209999,19.469999,18.860001,19.440001,15406900,19.440001
2016-08-30,20.07,20.190001,19.32,19.51,11683900,19.51
2016-08-29,19.790001,20.450001,19.66,20.24,8703900,20.24
2016-08-26,20.34,20.98,19.620001,19.790001,21578400,19.790001
2016-08-25,19.90,20.25,19.700001,20.07,9277200,20.07
2016-08-24,20.629999,20.629999,19.85,19.92,12159400,19.92
2016-08-23,21.190001,21.379999,20.67,20.709999,12788400,20.709999
2016-08-22,20.40,21.02,20.110001,20.950001,15288500,20.950001
2016-08-19,21.049999,21.200001,20.280001,20.379999,18573300,20.379999
